0	Index      	 *	Score 	Summary	Detail	
1	15414 48348	 * 	286.08	DCR|DCR|2VULN|3ASPD	14aASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS
15	15421 48344	   	271.74	DCR|DCR|2VULN|1ASPD|1AART	1ASPD|2MBVNT|35VULN|4FEWX|69RCR|7RMIN|8MDPS|aAART
16	15471 48341	   	271.74	DCR|DCR|2VULN|1ASPD|1RPLT	1ASPD|2MBVNT|35VULN|4BEXP|69RCR|7RMIN|8MDPS|aRPLT
17	15471 48344	   	271.74	DCR|DCR|2VULN|1ASPD|1AART	1ASPD|2MBVNT|35VULN|4BEXP|69RCR|7RMIN|8MDPS|aAART
18	24522 33315	   	267.85	DCR|DCR|2VULN|1AART|1RPLT	1AAC|2RCVC|35VULN|4RPLT|6BBNT|7AART|8aRCR|9AME
19	15822 13115	 * 	267.74	DCR|4VULN|2DMG|2ASPD	19ASPD|2MBVNT|3CGEN|4BBNT|59DMG|689aVULN|7RCR|9BPWR
20	15842 13115	   	267.74	DCR|4VULN|2DMG|2ASPD	19ASPD|2MBVNT|3CGEN|4TBNT|59DMG|689aVULN|7RCR|9BPWR
21	15241 33455	   	266.97	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1RPLT	1ASPD|2MBVNT|3AART|4DUST|5RPLT|6DMSP|7VULN|89RCR|aCDMG
22	15261 22453	   	265.88	DCR|DCR|1VULN|2ASPD|1AART|1RPLT	17ASPD|2MBVNT|3AART|4BEXP|5RPLT|6VULN|89RCR|aTBNT
23	15261 22454	   	265.88	DCR|DCR|1VULN|2ASPD|1AART|1RPLT	17ASPD|2MBVNT|3AART|4BEXP|5RPLT|6VULN|89RCR|aLHND
24	15261 22452	   	265.78	DCR|DCR|1VULN|2ASPD|1AART|1RPLT|1MSE	17ASPD|2MBVNT|3AART|4BEXP|5RPLT|6VULN|89RCR|aMSE
25	15822 13116	   	265.12	DCR|3VULN|2DMG|2ASPD|1MLV	19ASPD|2MBVNT|3CGEN|4BBNT|59DMG|689VULN|7RCR|9BPWR|aMLV
26	15842 13116	   	265.12	DCR|3VULN|2DMG|2ASPD|1MLV	19ASPD|2MBVNT|3CGEN|4TBNT|59DMG|689VULN|7RCR|9BPWR|aMLV
27	52241 31163	   	262.13	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1TBNT|2DUR|3MDPS|4ZMB|5DMG|6aRCR|7ERES|8VULN|9CDMG
28	52241 36113	   	262.13	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1TBNT|2DUR|3MDPS|4ZMB|5DMG|6aRCR|7CDMG|8ERES|9VULN
29	15421 48342	   	262.08	DCR|DCR|2VULN|1ASPD	1ASPD|2MBVNT|35VULN|4FEWX|69RCR|7RMIN|8MDPS|aDMSP
30	15421 48343	   	262.08	DCR|DCR|2VULN|1ASPD	1ASPD|2MBVNT|35VULN|4FEWX|69RCR|7RMIN|8MDPS|aBEXP
31	15421 48345	   	262.08	DCR|DCR|2VULN|1ASPD	1ASPD|2MBVNT|35VULN|4FEWX|69RCR|7RMIN|8MDPS|aCGEN
32	15471 48342	   	262.08	DCR|DCR|2VULN|1ASPD	1ASPD|2MBVNT|35VULN|4BEXP|69RCR|7RMIN|8MDPS|aDMSP
33	15471 48343	   	262.08	DCR|DCR|2VULN|1ASPD	1ASPD|2MBVNT|35VULN|4BEXP|69RCR|7RMIN|8MDPS|aFEWX
34	15421 42872	   	261.98	DCR|DCR|2VULN|1ASPD	1ASPD|2MBVNT|35VULN|4FEWX|6aRCR|7LIT|8ERES|9AIRHEA
35	15421 48346	   	261.98	DCR|DCR|2VULN|1ASPD	1ASPD|2MBVNT|35VULN|4FEWX|69RCR|7RMIN|8MDPS|aERES
36	15412 54273	   	261.17	DCR|4VULN|2ASPD|1MLV|1CDMG	14ASPD|2MBVNT|3489VULN|4BPWR|5MLV|6BBNT|7CDMG|aRCR
37	15413 34273	   	261.17	DCR|4VULN|2ASPD|1MLV|1CDMG	14ASPD|2MBVNT|3489VULN|4BPWR|5TBNT|6MLV|7CDMG|aRCR
38	15241 33457	   	261.09	DCR|DCR|1VULN|2AART|1ASPD|1RPLT	1ASPD|2MBVNT|3aAART|4DUST|5RPLT|6DMSP|7VULN|89RCR
39	15414 84416	 * 	259.19	DCR|5VULN|3ASPD	148ASPD|2MBVNT|34689VULN|48BPWR|58BEXP|7DLOT|aRCR
40	15411 74416	   	258.99	DCR|5VULN|3ASPD	148ASPD|2MBVNT|34689VULN|48BPWR|58DUST|7DLOT|aRCR
41	61111 12166	 * 	256.64	ACR|DCR|3VULN|1CDMG	1BELT|25ERES|37RCR|4FEWX|68aVULN|9CDMG
42	61121 12166	   	256.64	ACR|DCR|3VULN|1CDMG	1BELT|25ERES|37RCR|4BEXP|68aVULN|9CDMG
43	15413 31673	 * 	256.63	DCR|3VULN|2MLV|2ASPD|1CDMG	14ASPD|2MBVNT|349VULN|4BPWR|5TBNT|67MLV|8CDMG|aRCR
44	33135 31334	   	256.53	DCR|DCR|2VULN	1DUST|2CANTOX|3RMIN|4DUR|56VULN|7aRCR|8MBVNT|9ERES
45	15441 44264	   	256.39	DCR|4VULN|3ASPD|2DUR	189ASPD|2MBVNT|359aVULN|49DUR|6RCR|7TBNT|9BPWR
46	15441 46264	   	256.39	DCR|4VULN|3ASPD|2DUR	189ASPD|2MBVNT|359aVULN|49DUR|6RCR|7BBNT|9BPWR
