0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21126 32523	1	 * 	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57aDMG|6RCR|7BPWR|9CDMG
16	21126 32526	1	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9CDMG|aBEXP
17	21126 32165	1	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8ERES|aCDMG
18	21126 32515	1	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9ERES|aCDMG
19	21126 32536	1	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9DUST|aCDMG
20	21634 85121	6	   	289.45	DCR|4VULN|3DUR|2DMG	189aVULN|25LWND|3MBVNT|458DUR|58BPWR|6RCR|78DMG
21	21126 32532	1	   	289.35	DCR|4VULN|3DUR|2DMG	1478VULN|2ZMB|37aDUR|57DMG|6RCR|7BPWR|9DUST
22	22634 85121	6	   	289.35	DCR|4VULN|3DUR|2DMG	189aVULN|2BEXP|3MBVNT|458DUR|6RCR|78DMG|8BPWR
23	26233 53136	8	 * 	289.19	DCR|5VULN|2DUR|2ASPD	1567aVULN|27DUR|3AART|47aLHND|7aBPWR|8aASPD|9RCR
24	26233 53236	7	   	289.19	DCR|5VULN|2DUR|2ASPD	1567aVULN|27DUR|3AART|47aLHND|7aBPWR|8aASPD|9RCR
25	26424 24331	6	   	289.16	DCR|4VULN|3DUR|2ASPD|1TLV	1568VULN|235DUR|4MBVNT|58BPWR|78ASPD|9RCR|aTLV
26	26233 53336	7	   	287.94	DCR|5VULN|2DUR|2TLV	1567aVULN|27DUR|3AART|47aLHND|7aBPWR|8aTLV|9RCR
27	21433 31423	10	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	179aVULN|2LWND|39DUR|4ASPD|5LHND|6RCR|89DMG|9BPWR
28	22433 31423	10	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	179aVULN|2BEXP|39DUR|4ASPD|5LHND|6RCR|89DMG|9BPWR
29	24334 32246	5	   	285.50	DCR|4VULN|3DMG|1TLV	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9LIT|aTLV
30	21126 32611	1	   	285.49	DCR|3VULN|3DMG|2DUR|1TLV	147VULN|2ZMB|37DUR|578DMG|6RCR|7BPWR|9RPLT|aTLV
31	21126 32663	1	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	147VULN|2ZMB|37DUR|578DMG|6RCR|7BPWR|9DUST|aTLV
32	26233 53335	7	   	284.55	DCR|4VULN|2DUR|1DMG|1TLV	1567VULN|27DUR|3AART|47LHND|7BPWR|8TLV|9RCR|aDMG
33	21126 32125	1	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	147VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8ERES|9CDMG|aTLV
34	21411 42136	9	   	283.16	DCR|4VULN|3ASPD|2DUR|1CDMG	178aVULN|28aLWND|36DUR|4CDMG|58aASPD|8aBPWR|9RCR
35	21126 32423	1	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	147VULN|2ZMB|37DUR|57aDMG|6RCR|7BPWR|8RCVC|9CDMG
36	21126 32123	1	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	147VULN|2ZMB|37DUR|57aDMG|6RCR|7BPWR|8ERES|9CDMG
37	21423 35423	10	   	282.66	DCR|3VULN|3DMG|3DUR	19aVULN|2LWND|39aDUR|4ZMB|5LHND|6RCR|7RCVC|89aDMG|9aBPWR
38	22423 34423	10	   	282.66	DCR|3VULN|3DMG|3DUR	19aVULN|2BEXP|39aDUR|4ZMB|5LHND|6RCR|7RCVC|89aDMG|9aBPWR
39	22423 36423	10	   	282.66	DCR|3VULN|3DMG|3DUR	19aVULN|27BEXP|39aDUR|4ZMB|5LHND|6RCR|89aDMG|9aBPWR
40	21461 22136	9	   	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178aVULN|26LWND|38aDUR|4SELL|58aASPD|8aBPWR|9RCR
41	21461 32136	9	   	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178aVULN|2LWND|38aDUR|4SELL|58aASPD|6RCVC|8aBPWR|9RCR
42	21126 32613	1	   	282.46	DCR|3VULN|3DMG|3DUR	147VULN|2ZMB|37aDUR|578DMG|6RCR|7BPWR|9RPLT
43	21126 32625	1	   	282.46	DCR|3VULN|3DMG|3DUR	147VULN|2ZMB|37aDUR|578DMG|6RCR|7BPWR|9LWND
44	21126 32635	1	   	282.46	DCR|3VULN|3DMG|3DUR	147VULN|2ZMB|37aDUR|578DMG|6RCR|7BPWR|9LHND
45	21126 32643	1	   	282.46	DCR|3VULN|3DMG|3DUR	147VULN|2ZMB|379DUR|578DMG|6RCR|7BPWR|aMLV
46	13321 14247	10	   	281.42	DCR|4VULN|3DUR|3TLV	1BELT|29aDUR|3AART|479aVULN|59aTLV|6MBVNT|8RCR|9aBPWR
47	26211 14247	10	   	281.42	DCR|4VULN|3DUR|3TLV	179aVULN|29aDUR|3AART|4BELT|59aTLV|6MBVNT|8RCR|9aBPWR
48	24334 32735	5	   	280.91	DCR|4VULN|3DMG|3LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89aLIT
49	21433 31425	10	   	280.84	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	179VULN|2LWND|39DUR|4ASPD|5LHND|6RCR|89DMG|9BPWR|aTLV
50	22433 31425	10	   	280.84	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	179VULN|2BEXP|39DUR|4ASPD|5LHND|6RCR|89DMG|9BPWR|aTLV
51	23313 42236	2	 * 	280.80	DCR|5VULN|3DUR	1457aVULN|27ERES|3AART|67aDUR|7aBPWR|8aDUST|9RCR
52	26424 24136	10	   	280.80	DCR|5VULN|3DUR	15689VULN|235DUR|4MBVNT|5BPWR|7AART|aRCR
53	24324 18153	10	   	280.76	DCR|4VULN|3DMG|3TLV|1SELL	1589VULN|2RMIN|3MBVNT|458TLV|589BPWR|6SELL|789DMG|aRCR
54	21126 32231	1	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	147VULN|2ZMB|378DUR|57DMG|6RCR|7BPWR|9BEXP|aCDMG
55	24526 32232	1	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	147VULN|278DUR|37DMG|5NUKE|6RCR|7BPWR|9BEXP|aCDMG
56	26526 32232	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	147VULN|278DUR|37DMG|5NUKE|6RCR|7BPWR|9BEXP|aCDMG
57	21126 32612	1	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	147VULN|2ZMB|37DUR|578DMG|6RCR|7BPWR|9RPLT|aASPD
58	26111 25136	9	   	280.06	DCR|3VULN|3DUR|3ASPD|2CDMG	18aVULN|28aDUR|36LWND|47CDMG|58aASPD|8aBPWR|9RCR
59	26111 35136	9	   	280.06	DCR|3VULN|3DUR|3ASPD|2CDMG	18aVULN|28aDUR|3LWND|47CDMG|58aASPD|6RCVC|8aBPWR|9RCR
60	26233 53123	8	   	279.30	DCR|4VULN|2DUR|1DMG|1ASPD	1567VULN|27DUR|3AART|47LHND|7BPWR|8ASPD|9DMG|aRCR
61	26233 53135	8	   	279.30	DCR|4VULN|2DUR|1DMG|1ASPD	1567VULN|27DUR|3AART|47LHND|7BPWR|8ASPD|9RCR|aDMG
62	26233 53223	7	   	279.30	DCR|4VULN|2DUR|1DMG|1ASPD	1567VULN|27DUR|3AART|47LHND|7BPWR|8ASPD|9DMG|aRCR
63	26233 53235	7	   	279.30	DCR|4VULN|2DUR|1DMG|1ASPD	1567VULN|27DUR|3AART|47LHND|7BPWR|8ASPD|9RCR|aDMG
64	21433 31422	9	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	179VULN|2LWND|39DUR|4ASPD|5LHND|6RCR|89DMG|9BPWR|aCDMG
65	22433 31422	9	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	179VULN|2BEXP|39DUR|4ASPD|5LHND|6RCR|89DMG|9BPWR|aCDMG
66	21126 32234	1	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	147VULN|2ZMB|378DUR|57DMG|6RCR|7BPWR|9BEXP|aASPD
67	21433 31424	10	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	179VULN|2LWND|39aDUR|4ASPD|5LHND|6RCR|89DMG|9BPWR
68	22433 31424	10	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	179VULN|2BEXP|39aDUR|4ASPD|5LHND|6RCR|89DMG|9BPWR
69	24526 32233	1	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD|1NUKE	147VULN|278DUR|37DMG|5NUKE|6RCR|7BPWR|9BEXP|aASPD
70	26526 32233	2	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD|1NUKE	147VULN|278DUR|37DMG|5NUKE|6RCR|7BPWR|9BEXP|aASPD
71	26233 53332	7	   	277.71	DCR|4VULN|3DUR|1TLV	1567VULN|27aDUR|3AART|47LHND|7BPWR|8TLV|9RCR
72	26423 34481	4	 * 	277.70	DCR|4VULN|3DUR|3CDMG	159aVULN|239DUR|4MBVNT|6RCR|7DLOT|89aCDMG|9aBPWR
73	26123 31423	10	   	277.49	DCR|4VULN|3DMG|1DUR	179aVULN|2DUR|39aLWND|4ZMB|5LHND|6RCR|89aDMG|9aBPWR
74	24313 31523	10	   	277.39	DCR|4VULN|3DMG|1DUR	179aVULN|2RMIN|3MBVNT|4DUR|59aLHND|6RCR|89aDMG|9aBPWR
75	24314 82323	10	   	277.39	DCR|4VULN|3DMG|1DUR	179aVULN|2RMIN|3MBVNT|4DUR|59aDMG|6RCR|89aLWND|9aBPWR
76	24314 83423	10	   	277.39	DCR|4VULN|3DMG|1DUR	189aVULN|2RMIN|3MBVNT|4DUR|59aDMG|6RCR|79aBEXP|9aBPWR
77	24314 88423	10	   	277.39	DCR|4VULN|3DMG|1DUR	189aVULN|2RMIN|3MBVNT|4DUR|59aDMG|6RCR|79aFEWX|9aBPWR
78	64312 31523	10	   	277.39	DCR|4VULN|3DMG|1DUR	19aLHND|2RMIN|3MBVNT|4DUR|579aVULN|6RCR|89aDMG|9aBPWR
79	21326 32562	2	   	277.19	DCR|4VULN|3DMG|1DUR|1NUKE	1478VULN|27LWND|3NUKE|579DMG|6RCR|7BPWR|aDUR
80	21326 32563	2	   	277.19	DCR|4VULN|3DMG|1TLV|1NUKE	1478VULN|27LWND|3NUKE|579DMG|6RCR|7BPWR|aTLV
81	24334 32211	5	   	277.19	DCR|4VULN|3DMG|1TLV	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9RPLT|aTLV
82	24334 32213	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9RPLT|aDUR
83	24334 32226	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9LWND|aDUR
84	24334 32236	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9LHND|aDUR
85	24334 32253	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9DUR|aCGEN
86	24334 32254	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9DUR|aFEWX
87	24334 32258	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9DUR|aLHND
88	24334 32276	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9BEXP|aDUR
89	24334 32282	5	   	277.19	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9RCVC|aDUR
90	24334 32283	5	   	277.19	DCR|4VULN|3DMG|1TLV	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9RCVC|aTLV
91	26433 33633	7	   	277.18	DCR|3VULN|3DUR|3ASPD|2AART|1SELL	189VULN|238DUR|489ASPD|5SELL|67AART|89BPWR|aRCR
92	24334 32251	5	   	277.09	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9DUR|aDUST
93	24334 32252	5	   	277.09	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9DUR|aERES
94	24334 32257	5	   	277.09	DCR|4VULN|3DMG|1DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9DUR|aTBNT
95	24334 32368	5	   	277.09	DCR|4VULN|3DMG|1DUR	157aVULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|8TBNT|9DUR
96	24314 82633	10	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	178aVULN|2RMIN|3MBVNT|4DUR|5aDMG|6RCR|9aLIT|aBPWR
97	21126 32361	1	   	276.22	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8MLV|aLWND
98	21126 32365	1	   	276.22	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8aMLV
99	21126 32366	1	   	276.22	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8MLV|aFEWX
100	21126 32551	1	   	276.22	DCR|4VULN|2DMG|2DUR	1478VULN|29ZMB|37DUR|57DMG|6RCR|7BPWR|aFEWX
101	21423 31422	10	   	276.22	DCR|4VULN|2DMG|2DUR	179aVULN|2LWND|39DUR|4ZMB|5LHND|6RCR|89DMG|9BPWR
102	22423 31422	10	   	276.22	DCR|4VULN|2DMG|2DUR	179aVULN|2BEXP|39DUR|4ZMB|5LHND|6RCR|89DMG|9BPWR
103	21126 32161	1	   	276.12	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8ERES|aLWND
104	21126 32166	1	   	276.12	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8ERES|aFEWX
105	21126 32363	1	   	276.12	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8MLV|aDUST
106	21126 32364	1	   	276.12	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8MLV|aERES
107	21126 32511	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9ERES|aLWND
108	21126 32516	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9ERES|aFEWX
109	21126 32531	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9DUST|aRMIN
110	21126 32533	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9DUST|aCGEN
111	21126 32535	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9DUST|aFEWX
112	21126 32541	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9TBNT|aRMIN
113	21126 32542	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9TBNT|aBEXP
114	21126 32552	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|29ZMB|37DUR|57DMG|6RCR|7BPWR|aDUST
115	21126 32553	1	   	276.12	DCR|4VULN|2DMG|2DUR	1478VULN|29ZMB|37DUR|57DMG|6RCR|7BPWR|aMBVNT
116	22632 82183	10	   	276.12	DCR|4VULN|2DMG|2DUR	157aVULN|2BEXP|3MBVNT|4aDUR|6RCR|8aDMG|9RMIN|aBPWR
117	21126 32163	1	   	276.02	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8ERES|aDUST
118	21126 32164	1	   	276.02	DCR|4VULN|2DMG|2DUR	1479VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8aERES
119	21126 32513	1	   	276.02	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9ERES|aDUST
120	21126 32514	1	   	276.02	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9aERES
121	21126 32534	1	   	276.02	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9DUST|aERES
122	21126 32543	1	   	276.02	DCR|4VULN|2DMG|2DUR	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9TBNT|aDUST
123	21126 52433	1	   	276.02	DCR|4VULN|2DMG|2DUR	147aVULN|2ZMB|37DUR|57DMG|6MBVNT|7BPWR|8TBNT|9RCR
124	24334 32731	5	   	275.90	DCR|4VULN|3DMG|2LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89LIT|aMLV
125	24334 32732	5	   	275.90	DCR|4VULN|3DMG|2LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89LIT|aLWND
126	24334 32734	5	   	275.90	DCR|4VULN|3DMG|2LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89LIT|aZMB
127	24334 32736	5	   	275.90	DCR|4VULN|3DMG|2LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89LIT|aFEWX
128	24334 32737	5	   	275.90	DCR|4VULN|3DMG|2LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89LIT|aBEXP
129	24334 32738	5	   	275.90	DCR|4VULN|3DMG|2LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89LIT|aDMSP
130	21126 32422	1	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	147VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|8RCVC|9CDMG|aLIT
