0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31636 51213	8	 * 	292.98	DCR|2VULN|3DMG|3DUR|1TLV|2CDMG	123DUR|39BPWR|469DMG|59CDMG|7RCR|89VULN|aTLV
23	41321 63153	1	   	275.00	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR|1CDMG	178DMG|2ZMB|37VULN|4TLV|5CDMG|67ASPD|7BPWR|9RCR|aDUR
24	31126 54322	5	   	274.91	DCR|4VULN|3DUR|1TLV|1AART	127DUR|3AART|4568VULN|9RCR|aTLV
25	43122 22441	5	   	274.01	ACR|4VULN|3DMG|3DUR|1CDMG	178DMG|2LHND|3RCR|478DUR|578aVULN|6BBNT|78BPWR|9CDMG
26	42332 13321	1	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1DMG|25ASPD|3456VULN|5BPWR|7DUR|8RCR|9LHND|aTLV
27	42332 13351	1	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1DMG|25ASPD|3456VULN|5BPWR|7DUR|8RCR|9FEWX|aTLV
28	42335 13335	1	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1DMG|25ASPD|3469VULN|7DUR|8RCR|aTLV
29	42332 13332	1	 * 	273.32	DCR|5VULN|3ASPD|1DMG|1DUR	1DMG|25aASPD|34569VULN|5BPWR|7DUR|8RCR
30	42152 13321	1	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	13DMG|25ASPD|456VULN|5BPWR|7DUR|8RCR|9LHND|aTLV
31	42152 13351	1	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	13DMG|25ASPD|456VULN|5BPWR|7DUR|8RCR|9FEWX|aTLV
32	42362 13321	1	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	14DMG|25ASPD|356VULN|5BPWR|7DUR|8RCR|9LHND|aTLV
33	42362 13351	1	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	14DMG|25ASPD|356VULN|5BPWR|7DUR|8RCR|9FEWX|aTLV
34	43112 61263	9	 * 	268.92	ACR|5VULN|3DMG|2TLV	17aDMG|27LHND|3RCR|4578aVULN|6DLOT|7aBPWR|9aTLV
35	43112 61333	8	   	268.92	ACR|5VULN|3DMG|2TLV	17aDMG|27LHND|3RCR|4579aVULN|6DLOT|7aBPWR|8aTLV
36	31126 54321	5	 * 	268.77	DCR|4VULN|3DUR|1DMG|1AART	127DUR|3AART|4568VULN|9RCR|aDMG
37	43312 22232	6	   	268.50	DCR|4VULN|2DMG|1TLV|1AART	16DMG|2LHND|3DUST|4568VULN|6BPWR|7AART|9RCR|aTLV
38	31235 46333	1	 * 	267.88	DCR|3VULN|3DUR|1TLV|3ASPD	139DUR|249VULN|569ASPD|7TBNT|8RCR|9BPWR|aTLV
39	43312 26312	6	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	16DMG|2LHND|3DUST|456VULN|6BPWR|7CDMG|8RCR|9TLV|aDUR
40	43312 26316	6	 * 	267.09	DCR|3VULN|3DMG|1TLV|1CDMG	16aDMG|2LHND|3DUST|456VULN|6BPWR|7CDMG|8RCR|9TLV
41	41332 52335	2	   	267.02	DCR|4VULN|2DMG|2TLV	15DMG|2RMIN|3459VULN|5BPWR|6ZMB|7aTLV|8RCR
42	46322 31461	1	   	266.92	DCR|4VULN|2DMG|3TLV	18DMG|245TLV|3578VULN|58BPWR|6MBVNT|9RCR|aZMB
43	46322 31464	1	   	266.92	DCR|4VULN|2DMG|3TLV	18DMG|245TLV|3578VULN|58BPWR|6MBVNT|9RCR|aMLV
44	46322 31463	1	   	266.82	DCR|4VULN|2DMG|3TLV	18DMG|245TLV|3578VULN|58BPWR|6MBVNT|9RCR|aDUST
45	41321 63353	1	 * 	266.78	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR|1CDMG	17DMG|2ZMB|37VULN|4TLV|5CDMG|678ASPD|7BPWR|9RCR|aDUR
46	31635 31211	8	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aCGEN
47	31635 31213	8	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aZMB
48	31635 31215	8	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aFEWX
49	31635 31611	7	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aCGEN
50	31635 31613	7	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aZMB
51	31636 51212	8	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|39BPWR|469DMG|59CDMG|7RCR|89VULN|aLHND
52	31635 31212	8	   	266.67	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aTBNT
53	31635 31214	8	   	266.67	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aDUST
54	31635 31612	7	   	266.67	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aTBNT
55	31636 51211	8	   	266.67	DCR|2VULN|3DMG|3DUR|2CDMG	123DUR|39BPWR|469DMG|59CDMG|7RCR|89VULN|aTBNT
56	31635 31216	8	   	266.53	DCR|2VULN|3DMG|3DUR|2CDMG|1SELL	123DUR|359BPWR|459DMG|69CDMG|7RCR|89VULN|aSELL
57	45532 23111	3	 * 	266.48	DCR|3VULN|3DMG|2DUR	136DMG|23DUR|3BPWR|4LIT|578VULN|9LHND|aRCR
58	21523 23312	5	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58VULN|6TLV|78DMG|8BPWR|9RCR|aCGEN
59	21523 23315	5	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58VULN|6TLV|78DMG|8BPWR|9RCR|aBEXP
60	21523 23313	5	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58VULN|6TLV|78DMG|8BPWR|9RCR|aERES
61	21523 23316	5	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58VULN|6TLV|78DMG|8BPWR|9RCR|aDUST
62	42332 13334	1	   	265.89	DCR|5VULN|1DMG|2ASPD|1DUR	1DMG|25ASPD|34569VULN|5BPWR|7DUR|8RCR|aRCVC
63	42332 13335	1	   	265.89	DCR|5VULN|1DMG|2ASPD|1DUR	1DMG|25ASPD|34569VULN|5BPWR|7DUR|8RCR|aLWND
64	42332 13336	1	   	265.89	DCR|5VULN|1DMG|2ASPD|1DUR	1DMG|25ASPD|34569VULN|5BPWR|7DUR|8RCR|aRPLT
65	42332 13364	1	   	265.89	DCR|5VULN|1DMG|2ASPD|1DUR	1DMG|25ASPD|3456aVULN|5BPWR|7DUR|8RCR|9BELT
66	42332 13333	1	   	265.79	DCR|5VULN|1DMG|2ASPD|1DUR	1DMG|25ASPD|34569VULN|5BPWR|7DUR|8RCR|aLEGI
67	31121 43361	1	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	17DUR|247aVULN|3CDMG|5CGEN|67ERES|7BPWR|8TLV|9RCR
68	31636 31215	8	 * 	265.46	DCR|2VULN|3DUR|2DMG|3CDMG	123DUR|39BPWR|49DMG|569CDMG|7RCR|89VULN|aLIT
69	31232 62632	1	   	265.35	DCR|4VULN|3DUR|1TLV	135DUR|245aVULN|5BPWR|6RMIN|7TLV|8RCR|9FEWX
70	31232 62662	1	   	265.35	DCR|4VULN|3DUR|1TLV	135DUR|245aVULN|5BPWR|6RMIN|7TLV|8RCR|9LWND
71	31232 53511	1	   	265.25	DCR|4VULN|3DUR|1TLV	135DUR|2456VULN|5BPWR|7RPLT|8RCR|9DLOT|aTLV
72	42152 13332	1	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	13DMG|25ASPD|4569VULN|5BPWR|7DUR|8RCR|aLHND
73	42152 13334	1	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	13DMG|25ASPD|4569VULN|5BPWR|7DUR|8RCR|aLWND
74	42362 13332	1	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	14DMG|25ASPD|3569VULN|5BPWR|7DUR|8RCR|aLHND
75	42362 13334	1	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	14DMG|25ASPD|3569VULN|5BPWR|7DUR|8RCR|aLWND
76	42152 13333	1	   	265.04	DCR|4VULN|2DMG|2ASPD|1DUR	13DMG|25ASPD|4569VULN|5BPWR|7DUR|8RCR|aTBNT
77	42362 13333	1	   	265.04	DCR|4VULN|2DMG|2ASPD|1DUR	14DMG|25ASPD|3569VULN|5BPWR|7DUR|8RCR|aTBNT
78	41332 56333	2	 * 	264.74	DCR|4VULN|3DMG|1DUR	159DMG|2RMIN|3459VULN|59BPWR|69ZMB|7TBNT|8RCR|aDUR
79	21233 22314	7	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3LIT|4CGEN|58aVULN|6CDMG|78DMG|8BPWR|9RCR
80	21233 23314	6	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3LIT|4CGEN|58aVULN|6CDMG|78DMG|8BPWR|9RCR
81	21523 12314	7	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58aVULN|6CGEN|78DMG|8BPWR|9RCR
82	21523 13314	6	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58aVULN|6CGEN|78DMG|8BPWR|9RCR
83	21523 43314	5	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58aVULN|6CGEN|78DMG|8BPWR|9RCR
84	21552 12314	7	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3CDMG|4CGEN|58aVULN|6LIT|78DMG|8BPWR|9RCR
85	21552 13314	6	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3CDMG|4CGEN|58aVULN|6LIT|78DMG|8BPWR|9RCR
86	21223 22314	7	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3LIT|4ERES|58aVULN|6CDMG|78DMG|8BPWR|9RCR
87	21223 23314	6	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28DUR|3LIT|4ERES|58aVULN|6CDMG|78DMG|8BPWR|9RCR
88	31623 35632	3	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	123DUR|3BPWR|4TLV|5DMG|67aVULN|8RCR|9FEWX
