0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51112 22552	1	 * 	277.29	DCR|4VULN|3DMG|1DUR	18LHND|2RPLT|358DMG|458aVULN|58BPWR|6RCR|7BBNT|9DUR
21	26123 14312	9	   	261.00	DCR|4VULN|3CDMG|1TLV|1ASPD	18CGEN|268CDMG|3ASPD|4ERES|5678VULN|68BPWR|9RCR|aTLV
22	66215 13333	6	 * 	260.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|29VULN|3LHND|49DMG|5LIT|6TLV|79DUR|8MBVNT|9BPWR|aRCR
23	26353 14312	10	   	259.75	DCR|4VULN|3CDMG|1TLV|1AART	18CGEN|268CDMG|3TLV|4ZMB|5678VULN|68BPWR|9RCR|aAART
24	31236 11523	9	 * 	259.11	DCR|2VULN|3DUR|2DMG|1ASPD	1DUST|25aDUR|3ASPD|4CGEN|6aDMG|7RCR|8LIT|9aVULN|aBPWR
25	15235 11161	1	   	258.76	DCR|3VULN|2DMG|2CDMG|1DUR	1LEGI|27aVULN|37CDMG|4CGEN|5ERES|67DMG|7BPWR|8DUR|9RCR
26	34422 52811	10	   	258.47	DCR|4VULN|1DMG|2CDMG|1ASPD	1DUST|2MBVNT|35CDMG|4567VULN|5BPWR|8RCR|9ASPD|aDMG
27	34422 16164	9	 * 	258.24	DCR|4VULN|3ASPD|2CDMG	1aDUST|2MBVNT|35CDMG|459aVULN|5aBPWR|68aASPD|7RCR
28	15235 11222	1	   	258.17	DCR|3VULN|3DMG|2CDMG	1LEGI|27aVULN|37CDMG|4CGEN|5ERES|678DMG|7BPWR|9RCR
29	52122 43261	8	   	257.60	DCR|4VULN|1DMG|1DUR|1CDMG	15LHND|2CDMG|3DUR|456aVULN|5BPWR|7DMG|8FEWX|9RCR
30	52122 43523	10	   	257.60	DCR|4VULN|1DMG|1DUR|1CDMG	15LHND|2CDMG|3DUR|4569VULN|5BPWR|7DMG|8RPLT|aRCR
31	52322 42261	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	15LHND|2CDMG|3DUST|4567VULN|5BPWR|8TLV|9RCR|aDMG
32	52322 43161	7	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	15LHND|2CDMG|3DUST|456aVULN|5BPWR|7DMG|8DUR|9RCR
33	52322 43361	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	15LHND|2CDMG|3DUST|456aVULN|5BPWR|7DMG|8DUR|9RCR
34	66213 12532	10	 * 	257.37	DCR|2VULN|3DMG|2TLV|1DUR|1AART	1AART|29VULN|3LHND|459DMG|6CGEN|7DUR|89TLV|9BPWR|aRCR
35	52522 13713	9	   	257.22	DCR|4VULN|2ASPD|2CDMG	18LHND|25CDMG|3MBVNT|4578VULN|58BPWR|68ASPD|9LIT|aRCR
36	52522 13733	8	   	257.22	DCR|4VULN|2ASPD|2CDMG	18LHND|25CDMG|3MBVNT|4578VULN|58BPWR|68ASPD|9LIT|aRCR
37	65122 52121	9	   	256.87	DCR|3VULN|2DMG|1TLV|1AART	1AART|27DMG|3LIT|47LWND|57aVULN|6RCR|7BPWR|8ERES|9TLV
38	65122 52123	10	   	256.87	DCR|3VULN|2DMG|1TLV|1AART	1AART|27DMG|3LIT|47LWND|57aVULN|6RCR|7BPWR|8ERES|9TLV
39	65122 52131	9	   	256.87	DCR|3VULN|2DMG|1DUR|1AART	1AART|27DMG|3LIT|47LWND|579VULN|6RCR|7BPWR|8ERES|aDUR
40	65133 52121	9	   	256.87	DCR|3VULN|2DMG|1TLV|1AART	1AART|27DMG|3LIT|47aVULN|57LWND|6RCR|7BPWR|8ERES|9TLV
41	65133 52123	10	   	256.87	DCR|3VULN|2DMG|1TLV|1AART	1AART|27DMG|3LIT|47aVULN|57LWND|6RCR|7BPWR|8ERES|9TLV
42	65133 52131	9	   	256.87	DCR|3VULN|2DMG|1DUR|1AART	1AART|27DMG|3LIT|479VULN|57LWND|6RCR|7BPWR|8ERES|aDUR
43	31222 55221	6	   	256.67	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1DUST|2DUR|3ASPD|489VULN|5LIT|6DMG|7RCR|aTLV
44	34141 37742	9	 * 	256.60	DCR|5VULN|1DMG|1AART	1DUST|2MBVNT|3AART|4589aVULN|6RCR|7DMG
45	51112 22534	1	   	256.37	DCR|3VULN|3DMG|1AART	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9AART|aLIT
46	22235 16214	1	   	256.27	DCR|3VULN|3DMG|1AART	1CGEN|256DMG|358VULN|4RPLT|5BPWR|7AART|9RCR|aLIT
47	65122 52132	10	   	256.27	DCR|3VULN|3DMG|1AART	1AART|27aDMG|3LIT|47LWND|579VULN|6RCR|7BPWR|8ERES
48	65133 52132	10	   	256.27	DCR|3VULN|3DMG|1AART	1AART|27aDMG|3LIT|479VULN|57LWND|6RCR|7BPWR|8ERES
49	31232 21523	9	 * 	256.09	DCR|2VULN|2DMG|2DUR|2ASPD	1DUST|2aDUR|36ASPD|4CGEN|5aDMG|7RCR|8LIT|9aVULN|aBPWR
50	15236 11231	1	   	255.91	DCR|2VULN|3DMG|2CDMG|1TLV	1LEGI|27VULN|37CDMG|4CGEN|5TLV|678DMG|7BPWR|9LIT|aRCR
51	66213 35312	6	   	255.84	DCR|3VULN|3DMG|2AART	16AART|29aVULN|389LHND|459DMG|7RCR|9BPWR
52	22235 16211	1	   	255.74	DCR|3VULN|3DMG|2AART	1CGEN|256DMG|358VULN|4RPLT|5BPWR|7aAART|9RCR
53	34422 52841	8	   	255.25	DCR|5VULN|2CDMG	1DUST|2MBVNT|35CDMG|45679VULN|5BPWR|8RCR|aLIT
54	61353 42233	4	 * 	255.17	DCR|3VULN|3DUR|1TLV|1AART	1AART|2BELT|348LWND|489BPWR|589VULN|6RCR|789DUR|aTLV
55	51112 26212	1	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|2RPLT|35DMG|457VULN|5BPWR|6RCR|8BEXP|9TLV|aDUR
56	31222 55224	6	   	255.00	DCR|3VULN|2DUR|1DMG|1ASPD	1DUST|2aDUR|3ASPD|489VULN|5LIT|6DMG|7RCR
57	26123 14315	10	 * 	254.95	DCR|4VULN|3CDMG|2ASPD	18CGEN|268CDMG|3aASPD|4ERES|5678VULN|68BPWR|9RCR
58	52221 32612	3	   	254.86	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1AART	1LHND|2aCDMG|3AART|4ERES|5DMG|6aDUR|7TLV|8aVULN|9RCR|aBPWR
59	34422 52811	9	   	254.66	DCR|4VULN|2CDMG|1DUR|1ASPD	1DUST|2MBVNT|35CDMG|4567VULN|5BPWR|8RCR|9ASPD|aDUR
60	51112 22553	1	   	254.65	DCR|3VULN|3DMG|1DUR	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9DUR|aFEWX
61	34141 37282	7	   	254.65	DCR|4VULN|2DMG|1AART	189DUST|2MBVNT|3AART|459aVULN|6RCR|79DMG|9BPWR
62	11311 55332	2	   	254.62	DCR|4VULN|3ASPD|1DUR	1LEGI|28CGEN|356aVULN|456ASPD|56BPWR|7RCR|9DUR
63	11611 55332	3	   	254.62	DCR|4VULN|3ASPD|1DUR	1LEGI|28CGEN|356aVULN|456ASPD|56BPWR|7RCR|9DUR
64	14311 55332	1	   	254.62	DCR|4VULN|3ASPD|1DUR	1LEGI|28CGEN|356aVULN|456ASPD|56BPWR|7RCR|9DUR
65	51112 22551	1	   	254.41	DCR|3VULN|3DMG|1DUR|1SELL	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9DUR|aSELL
66	65132 23151	4	   	254.07	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3LIT|48aVULN|5BBNT|6CDMG|7RCR
67	26223 14311	9	   	253.81	DCR|4VULN|3CDMG|1DMG	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aRPLT
68	26223 14311	10	   	253.81	DCR|4VULN|3CDMG|1DMG	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aZMB
69	26223 14312	10	   	253.81	DCR|4VULN|3CDMG|1DMG	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aRCVC
70	26223 14313	9	   	253.81	DCR|4VULN|3CDMG|1DMG	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aLHND
71	26223 14313	10	   	253.81	DCR|4VULN|3CDMG|1DMG	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aFEWX
72	26223 14314	9	   	253.81	DCR|4VULN|3CDMG|1DMG	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aFEWX
73	26223 14315	9	   	253.81	DCR|4VULN|3CDMG|1DMG	18aCGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR
74	26223 14316	10	   	253.81	DCR|4VULN|3CDMG|1DMG	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aBEXP
75	26353 14312	9	 * 	253.81	DCR|4VULN|3CDMG|2TLV	18CGEN|268CDMG|3aTLV|4ZMB|5678VULN|68BPWR|9RCR
76	52122 42263	10	   	253.79	DCR|4VULN|1TLV|1DUR|1CDMG	15LHND|2CDMG|3DUR|4567VULN|5BPWR|8TLV|9RPLT|aRCR
77	52122 52361	7	   	253.79	DCR|4VULN|1TLV|1DUR|1CDMG	15LHND|2CDMG|3DUR|458aVULN|5BPWR|6TLV|7BEXP|9RCR
78	52322 42261	9	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	15LHND|2CDMG|3DUST|4567VULN|5BPWR|8TLV|9RCR|aDUR
79	52322 53161	7	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	15LHND|2CDMG|3DUST|457aVULN|5BPWR|6TLV|8DUR|9RCR
80	52322 53361	8	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	15LHND|2CDMG|3DUST|457aVULN|5BPWR|6TLV|8DUR|9RCR
81	51112 26336	1	   	253.60	DCR|4VULN|2DMG	1LHND|2RPLT|35DMG|457aVULN|5BPWR|6RCR|8LIT|9ZMB
82	34422 53522	8	   	253.51	DCR|4VULN|3CDMG|1DMG	1DUST|2MBVNT|359CDMG|456aVULN|5BPWR|7DMG|8RCR
83	51112 26316	1	   	253.50	DCR|4VULN|2DMG	1LHND|2RPLT|35DMG|457aVULN|5BPWR|6RCR|8LIT|9ERES
84	66113 52313	10	   	253.46	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1AART|29VULN|3LWND|45aDMG|6RCR|7TLV|8DUR
85	34141 37743	9	   	253.31	DCR|4VULN|1DMG|1DUR|1AART	1DUST|2MBVNT|3AART|4589VULN|6RCR|7DMG|aDUR
86	65623 32311	8	 * 	253.19	DCR|3DMG|1VULN|2ASPD|2CDMG|2AART|1DUR	1aAART|238DMG|48CDMG|5DUR|6VULN|78ASPD|8BPWR|9RCR
87	52522 13346	9	   	252.94	DCR|3VULN|2DUR|3CDMG|1ASPD	19LHND|259CDMG|3MBVNT|457VULN|59BPWR|6ASPD|89DUR|aRCR
88	66113 52131	8	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	1AART|29VULN|39LWND|45DMG|6RCR|7TLV|89LIT|9BPWR|aDUR
89	34422 18346	9	   	252.74	DCR|3VULN|2DUR|3CDMG|1ASPD	19DUST|2MBVNT|359CDMG|457VULN|59BPWR|6ASPD|89DUR|aRCR
90	52122 12661	5	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	15LHND|2CDMG|3DUR|45aVULN|5BPWR|68DMG|7FEWX|9RCR
91	52122 43533	10	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	15LHND|2CDMG|3DUR|456VULN|5BPWR|79DMG|8RPLT|aRCR
92	31112 64532	1	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|2RPLT|35DMG|45aVULN|5BPWR|6CDMG|7DUR|8RCR|9FEWX
93	52121 12661	4	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2CDMG|3DUR|45aVULN|68DMG|7FEWX|9RCR
94	11311 24251	2	 * 	252.27	DCR|3VULN|2DMG|2ASPD	1LEGI|2aCGEN|35aVULN|45ASPD|5aBPWR|6LIT|7RCR|8DMSP|9aDMG
95	11311 24351	2	   	252.27	DCR|3VULN|2DMG|2ASPD	1LEGI|28aCGEN|35aVULN|45ASPD|5aBPWR|6LIT|7RCR|9aDMG
96	11611 24251	3	   	252.27	DCR|3VULN|2DMG|2ASPD	1LEGI|2aCGEN|35aVULN|45ASPD|5aBPWR|6LIT|7RCR|8DMSP|9aDMG
97	11611 24351	3	   	252.27	DCR|3VULN|2DMG|2ASPD	1LEGI|28aCGEN|35aVULN|45ASPD|5aBPWR|6LIT|7RCR|9aDMG
98	14311 24251	1	   	252.27	DCR|3VULN|2DMG|2ASPD	1LEGI|2aCGEN|35aVULN|45ASPD|5aBPWR|6LIT|7RCR|8DMSP|9aDMG
99	14311 24351	1	   	252.27	DCR|3VULN|2DMG|2ASPD	1LEGI|28aCGEN|35aVULN|45ASPD|5aBPWR|6LIT|7RCR|9aDMG
100	51112 26325	1	   	252.17	DCR|3VULN|2DMG|2ASPD	1LHND|2RPLT|35DMG|457VULN|5BPWR|6RCR|8LIT|9aASPD
101	34422 16524	9	   	252.08	DCR|3VULN|1DMG|2CDMG|1DUR|1ASPD	1DUST|2MBVNT|35CDMG|45aVULN|5BPWR|6ASPD|7RCR|8DUR|9DMG
102	34422 45523	7	   	252.07	DCR|3VULN|2DMG|2CDMG|1AART	1DUST|2MBVNT|35CDMG|457VULN|5BPWR|6AART|8aDMG|9RCR
103	51112 22522	1	   	252.05	DCR|3VULN|3DMG|1CDMG	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9CDMG|aLWND
104	51112 22523	1	   	252.05	DCR|3VULN|3DMG|1CDMG	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9CDMG|aFEWX
105	34422 42217	5	   	251.96	DCR|4VULN|2CDMG|1DUR	1DUST|2MBVNT|35CDMG|457aVULN|5BPWR|6LIT|8RCR|9DUR
106	51112 22521	1	   	251.95	DCR|3VULN|3DMG|1CDMG	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9CDMG|aMBVNT
107	51112 22524	1	   	251.95	DCR|3VULN|3DMG|1CDMG	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9CDMG|aDUST
108	51112 22525	1	   	251.95	DCR|3VULN|3DMG|1CDMG	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9CDMG|aERES
109	22235 13535	1	   	251.95	DCR|3VULN|3DMG|1CDMG	1CGEN|256DMG|358VULN|4RPLT|5BPWR|7CDMG|9BEXP|aRCR
110	31113 46332	10	 * 	251.79	DCR|2VULN|3DMG|2DUR|1AART	1DUST|26DUR|3AART|456DMG|6BPWR|79VULN|8LHND|aRCR
111	22266 21161	1	   	251.31	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	17CGEN|2DMG|37aVULN|4CDMG|5TLV|67FEWX|7BPWR|8DUR|9RCR
112	31423 11523	9	   	251.13	DCR|2VULN|2DMG|2DUR|1TLV	1DUST|2aDUR|3DMSP|4TLV|5ZMB|6aDMG|7RCR|8LIT|9aVULN|aBPWR
113	31623 11523	9	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	13DUST|2aDUR|4TLV|5ZMB|6aDMG|7RCR|8LIT|9aVULN|aBPWR
114	26225 22133	8	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1CGEN|2CDMG|3DMG|4ERES|5DUR|6TLV|79aVULN|8RCR
115	52522 53233	7	   	250.82	DCR|3VULN|2DMG|2CDMG	1LHND|25CDMG|3MBVNT|456VULN|5BPWR|78DMG|9LIT|aRCR
116	52522 54233	6	   	250.82	DCR|3VULN|2DMG|2CDMG	1LHND|25CDMG|3MBVNT|456VULN|5BPWR|78DMG|9LIT|aRCR
117	31222 55225	6	   	250.63	DCR|3VULN|2ASPD|1DMG|1DUR	1DUST|2DUR|3aASPD|489VULN|5LIT|6DMG|7RCR
118	41311 52136	2	 * 	250.24	ACR|4VULN|3DUR|3ASPD	1RCR|2CGEN|356aVULN|456ASPD|56BPWR|789DUR
119	26353 14311	9	   	250.09	DCR|4VULN|3CDMG|1TLV	18CGEN|268CDMG|3TLV|4ZMB|5678VULN|68BPWR|9RCR|aRPLT
120	26353 14311	10	   	250.09	DCR|4VULN|3CDMG|1TLV	18CGEN|268CDMG|3TLV|4aZMB|5678VULN|68BPWR|9RCR
121	26353 14313	9	   	250.09	DCR|4VULN|3CDMG|1TLV	18CGEN|268CDMG|3TLV|4ZMB|5678VULN|68BPWR|9RCR|aMLV
122	51112 26412	1	   	249.90	DCR|3VULN|2DMG|1TLV|1ASPD	1LHND|2RPLT|35DMG|457VULN|5BPWR|6RCR|8LWND|9TLV|aASPD
123	45532 23131	1	 * 	249.71	ACR|5VULN|2ASPD|1DMG|1CDMG	1RCR|24578VULN|35ASPD|5BPWR|6CDMG|9BBNT|aDMG
124	34422 52281	10	   	249.69	DCR|4VULN|3CDMG|1TLV	1DUST|2MBVNT|359CDMG|4567VULN|5BPWR|8TLV|aRCR
125	34422 63632	9	   	249.69	DCR|4VULN|3CDMG|1TLV	1DUST|2MBVNT|359CDMG|457aVULN|5BPWR|6TLV|8RCR
126	15532 26323	1	 * 	249.35	DCR|3VULN|3ASPD|1DMG|1CDMG	1LEGI|245VULN|358ASPD|5BPWR|6CDMG|7FEWX|9RCR|aDMG
127	51112 26623	1	   	249.31	DCR|3VULN|3DMG|1ASPD	1LHND|2RPLT|358DMG|457VULN|5BPWR|6RCR|9LWND|aASPD
128	52122 41212	7	   	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	15LHND|2CDMG|3aDUR|456VULN|5BPWR|7SELL|8RCR|9DMG
129	51522 31314	3	   	249.21	DCR|3VULN|3DMG|1ASPD	1LHND|2RCVC|359DMG|45aVULN|5BPWR|6ERES|7ASPD|8RCR
130	51522 31314	4	   	249.21	DCR|3VULN|3DMG|1ASPD	1LHND|2RCVC|359DMG|45aVULN|5BPWR|6ERES|7ASPD|8RCR
131	33522 31314	3	   	249.01	DCR|3VULN|3DMG|1ASPD	12DUST|25BPWR|359DMG|45aVULN|6ERES|7ASPD|8RCR
132	33522 31314	4	   	249.01	DCR|3VULN|3DMG|1ASPD	12DUST|25BPWR|359DMG|45aVULN|6ERES|7ASPD|8RCR
133	15531 24121	1	 * 	248.91	DCR|4VULN|2ASPD|3LIT	1LEGI|248aVULN|38ASPD|5RMIN|68aLIT|7RCR|8aBPWR|9aMLV
134	52522 13534	9	   	248.91	DCR|4VULN|2ASPD|2CDMG	1aLHND|25CDMG|3MBVNT|457aVULN|5aBPWR|6aASPD|8RCR|9RCVC
135	52522 13544	9	   	248.91	DCR|4VULN|2ASPD|2CDMG	19aLHND|25CDMG|3MBVNT|457aVULN|5aBPWR|6aASPD|8RCR
136	66113 52313	9	   	248.80	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1AART|29VULN|3LWND|45DMG|6RCR|7TLV|8DUR|aASPD
137	34422 18534	9	   	248.71	DCR|4VULN|2ASPD|2CDMG	1aDUST|2MBVNT|35CDMG|457aVULN|5aBPWR|6aASPD|8RCR|9RCVC
138	15532 12214	1	 * 	248.71	DCR|4VULN|2ASPD|1DMG	1LEGI|245aVULN|35ASPD|5BPWR|6RMIN|7ERES|8RCR|9DMG
139	65212 31312	8	   	248.65	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1AART|2DMG|3aMLV|4TLV|5CDMG|6aVULN|7LWND|8aDUR|9RCR|aBPWR
140	65212 31342	9	   	248.65	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1AART|2DMG|3aMLV|4TLV|5CDMG|6aVULN|7LWND|8aDUR|9RCR|aBPWR
141	34263 21164	9	   	248.61	DCR|4VULN|2ASPD|2CDMG	1aDUST|2MBVNT|36ASPD|459aVULN|7RCR|8aCDMG|aBPWR
142	34422 18524	9	   	248.61	DCR|4VULN|2ASPD|2CDMG	19aDUST|2MBVNT|35CDMG|457aVULN|5aBPWR|6aASPD|8RCR
143	34422 72814	9	   	248.61	DCR|4VULN|2ASPD|2CDMG	16aDUST|2MBVNT|35CDMG|457aVULN|5aBPWR|8RCR|9aASPD
144	34422 13546	5	   	248.55	DCR|3VULN|2DMG|3CDMG	19DUST|2MBVNT|357CDMG|459VULN|59BPWR|69DMG|8RMIN|aRCR
145	65212 33512	8	   	248.55	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1AART|2DMG|3aMLV|4TLV|5CDMG|6aVULN|7DUST|8aDUR|9RCR|aBPWR
146	31113 46522	9	   	248.53	DCR|3DMG|1VULN|2DUR|1TLV|1CDMG|1AART	1DUST|26DUR|3AART|456DMG|6BPWR|7VULN|8TLV|9RCR|aCDMG
147	66113 51232	9	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1AART|29aVULN|3LWND|45DMG|6RCR|7DUR|8LHND
148	52122 35361	6	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	15LHND|2CDMG|3DUR|457aVULN|5BPWR|6DUST|8ASPD|9RCR
149	52322 13161	7	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	15LHND|2CDMG|3DUST|457aVULN|5BPWR|6ASPD|8DUR|9RCR
150	52322 13361	8	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	15LHND|2CDMG|3DUST|457aVULN|5BPWR|6ASPD|8DUR|9RCR
151	52322 35361	5	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	15LHND|2CDMG|3DUST|457aVULN|5BPWR|6DUR|8ASPD|9RCR
152	21514 11523	9	   	248.39	DCR|2VULN|2DMG|2DUR|1CDMG|1SELL	1CGEN|2SELL|3aDUR|4CDMG|5BEXP|6aDMG|7RCR|8LIT|9aVULN|aBPWR
153	31115 52612	5	   	248.35	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1DUST|2aDUR|3AART|4DMG|5CDMG|6aERES|7TLV|8aVULN|9RCR|aBPWR
154	31251 25361	2	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1DUST|2DUR|3CDMG|457aVULN|6LHND|8ASPD|9RCR
155	33251 35361	1	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1DUST|2LHND|3CDMG|457aVULN|6DUR|8ASPD|9RCR
156	52321 35361	4	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1LHND|2CDMG|3DUST|457aVULN|6DUR|8ASPD|9RCR
157	21516 11523	9	   	248.29	DCR|2VULN|2DMG|2DUR|1CDMG|1SELL	1CGEN|2SELL|3aDUR|4CDMG|5DUST|6aDMG|7RCR|8LIT|9aVULN|aBPWR
158	21242 21523	9	   	248.29	DCR|2VULN|2DMG|2DUR|1CDMG|1SELL	1CGEN|2SELL|3aDMG|4CDMG|5DUST|6aDUR|7RCR|8LIT|9aVULN|aBPWR
159	15236 11163	1	   	248.20	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR	1LEGI|27VULN|37CDMG|4CGEN|5TLV|67DMG|7BPWR|8DUR|9RCR|aBEXP
160	15236 11162	1	   	248.10	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR	1LEGI|27VULN|37CDMG|4CGEN|5TLV|67DMG|7BPWR|8DUR|9RCR|aERES
161	34141 37741	10	   	248.07	DCR|4VULN|1DMG|1ASPD|1AART	1DUST|2MBVNT|3AART|4589VULN|6RCR|7DMG|aASPD
162	34141 38741	10	   	248.07	DCR|4VULN|1DMG|1ASPD|1AART	1DUST|2MBVNT|3AART|4589VULN|6RCR|7ASPD|aDMG
163	51112 22531	1	   	248.06	DCR|3VULN|3DMG|1AART	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9AART|aRCVC
164	51112 22532	1	   	248.06	DCR|3VULN|3DMG|1AART	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9AART|aLWND
