0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62361 32123	6	 * 	306.26	DCR|5VULN|3DUR|2CDMG|2LIT	13aDUR|23468VULN|3aBPWR|5aLIT|7aCDMG|9RCR
32	62361 32125	6	   	286.52	DCR|5VULN|2DUR|2LIT|1CDMG	13DUR|23468VULN|3BPWR|5aLIT|7CDMG|9RCR
33	62363 11143	10	   	285.79	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	13DUR|2347VULN|3BPWR|5TLV|6LHND|8DMG|9ASPD|aRCR
34	62363 21143	10	   	285.79	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	13DUR|2347VULN|3BPWR|5TLV|6LWND|8DMG|9ASPD|aRCR
35	62363 32143	10	   	285.79	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	13DUR|2346VULN|3BPWR|5TLV|7LWND|8DMG|9ASPD|aRCR
36	62363 33143	10	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	13DUR|2346VULN|3BPWR|5TLV|7DUST|8DMG|9ASPD|aRCR
37	62421 13448	8	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	19DUR|2789VULN|3AART|49ASPD|5MBVNT|6RCR|9BPWR|aTLV
38	62312 43142	9	   	284.89	DCR|5VULN|3DUR|1CDMG	135DUR|23678VULN|3BPWR|4LWND|9CDMG|aRCR
39	62312 43412	8	   	284.89	DCR|5VULN|3DUR|1CDMG	135DUR|23679VULN|3BPWR|4LWND|8CDMG|aRCR
40	62322 53122	3	   	284.79	DCR|5VULN|3DUR|1CDMG	135DUR|23689VULN|3BPWR|4TBNT|7CDMG|aRCR
41	52231 21314	9	   	284.23	DCR|5VULN|1TLV|1DUR|1CDMG|1ASPD	12578VULN|3TLV|4CDMG|6DUR|9RCR|aASPD
42	62323 33162	5	   	284.14	DCR|3VULN|3DUR|2TLV|1DMG|2LIT	135DUR|23aVULN|3aBPWR|4RMIN|6RCR|7DMG|8aTLV|9aLIT
43	62313 21331	9	   	283.01	DCR|4VULN|3DUR|1TLV|2LIT	139DUR|2379VULN|39BPWR|46LWND|5TLV|89LIT|aRCR
44	62113 42431	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	189DUR|2679VULN|3LWND|4TLV|59LIT|9BPWR|aRCR
45	62562 12331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	159DUR|2349VULN|6TLV|7LWND|89LIT|9BPWR|aRCR
46	62563 12331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	179DUR|2349VULN|5TLV|6LHND|89LIT|9BPWR|aRCR
47	62563 22331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	179DUR|2349VULN|5TLV|6LWND|89LIT|9BPWR|aRCR
48	52413 11331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	1279VULN|369DUR|4LWND|5TLV|89LIT|9BPWR|aRCR
49	52462 12331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	1249VULN|359DUR|6TLV|7LWND|89LIT|9BPWR|aRCR
50	52463 12331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	1249VULN|379DUR|5TLV|6LHND|89LIT|9BPWR|aRCR
51	52463 22331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	1249VULN|379DUR|5TLV|6LWND|89LIT|9BPWR|aRCR
52	62111 11331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	169DUR|2579VULN|3LWND|4TLV|89LIT|9BPWR|aRCR
53	62513 11331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	169DUR|2379VULN|4LWND|5TLV|89LIT|9BPWR|aRCR
54	62661 11331	9	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	169DUR|2579VULN|3TLV|4LWND|89LIT|9BPWR|aRCR
55	52231 21325	8	   	282.89	DCR|5VULN|1TLV|1DUR|1CDMG	12578VULN|3TLV|4CDMG|6DUR|9AART|aRCR
56	52231 21325	7	   	282.89	DCR|5VULN|1TLV|1DUR|1CDMG	12578VULN|3TLV|4CDMG|6DUR|9AART|aRCR
57	62322 51113	3	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	135DUR|2369VULN|3BPWR|4TBNT|7ASPD|8DMG|aRCR
58	62363 11351	9	   	282.57	DCR|5VULN|2DUR|1TLV	13DUR|23479VULN|3BPWR|5TLV|6LHND|8LIT|aRCR
59	62363 31411	9	   	282.57	DCR|5VULN|2DUR|1TLV	13DUR|23468VULN|3BPWR|5TLV|7LIT|9FEWX|aRCR
60	62563 31331	9	   	282.47	DCR|5VULN|2DUR|1TLV	19DUR|23469VULN|5TLV|7LIT|89DUST|9BPWR|aRCR
61	52463 31331	9	   	282.47	DCR|5VULN|2DUR|1TLV	12469VULN|39DUR|5TLV|7LIT|89DUST|9BPWR|aRCR
62	62363 31351	9	   	282.47	DCR|5VULN|2DUR|1TLV	13DUR|23469VULN|3BPWR|5TLV|7LIT|8DUST|aRCR
63	62363 31431	9	   	282.47	DCR|5VULN|2DUR|1TLV	13DUR|23468VULN|3BPWR|5TLV|7LIT|9DUST|aRCR
64	62331 41314	10	   	281.85	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2389VULN|3BPWR|4AART|5DMG|6CDMG|7MLV|aRCR
65	62331 46321	9	   	281.85	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2389VULN|3BPWR|4AART|5DMG|6CDMG|7RCR|aFEWX
66	62331 46321	10	   	281.85	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2389VULN|3BPWR|4AART|5DMG|6CDMG|7RCR|aMLV
67	62331 46322	9	   	281.85	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2389VULN|3BPWR|4AART|5DMG|6CDMG|7RCR|aBELT
68	62331 46323	10	   	281.85	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2389VULN|3BPWR|4AART|5DMG|6CDMG|7RCR|aZMB
69	62331 46333	9	   	281.85	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|238aVULN|3BPWR|4AART|5DMG|6CDMG|7RCR|9CGEN
70	52233 55323	4	   	281.50	DCR|4VULN|3DUR|1TLV|1CDMG	127aVULN|3TLV|4CDMG|589DUR|6RCR
71	62632 53323	7	   	281.50	DCR|4VULN|3DUR|1TLV|1CDMG	189DUR|257aVULN|3TLV|4CDMG|6RCR
72	52222 21536	10	   	280.41	DCR|4VULN|2DMG|2TLV|2LIT	1279VULN|39TLV|47LWND|5RMIN|67LIT|79BPWR|89DMG|aRCR
73	62351 52222	9	   	280.07	DCR|4VULN|3DUR|1DMG	135DUR|239aVULN|3BPWR|4LIT|6RPLT|7RCR|8DMG
74	62361 32121	6	   	279.97	DCR|5VULN|2DUR|1CDMG	13DUR|23468VULN|3BPWR|5LIT|7CDMG|9RCR|aBEXP
75	62361 32122	6	   	279.97	DCR|5VULN|2DUR|1CDMG	13DUR|23468VULN|3BPWR|5LIT|7CDMG|9RCR|aCGEN
76	62361 32126	6	   	279.97	DCR|5VULN|2DUR|1CDMG	13DUR|23468VULN|3BPWR|5LIT|7CDMG|9RCR|aLWND
77	62361 61212	5	   	279.97	DCR|4VULN|3DUR|2TLV	139DUR|234aVULN|3aBPWR|5LIT|6RCR|7aTLV|8aDUST
78	12361 33244	6	 * 	279.89	DCR|5VULN|2DMG|2LIT	138LHND|2346aVULN|38BPWR|58LIT|78DMG|9RCR
79	62332 11351	7	   	279.05	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|236VULN|368BPWR|4AART|568CGEN|78TLV|9DMG|aRCR
80	52231 26533	7	   	278.92	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	125VULN|3TLV|4CDMG|679DUR|8DMG|aRCR
81	52231 26633	8	   	278.92	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	125VULN|3TLV|4CDMG|679DUR|8DMG|aRCR
82	52242 63133	8	   	278.92	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	128VULN|3TLV|4DMG|569DUR|7CDMG|aRCR
83	52242 21326	10	   	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1278VULN|37TLV|4DMG|5DUR|67LIT|7BPWR|9CGEN|aRCR
84	52242 31236	10	   	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1279VULN|39TLV|4DMG|5DUR|6RMIN|89LIT|9BPWR|aRCR
85	62331 12116	5	   	278.70	DCR|3VULN|3DMG|2DUR	13DUR|23aVULN|3BPWR|4AART|567DMG|8TBNT|9RCR
86	62331 16115	5	   	278.70	DCR|3VULN|3DMG|2DUR	13DUR|239VULN|3BPWR|4AART|56aDMG|7RCR|8BBNT
87	52223 51331	9	   	278.35	DCR|5VULN|2TLV|1DUR|2LIT	12579VULN|39TLV|4LWND|6DUR|89LIT|9BPWR|aRCR
88	62361 61323	5	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	13DUR|234VULN|3BPWR|5LIT|6RCR|7TLV|8aDMG|9BEXP
89	62331 42134	10	   	277.98	DCR|3VULN|2DUR|1DMG|2AART|1CDMG|1ASPD	13DUR|238VULN|3BPWR|47AART|5DMG|6CDMG|9ASPD|aRCR
90	62361 61223	5	   	277.94	DCR|3VULN|2DMG|2DUR|1TLV	13DUR|234VULN|3BPWR|5LIT|6RCR|7TLV|8DUST|9aDMG
91	52631 21413	10	   	277.83	DCR|5VULN|2DUR|2CDMG|1SELL	12579VULN|3CGEN|49CDMG|69DUR|8SELL|9BPWR|aRCR
92	52231 11623	9	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	12579VULN|3TLV|4CDMG|6LWND|8DMG|aRCR
93	52243 53123	9	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	12689VULN|3TLV|4DMG|5BEXP|7CDMG|aRCR
94	52342 53123	9	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	12689VULN|3RMIN|4DMG|5DUR|7CDMG|aRCR
95	54332 53123	9	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	14689VULN|2RMIN|3DMG|5DUR|7CDMG|aRCR
96	52331 21623	9	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	12579VULN|3RMIN|4CDMG|6DUR|8DMG|aRCR
97	52231 21315	10	   	276.94	DCR|5VULN|2TLV|1DUR|1CDMG	12578VULN|3aTLV|4CDMG|6DUR|9RCR
98	62331 13614	10	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	13DUR|239VULN|3BPWR|4AART|57DMG|6MLV|8CDMG|aRCR
99	52242 51321	7	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	126VULN|3TLV|4DMG|59DUR|7ASPD|8RCR|aCDMG
100	52231 21113	8	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1257VULN|3TLV|4CDMG|6aDUR|8LIT|9RCR
101	52231 23113	8	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1258VULN|3TLV|4CDMG|6aDUR|7LIT|9RCR
102	52231 62113	8	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1258VULN|3TLV|4CDMG|6LIT|7aDUR|9RCR
103	52231 62513	6	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1257VULN|3TLV|4CDMG|6LIT|8aDUR|9RCR
104	52231 64113	8	   	276.58	DCR|4VULN|2DUR|1TLV|1CDMG	1257VULN|3TLV|4CDMG|6LIT|8aDUR|9RCR
105	22361 23311	9	   	276.30	DCR|4VULN|2DMG|1DUR|2LIT	137DUST|2348VULN|38BPWR|58LIT|68DMG|9DUR|aRCR
106	52242 61323	7	   	276.27	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	12aVULN|3TLV|4DMG|569DUR|7ASPD|8RCR
107	66333 31323	7	   	276.27	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	169DUR|2ASPD|3DMG|47aVULN|5TLV|8RCR
108	66333 31423	8	   	276.27	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	169DUR|2ASPD|3DMG|47aVULN|5TLV|8RCR
109	62331 16114	5	   	276.27	DCR|3VULN|3DUR|2DMG	13aDUR|239VULN|3BPWR|4AART|56DMG|7RCR|8BBNT
