0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32322 12416	4	 * 	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG	19ASPD|2RPLT|3589VULN|479DUR|6RCR|9BPWR|aCDMG
55	32361 14612	5	   	260.46	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART	19ASPD|2RPLT|39aVULN|4ZMB|5AART|6RCR|7CDMG|89DUR|9BPWR
56	32321 45224	7	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	1aASPD|2RPLT|38aVULN|4DUR|5CGEN|6RMIN|7aDMG|9RCR|aBPWR
57	32312 12464	3	 * 	259.78	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	1aASPD|2RPLT|3aVULN|4TLV|5DMG|6RCR|79aDUR|8RMIN|aBPWR
58	32312 12464	4	   	259.78	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	1aASPD|2RPLT|3aVULN|4TLV|5DMG|6RCR|79aDUR|8RMIN|aBPWR
59	32551 35313	7	 * 	259.62	DCR|3VULN|3DMG|2ASPD	19ASPD|2RPLT|369DMG|4RMIN|579VULN|8RCR|9BPWR|aRCVC
60	32551 36213	8	   	259.62	DCR|3VULN|3DMG|2ASPD	19ASPD|2RPLT|369DMG|4RMIN|589VULN|7RCR|9BPWR|aRCVC
61	32551 35311	7	   	259.52	DCR|3VULN|3DMG|2ASPD	19ASPD|2RPLT|369DMG|4RMIN|579VULN|8RCR|9BPWR|aBBNT
62	32551 35312	7	   	259.52	DCR|3VULN|3DMG|2ASPD	19ASPD|2RPLT|369DMG|4RMIN|579VULN|8RCR|9BPWR|aTBNT
63	32551 36211	8	   	259.52	DCR|3VULN|3DMG|2ASPD	19ASPD|2RPLT|369DMG|4RMIN|589VULN|7RCR|9BPWR|aBBNT
64	32551 36212	8	   	259.52	DCR|3VULN|3DMG|2ASPD	19ASPD|2RPLT|369DMG|4RMIN|589VULN|7RCR|9BPWR|aTBNT
65	41215 32114	4	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	19BEXP|29DMG|3LHND|45CDMG|679VULN|8RCR|9BPWR|aDUR
66	13313 41621	8	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1RMIN|2DMSP|38DMG|4DUST|578VULN|68CDMG|8BPWR|9RCR|aDUR
67	42121 61621	8	   	258.85	DCR|4VULN|2ASPD|1DUR|1CDMG	18BEXP|2CDMG|38ASPD|4578VULN|6RMIN|8BPWR|9RCR|aDUR
68	31253 41621	8	   	258.77	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	18ASPD|28CDMG|3TLV|4BEXP|578VULN|6RCVC|8BPWR|9RCR|aDUR
69	31612 36125	3	   	258.75	DCR|4VULN|2ASPD|1DUR|1CDMG	16ASPD|2CDMG|3MLV|467aVULN|5RCVC|6BPWR|8DUR|9RCR
70	31612 36132	3	   	258.75	DCR|4VULN|2ASPD|1DUR|1CDMG	16ASPD|2CDMG|3MLV|4679VULN|5RCVC|6BPWR|8DUR|aRCR
71	31616 36132	3	   	258.75	DCR|4VULN|2ASPD|1DUR|1CDMG	16ASPD|2CDMG|3MLV|4679VULN|5DMSP|6BPWR|8DUR|aRCR
72	31662 36132	4	   	258.75	DCR|4VULN|2ASPD|1DUR|1CDMG	16ASPD|2CDMG|3MLV|4679VULN|5RCVC|6BPWR|8DUR|aRCR
73	26335 62112	9	   	258.74	DCR|3VULN|3LIT|3TLV|1DMG|1CDMG	178LIT|2LHND|378TLV|4BELT|578VULN|6RCR|78BPWR|9DMG|aCDMG
74	31243 63361	9	 * 	258.71	DCR|2VULN|2DUR|2ASPD|2TLV|2LIT|1CDMG	19ASPD|2CDMG|39TLV|4aDUR|57VULN|6RCR|89LIT|9BPWR
75	31243 63261	7	   	258.67	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	19ASPD|29CDMG|3TLV|4DUR|579VULN|6RCR|8TBNT|9BPWR|aZMB
76	31243 63263	7	   	258.67	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	19ASPD|29CDMG|3TLV|4DUR|579VULN|6RCR|8TBNT|9BPWR|aRCVC
77	33352 63142	2	   	258.67	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	18ASPD|2RCVC|3TBNT|48CDMG|568VULN|7RCR|8BPWR|9DUR|aTLV
78	31521 61215	5	   	258.65	DCR|4VULN|2ASPD|1TLV|1CDMG	17ASPD|2CDMG|3LWND|456aVULN|8RCR|9TLV
79	31521 61236	5	   	258.65	DCR|4VULN|2ASPD|1DUR|1CDMG	17ASPD|2CDMG|3LWND|4569VULN|8RCR|aDUR
80	42121 31215	5	   	258.65	DCR|4VULN|2ASPD|1TLV|1CDMG	1BEXP|2CDMG|37ASPD|456aVULN|8RCR|9TLV
81	42121 31233	5	   	258.65	DCR|4VULN|2ASPD|1DUR|1CDMG	1BEXP|2CDMG|37ASPD|4569VULN|8RCR|aDUR
82	31243 63262	7	   	258.57	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	19ASPD|29CDMG|3TLV|4DUR|579VULN|6RCR|8TBNT|9BPWR|aBBNT
83	41211 42116	5	 * 	258.37	DCR|3VULN|3DMG|2CDMG	19BEXP|269DMG|3LHND|4aCDMG|579VULN|8RCR|9BPWR
84	41222 32116	2	   	258.37	DCR|3VULN|3DMG|2CDMG	19BEXP|249DMG|3LHND|5aCDMG|679VULN|8RCR|9BPWR
85	41222 32116	3	   	258.37	DCR|3VULN|3DMG|2CDMG	19BEXP|249DMG|3LHND|5aCDMG|679VULN|8RCR|9BPWR
86	31312 55213	8	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4LWND|5DUR|6RCR|789VULN|aFEWX
87	31312 55214	8	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4LWND|5DUR|6RCR|789VULN|aBEXP
88	31312 55215	8	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4LWND|5DUR|6RCR|789VULN|aLHND
89	31312 55413	7	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4LWND|5DUR|6RCR|789VULN|aFEWX
90	31322 55213	8	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4BEXP|5DUR|6RCR|789VULN|aFEWX
91	31322 55215	8	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4BEXP|5DUR|6RCR|789VULN|aLWND
92	31322 55413	7	   	258.19	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4BEXP|5DUR|6RCR|789VULN|aFEWX
93	31312 55212	8	   	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4LWND|5DUR|6RCR|789VULN|aERES
94	31312 55412	7	   	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4LWND|5DUR|6RCR|789VULN|aERES
95	31322 55212	8	   	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4BEXP|5DUR|6RCR|789VULN|aERES
96	31322 55412	7	   	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4BEXP|5DUR|6RCR|789VULN|aERES
97	31352 55213	8	   	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4DUST|5DUR|6RCR|789VULN|aFEWX
98	31352 55212	8	   	257.99	DCR|3VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4DUST|5DUR|6RCR|789VULN|aERES
99	31112 32114	5	   	257.11	DCR|3VULN|2DUR|2ASPD|2CDMG	19ASPD|29CDMG|34LHND|5aDUR|679VULN|8RCR|9BPWR
100	31112 52414	6	   	257.11	DCR|3VULN|2DUR|2ASPD|2CDMG	19ASPD|29CDMG|34LHND|5aDUR|6RCR|789VULN|9BPWR
101	31112 55214	8	   	257.11	DCR|3VULN|2DUR|2ASPD|2CDMG	19ASPD|29CDMG|34LHND|5aDUR|6RCR|789VULN|9BPWR
102	32322 11145	4	 * 	257.01	DCR|3VULN|2DUR|2ASPD|2TLV	1aASPD|2RPLT|359VULN|4aDUR|6RCR|7MBVNT|8aTLV|aBPWR
103	31243 63312	8	   	256.91	DCR|3VULN|1DUR|1TLV|2LIT|1CDMG|1ASPD	1ASPD|2CDMG|3TLV|4DUR|57aVULN|6RCR|89LIT
104	31266 63312	8	   	256.91	DCR|3VULN|1DUR|1TLV|2LIT|1CDMG|1ASPD	1ASPD|2CDMG|3TLV|47aVULN|5DUR|6RCR|89LIT
105	31132 32112	5	   	256.87	DCR|3VULN|3CDMG|2ASPD|1DUR	19ASPD|249CDMG|3LHND|5DUR|679VULN|8RCR|9BPWR|aLIT
106	31132 52412	6	   	256.87	DCR|3VULN|3CDMG|2ASPD|1DUR	19ASPD|249CDMG|3LHND|5DUR|6RCR|789VULN|9BPWR|aLIT
107	31132 55212	8	   	256.87	DCR|3VULN|3CDMG|2ASPD|1DUR	19ASPD|249CDMG|3LHND|5DUR|6RCR|789VULN|9BPWR|aLIT
108	31132 55412	7	   	256.87	DCR|3VULN|3CDMG|2ASPD|1DUR	19ASPD|249CDMG|3LHND|5DUR|6RCR|789VULN|9BPWR|aLIT
109	31521 55211	7	   	256.75	DCR|4VULN|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|3LWND|457aVULN|6RCR|8LIT|9DUR
110	42121 55211	7	   	256.75	DCR|4VULN|1DUR|1CDMG|1ASPD	1BEXP|2CDMG|3ASPD|457aVULN|6RCR|8LIT|9DUR
