0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33454 13212	5	 * 	308.26	DCR|4VULN|3DMG|2CDMG|1TLV|1ASPD	1279VULN|37aDMG|4ASPD|5TLV|67CDMG|7BPWR|8RCR
26	33235 41262	9	 * 	290.77	DCR|3VULN|3DMG|3DUR	12aVULN|38aDUR|4LIT|5BEXP|69aDMG|7RCR|aBPWR
27	33235 41263	10	   	290.77	DCR|3VULN|3DMG|3DUR	12aVULN|38aDUR|4LIT|5BEXP|69aDMG|7RCR|aBPWR
28	33225 31624	9	   	290.12	DCR|3VULN|3DUR|2DMG|1CDMG	12aVULN|34aDUR|5AART|6MLV|7RCR|8CDMG|9aDMG|aBPWR
29	31211 21453	9	 * 	288.99	DCR|5VULN|2DUR|2ASPD	1679aVULN|2FEWX|39ASPD|4AART|59DUR|8RCR|9BPWR
30	32211 21453	9	   	288.89	DCR|5VULN|2DUR|2ASPD	1679aVULN|2DUST|39ASPD|4AART|59DUR|8RCR|9BPWR
31	32222 21453	9	   	288.89	DCR|5VULN|2DUR|2ASPD	1679aVULN|2DUST|39ASPD|49DUR|5AART|8RCR|9BPWR
32	32252 21453	9	   	288.89	DCR|5VULN|2DUR|2ASPD	1479aVULN|2DUST|39ASPD|5AART|69DUR|8RCR|9BPWR
33	31412 21453	9	   	287.74	DCR|5VULN|2DUR|2TLV	1679aVULN|2FEWX|39DUR|4AART|59TLV|8RCR|9BPWR
34	32412 21453	9	   	287.64	DCR|5VULN|2DUR|2TLV	1679aVULN|2DUST|39DUR|4AART|59TLV|8RCR|9BPWR
35	33236 51116	10	   	287.63	DCR|5VULN|2DUR|2ASPD	12789VULN|37DUR|4LIT|5CGEN|67ASPD|7BPWR|aRCR
36	33231 51116	10	   	287.53	DCR|5VULN|2DUR|2ASPD	12789VULN|37DUR|4LIT|5ERES|67ASPD|7BPWR|aRCR
37	22312 51673	9	   	286.77	DCR|3VULN|3DUR|2DMG|3LIT	17aLIT|2RMIN|3aDMG|47aVULN|567DUR|7aBPWR|8MBVNT|9RCR
38	33233 36111	9	   	286.52	DCR|5VULN|2DUR|2LIT|1CDMG	12689VULN|35DUR|45LIT|5BPWR|7RCR|aCDMG
39	33233 36141	8	   	286.52	DCR|5VULN|2DUR|2LIT|1CDMG	12689VULN|35DUR|45LIT|5BPWR|7RCR|aCDMG
40	33232 36161	9	   	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aBEXP
41	33232 36162	10	   	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aLWND
42	33232 36163	9	   	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aRMIN
43	33232 36166	9	   	286.20	DCR|5VULN|3DUR|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aLHND
44	33233 36114	9	   	286.10	DCR|5VULN|3DUR|2LIT	12689VULN|35aDUR|45LIT|5BPWR|7RCR
45	33233 36115	10	   	286.10	DCR|5VULN|3DUR|2LIT	12689VULN|35aDUR|45LIT|5BPWR|7RCR
46	33233 36144	8	   	286.10	DCR|5VULN|3DUR|2LIT	12689VULN|35aDUR|45LIT|5BPWR|7RCR
47	33232 36161	10	   	286.10	DCR|5VULN|3DUR|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aERES
48	33232 36165	9	   	286.10	DCR|5VULN|3DUR|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aDUST
49	33454 13232	5	   	285.62	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	127VULN|37aDMG|4ASPD|5TLV|67CDMG|7BPWR|8RCR|9CGEN
50	33211 54233	4	   	285.49	DCR|3VULN|3DMG|2DUR|1TLV	12aVULN|3aDUR|4CGEN|5TLV|69aDMG|7RMIN|8RCR|aBPWR
51	33216 54233	5	   	285.49	DCR|3VULN|3DMG|2DUR|1TLV	12aVULN|3aDUR|4CGEN|5TLV|69aDMG|7RMIN|8RCR|aBPWR
52	33444 34211	5	   	284.79	DCR|5VULN|2DMG|2CDMG	1279aVULN|3aDMG|4aCDMG|5DMSP|6MBVNT|8RCR|aBPWR
53	33233 36651	7	   	283.23	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	1269VULN|35DUR|45LIT|5BPWR|7RCR|8CDMG|aTLV
54	36226 63223	3	   	282.87	DCR|4VULN|3DUR|3TLV|1ASPD	179aVULN|27aTLV|3RMIN|4ASPD|5CGEN|67aDUR|7aBPWR|8RCR
55	33431 44313	9	 * 	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	1278VULN|38DMG|4ERES|5LHND|68ASPD|8BPWR|9DUR|aRCR
56	36121 42531	10	 * 	282.73	DCR|3VULN|3ASPD|2DUR|1DMG|1TLV|1SELL	159VULN|2TLV|369ASPD|49DUR|7SELL|8RCR|9BPWR|aDMG
57	33453 13251	4	 * 	282.40	DCR|4VULN|2DMG|3CDMG|1ASPD	127aVULN|37DMG|4ASPD|5CGEN|679CDMG|7BPWR|8RCR
58	33433 41243	3	   	281.60	DCR|4VULN|2DMG|2TLV|1DUR	124aVULN|3aDMG|5MLV|6DUR|7RCR|8RMIN|9aTLV|aBPWR
59	22313 13351	6	   	281.01	DCR|4VULN|3DMG|3LIT	179LIT|2RMIN|379DMG|4679VULN|5RPLT|79BPWR|8BBNT|aRCR
60	22365 13351	6	   	281.01	DCR|4VULN|3DMG|3LIT	179LIT|2RMIN|379DMG|4RPLT|5679VULN|79BPWR|8BBNT|aRCR
61	33433 24321	6	 * 	280.38	DCR|5VULN|3DMG	12789VULN|39aDMG|49aERES|5RPLT|6RCR|9aBPWR
62	33433 44321	5	   	280.38	DCR|5VULN|3DMG	12789VULN|39aDMG|49aERES|5RPLT|6RCR|9aBPWR
63	33233 36131	8	   	280.21	DCR|4VULN|3DUR|2LIT|1CDMG	1268VULN|359DUR|45LIT|5BPWR|7RCR|aCDMG
64	33233 36141	9	   	280.21	DCR|4VULN|3DUR|2LIT|1CDMG	1268VULN|359DUR|45LIT|5BPWR|7RCR|aCDMG
65	33412 34211	3	   	280.14	DCR|5VULN|3DMG|1SELL	1279aVULN|34aDMG|5SELL|6MBVNT|8RCR|aBPWR
66	33412 63211	3	   	280.00	DCR|5VULN|3DMG|2SELL	1269aVULN|34aDMG|57SELL|8RCR|aBPWR
67	22214 51163	9	 * 	279.96	DCR|3VULN|3DUR|3ASPD|3LIT	179LIT|2RMIN|358VULN|479DUR|679ASPD|79BPWR|aRCR
68	22215 51413	8	   	279.96	DCR|3VULN|3DUR|3ASPD|3LIT	178LIT|2RMIN|389VULN|457DUR|678ASPD|78BPWR|aRCR
69	22215 51423	9	   	279.96	DCR|3VULN|3DUR|3ASPD|3LIT	178LIT|2RMIN|389VULN|457DUR|678ASPD|78BPWR|aRCR
70	33232 36111	9	   	279.87	DCR|5VULN|2DUR|1CDMG	12689VULN|35DUR|4LIT|7RCR|aCDMG
71	33232 36141	8	   	279.87	DCR|5VULN|2DUR|1CDMG	12689VULN|35DUR|4LIT|7RCR|aCDMG
72	33222 25643	3	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1278VULN|36DUR|48ASPD|58FEWX|8BPWR|9DMG|aRCR
73	31233 24333	5	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1789VULN|2FEWX|37ASPD|4DMG|5ERES|67DUR|7BPWR|aRCR
74	35122 24333	3	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1789VULN|2ERES|37ASPD|4DMG|5FEWX|67DUR|7BPWR|aRCR
75	33232 36114	9	   	279.45	DCR|5VULN|3DUR	12689VULN|35aDUR|4LIT|7RCR
76	33232 36115	10	   	279.45	DCR|5VULN|3DUR	12689VULN|35aDUR|4LIT|7RCR
77	33232 36144	8	   	279.45	DCR|5VULN|3DUR	12689VULN|35aDUR|4LIT|7RCR
78	33452 31361	8	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	127VULN|37DMG|4ASPD|5FEWX|67LIT|7BPWR|8RCR|9aDUR
79	13221 63223	3	   	279.25	DCR|4VULN|3DUR|1TLV|1ASPD	17aCGEN|279aVULN|3RMIN|4ASPD|5TLV|67aDUR|7aBPWR|8RCR
80	33431 44222	3	   	278.90	DCR|4VULN|2DMG|2TLV|1CDMG	1247VULN|37DMG|5BELT|67TLV|7BPWR|8DUST|9RCR|aCDMG
81	13134 63622	4	   	278.82	DCR|4VULN|2ASPD|1DMG|1DUR|1CDMG	1CGEN|2458VULN|35ASPD|5BPWR|6CDMG|7RCR|9DUR|aDMG
82	33131 33244	2	   	278.81	DCR|4VULN|3DMG	1278VULN|3AART|469DMG|5LIT|aRCR
83	35131 33244	1	   	278.81	DCR|4VULN|3DMG	1278VULN|3AART|469DMG|5LIT|aRCR
