0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23261 22231	8	 * 	293.88	DCR|5VULN|2TLV|3CDMG|1DMG	17TLV|257CDMG|3467aVULN|7BPWR|8RCR|9DMG
36	35131 62136	6	   	275.23	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE|1AART	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aAART
37	35131 63136	7	   	275.23	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE|1AART	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aAART
38	35153 22421	5	   	275.21	ACR|4VULN|3DMG|3DUR|2LIT|1NUKE	1NUKE|279aVULN|367DUR|4RCR|57aDMG|7aBPWR|8aLIT
39	61144 52171	5	 * 	275.19	DCR|4VULN|2DMG|1TLV|1DUR	17MLV|2MBVNT|3DUR|47DMG|578aVULN|6RCR|7BPWR|9TLV
40	23223 52261	6	 * 	274.19	DCR|3VULN|3DUR|2TLV|1CDMG|1SELL	17TLV|2CDMG|367VULN|479DUR|5SELL|7BPWR|8LIT|aRCR
41	23261 22213	8	   	273.81	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|3467aVULN|7BPWR|8RCR|9RCVC
42	23261 22221	8	   	273.81	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|3467aVULN|7BPWR|8RCR|9ZMB
43	23261 22241	8	   	273.81	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|34679VULN|7BPWR|8RCR|aLWND
44	23261 22243	8	   	273.81	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|34679VULN|7BPWR|8RCR|aFEWX
45	23261 22246	8	   	273.81	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|34679VULN|7BPWR|8RCR|aLHND
46	23261 22213	9	   	273.71	DCR|5VULN|3TLV|3CDMG	179TLV|257CDMG|3467aVULN|7BPWR|8RCR
47	23261 22245	8	   	273.71	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|34679VULN|7BPWR|8RCR|aDUST
48	23261 22251	9	   	273.44	DCR|4VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aASPD
49	23261 22255	10	   	273.44	DCR|4VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aLIT
50	11361 12141	4	   	272.44	DCR|5VULN|3DUR|2LIT	13LIT|23678VULN|36BPWR|456DUR|9RCR|aLWND
51	11361 12142	4	   	272.44	DCR|5VULN|3DUR|2LIT	13LIT|23678VULN|36BPWR|456DUR|9RCR|aCGEN
52	11361 12143	4	   	272.44	DCR|5VULN|3DUR|2LIT	13LIT|23678VULN|36BPWR|456DUR|9RCR|aFEWX
53	11331 41412	3	 * 	272.29	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aFEWX|6TLV|7MLV|8RCR|9aDUR
54	11332 41422	3	   	272.29	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUR|6TLV|7MLV|8RCR|9aLHND
55	11332 41442	3	   	272.29	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUR|6TLV|7MLV|8RCR|9aBEXP
56	11333 41412	3	   	272.29	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aLWND|6TLV|7MLV|8RCR|9aDUR
57	11331 43412	3	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aFEWX|6TLV|7ERES|8RCR|9aDUR
58	11332 43422	3	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUR|6TLV|7ERES|8RCR|9aLHND
59	11332 43442	3	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUR|6TLV|7ERES|8RCR|9aBEXP
60	11333 43412	3	   	272.19	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aLWND|6TLV|7ERES|8RCR|9aDUR
61	11332 41413	3	   	272.09	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34BPWR|59DUR|6TLV|7MLV|8RCR
62	11332 41462	3	   	272.09	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUR|6TLV|7MLV|8RCR|9aDUST
63	11334 41412	3	   	272.09	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUST|6TLV|7MLV|8RCR|9aDUR
64	11364 12136	7	 * 	272.07	DCR|2VULN|2DMG|2TLV|2DUR|3LIT	13aLIT|23VULN|3aBPWR|4aDUR|58DMG|6DUST|7RCR|9aTLV
65	11332 43413	3	   	271.99	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34BPWR|59DUR|6TLV|7ERES|8RCR
66	11332 43462	3	   	271.99	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUR|6TLV|7ERES|8RCR|9aDUST
67	11334 43412	3	   	271.99	DCR|4VULN|2DUR|1TLV|3LIT	134LIT|234aVULN|34aBPWR|5aDUST|6TLV|7ERES|8RCR|9aDUR
68	23261 22165	7	   	271.62	DCR|4VULN|2TLV|3CDMG|1DUR	17TLV|257CDMG|3467VULN|7BPWR|8DUR|9DUST|aRCR
69	23261 32165	5	   	271.62	DCR|4VULN|2TLV|3CDMG|1DUR	17TLV|256CDMG|3467VULN|67BPWR|8DUR|9DUST|aRCR
70	21741 12531	5	   	271.28	DCR|3VULN|3DMG|3TLV|1AART	157TLV|2MBVNT|367VULN|467DMG|67BPWR|8AART|9RPLT|aRCR
71	23226 33533	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|3567VULN|4DUR|8LHND|9DMG|aRCR
72	23256 33233	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|3567VULN|4LHND|8DUR|9DMG|aRCR
73	23263 33233	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|3467VULN|5LHND|8DUR|9DMG|aRCR
74	11332 41416	3	   	271.10	DCR|3VULN|2DUR|1TLV|3LIT|1DMG	134LIT|234VULN|34BPWR|59DUR|6TLV|7MLV|8RCR|aDMG
75	11364 63221	6	   	270.89	DCR|3VULN|2DMG|2DUR|3LIT	137LIT|23aVULN|37BPWR|47DUR|57DMG|6RCR|8ASPD|9LHND
76	34223 12144	3	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR|1NUKE	1NUKE|27DMG|379VULN|4TLV|5LHND|67ASPD|7BPWR|8DUR|aRCR
77	11332 42336	3	   	270.17	DCR|3VULN|1TLV|3LIT|1DMG|1DUR|1CDMG	134LIT|234VULN|34BPWR|5DUR|6TLV|7LHND|8DMG|9CDMG|aRCR
78	61141 58434	9	   	269.99	DCR|3VULN|3DMG|1TLV|1DUR	19aMLV|2MBVNT|3DUR|49aDMG|5TLV|6BEXP|7RCR|89aVULN|9aBPWR
79	61142 88434	9	   	269.99	DCR|3VULN|3DMG|1TLV|1DUR	19aMLV|2MBVNT|3DUR|49aDMG|5BEXP|6TLV|7RCR|89aVULN|9aBPWR
80	21741 12285	5	   	269.93	DCR|3VULN|3DMG|3TLV	157TLV|2MBVNT|367VULN|467DMG|67BPWR|8LIT|9DMSP|aRCR
81	51141 58434	9	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	19aERES|2MBVNT|3DUR|49aDMG|5TLV|6BEXP|7RCR|89aVULN|9aBPWR
82	11333 36222	7	   	269.10	DCR|3VULN|2DUR|1TLV|3LIT|1AART	13aLIT|23aVULN|3aBPWR|4AART|5RCVC|6TLV|7RCR|8ASPD|9aDUR
83	11363 32145	7	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13LIT|23aVULN|3BPWR|4DUR|5FEWX|6TLV|7RCR|89DMG
84	11361 12145	7	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13LIT|23aVULN|3BPWR|4DUR|5TLV|6DUST|7RCR|89DMG
85	11364 12135	7	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13LIT|23aVULN|3BPWR|4DUR|58DMG|6DUST|7RCR|9TLV
86	11331 34111	6	   	268.88	DCR|3VULN|2TLV|2DUR|3LIT|1AART	138LIT|239VULN|39BPWR|4AART|5FEWX|69DUR|79TLV|aRCR
87	11336 33111	6	   	268.88	DCR|3VULN|2TLV|2DUR|3LIT|1AART	138LIT|239VULN|39BPWR|4AART|5LHND|69TLV|79DUR|aRCR
88	11336 33111	7	   	268.88	DCR|3VULN|2TLV|2DUR|3LIT|1AART	138LIT|239VULN|39BPWR|4AART|5LHND|69TLV|79DUR|aRCR
89	21438 52163	2	   	268.88	DCR|3VULN|2TLV|2DUR|1DMG|1AART	17TLV|2MBVNT|3CGEN|47DUR|578VULN|6RCR|7BPWR|9DMG|aAART
90	21134 42155	5	   	268.51	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|37DUR|4ASPD|5FEWX|6789VULN|7BPWR|aRCR
91	21438 52154	2	   	268.51	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3CGEN|47DUR|5789VULN|6RCR|7BPWR|aASPD
92	21733 22155	4	   	268.51	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3789VULN|4ASPD|5LWND|67DUR|7BPWR|aRCR
93	21734 22155	6	   	268.51	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3789VULN|4ASPD|5FEWX|67DUR|7BPWR|aRCR
94	21734 22155	5	   	268.51	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3789VULN|4ASPD|5FEWX|67DUR|7BPWR|aRCR
95	21743 22155	3	   	268.51	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3789VULN|4ASPD|5LWND|67DUR|7BPWR|aRCR
96	21743 67242	8	   	267.93	DCR|3VULN|2DMG|2TLV|1CDMG	17TLV|2MBVNT|367VULN|47DMG|5BELT|7BPWR|8RCR|9CDMG|aLIT
97	21741 14222	5	   	267.83	DCR|3VULN|2DMG|2TLV|1CDMG	15TLV|2MBVNT|36aVULN|46DMG|6BPWR|7ASPD|8RCR|9CDMG
98	21748 52132	4	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	17TLV|2MBVNT|38VULN|479DMG|57DUR|6RCR|7BPWR|aBEXP
99	21748 52133	4	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	17TLV|2MBVNT|38VULN|479DMG|57DUR|6RCR|7BPWR|aLHND
100	11364 12336	7	 * 	267.71	DCR|2VULN|3DUR|2TLV|3LIT|1DMG	13aLIT|23VULN|3aBPWR|48aDUR|5DMG|6DUST|7RCR|9aTLV
101	21748 52134	4	   	267.66	DCR|2VULN|3DMG|2TLV|2DUR	17TLV|2MBVNT|38VULN|479DMG|57DUR|6RCR|7BPWR|aTBNT
102	21141 63742	10	 * 	267.66	DCR|2VULN|3DMG|3TLV|2DUR	157TLV|2MBVNT|39DUR|478DMG|67VULN|7BPWR|aRCR
103	11364 63122	6	   	267.10	DCR|2VULN|3DMG|2DUR|3LIT|1CDMG	137LIT|23VULN|37BPWR|47DUR|57aDMG|6RCR|8DUST|9CDMG
104	21744 52153	5	 * 	267.02	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|389aVULN|47DMG|57FEWX|6RCR|7BPWR
105	21243 62283	6	   	266.92	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|47DMG|5RCVC|678aVULN|7BPWR|9RCR
106	21243 63283	7	   	266.92	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|47DMG|5RCVC|678aVULN|7BPWR|9RCR
107	21243 63523	9	   	266.92	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|47DMG|5RCVC|678aVULN|7BPWR|9RCR
108	21243 63526	10	   	266.92	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|47DMG|5RCVC|678aVULN|7BPWR|9RCR
109	21243 63583	8	   	266.92	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|47DMG|5RCVC|678aVULN|7BPWR|9RCR
110	34234 12152	5	 * 	266.78	DCR|4VULN|2DMG|3TLV|1NUKE|1SELL	1NUKE|27DMG|3678VULN|4RMIN|567TLV|67BPWR|9SELL|aRCR
111	11364 12335	7	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13LIT|23aVULN|3BPWR|48DUR|5DMG|6DUST|7RCR|9TLV
112	11321 25633	3	 * 	265.69	DCR|5VULN|2DMG|2LIT|1SELL	13LIT|23679VULN|3BPWR|4SELL|5aDMG|8RCR
113	23226 33166	8	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|3567VULN|4aDUR|8DMSP|9RCR
114	21748 52141	4	   	265.66	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	17TLV|2MBVNT|38VULN|47DMG|57DUR|6RCR|7BPWR|9LEGI|aCDMG
115	23226 33561	7	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|3567VULN|48DUR|9RCR|aDUST
116	23226 33562	7	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|3567VULN|48DUR|9RCR|aERES
117	23226 51126	7	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|357aVULN|48DUR|6ERES|9RCR
118	35131 62363	6	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|37aDUR|4ASPD|5TLV|67DMG|7BPWR|8LHND|9RCR
119	35131 63262	10	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|379DUR|4ASPD|5TLV|67DMG|7BPWR|8ZMB|aRCR
120	35131 63363	7	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|37aDUR|4ASPD|5TLV|67DMG|7BPWR|8LHND|9RCR
121	35131 63363	8	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|37aDUR|4ASPD|5TLV|67DMG|7BPWR|8LHND|9RCR
122	35131 62131	6	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aMLV
123	35131 62132	6	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aFEWX
124	35131 62133	6	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aBELT
125	35131 63131	7	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aMLV
126	35131 63132	7	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aFEWX
127	35131 63133	7	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aBELT
128	35131 63631	8	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aMLV
129	35131 63632	8	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aFEWX
130	35131 63633	8	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aBELT
131	53261 22215	10	   	265.54	DCR|5VULN|1TLV|3CDMG	17ERES|257CDMG|3467aVULN|7BPWR|8RCR|9TLV
132	21244 42155	5	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	17TLV|2MBVNT|37DUST|4DMG|5DUR|6789VULN|7BPWR|aRCR
133	21248 42155	4	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	17TLV|2MBVNT|37DUST|4DMG|5DUR|6789VULN|7BPWR|aRCR
134	35131 62135	6	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aERES
135	35131 62263	6	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|37aDUR|4ASPD|5TLV|67DMG|7BPWR|8DUST|9RCR
136	35131 63135	7	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|378DUR|4ASPD|5TLV|67DMG|7BPWR|9RCR|aERES
137	35131 63263	7	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1NUKE|27VULN|37aDUR|4ASPD|5TLV|67DMG|7BPWR|8DUST|9RCR
138	23226 33563	7	   	265.43	DCR|4VULN|2DUR|1TLV|1CDMG|1SELL	1TLV|2CDMG|3567VULN|48DUR|9RCR|aSELL
139	21743 32744	10	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	1aTLV|2MBVNT|37VULN|4aDMG|5BELT|69aDUR|8RCR|aBPWR
140	23261 22252	10	   	265.13	DCR|4VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aLWND
141	23261 22254	9	   	265.13	DCR|4VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aLWND
142	23261 22256	10	   	265.13	DCR|4VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aRCVC
143	23261 22252	9	   	265.03	DCR|4VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aDUST
144	23261 22253	9	   	265.03	DCR|4VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aTBNT
145	23261 22255	9	   	265.03	DCR|4VULN|3TLV|3CDMG|1AART	17aTLV|257CDMG|3467VULN|7BPWR|8RCR|9AART
146	11335 12625	8	   	264.61	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|23VULN|3BPWR|4AART|5DMG|67DUR|8RCR|9TLV|aCDMG
147	11321 25635	3	   	264.35	DCR|5VULN|1DMG|1DUR|2LIT|1SELL	13LIT|23679VULN|3BPWR|4SELL|5DMG|8RCR|aDUR
148	11363 32246	7	   	264.09	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	13aLIT|23VULN|3aBPWR|4aDUR|5FEWX|6TLV|7RCR|8RMIN|9aDMG
149	11364 62232	9	   	264.09	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	139LIT|23VULN|39BPWR|49DUR|59DMG|6RCR|78RMIN|aTLV
150	11361 12246	7	   	263.99	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	13aLIT|23VULN|3aBPWR|4aDUR|5TLV|6DUST|7RCR|8RMIN|9aDMG
151	11361 12156	7	   	263.89	DCR|2VULN|2DMG|2DUR|1TLV|3LIT	13aLIT|23VULN|3aBPWR|4aDUR|5TLV|69DUST|7RCR|8aDMG
