0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13332 55242	8	 * 	311.28	DCR|4VULN|3DUR|2DMG|3TLV	127aVULN|3RPLT|478DUR|57aTLV|6RCR|7aBPWR|9aDMG
22	13111 13125	10	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aCDMG|47TLV|57MLV|6RCR|7aBPWR|8aDUR
23	13113 13113	7	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1278aVULN|3aCDMG|47TLV|57CGEN|6RCR|7aBPWR|9aDUR
24	13113 13123	9	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aCDMG|47TLV|57CGEN|6RCR|7aBPWR|8aDUR
25	13113 13125	10	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aCDMG|47TLV|57CGEN|6RCR|7aBPWR|8aDUR
26	15111 13113	7	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1278aVULN|27aBPWR|3aCDMG|47TLV|57MLV|6RCR|9aDUR
27	15111 13123	9	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aCDMG|47TLV|57MLV|6RCR|8aDUR
28	15111 13123	8	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aCDMG|47TLV|57MLV|6RCR|8aDUR
29	15111 13125	10	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aCDMG|47TLV|57MLV|6RCR|8aDUR
30	15113 13113	7	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1278aVULN|27aBPWR|3aCDMG|47TLV|57CGEN|6RCR|9aDUR
31	15113 13123	9	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aCDMG|47TLV|57CGEN|6RCR|8aDUR
32	15113 13125	10	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aCDMG|47TLV|57CGEN|6RCR|8aDUR
33	13115 16214	6	 * 	298.29	DCR|4VULN|2DUR|1TLV|3CDMG|1DMG	127aVULN|38aCDMG|4TLV|5DMG|6RCR|9aDUR|aBPWR
34	13141 16214	6	   	298.29	DCR|4VULN|2DUR|1TLV|3CDMG|1DMG	127aVULN|38aCDMG|4DMG|5TLV|6RCR|9aDUR|aBPWR
35	12222 52653	10	 * 	298.04	DCR|3VULN|3DMG|2TLV|2CDMG|2ASPD	17aVULN|27CDMG|38aDMG|4CGEN|57TLV|6RCR|7aBPWR|9aASPD
36	12222 52653	9	   	298.04	DCR|3VULN|3DMG|2TLV|2CDMG|2ASPD	17aVULN|27CDMG|38aDMG|4CGEN|57TLV|6RCR|7aBPWR|9aASPD
37	13132 16624	6	 * 	297.35	DCR|5VULN|2DMG|1TLV|2CDMG	1257aVULN|3aCDMG|4LHND|6RCR|8TLV|9aDMG|aBPWR
38	15521 13134	7	 * 	293.98	DCR|5VULN|3TLV|3CDMG|1DMG	12789VULN|279BPWR|3MLV|479CDMG|579TLV|6RCR|aDMG
39	13161 12124	6	   	293.72	DCR|4VULN|3DUR|1TLV|2CDMG	129aVULN|3aCDMG|4ASPD|5TLV|6RCR|78aDUR|aBPWR
40	15161 12124	6	   	293.72	DCR|4VULN|3DUR|1TLV|2CDMG	129aVULN|2aBPWR|3aCDMG|4ASPD|5TLV|6RCR|78aDUR
41	13111 13133	9	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|3aCDMG|47TLV|57MLV|6RCR|7aBPWR|89aDUR
42	13111 13135	10	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|3aCDMG|47TLV|57MLV|6RCR|7aBPWR|89aDUR
43	13113 13133	9	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|3aCDMG|47TLV|57CGEN|6RCR|7aBPWR|89aDUR
44	13113 13133	8	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|3aCDMG|47TLV|57CGEN|6RCR|7aBPWR|89aDUR
45	13113 13135	10	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|3aCDMG|47TLV|57CGEN|6RCR|7aBPWR|89aDUR
46	13521 13133	9	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|3aMLV|47CDMG|57TLV|6RCR|7aBPWR|89aDUR
47	13521 13135	10	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|3aMLV|47CDMG|57TLV|6RCR|7aBPWR|89aDUR
48	15111 13133	9	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|27aBPWR|3aCDMG|47TLV|57MLV|6RCR|89aDUR
49	15111 13135	10	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|27aBPWR|3aCDMG|47TLV|57MLV|6RCR|89aDUR
50	15113 13133	8	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|27aBPWR|3aCDMG|47TLV|57CGEN|6RCR|89aDUR
51	15113 13133	9	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|27aBPWR|3aCDMG|47TLV|57CGEN|6RCR|89aDUR
52	15113 13135	10	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|27aBPWR|3aCDMG|47TLV|57CGEN|6RCR|89aDUR
53	15521 13133	9	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|27aBPWR|3aMLV|47CDMG|57TLV|6RCR|89aDUR
54	15521 13135	10	   	293.69	DCR|4VULN|3DUR|2TLV|2CDMG	127aVULN|27aBPWR|3aMLV|47CDMG|57TLV|6RCR|89aDUR
55	13115 12432	9	   	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	128aVULN|3aCDMG|4TLV|5DMG|6RCR|7RPLT|9aDUR|aBPWR
56	13115 14114	6	   	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	128aVULN|3aCDMG|4TLV|5DMG|6RCR|7RCVC|9aDUR|aBPWR
57	13141 12432	9	   	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	128aVULN|3aCDMG|4DMG|5TLV|6RCR|7RPLT|9aDUR|aBPWR
58	13141 14114	6	   	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	128aVULN|3aCDMG|4DMG|5TLV|6RCR|7RCVC|9aDUR|aBPWR
59	15115 12432	9	   	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	128aVULN|2aBPWR|3aCDMG|4TLV|5DMG|6RCR|7RPLT|9aDUR
60	15141 12432	9	   	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	128aVULN|2aBPWR|3aCDMG|4DMG|5TLV|6RCR|7RPLT|9aDUR
61	12343 52126	10	 * 	291.66	DCR|3VULN|3DMG|3DUR|2CDMG	18aVULN|28CDMG|39aDUR|4aBEXP|578DMG|6RCR|8aBPWR
62	13111 16113	6	   	290.53	DCR|5VULN|2DUR|1TLV|2CDMG	1278aVULN|3aCDMG|4TLV|5MLV|6RCR|9aDUR|aBPWR
63	13113 16113	6	   	290.53	DCR|5VULN|2DUR|1TLV|2CDMG	1278aVULN|3aCDMG|4TLV|5CGEN|6RCR|9aDUR|aBPWR
64	15111 16113	6	   	290.53	DCR|5VULN|2DUR|1TLV|2CDMG	1278aVULN|2aBPWR|3aCDMG|4TLV|5MLV|6RCR|9aDUR
65	15113 16113	6	   	290.53	DCR|5VULN|2DUR|1TLV|2CDMG	1278aVULN|2aBPWR|3aCDMG|4TLV|5CGEN|6RCR|9aDUR
66	12415 12124	6	 * 	290.47	DCR|3VULN|3DUR|1TLV|3CDMG|1DMG	19aVULN|23aCDMG|4TLV|5DMG|6RCR|78aDUR|aBPWR
67	12441 12124	6	   	290.47	DCR|3VULN|3DUR|1TLV|3CDMG|1DMG	19aVULN|23aCDMG|4DMG|5TLV|6RCR|78aDUR|aBPWR
68	12142 52613	9	   	290.19	DCR|3VULN|3DMG|2TLV|2CDMG	17aVULN|27CDMG|3aCGEN|4ASPD|57TLV|6RCR|7aBPWR|89aDMG
69	12142 52613	10	   	290.19	DCR|3VULN|3DMG|2TLV|2CDMG	17aVULN|27CDMG|3aCGEN|4ASPD|57TLV|6RCR|7aBPWR|89aDMG
70	13521 13135	7	   	290.16	DCR|5VULN|3TLV|3CDMG|1DUR	12789VULN|3MLV|479CDMG|579TLV|6RCR|79BPWR|aDUR
71	15521 13135	7	   	290.16	DCR|5VULN|3TLV|3CDMG|1DUR	12789VULN|279BPWR|3MLV|479CDMG|579TLV|6RCR|aDUR
72	13161 15122	9	   	290.15	DCR|4VULN|2DUR|1TLV|2CDMG	129aVULN|3aCDMG|4ASPD|5TLV|6RCR|7AART|8aDUR|aBPWR
73	15161 15122	9	   	290.15	DCR|4VULN|2DUR|1TLV|2CDMG	129aVULN|2aBPWR|3aCDMG|4ASPD|5TLV|6RCR|7AART|8aDUR
74	13332 55252	8	   	289.78	DCR|4VULN|3DUR|3TLV|2ASPD	127aVULN|3RPLT|478DUR|57aTLV|6RCR|7aBPWR|9aASPD
75	13111 14323	7	   	289.08	DCR|4VULN|2DMG|2TLV|1CDMG	129aVULN|3CDMG|4aTLV|5MLV|6RCR|7ASPD|8aDMG|aBPWR
76	13111 14623	8	   	289.08	DCR|4VULN|2DMG|2TLV|1CDMG	129aVULN|3CDMG|4aTLV|5MLV|6RCR|7ASPD|8aDMG|aBPWR
77	15111 14323	7	   	289.08	DCR|4VULN|2DMG|2TLV|1CDMG	129aVULN|2aBPWR|3CDMG|4aTLV|5MLV|6RCR|7ASPD|8aDMG
78	15111 14623	8	   	289.08	DCR|4VULN|2DMG|2TLV|1CDMG	129aVULN|2aBPWR|3CDMG|4aTLV|5MLV|6RCR|7ASPD|8aDMG
79	13115 45133	10	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1267VULN|3CDMG|4TLV|56DMG|6BPWR|8CGEN|9DUR|aRCR
80	13161 11324	7	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	129aVULN|3CDMG|4aASPD|5TLV|6RCR|7ZMB|8aDMG|aBPWR
81	13161 11624	8	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	129aVULN|3CDMG|4aASPD|5TLV|6RCR|7ZMB|8aDMG|aBPWR
82	13161 13323	7	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	129aVULN|3CDMG|4aASPD|5TLV|6RCR|7MLV|8aDMG|aBPWR
83	13161 13623	8	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	129aVULN|3CDMG|4aASPD|5TLV|6RCR|7MLV|8aDMG|aBPWR
84	13532 11253	10	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	126aVULN|3MLV|4aDMG|5TLV|7RCR|8CDMG|9aASPD|aBPWR
85	13532 11253	9	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	126aVULN|3MLV|4aDMG|5TLV|7RCR|8CDMG|9aASPD|aBPWR
86	15161 11324	7	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	129aVULN|2aBPWR|3CDMG|4aASPD|5TLV|6RCR|7ZMB|8aDMG
87	15161 13323	7	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	129aVULN|2aBPWR|3CDMG|4aASPD|5TLV|6RCR|7MLV|8aDMG
88	15161 13623	8	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	129aVULN|2aBPWR|3CDMG|4aASPD|5TLV|6RCR|7MLV|8aDMG
89	15532 11253	10	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	126aVULN|2aBPWR|3MLV|4aDMG|5TLV|7RCR|8CDMG|9aASPD
90	15532 11253	9	   	288.84	DCR|4VULN|2DMG|1TLV|2ASPD|1CDMG	126aVULN|2aBPWR|3MLV|4aDMG|5TLV|7RCR|8CDMG|9aASPD
91	12331 42313	10	   	288.79	DCR|3VULN|2DMG|2DUR|1TLV|2CDMG	178VULN|29CDMG|37DUR|4MLV|5TLV|67DMG|7BPWR|aRCR
92	13115 16141	6	   	288.74	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1278VULN|3CDMG|4TLV|59DMG|6RCR|aDUR
93	13141 16141	6	   	288.74	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1278VULN|3CDMG|49DMG|5TLV|6RCR|aDUR
94	12263 31313	3	   	288.69	DCR|3VULN|2DMG|2DUR|1TLV|2CDMG	189VULN|27CDMG|38DMG|4BBNT|58DUR|6RCR|8BPWR|aTLV
95	13161 12424	6	   	288.57	DCR|4VULN|2TLV|2DUR|2CDMG	129aVULN|3aCDMG|4ASPD|58TLV|6RCR|7aDUR|aBPWR
96	13161 14114	7	   	288.34	DCR|4VULN|2DUR|1TLV|2CDMG|2ASPD	128aVULN|3aCDMG|47ASPD|5TLV|6RCR|9aDUR|aBPWR
97	13161 14124	8	   	288.34	DCR|4VULN|2DUR|1TLV|2CDMG|2ASPD	129aVULN|3aCDMG|47ASPD|5TLV|6RCR|8aDUR|aBPWR
98	13161 14124	9	   	288.34	DCR|4VULN|2DUR|1TLV|2CDMG|2ASPD	129aVULN|3aCDMG|47ASPD|5TLV|6RCR|8aDUR|aBPWR
99	12415 16212	6	 * 	287.73	DCR|3VULN|3DMG|2TLV|3CDMG	17aVULN|238CDMG|4aTLV|59aDMG|6RCR|aBPWR
100	12441 16212	6	   	287.73	DCR|3VULN|3DMG|2TLV|3CDMG	17aVULN|238CDMG|49aDMG|5aTLV|6RCR|aBPWR
101	13521 14323	7	   	287.31	DCR|4VULN|2DMG|1TLV|2CDMG	129aVULN|3MLV|4aCDMG|5TLV|6RCR|7ASPD|8aDMG|aBPWR
102	13521 14623	8	   	287.31	DCR|4VULN|2DMG|1TLV|2CDMG	129aVULN|3MLV|4aCDMG|5TLV|6RCR|7ASPD|8aDMG|aBPWR
103	15521 14323	7	   	287.31	DCR|4VULN|2DMG|1TLV|2CDMG	129aVULN|2aBPWR|3MLV|4aCDMG|5TLV|6RCR|7ASPD|8aDMG
104	13161 16324	7	   	287.31	DCR|4VULN|2DMG|1TLV|2CDMG	129aVULN|3aCDMG|4ASPD|5TLV|6RCR|7RMIN|8aDMG|aBPWR
105	12336 12323	8	   	287.18	DCR|4VULN|3DUR|3TLV|1CDMG	1789VULN|2CDMG|379DUR|4MLV|5ERES|679TLV|79BPWR|aRCR
106	13332 55223	7	   	287.18	DCR|4VULN|3DUR|2TLV|1CDMG	127aVULN|3RPLT|479DUR|57TLV|6RCR|7BPWR|8CDMG
107	15332 55223	7	   	287.18	DCR|4VULN|3DUR|2TLV|1CDMG	127aVULN|27BPWR|3RPLT|479DUR|57TLV|6RCR|8CDMG
108	13161 16214	6	   	286.53	DCR|4VULN|2DUR|1TLV|3CDMG	127aVULN|38aCDMG|4ASPD|5TLV|6RCR|9aDUR|aBPWR
109	12411 13113	7	 * 	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	178aVULN|23aCDMG|47TLV|57MLV|6RCR|7aBPWR|9aDUR
110	12411 13123	9	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	179aVULN|23aCDMG|47TLV|57MLV|6RCR|7aBPWR|8aDUR
111	12411 13123	8	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	179aVULN|23aCDMG|47TLV|57MLV|6RCR|7aBPWR|8aDUR
112	12411 13125	10	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	179aVULN|23aCDMG|47TLV|57MLV|6RCR|7aBPWR|8aDUR
113	12413 13113	7	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	178aVULN|23aCDMG|47TLV|57CGEN|6RCR|7aBPWR|9aDUR
114	12413 13123	9	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	179aVULN|23aCDMG|47TLV|57CGEN|6RCR|7aBPWR|8aDUR
115	12413 13125	10	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	179aVULN|23aCDMG|47TLV|57CGEN|6RCR|7aBPWR|8aDUR
116	13111 13153	8	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	127aVULN|39aCDMG|47TLV|57MLV|6RCR|7aBPWR|8aDUR
117	13111 13213	7	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	127aVULN|38aCDMG|47TLV|57MLV|6RCR|7aBPWR|9aDUR
118	13113 13153	8	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	127aVULN|39aCDMG|47TLV|57CGEN|6RCR|7aBPWR|8aDUR
119	13113 13213	7	   	286.51	DCR|4VULN|2TLV|2DUR|3CDMG	127aVULN|38aCDMG|47TLV|57CGEN|6RCR|7aBPWR|9aDUR
120	13521 13116	10	   	285.75	DCR|4VULN|2TLV|1DMG|2CDMG|1DUR	127aVULN|3MLV|47CDMG|57TLV|6RCR|7BPWR|8DUR|9DMG
121	13521 13126	10	   	285.75	DCR|4VULN|2TLV|1DMG|2CDMG|1DUR	1279VULN|3MLV|47CDMG|57TLV|6RCR|7BPWR|8DUR|aDMG
122	15521 13116	10	   	285.75	DCR|4VULN|2TLV|1DMG|2CDMG|1DUR	127aVULN|27BPWR|3MLV|47CDMG|57TLV|6RCR|8DUR|9DMG
123	15521 13126	10	   	285.75	DCR|4VULN|2TLV|1DMG|2CDMG|1DUR	1279VULN|27BPWR|3MLV|47CDMG|57TLV|6RCR|8DUR|aDMG
124	13532 11636	9	 * 	285.46	DCR|5VULN|2DMG|2TLV	1268aVULN|3MLV|4aDMG|5aTLV|7RCR|9DMSP|aBPWR
125	13111 12123	6	   	285.41	DCR|4VULN|3DUR|1TLV|2CDMG	129aVULN|3aCDMG|4TLV|5MLV|6RCR|78aDUR|aBPWR
126	15111 12123	6	   	285.41	DCR|4VULN|3DUR|1TLV|2CDMG	129aVULN|2aBPWR|3aCDMG|4TLV|5MLV|6RCR|78aDUR
127	13131 16624	6	 * 	285.14	DCR|4VULN|2DMG|1TLV|3CDMG	127aVULN|35aCDMG|45LHND|5aBPWR|6RCR|8TLV|9aDMG
128	12226 16114	6	   	284.49	DCR|5VULN|2DUR|1DMG|2CDMG	1578aVULN|2aCDMG|3DMG|45CGEN|5aBPWR|6RCR|9aDUR
129	14115 12124	6	   	284.43	DCR|3VULN|3DUR|1TLV|1DMG|2CDMG	19aVULN|2RCVC|3aCDMG|4TLV|5DMG|6RCR|78aDUR|aBPWR
130	14141 12124	6	   	284.43	DCR|3VULN|3DUR|1TLV|1DMG|2CDMG	19aVULN|2RCVC|3aCDMG|4DMG|5TLV|6RCR|78aDUR|aBPWR
131	13143 16114	6	   	284.39	DCR|5VULN|2DUR|1DMG|2CDMG	1278aVULN|3aCDMG|4DMG|5CGEN|6RCR|9aDUR|aBPWR
132	13125 16114	6	   	284.29	DCR|5VULN|2DUR|1DMG|2CDMG	1278aVULN|3aCDMG|4ERES|5DMG|6RCR|9aDUR|aBPWR
133	13521 16113	6	   	284.22	DCR|5VULN|2DUR|1TLV|1CDMG	1278aVULN|3aMLV|4CDMG|5TLV|6RCR|9aDUR|aBPWR
134	15521 16113	6	   	284.22	DCR|5VULN|2DUR|1TLV|1CDMG	1278aVULN|2aBPWR|3aMLV|4CDMG|5TLV|6RCR|9aDUR
135	13521 13123	10	   	284.02	DCR|5VULN|2TLV|2CDMG|1DUR	1279aVULN|3MLV|47CDMG|57TLV|6RCR|7BPWR|8DUR
136	15521 13123	10	   	284.02	DCR|5VULN|2TLV|2CDMG|1DUR	1279aVULN|27BPWR|3MLV|47CDMG|57TLV|6RCR|8DUR
137	13521 16131	6	   	284.02	DCR|5VULN|2TLV|2CDMG|1DUR	12789VULN|3MLV|49CDMG|59TLV|6RCR|9BPWR|aDUR
138	15521 16131	6	   	284.02	DCR|5VULN|2TLV|2CDMG|1DUR	12789VULN|29BPWR|3MLV|49CDMG|59TLV|6RCR|aDUR
139	13111 14613	9	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|3CDMG|4aTLV|5MLV|6RCR|7ASPD|89aDMG|aBPWR
140	13111 14613	10	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|3CDMG|4aTLV|5MLV|6RCR|7ASPD|89aDMG|aBPWR
141	13113 14613	10	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|3CDMG|4aTLV|5CGEN|6RCR|7ASPD|89aDMG|aBPWR
142	13113 14613	9	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|3CDMG|4aTLV|5CGEN|6RCR|7ASPD|89aDMG|aBPWR
143	15111 14613	9	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|2aBPWR|3CDMG|4aTLV|5MLV|6RCR|7ASPD|89aDMG
144	15111 14613	10	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|2aBPWR|3CDMG|4aTLV|5MLV|6RCR|7ASPD|89aDMG
145	15113 14613	9	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|2aBPWR|3CDMG|4aTLV|5CGEN|6RCR|7ASPD|89aDMG
146	15113 14613	10	   	283.68	DCR|3VULN|3DMG|2TLV|1CDMG	12aVULN|2aBPWR|3CDMG|4aTLV|5CGEN|6RCR|7ASPD|89aDMG
147	12223 16114	6	   	283.63	DCR|4VULN|2DMG|2DUR|2CDMG	178aVULN|2aCDMG|35DMG|4CGEN|6RCR|9aDUR|aBPWR
148	12263 16114	6	   	283.63	DCR|4VULN|2DMG|2DUR|2CDMG	178aVULN|2aCDMG|35DMG|4MLV|6RCR|9aDUR|aBPWR
149	13521 13131	7	   	283.58	DCR|5VULN|3TLV|3CDMG	12789VULN|3MLV|479CDMG|579TLV|6RCR|79BPWR|aAART
150	13115 42112	10	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	126VULN|3CDMG|4TLV|569DMG|6BPWR|7LWND|8DUR|aRCR
151	13115 46112	10	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	126VULN|3CDMG|4TLV|569DMG|6BPWR|7BEXP|8DUR|aRCR
152	13141 13653	9	   	283.44	DCR|3VULN|3DMG|1TLV|2ASPD|1CDMG	12aVULN|3CDMG|48aDMG|5TLV|6RCR|7MLV|9aASPD|aBPWR
153	13141 13653	10	   	283.44	DCR|3VULN|3DMG|1TLV|2ASPD|1CDMG	12aVULN|3CDMG|48aDMG|5TLV|6RCR|7MLV|9aASPD|aBPWR
154	13161 11614	9	   	283.44	DCR|3VULN|3DMG|1TLV|2ASPD|1CDMG	12aVULN|3CDMG|4aASPD|5TLV|6RCR|7ZMB|89aDMG|aBPWR
155	13161 13613	10	   	283.44	DCR|3VULN|3DMG|1TLV|2ASPD|1CDMG	12aVULN|3CDMG|4aASPD|5TLV|6RCR|7MLV|89aDMG|aBPWR
156	13161 13613	9	   	283.44	DCR|3VULN|3DMG|1TLV|2ASPD|1CDMG	12aVULN|3CDMG|4aASPD|5TLV|6RCR|7MLV|89aDMG|aBPWR
157	15115 42112	10	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	126VULN|26BPWR|3CDMG|4TLV|569DMG|7LWND|8DUR|aRCR
158	15161 13613	10	   	283.44	DCR|3VULN|3DMG|1TLV|2ASPD|1CDMG	12aVULN|2aBPWR|3CDMG|4aASPD|5TLV|6RCR|7MLV|89aDMG
159	15161 13613	9	   	283.44	DCR|3VULN|3DMG|1TLV|2ASPD|1CDMG	12aVULN|2aBPWR|3CDMG|4aASPD|5TLV|6RCR|7MLV|89aDMG
160	13332 52232	9	   	283.13	DCR|4VULN|2DMG|2TLV|1DUR|1SELL	129aVULN|3RPLT|4DUR|5aTLV|6RCR|7aDMG|8SELL|aBPWR
161	15332 52232	9	   	283.13	DCR|4VULN|2DMG|2TLV|1DUR|1SELL	129aVULN|2aBPWR|3RPLT|4DUR|5aTLV|6RCR|7aDMG|8SELL
162	13361 42331	7	 * 	282.87	DCR|4VULN|3DMG|3TLV	1279VULN|3RPLT|49CGEN|579TLV|678DMG|79BPWR|aRCR
