0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15211 33134	6	 * 	302.53	DCR|3VULN|3DMG|3DUR|2TLV	147DUR|2DMSP|349DMG|47BPWR|57TLV|678VULN|aRCR
26	61113 42315	2	   	286.48	DCR|5VULN|2DUR|1DMG	13689VULN|2LIT|48FEWX|58DUR|7RCR|8BPWR|aDMG
27	61113 42315	3	   	286.48	DCR|5VULN|2DUR|1DMG	13689VULN|2LIT|48FEWX|58DUR|7RCR|8BPWR|aDMG
28	61133 42315	3	   	286.48	DCR|5VULN|2DUR|1DMG	13689VULN|2LIT|48BEXP|58DUR|7RCR|8BPWR|aDMG
29	61133 42315	2	   	286.48	DCR|5VULN|2DUR|1DMG	13689VULN|2LIT|48BEXP|58DUR|7RCR|8BPWR|aDMG
30	11142 22315	4	   	286.28	DCR|5VULN|2DUR|1DMG	18DUR|2LIT|34589VULN|68DUST|7RCR|8BPWR|aDMG
31	11145 21243	6	   	286.28	DCR|5VULN|2DUR|1DMG	17DUR|2LIT|34578VULN|67ERES|7BPWR|9DMG|aRCR
32	11145 22315	5	   	286.28	DCR|5VULN|2DUR|1DMG	18DUR|2LIT|34589VULN|68DUST|7RCR|8BPWR|aDMG
33	31143 42315	4	   	286.28	DCR|5VULN|2DUR|1DMG	18DUST|2LIT|34689VULN|58DUR|7RCR|8BPWR|aDMG
34	61135 31243	6	   	286.28	DCR|5VULN|2DUR|1DMG	13578VULN|2LIT|47ERES|67DUR|7BPWR|9DMG|aRCR
35	66213 53333	2	   	284.78	DCR|3VULN|3DUR|2DMG	148VULN|2RMIN|3LIT|58DMG|6RCR|789DUR|8BPWR|aAART
36	66153 22311	4	   	284.50	DCR|4VULN|2DUR|2TLV|2LIT|1ASPD	1489VULN|2RMIN|34DUR|48BPWR|58TLV|68LIT|7RCR|aASPD
37	66213 53313	2	   	284.43	DCR|4VULN|2DMG|2DUR	1489VULN|2RMIN|3LIT|58DMG|6RCR|78DUR|8BPWR|aERES
38	15211 32234	10	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	14DUR|2DMSP|34DMG|4BPWR|5TLV|689VULN|7RCR|aCDMG
39	15342 25221	9	   	283.21	DCR|3VULN|2DMG|2DUR|2TLV	1aDUR|2DMSP|3AART|45DMG|6aTLV|79aVULN|8RCR|aBPWR
40	11623 45232	6	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178DUR|278LIT|3CGEN|4CDMG|578VULN|6RCR|78BPWR|9DMG|aRPLT
41	11623 45233	6	   	282.84	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178DUR|278LIT|3CGEN|4CDMG|578VULN|6RCR|78BPWR|9DMG|aDUST
42	11141 42311	4	   	282.67	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34689VULN|58BEXP|7RCR|8BPWR|aTLV
43	11142 12311	4	   	282.67	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34589VULN|68LHND|7RCR|8BPWR|aTLV
44	11142 32311	4	   	282.67	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34589VULN|68FEWX|7RCR|8BPWR|aTLV
45	11145 12311	5	   	282.67	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34589VULN|68LHND|7RCR|8BPWR|aTLV
46	11145 32311	5	   	282.67	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34589VULN|68FEWX|7RCR|8BPWR|aTLV
47	11146 42311	4	   	282.67	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34689VULN|58LHND|7RCR|8BPWR|aTLV
48	21143 42311	4	   	282.67	DCR|5VULN|2DUR|1TLV	18FEWX|2LIT|34689VULN|58DUR|7RCR|8BPWR|aTLV
49	41143 42311	4	   	282.67	DCR|5VULN|2DUR|1TLV	18LHND|2LIT|34689VULN|58DUR|7RCR|8BPWR|aTLV
50	61113 42311	2	   	282.67	DCR|5VULN|2DUR|1TLV	13689VULN|2LIT|48FEWX|58DUR|7RCR|8BPWR|aTLV
51	61113 42311	3	   	282.67	DCR|5VULN|2DUR|1TLV	13689VULN|2LIT|48FEWX|58DUR|7RCR|8BPWR|aTLV
52	61133 42311	3	   	282.67	DCR|5VULN|2DUR|1TLV	13689VULN|2LIT|48BEXP|58DUR|7RCR|8BPWR|aTLV
53	61133 42311	2	   	282.67	DCR|5VULN|2DUR|1TLV	13689VULN|2LIT|48BEXP|58DUR|7RCR|8BPWR|aTLV
54	61153 42311	2	   	282.67	DCR|5VULN|2DUR|1TLV	13689VULN|2LIT|48LHND|58DUR|7RCR|8BPWR|aTLV
55	61153 42311	3	   	282.67	DCR|5VULN|2DUR|1TLV	13689VULN|2LIT|48LHND|58DUR|7RCR|8BPWR|aTLV
56	15213 33134	6	   	282.56	DCR|3VULN|3DMG|3DUR	147DUR|2DMSP|349DMG|47BPWR|57MLV|678VULN|aRCR
57	11142 22311	4	   	282.47	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34589VULN|68DUST|7RCR|8BPWR|aTLV
58	11145 22311	5	   	282.47	DCR|5VULN|2DUR|1TLV	18DUR|2LIT|34589VULN|68DUST|7RCR|8BPWR|aTLV
59	31143 42311	4	   	282.47	DCR|5VULN|2DUR|1TLV	18DUST|2LIT|34689VULN|58DUR|7RCR|8BPWR|aTLV
60	66213 52331	2	 * 	281.11	DCR|4VULN|3DMG|3LIT	1489VULN|27RMIN|389LIT|589DMG|6RCR|89BPWR|aRCVC
61	66213 52333	2	   	281.11	DCR|4VULN|3DMG|3LIT	1489VULN|27RMIN|389LIT|589DMG|6RCR|89BPWR|aCGEN
62	66213 52332	2	   	281.01	DCR|4VULN|3DMG|3LIT	1489VULN|27RMIN|389LIT|589DMG|6RCR|89BPWR|aERES
63	33654 32232	9	   	280.79	DCR|5VULN|2ASPD|1TLV|1DUR	1DUST|24ASPD|34589VULN|4BPWR|6TLV|7RCR|aDUR
64	33654 32232	10	   	280.79	DCR|5VULN|2ASPD|1TLV|1DUR	1DUST|24ASPD|34589VULN|4BPWR|6TLV|7RCR|aDUR
65	11121 42345	4	   	280.17	DCR|4VULN|3DUR|1DMG	148DUR|2LIT|3689VULN|58BEXP|7RCR|8BPWR|aDMG
66	11122 12345	4	   	280.17	DCR|4VULN|3DUR|1DMG	148DUR|2LIT|3589VULN|68LHND|7RCR|8BPWR|aDMG
67	11122 32345	4	   	280.17	DCR|4VULN|3DUR|1DMG	148DUR|2LIT|3589VULN|68FEWX|7RCR|8BPWR|aDMG
68	11125 12345	5	   	280.17	DCR|4VULN|3DUR|1DMG	148DUR|2LIT|3589VULN|68LHND|7RCR|8BPWR|aDMG
69	11125 32345	5	   	280.17	DCR|4VULN|3DUR|1DMG	148DUR|2LIT|3589VULN|68FEWX|7RCR|8BPWR|aDMG
70	11142 12335	4	   	280.17	DCR|4VULN|3DUR|1DMG	189DUR|2LIT|3458VULN|68LHND|7RCR|8BPWR|aDMG
71	11142 32335	4	   	280.17	DCR|4VULN|3DUR|1DMG	189DUR|2LIT|3458VULN|68FEWX|7RCR|8BPWR|aDMG
72	11143 12345	4	   	280.17	DCR|4VULN|3DUR|1DMG	158DUR|2LIT|3489VULN|68LHND|7RCR|8BPWR|aDMG
73	11143 32345	4	   	280.17	DCR|4VULN|3DUR|1DMG	158DUR|2LIT|3489VULN|68FEWX|7RCR|8BPWR|aDMG
74	11145 12335	5	   	280.17	DCR|4VULN|3DUR|1DMG	189DUR|2LIT|3458VULN|68LHND|7RCR|8BPWR|aDMG
75	11145 32335	5	   	280.17	DCR|4VULN|3DUR|1DMG	189DUR|2LIT|3458VULN|68FEWX|7RCR|8BPWR|aDMG
76	11212 42345	3	   	280.17	DCR|4VULN|3DUR|1DMG	138DUR|2LIT|48FEWX|5689VULN|7RCR|8BPWR|aDMG
77	11135 12365	6	   	280.17	DCR|4VULN|3DUR|3TLV	18aDUR|2LIT|358aVULN|48aTLV|6RMIN|7RCR|8aBPWR|9RPLT
78	11141 42335	4	   	280.17	DCR|4VULN|3DUR|1DMG	189DUR|2LIT|3468VULN|58BEXP|7RCR|8BPWR|aDMG
79	21143 42335	4	   	280.17	DCR|4VULN|3DUR|1DMG	18FEWX|2LIT|3468VULN|589DUR|7RCR|8BPWR|aDMG
80	61113 42335	3	   	280.17	DCR|4VULN|3DUR|1DMG	1368VULN|2LIT|48FEWX|589DUR|7RCR|8BPWR|aDMG
81	61113 42335	2	   	280.17	DCR|4VULN|3DUR|1DMG	1368VULN|2LIT|48FEWX|589DUR|7RCR|8BPWR|aDMG
82	61133 42335	2	   	280.17	DCR|4VULN|3DUR|1DMG	1368VULN|2LIT|48BEXP|589DUR|7RCR|8BPWR|aDMG
83	61133 42335	3	   	280.17	DCR|4VULN|3DUR|1DMG	1368VULN|2LIT|48BEXP|589DUR|7RCR|8BPWR|aDMG
84	11122 22345	4	   	279.97	DCR|4VULN|3DUR|1DMG	148DUR|2LIT|3589VULN|68DUST|7RCR|8BPWR|aDMG
85	11125 22345	5	   	279.97	DCR|4VULN|3DUR|1DMG	148DUR|2LIT|3589VULN|68DUST|7RCR|8BPWR|aDMG
86	11142 22335	4	   	279.97	DCR|4VULN|3DUR|1DMG	189DUR|2LIT|3458VULN|68DUST|7RCR|8BPWR|aDMG
87	11143 22345	4	   	279.97	DCR|4VULN|3DUR|1DMG	158DUR|2LIT|3489VULN|68DUST|7RCR|8BPWR|aDMG
88	11145 22335	5	   	279.97	DCR|4VULN|3DUR|1DMG	189DUR|2LIT|3458VULN|68DUST|7RCR|8BPWR|aDMG
89	31143 42335	4	   	279.97	DCR|4VULN|3DUR|1DMG	18DUST|2LIT|3468VULN|589DUR|7RCR|8BPWR|aDMG
90	11145 21432	6	 * 	279.45	DCR|5VULN|3DUR|1NUKE	179DUR|2LIT|34579VULN|679ERES|79BPWR|8NUKE|aRCR
91	61135 31432	6	   	279.45	DCR|5VULN|3DUR|1NUKE	13579VULN|2LIT|479ERES|679DUR|79BPWR|8NUKE|aRCR
92	15211 32236	10	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	14DUR|2DMSP|34DMG|4BPWR|5TLV|689VULN|7RCR|aAART
93	15211 36221	10	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	14DUR|2DMSP|34DMG|4BPWR|5TLV|69aVULN|7AART|8RCR
94	15211 36226	9	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	14DUR|2DMSP|34DMG|4BPWR|5TLV|69aVULN|7AART|8RCR
95	66153 22312	4	   	278.50	DCR|4VULN|2DUR|3LIT|2TLV	1489VULN|2RMIN|34DUR|48BPWR|58TLV|68aLIT|7RCR
96	66213 53323	2	   	278.10	DCR|3VULN|2DMG|2DUR|2LIT	148VULN|2RMIN|3aLIT|58DMG|6RCR|78DUR|8BPWR|9AART
97	61125 32333	6	   	278.08	DCR|5VULN|3ASPD|3LIT	13589VULN|289LIT|4MLV|6BEXP|789ASPD|89BPWR|aRCR
98	15211 32231	10	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	14DUR|2DMSP|34DMG|4BPWR|5TLV|689VULN|7RCR|aLIT
99	61135 42333	6	   	277.98	DCR|5VULN|3ASPD|3LIT	13589VULN|289LIT|4ERES|6BEXP|789ASPD|89BPWR|aRCR
100	66114 12221	9	   	277.98	DCR|5VULN|2DUR|2TLV	1459aVULN|2RMIN|3aDUR|6DLOT|7aTLV|8RCR|aBPWR
101	11135 12311	6	   	277.85	DCR|4VULN|2DUR|2TLV|1ASPD	18DUR|2LIT|3589VULN|48TLV|6RMIN|7RCR|8BPWR|aASPD
102	11131 56311	5	 * 	277.77	DCR|3VULN|3ASPD|2DUR|1TLV|2LIT	18DUR|28LIT|379VULN|4TLV|58aASPD|6RCR|8BPWR
103	11361 56311	5	 * 	277.61	DCR|4VULN|3ASPD|2DUR	18DUR|2LIT|3RMIN|4789VULN|58aASPD|6RCR|8BPWR
104	14232 56311	1	   	277.61	DCR|4VULN|3ASPD|2DUR	18DUR|28aASPD|3LIT|4CGEN|5789VULN|6RCR|8BPWR
105	64225 23212	1	 * 	277.48	DCR|3VULN|3DMG|2ASPD	158VULN|28ASPD|3LIT|4AART|6DUST|78aDMG|8BPWR|9RCR
106	65231 42322	8	 * 	277.40	DCR|3VULN|3DMG|3ASPD|1SELL	178VULN|2DMSP|378DMG|478ASPD|5SELL|6RCVC|78BPWR|9RCR|aLIT
107	11143 42324	5	   	276.64	DCR|4VULN|2DUR|2LIT|1CDMG	18DUR|28LIT|3468VULN|5LEGI|7RCR|8BPWR|9AART|aCDMG
108	15216 32221	8	   	276.57	DCR|3VULN|3DUR|2DMG	14aDUR|2DMSP|34DMG|4aBPWR|5aCGEN|68aVULN|7RCR|9AART
109	15216 36221	9	   	276.57	DCR|3VULN|3DUR|2DMG	14aDUR|2DMSP|34DMG|4aBPWR|5aCGEN|69aVULN|7AART|8RCR
110	61113 33261	4	   	276.52	DCR|4VULN|3DUR|2LIT	138aVULN|2aLIT|468LWND|58aDUR|7AART|8aBPWR|9RCR
111	11145 33261	4	   	276.52	DCR|4VULN|3DUR|2LIT	18aDUR|2aLIT|348aVULN|568LWND|7AART|8aBPWR|9RCR
112	62523 63113	1	   	276.46	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	18aVULN|2LHND|38DMG|4DUR|5CGEN|68ASPD|7RCR|8BPWR|9TLV
113	11142 22322	4	   	276.40	DCR|4VULN|2DUR|1DMG	18DUR|2LIT|3458VULN|68DUST|7RCR|8BPWR|9AART|aDMG
114	11145 22322	5	   	276.40	DCR|4VULN|2DUR|1DMG	18DUR|2LIT|3458VULN|68DUST|7RCR|8BPWR|9AART|aDMG
115	31143 42322	4	   	276.40	DCR|4VULN|2DUR|1DMG	18DUST|2LIT|3468VULN|58DUR|7RCR|8BPWR|9AART|aDMG
116	11123 42343	5	   	276.22	DCR|4VULN|3DUR|2LIT	148DUR|28LIT|3689VULN|5LEGI|7RCR|8BPWR|aAART
117	11143 42333	5	   	276.22	DCR|4VULN|3DUR|2LIT	189DUR|28LIT|3468VULN|5LEGI|7RCR|8BPWR|aAART
118	62115 22343	5	   	276.22	DCR|4VULN|3DUR|2LIT	1589VULN|2DUST|348DUR|68LIT|7RCR|8BPWR|aAART
119	11142 22361	4	   	276.16	DCR|4VULN|3DUR|1TLV	18aDUR|2LIT|3458VULN|68DUST|7RCR|8BPWR|9TLV
120	11145 22361	5	   	276.16	DCR|4VULN|3DUR|1TLV	18aDUR|2LIT|3458VULN|68DUST|7RCR|8BPWR|9TLV
121	31143 42361	4	   	276.16	DCR|4VULN|3DUR|1TLV	18DUST|2LIT|3468VULN|58aDUR|7RCR|8BPWR|9TLV
122	15216 32234	9	   	276.12	DCR|4VULN|2DMG|2DUR	14DUR|2DMSP|34DMG|4BPWR|5CGEN|689aVULN|7RCR
123	15211 33534	6	   	275.62	DCR|2VULN|3DMG|3DUR|2TLV	147DUR|2DMSP|349DMG|47BPWR|57TLV|67VULN|8RCVC|aRCR
124	66213 53332	2	   	275.12	DCR|3VULN|3DUR|2DMG	148VULN|2RMIN|3LIT|58DMG|6RCR|789DUR|8BPWR|aMLV
125	66213 53331	2	   	275.02	DCR|3VULN|3DUR|2DMG	148VULN|2RMIN|3LIT|58DMG|6RCR|789DUR|8BPWR|aBBNT
126	65321 24221	8	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18aVULN|2DMSP|38DUR|4aERES|5CGEN|68ASPD|7RCR|8aBPWR|9aDMG
127	64211 53311	1	   	274.64	DCR|4VULN|2DUR|2ASPD|2LIT	1489VULN|2aASPD|38LIT|5RMIN|6RCR|78DUR|8BPWR
128	11131 56335	5	 * 	274.63	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV|2LIT	189DUR|28LIT|37VULN|4TLV|58ASPD|6RCR|8BPWR|aDMG
129	33614 32235	9	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	1DUST|2ASPD|34589VULN|6TLV|7RCR|aDMG
130	61323 26241	6	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	158VULN|28LIT|3CGEN|4CDMG|689DUR|7RCR|8BPWR|aTLV
131	61323 36241	5	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	158VULN|28LIT|3CGEN|4CDMG|689DUR|7RCR|8BPWR|aTLV
132	11142 13333	4	   	273.76	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|3458VULN|68LHND|8BPWR|9CDMG|aRCR
133	11142 33363	4	   	273.76	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|3458VULN|68FEWX|8BPWR|9CDMG|aRCR
134	11145 13333	5	   	273.76	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|3458VULN|68LHND|8BPWR|9CDMG|aRCR
135	11145 33363	5	   	273.76	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|3458VULN|68FEWX|8BPWR|9CDMG|aRCR
136	11125 14333	7	   	273.76	DCR|4VULN|3DUR|1CDMG	148DUR|2LIT|3568VULN|78LHND|8BPWR|9CDMG|aRCR
137	11125 14363	6	   	273.76	DCR|4VULN|3DUR|1CDMG	148DUR|2LIT|3568VULN|78FEWX|8BPWR|9CDMG|aRCR
138	11141 43363	4	   	273.76	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|3468VULN|58BEXP|8BPWR|9CDMG|aRCR
139	11146 43333	4	   	273.76	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|3468VULN|58LHND|8BPWR|9CDMG|aRCR
140	21143 43363	4	   	273.76	DCR|4VULN|3DUR|1CDMG	18FEWX|2LIT|3468VULN|578DUR|8BPWR|9CDMG|aRCR
141	41143 43333	4	   	273.76	DCR|4VULN|3DUR|1CDMG	18LHND|2LIT|3468VULN|578DUR|8BPWR|9CDMG|aRCR
142	61113 43363	3	   	273.76	DCR|4VULN|3DUR|1CDMG	1368VULN|2LIT|48FEWX|578DUR|8BPWR|9CDMG|aRCR
143	61113 43363	2	   	273.76	DCR|4VULN|3DUR|1CDMG	1368VULN|2LIT|48FEWX|578DUR|8BPWR|9CDMG|aRCR
144	61133 43363	2	   	273.76	DCR|4VULN|3DUR|1CDMG	1368VULN|2LIT|48BEXP|578DUR|8BPWR|9CDMG|aRCR
145	61133 43363	3	   	273.76	DCR|4VULN|3DUR|1CDMG	1368VULN|2LIT|48BEXP|578DUR|8BPWR|9CDMG|aRCR
146	61153 43333	2	   	273.76	DCR|4VULN|3DUR|1CDMG	1368VULN|2LIT|48LHND|578DUR|8BPWR|9CDMG|aRCR
147	61153 43333	3	   	273.76	DCR|4VULN|3DUR|1CDMG	1368VULN|2LIT|48LHND|578DUR|8BPWR|9CDMG|aRCR
148	66153 22333	4	   	273.74	DCR|3VULN|3DUR|2TLV|2LIT	148VULN|2RMIN|349DUR|48BPWR|58TLV|68LIT|7RCR|aAART
149	15211 32214	8	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	14DUR|2DMSP|34DMG|4BPWR|59TLV|68aVULN|7RCR
150	11135 12312	6	   	273.39	DCR|4VULN|2DUR|2TLV|2LIT	18DUR|2aLIT|3589VULN|48TLV|6RMIN|7RCR|8BPWR
151	66153 22313	4	   	273.39	DCR|4VULN|2DUR|2TLV|2LIT	1489VULN|2RMIN|34DUR|48BPWR|58TLV|68LIT|7RCR|aERES
152	61115 11233	8	   	273.24	DCR|5VULN|2DMG	13569VULN|2LIT|49LWND|7RMIN|89DMG|9BPWR|aRCR
153	61135 16123	8	   	273.04	DCR|5VULN|2DMG	13589VULN|2LIT|49ERES|6BELT|79DMG|9BPWR|aRCR
154	61112 13353	2	   	272.97	DCR|5VULN|2DUR|2LIT	1358aVULN|28LIT|4FEWX|6LHND|78DUR|8BPWR|9RCR
155	61112 13353	3	   	272.97	DCR|5VULN|2DUR|2LIT	1358aVULN|28LIT|4FEWX|6LHND|78DUR|8BPWR|9RCR
156	61111 43353	2	   	272.97	DCR|5VULN|2DUR|2LIT	1368aVULN|28LIT|4FEWX|5BEXP|78DUR|8BPWR|9RCR
157	61111 43353	3	   	272.97	DCR|5VULN|2DUR|2LIT	1368aVULN|28LIT|4FEWX|5BEXP|78DUR|8BPWR|9RCR
158	11143 42312	5	   	272.87	DCR|5VULN|2DUR|2LIT	18DUR|28LIT|34689VULN|5LEGI|7RCR|8BPWR|aBEXP
159	11143 42313	5	   	272.87	DCR|5VULN|2DUR|2LIT	18DUR|28LIT|34689VULN|5LEGI|7RCR|8BPWR|aLWND
160	11143 42314	5	   	272.87	DCR|5VULN|2DUR|2LIT	18DUR|28LIT|34689VULN|5LEGI|7RCR|8BPWR|aRMIN
161	11143 42316	5	   	272.87	DCR|5VULN|2DUR|2LIT	18DUR|28LIT|34689VULN|5LEGI|7RCR|8BPWR|aLHND
162	11143 42363	5	   	272.87	DCR|5VULN|2DUR|2LIT	18DUR|28LIT|3468aVULN|5LEGI|7RCR|8BPWR|9LHND
163	61112 23353	2	   	272.87	DCR|5VULN|2DUR|2LIT	1358aVULN|28LIT|4FEWX|6DUST|78DUR|8BPWR|9RCR
164	61112 23353	3	   	272.87	DCR|5VULN|2DUR|2LIT	1358aVULN|28LIT|4FEWX|6DUST|78DUR|8BPWR|9RCR
165	11143 42353	5	   	272.77	DCR|5VULN|2DUR|2LIT	18DUR|28LIT|3468aVULN|5LEGI|7RCR|8BPWR|9DUST
