0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52231 33234	10	 * 	283.25	DCR|4VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9CDMG
14	52231 33563	7	 * 	275.56	DCR|4VULN|3DMG|2LIT|1SELL	18LIT|26aDMG|3469VULN|5SELL|6BPWR|7RCR
15	52231 33232	10	 * 	275.20	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9CDMG
16	52231 33232	9	 * 	275.20	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9CDMG
17	52233 33165	8	 * 	273.70	DCR|4VULN|2DMG|2LIT|1CDMG	15LIT|28DMG|349aVULN|6CDMG|7RCR
18	52231 33561	7	   	273.55	DCR|4VULN|2DMG|2LIT|1CDMG|1SELL	18LIT|26DMG|3469VULN|5SELL|6BPWR|7RCR|aCDMG
19	52231 33145	7	 * 	272.79	DCR|5VULN|2DMG|1SELL	1LIT|26DMG|3469aVULN|5SELL|6BPWR|7RCR|8DLOT
20	52231 33353	8	   	271.10	DCR|4VULN|2DMG|2LIT|1ASPD|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89CGEN|aASPD
21	52231 33653	7	   	271.10	DCR|4VULN|2DMG|2LIT|1ASPD|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89MLV|aASPD
22	52231 32213	6	   	269.60	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7FEWX|8DUR|9RCR
23	52231 34213	7	   	269.60	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7LHND|8DUR|9RCR
24	52231 34213	8	   	269.60	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7LHND|8DUR|9RCR
25	62513 21253	5	 * 	269.55	DCR|4VULN|2DUR|2ASPD|1AART	125LWND|3AART|457aVULN|5aBPWR|6aDUR|8aASPD|9RCR
26	52231 32213	7	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7DUST|8DUR|9RCR
27	52231 32213	8	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7DUST|8DUR|9RCR
28	52231 33146	7	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|3469VULN|5SELL|6BPWR|7RCR|8DLOT|aDUR
29	52231 33253	8	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9DUST
30	52231 33253	7	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9DUST
31	52231 33263	9	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9DUST
32	52231 33264	8	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9BBNT
33	52231 33264	7	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9BBNT
34	52231 33363	7	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUST|9DUR
35	52231 33563	8	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUST|9DUR
36	52351 33342	9	 * 	269.30	DCR|2VULN|2DMG|3CDMG|1TLV|1DUR|2LIT	19LIT|24DMG|349CDMG|49BPWR|5DUR|6MLV|79VULN|8RCR|aTLV
37	52231 33166	9	   	269.16	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	19LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|aTLV
38	52231 34131	8	 * 	269.01	DCR|4VULN|3DMG|1SELL	1LIT|268DMG|3469VULN|5SELL|6BPWR|7LHND|aRCR
39	52351 21353	3	 * 	268.57	DCR|3VULN|2DMG|2CDMG|2LIT|1ASPD	19LIT|29DMG|36CDMG|4CGEN|589VULN|7RCR|9BPWR|aASPD
40	52231 24341	10	 * 	268.09	DCR|3VULN|2DMG|2DUR|2LIT|1NUKE|1SELL	19LIT|2aDMG|349VULN|5SELL|6NUKE|79DUR|8RCR|9BPWR
41	41133 33155	8	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	19CGEN|249VULN|35LIT|6CDMG|7RCR|89DMG|9BPWR|aDUR
42	52231 33112	10	   	267.03	DCR|3VULN|3DMG|1ASPD|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aASPD
43	52351 11353	3	   	266.91	DCR|3VULN|3DMG|2LIT|1CDMG	19LIT|269DMG|3CDMG|4CGEN|589VULN|7RCR|9BPWR|aMLV
44	52231 33435	10	   	266.90	DCR|4VULN|2DMG|1CDMG|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8MBVNT|9CDMG
45	52231 33534	10	   	266.90	DCR|4VULN|2DMG|1CDMG|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUST|9CDMG
46	41135 43331	5	 * 	266.84	DCR|4VULN|2DUR|2CDMG	19CGEN|2479VULN|3LIT|5aDUR|6RCR|89CDMG|9BPWR
47	52351 11351	3	   	266.81	DCR|3VULN|3DMG|2LIT|1CDMG	19LIT|269DMG|3CDMG|4CGEN|589VULN|7RCR|9BPWR|aERES
48	52233 33153	8	   	266.71	DCR|3VULN|3DMG|2LIT|1CDMG	15LIT|289DMG|34aVULN|6CDMG|7RCR
49	31235 43243	5	 * 	266.66	DCR|4VULN|3DUR|2LIT	1RMIN|2aLIT|347aVULN|58aDUR|6RCR|9RCVC|aBPWR
50	52233 33234	10	 * 	266.50	DCR|2VULN|2DMG|2DUR|3LIT|2CDMG	15aLIT|2aDMG|34VULN|69CDMG|7RCR|8aDUR|aBPWR
51	52232 13313	6	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMG|347aVULN|5LWND|6DUR|8CDMG|9RCR
52	52232 43313	6	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMG|346aVULN|5LWND|7DUR|8CDMG|9RCR
53	52235 13313	5	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMG|347aVULN|5DUR|6LHND|8CDMG|9RCR
54	52235 21313	5	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMG|346aVULN|5DUR|7LHND|8CDMG|9RCR
55	52235 23313	6	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMG|347aVULN|5DUR|6LWND|8CDMG|9RCR
56	52235 33313	5	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMG|347aVULN|5DUR|6LWND|8CDMG|9RCR
57	52235 41313	6	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMG|346aVULN|5DUR|7LHND|8CDMG|9RCR
58	53315 63313	5	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|257aVULN|3LWND|4DUR|6DMG|8CDMG|9RCR
59	23121 66522	2	   	265.66	DCR|3VULN|3DMG|1TLV|1ASPD	1RCVC|27MLV|3ASPD|47aVULN|578DMG|6RCR|7BPWR|9TLV
60	23121 66522	1	   	265.66	DCR|3VULN|3DMG|1TLV|1ASPD	1RCVC|27MLV|3ASPD|47aVULN|578DMG|6RCR|7BPWR|9TLV
61	21121 66522	2	   	265.46	DCR|3VULN|3DMG|1TLV|1ASPD	1RCVC|27ERES|3ASPD|47aVULN|578DMG|6RCR|7BPWR|9TLV
62	52363 11116	10	   	264.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|2aDMG|3CDMG|4RMIN|5LHND|6RCR|7aVULN|8TLV|9aDUR|aBPWR
63	52123 25522	9	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	19LIT|29DMG|3ASPD|4BEXP|589VULN|6BELT|7RCR|9BPWR|aTLV
64	53416 21123	3	 * 	264.08	DCR|3VULN|3DUR|1DMG|2LIT	19LIT|259VULN|3RPLT|4LHND|6DMG|7RCR|89aDUR|9BPWR
65	52351 33341	9	   	264.05	DCR|2VULN|2DMG|3CDMG|1DUR|2LIT|1ASPD	19LIT|24DMG|349CDMG|49BPWR|5DUR|6MLV|79VULN|8RCR|aASPD
66	52134 51123	2	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	19LIT|2DMG|349VULN|5RPLT|6LEGI|7RCR|89aDUR|9BPWR
67	52234 51123	4	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	19LIT|2DMG|349VULN|5RPLT|6LEGI|7RCR|89aDUR|9BPWR
68	52234 51123	3	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	19LIT|2DMG|349VULN|5RPLT|6LEGI|7RCR|89aDUR|9BPWR
69	52433 43331	1	 * 	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	19LIT|29aDUR|347VULN|5MLV|6RCR|89CDMG|9BPWR
70	52231 33161	10	   	263.92	DCR|3VULN|3DMG|2LIT|1ASPD|1SELL	19LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|aASPD
71	52231 24342	9	   	263.73	DCR|3VULN|3DUR|1DMG|2LIT|1NUKE|1SELL	19LIT|2DMG|349VULN|5SELL|6NUKE|79aDUR|8RCR|9BPWR
72	52231 33221	7	   	263.21	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aLHND
73	52231 33221	8	   	263.21	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aLHND
74	52231 33223	8	   	263.21	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aBEXP
75	52231 33223	7	   	263.21	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aBEXP
76	52231 33225	8	   	263.21	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aMLV
77	52231 33225	7	   	263.21	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aMLV
78	52231 33226	8	   	263.21	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aDMSP
79	52231 33226	7	   	263.21	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9TLV|aDMSP
80	52231 33331	9	   	263.21	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8CGEN|9TLV|aDUR
81	52231 33336	10	   	263.21	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8CGEN|9TLV|aDUR
82	52231 34216	8	   	263.21	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7LHND|8DUR|9RCR|aTLV
83	52231 34216	7	   	263.21	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7LHND|8DUR|9RCR|aTLV
84	52231 32216	7	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7DUST|8DUR|9RCR|aTLV
85	52231 32216	8	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7DUST|8DUR|9RCR|aTLV
86	52231 33256	8	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9DUST|aTLV
87	52231 33256	7	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9DUST|aTLV
88	52231 33266	9	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9DUST|aTLV
89	52231 33322	7	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUST|9TLV|aDUR
90	52231 33366	7	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUST|9DUR|aTLV
91	52231 33422	8	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8MBVNT|9TLV|aDUR
92	52231 33522	8	   	263.11	DCR|3VULN|2DMG|1DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUST|9TLV|aDUR
93	52231 33133	9	   	262.62	DCR|3VULN|3DMG|1DUR|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9LHND|aDUR
94	52231 33135	9	   	262.62	DCR|3VULN|3DMG|1TLV|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9LHND|aTLV
95	52231 33153	8	   	262.62	DCR|3VULN|3DMG|1DUR|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9LHND|aDUR
96	52231 33155	8	   	262.62	DCR|3VULN|3DMG|1TLV|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9LHND|aTLV
97	52231 33221	10	   	262.62	DCR|3VULN|3DMG|1DUR|1SELL	1LIT|26aDMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CGEN
98	52231 33361	10	   	262.62	DCR|3VULN|3DMG|1DUR|1SELL	1LIT|26aDMG|346VULN|5SELL|6BPWR|7RCR|8CGEN|9DUR
99	52231 33116	9	   	262.58	DCR|3VULN|3DMG|2LIT|1AART|1SELL	1aLIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART
100	52231 33126	8	   	262.58	DCR|3VULN|3DMG|2LIT|1AART|1SELL	1aLIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART
101	13333 23441	2	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	1DUST|256DUR|36aVULN|4TBNT|6BPWR|7DMG|8CDMG|9RCR
102	13343 23441	2	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	1DUST|256DUR|36aVULN|4BBNT|6BPWR|7DMG|8CDMG|9RCR
103	16313 23441	1	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	1DUST|2BBNT|36aVULN|456DUR|6BPWR|7DMG|8CDMG|9RCR
104	52231 33211	10	   	262.52	DCR|3VULN|3DMG|1DUR|1SELL	1LIT|26aDMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9ERES
105	52221 25231	5	 * 	262.38	DCR|4VULN|2CDMG|1DMG|2LIT|1SELL	18LIT|2DMG|3789VULN|4RCVC|5SELL|68CDMG|8BPWR|aRCR
106	52231 24231	5	 * 	262.38	DCR|4VULN|2CDMG|1DMG|2LIT|1SELL	18LIT|2DMG|3489VULN|5SELL|68CDMG|7DMSP|8BPWR|aRCR
107	52231 33143	9	   	262.37	DCR|3VULN|3DMG|1DUR|2SELL	1LIT|268DMG|346VULN|59SELL|6BPWR|7RCR|aDUR
108	52231 33145	9	   	262.37	DCR|3VULN|3DMG|1TLV|2SELL	1LIT|268DMG|346VULN|59SELL|6BPWR|7RCR|aTLV
109	41133 33153	8	   	262.26	DCR|3VULN|2DMG|2LIT|1CDMG|1ASPD	19CGEN|249VULN|35LIT|6CDMG|7RCR|89DMG|9BPWR|aASPD
110	52233 33166	8	   	262.06	DCR|3VULN|2DMG|2LIT|1CDMG|1ASPD	15LIT|28DMG|349VULN|6CDMG|7RCR|aASPD
111	53238 23313	2	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	1LIT|246aVULN|3MBVNT|5TLV|7DUR|8CDMG|9RCR
112	52235 11432	10	 * 	261.69	DCR|3VULN|2DMG|2DUR	1LIT|29DMG|348VULN|56DUR|7MLV|aRCR
113	52235 12432	10	   	261.69	DCR|3VULN|2DMG|2DUR	1LIT|29DMG|348VULN|56DUR|7CGEN|aRCR
114	41131 25341	10	   	261.65	DCR|3VULN|2DMG|2DUR|1SELL	19CGEN|249VULN|3LIT|5SELL|6aDMG|79DUR|8RCR|9BPWR
115	52231 32216	6	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7FEWX|8aDUR|9RCR
116	52231 33212	7	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9RMIN
117	52231 33212	8	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9RMIN
118	52231 33222	9	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9CGEN
119	52231 33232	8	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9MLV
120	52231 33232	7	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9MLV
121	52231 33245	7	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9RPLT
122	52231 33245	8	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9RPLT
123	52231 33362	9	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8CGEN|9aDUR
124	52231 33212	9	   	261.45	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9ERES
125	52231 33261	8	   	261.45	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9BBNT
126	52231 33261	7	   	261.45	DCR|3VULN|2DMG|2DUR|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9BBNT
127	52111 54213	3	   	261.10	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG|1ASPD	1LIT|27DMG|3ASPD|4CDMG|5aVULN|6TLV|8DUR|9RCR
128	52231 26226	5	 * 	260.99	DCR|3VULN|3LIT|2CDMG|1DMG|1TLV|1SELL	178LIT|2DMG|348VULN|5SELL|68CDMG|8BPWR|9TLV|aRCR
129	53134 14213	2	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|24aVULN|3LHND|5CDMG|67DMG|8DUR|9RCR
130	53334 14213	3	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|24aVULN|3LWND|5CDMG|67DMG|8DUR|9RCR
131	53334 14213	4	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|24aVULN|3LWND|5CDMG|67DMG|8DUR|9RCR
132	52136 14213	2	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|27DMG|34aVULN|5CDMG|6FEWX|8DUR|9RCR
133	52236 14213	3	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|27DMG|34aVULN|5CDMG|6FEWX|8DUR|9RCR
134	52236 14213	4	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|27DMG|34aVULN|5CDMG|6FEWX|8DUR|9RCR
135	41133 33235	7	   	260.69	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19CGEN|249VULN|35LIT|6CDMG|7RCR|89DUR|9BPWR|aTLV
136	13434 14213	1	   	260.66	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|2LIT|34aVULN|5CDMG|67DMG|8DUR|9RCR
137	53234 14213	4	   	260.66	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|24aVULN|3DUST|5CDMG|67DMG|8DUR|9RCR
138	53234 14213	3	   	260.66	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|24aVULN|3DUST|5CDMG|67DMG|8DUR|9RCR
139	52221 33234	10	   	260.61	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|36aVULN|4RCVC|5SELL|6BPWR|7RCR|8DUR|9CDMG
140	52231 33231	10	   	260.61	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG|aBEXP
141	52231 33233	9	   	260.61	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG|aZMB
142	52231 33234	9	   	260.61	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG|aLHND
143	52231 33235	10	   	260.61	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG|aZMB
144	52231 31642	10	   	260.51	DCR|3VULN|2DMG|1TLV|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7ERES|8CDMG|9TLV|aRCR
145	52231 33236	10	   	260.51	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG|aDUST
146	52231 33236	9	   	260.51	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG|aDUST
147	52231 33432	9	   	260.51	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8MBVNT|9CDMG|aDUR
148	52231 33432	10	   	260.51	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8MBVNT|9CDMG|aDUR
149	52231 33532	9	   	260.51	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUST|9CDMG|aDUR
150	52231 33532	10	   	260.51	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUST|9CDMG|aDUR
151	41135 13141	8	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	17CGEN|24aVULN|37LIT|567DUR|7BPWR|8RCR|9TLV
152	52231 33351	8	   	260.10	DCR|4VULN|2DMG|2LIT|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89CGEN|aRCVC
153	52231 33354	8	   	260.10	DCR|4VULN|2DMG|2LIT|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89CGEN|aRMIN
154	52231 33356	8	   	260.10	DCR|4VULN|2DMG|2LIT|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89CGEN|aLHND
155	52231 33651	7	   	260.10	DCR|4VULN|2DMG|2LIT|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89MLV|aRCVC
156	55513 13113	9	   	260.06	DCR|3VULN|3DUR|1TLV|2LIT	19LIT|246DUR|37aVULN|5TLV|8RCR
157	52231 33141	8	   	260.02	DCR|3VULN|3DMG|1CDMG|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9CDMG|aMLV
158	52231 33144	8	   	260.02	DCR|3VULN|3DMG|1CDMG|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9CDMG|aBEXP
159	52231 33352	8	   	260.00	DCR|4VULN|2DMG|2LIT|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89CGEN|aERES
160	52231 33652	7	   	260.00	DCR|4VULN|2DMG|2LIT|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89MLV|aERES
161	52231 33142	8	   	259.92	DCR|3VULN|3DMG|1CDMG|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9CDMG|aDUST
162	52231 33143	8	   	259.92	DCR|3VULN|3DMG|1CDMG|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9CDMG|aTBNT
