0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33114 25333	8	 * 	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|239aVULN|4DMG|5CDMG|6DUR|7RCR|8TLV
54	62133 52533	2	   	253.96	DCR|3VULN|2DUR|1DMG|1AART	19CGEN|2LIT|39aVULN|4LWND|5AART|6DMG|7RCR|89DUR|9BPWR
55	13662 22113	5	   	253.78	DCR|3VULN|2DMG|2DUR	137FEWX|29aVULN|47DUR|579MLV|6RCR|79BPWR|89DMG
56	13211 22115	4	 * 	253.75	DCR|2VULN|3DUR|2DMG|1CDMG	157FEWX|29VULN|37MLV|479DUR|6RCR|79BPWR|89DMG|aCDMG
57	13212 22115	5	   	253.75	DCR|2VULN|3DUR|2DMG|1CDMG	157FEWX|29VULN|37MLV|479DUR|6RCR|79BPWR|89DMG|aCDMG
58	13641 22115	5	   	253.75	DCR|2VULN|3DUR|2DMG|1CDMG	137FEWX|29VULN|47CGEN|579DUR|6RCR|79BPWR|89DMG|aCDMG
59	33144 25333	8	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG	1DUST|239aVULN|4CGEN|5CDMG|6DUR|7RCR|8TLV
60	13111 22423	5	   	253.58	DCR|3VULN|2DMG|2DUR	17FEWX|23aVULN|47DMG|57DUR|6RMIN|7BPWR|8RPLT|9RCR
61	33215 22115	5	   	253.45	DCR|2VULN|3DUR|2DMG|1CDMG	157DUST|29VULN|37MLV|479DUR|6RCR|79BPWR|89DMG|aCDMG
62	33112 61461	9	 * 	253.42	DCR|3VULN|2DMG|2ASPD|1AART	1aDUST|23aVULN|46DMG|5CGEN|7aASPD|8AART|9RCR|aBPWR
63	36344 84454	3	   	253.18	DCR|3VULN|2DMG|2DUR	18DUST|2MBVNT|3aDUR|4BBNT|578VULN|68DMG|8BPWR|9RCR
64	13111 34614	6	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	19FEWX|23aVULN|46DMG|5DUR|7CDMG|8RCR
65	13111 34624	6	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1FEWX|23aVULN|46DMG|5DUR|7CDMG|8RCR|9RCVC
66	13111 36111	9	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1FEWX|239VULN|46DMG|5DUR|7LHND|8RCR|aCDMG
67	33114 42123	9	   	252.35	DCR|3VULN|2DMG|1TLV|1CDMG	1DUST|23aVULN|49DMG|5CDMG|6TLV|7FEWX|8RCR
68	33114 46123	9	   	252.35	DCR|3VULN|2DMG|1TLV|1CDMG	1DUST|23aVULN|49DMG|5CDMG|6TLV|7BEXP|8RCR
69	13111 33111	9	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1FEWX|239VULN|46DMG|5DUR|7DUST|8RCR|aCDMG
70	33111 31111	9	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|239VULN|46DMG|5DUR|7FEWX|8RCR|aCDMG
71	33111 36111	9	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|239VULN|46DMG|5DUR|7LHND|8RCR|aCDMG
72	33115 32111	9	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|239VULN|46DMG|5FEWX|7DUR|8RCR|aCDMG
73	13111 55311	9	 * 	252.28	DCR|3VULN|3TLV|1DMG|1DUR|1ASPD	18FEWX|238VULN|4DMG|5DUR|678TLV|8BPWR|9ASPD|aRCR
74	13115 45133	8	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	15FEWX|238aVULN|4DMG|6CDMG|7ASPD|9RCR
75	33114 24123	9	   	252.25	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23aVULN|49DMG|5CDMG|6DUR|7ERES|8RCR
76	33114 25533	7	   	252.25	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23aVULN|48DMG|5CDMG|6DUR|7RCR|9ERES
77	33111 33633	7	   	252.25	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23aVULN|46DMG|5DUR|7CDMG|8RCR|9ERES
78	33111 34633	6	   	252.25	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23aVULN|46DMG|5DUR|7CDMG|8RCR|9ERES
79	13114 11642	5	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1FEWX|2379VULN|4DMG|5CDMG|6BBNT|8ASPD|aRCR
80	13114 11642	4	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1FEWX|2379VULN|4DMG|5CDMG|6BBNT|8ASPD|aRCR
81	33114 26623	4	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1DUST|237aVULN|4DMG|5CDMG|6LWND|8RCR|9ASPD
82	33114 26623	5	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1DUST|237aVULN|4DMG|5CDMG|6LWND|8RCR|9ASPD
83	33111 55311	9	   	252.08	DCR|3VULN|3TLV|1DMG|1DUR|1ASPD	18DUST|238VULN|4DMG|5DUR|678TLV|8BPWR|9ASPD|aRCR
84	33114 11642	4	   	252.06	DCR|4VULN|1DMG|1CDMG|1ASPD	1DUST|2379VULN|4DMG|5CDMG|6BBNT|8ASPD|aRCR
85	33114 11642	5	   	252.06	DCR|4VULN|1DMG|1CDMG|1ASPD	1DUST|2379VULN|4DMG|5CDMG|6BBNT|8ASPD|aRCR
86	13111 54136	10	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|23aVULN|4DMG|59DUR|6TLV|7ERES|8RCR
87	13163 35122	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|23aVULN|46DUR|5DUST|7TLV|8RCR|9DMG
88	33164 35122	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|23aVULN|46DUR|5FEWX|7TLV|8RCR|9DMG
89	33111 28342	8	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|23aVULN|4DMG|59DUR|6MBVNT|7RCR|8TLV
90	33111 28414	9	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|239VULN|4DMG|58DUR|6MBVNT|7RCR|aTLV
91	33111 53542	8	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|23aVULN|4DMG|58DUR|6TLV|7MBVNT|9RCR
92	33111 54136	10	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|23aVULN|4DMG|59DUR|6TLV|7ERES|8RCR
93	33111 33456	10	   	251.35	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG|1AART	1DUST|23VULN|46DMG|5DUR|7CDMG|8AART|9TLV|aRCR
94	13111 45111	9	   	251.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1FEWX|239VULN|4DMG|5DUR|6CGEN|7TLV|8RCR|aCDMG
95	13112 12111	9	   	251.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1FEWX|239VULN|4DMG|5CGEN|6TLV|7DUR|8RCR|aCDMG
96	13114 25313	8	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6DUR|7RCR|8TLV|9BEXP
97	13114 25333	8	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aBELT
98	13114 25336	8	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aRMIN
99	13114 25343	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6DUR|7RCR|8TLV|9LHND
100	13141 35111	9	   	251.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1FEWX|239VULN|4CGEN|5DUR|6DMG|7TLV|8RCR|aCDMG
101	13161 35111	9	   	251.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1FEWX|239VULN|4DUR|5CGEN|6DMG|7TLV|8RCR|aCDMG
102	13162 35111	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|239VULN|4DUR|5MLV|6DMG|7TLV|8RCR|aCDMG
103	13111 23323	8	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|23aVULN|4DMG|5DUR|6MBVNT|7CDMG|8TLV|9RCR
104	13111 23423	7	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|23aVULN|4DMG|5DUR|6MBVNT|7CDMG|8TLV|9RCR
105	13111 54111	9	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|239VULN|4DMG|5DUR|6TLV|7ERES|8RCR|aCDMG
106	13114 25331	8	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1FEWX|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aDUST
107	13114 25334	8	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aBBNT
108	33111 45111	9	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|239VULN|4DMG|5DUR|6CGEN|7TLV|8RCR|aCDMG
109	33114 25313	8	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6DUR|7RCR|8TLV|9BEXP
110	33114 25333	9	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6DUR|7RCR|8TLV|9FEWX
111	33114 25336	8	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aRMIN
112	33114 25343	9	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6DUR|7RCR|8TLV|9LHND
113	33114 42153	9	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6TLV|7FEWX|8RCR|9DUR
114	33141 35111	9	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|239VULN|4CGEN|5DUR|6DMG|7TLV|8RCR|aCDMG
115	33161 35111	9	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|239VULN|4DUR|5CGEN|6DMG|7TLV|8RCR|aCDMG
116	33162 35111	9	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|239VULN|4DUR|5MLV|6DMG|7TLV|8RCR|aCDMG
117	33111 23323	8	   	250.91	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|23aVULN|4DMG|5DUR|6MBVNT|7CDMG|8TLV|9RCR
118	33111 28363	8	   	250.91	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|23aVULN|4DMG|5DUR|6MBVNT|7RCR|8TLV|9CDMG
119	33111 54111	9	   	250.91	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|239VULN|4DMG|5DUR|6TLV|7ERES|8RCR|aCDMG
120	33114 25331	8	   	250.91	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1aDUST|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV
121	33114 25332	8	   	250.91	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aBBNT
122	13144 25121	10	 * 	250.79	DCR|3VULN|2DUR|2ASPD|1CDMG	1FEWX|23aVULN|4CGEN|5CDMG|6aDUR|7RCR|8LHND|9aASPD|aBPWR
123	13144 25221	10	   	250.79	DCR|3VULN|2DUR|2ASPD|1CDMG	1FEWX|23aVULN|4CGEN|5CDMG|6aDUR|7RCR|8BEXP|9aASPD|aBPWR
124	33513 62423	7	   	250.70	DCR|2VULN|3DUR|2DMG|1ASPD	1aDUST|2aVULN|3ASPD|478DUR|5BEXP|6RCR|9aDMG|aBPWR
125	13111 32332	9	   	250.70	DCR|2VULN|3DUR|2DMG|1ASPD	1FEWX|23VULN|46DMG|578DUR|9RCR|aASPD
126	33144 25121	10	   	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	1DUST|23aVULN|4CGEN|5CDMG|6aDUR|7RCR|8LHND|9aASPD|aBPWR
127	33144 25221	10	   	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	1DUST|23aVULN|4CGEN|5CDMG|6aDUR|7RCR|8BEXP|9aASPD|aBPWR
128	33144 23321	10	   	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	1DUST|23aVULN|4CGEN|5CDMG|6aDUR|7BEXP|8RCR|9aASPD|aBPWR
129	22152 31643	2	   	250.16	DCR|2VULN|1DMG|1TLV|1DUR|2LIT|1CDMG|1ASPD	1ZMB|24LIT|34VULN|4BPWR|5ASPD|6RCR|7CDMG|8DMG|9DUR|aTLV
130	13114 25324	10	   	250.10	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|23VULN|49DMG|5CDMG|6DUR|7RCR|8TLV|aLIT
131	13114 25325	9	   	250.10	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|23VULN|49DMG|5CDMG|6DUR|7RCR|8TLV|aLIT
132	13111 34663	6	   	250.10	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|23VULN|46DMG|5DUR|7CDMG|8RCR|9LIT|aTLV
133	33114 25324	10	   	250.00	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG	1DUST|23VULN|49DMG|5CDMG|6DUR|7RCR|8TLV|aLIT
134	33114 25325	9	   	250.00	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG	1DUST|23VULN|49DMG|5CDMG|6DUR|7RCR|8TLV|aLIT
135	33111 33663	7	   	250.00	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG	1DUST|23VULN|46DMG|5DUR|7CDMG|8RCR|9LIT|aTLV
136	33111 34663	6	   	250.00	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG	1DUST|23VULN|46DMG|5DUR|7CDMG|8RCR|9LIT|aTLV
137	22153 11124	2	   	249.82	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1ZMB|24LIT|345VULN|4BPWR|6BELT|7DUR|8CDMG|9DMG|aRCR
138	33111 11536	9	   	249.82	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1DUST|239VULN|4DMG|5DUR|69LIT|7CDMG|89FEWX|9BPWR|aRCR
139	13111 11236	9	   	249.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1FEWX|239VULN|4DMG|5DUR|69LIT|7CDMG|89DUST|9BPWR|aRCR
140	13163 32124	4	   	249.66	DCR|3VULN|2DMG|1DUR|1ASPD|1SELL	1aFEWX|23aVULN|4DUR|5TBNT|6ASPD|7aDMG|8SELL|9RCR|aBPWR
141	13512 22124	4	   	249.66	DCR|3VULN|2DMG|1DUR|1ASPD|1SELL	1aFEWX|26aVULN|3ASPD|4DUR|5TBNT|7aDMG|8SELL|9RCR|aBPWR
142	13114 23361	10	   	249.65	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6aDUR|7BEXP|8RCR|9aMLV|aBPWR
143	13114 25261	10	   	249.65	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8BEXP|9aMLV|aBPWR
144	13114 25631	10	   	249.65	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8LWND|9aCGEN|aBPWR
145	13114 24141	10	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6aDUR|7ERES|8RCR|9aLHND|aBPWR
146	33114 23361	10	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7BEXP|8RCR|9aMLV|aBPWR
147	33114 25261	10	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8BEXP|9aMLV|aBPWR
148	33114 25631	10	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8LWND|9aCGEN|aBPWR
149	13114 25151	10	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8LHND|9aERES|aBPWR
150	33114 24131	10	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7ERES|8RCR|9aFEWX|aBPWR
151	33114 24141	10	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7ERES|8RCR|9aLHND|aBPWR
152	13111 61111	9	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|239VULN|4DMG|57DUR|6LHND|8RCR|aCDMG
153	33111 64611	9	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|239VULN|4DMG|58DUR|6LHND|7RCR|aCDMG
154	33114 12151	10	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aERES|7FEWX|8RCR|9aDUR|aBPWR
155	33114 16151	10	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aERES|7BEXP|8RCR|9aDUR|aBPWR
156	33114 25151	10	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8LHND|9aERES|aBPWR
157	33111 61111	9	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|239VULN|4DMG|57DUR|6LHND|8RCR|aCDMG
158	33111 28411	9	   	249.25	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|239VULN|4DMG|58DUR|6MBVNT|7RCR|aCDMG
159	33114 24153	9	   	249.25	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|69DUR|7ERES|8RCR
160	13111 45113	10	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1FEWX|239VULN|4DMG|5DUR|6CGEN|7TLV|8RCR|aASPD
161	13112 12113	10	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1FEWX|239VULN|4DMG|5CGEN|6TLV|7DUR|8RCR|aASPD
162	13141 35113	10	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1FEWX|239VULN|4CGEN|5DUR|6DMG|7TLV|8RCR|aASPD
