0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26127 13334	10	 * 	298.92	DCR|4VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478aVULN|6RCR|7BPWR|9DUR
20	26127 13353	9	   	282.57	DCR|4VULN|3DMG|3TLV	157DMG|27aTLV|3MBVNT|478aVULN|6RCR|7aBPWR|9aERES
21	14241 41331	10	 * 	281.91	DCR|5VULN|2DMG|2DUR	1aDUR|2379aVULN|4MLV|5ERES|6aDMG|8RCR|aBPWR
22	23512 12563	3	 * 	281.89	DCR|5VULN|3DMG|2LIT	19aDMG|25LIT|3479aVULN|69aLHND|8RCR|9aBPWR
23	14124 63231	10	 * 	281.50	DCR|4VULN|3DUR|1TLV|2ASPD	13aDUR|247aVULN|5TLV|6ERES|8aASPD|9RCR|aBPWR
24	14216 33316	8	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	17DUR|237aVULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9RCVC
25	26127 13325	8	   	279.59	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9LIT|aAART
26	26127 13334	8	   	279.59	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ASPD|aAART
27	26181 12834	9	   	278.24	DCR|3VULN|3DMG|3TLV	189DMG|289TLV|3MBVNT|4ASPD|5ERES|6RCR|789VULN|89BPWR|aLIT
28	26127 13327	8	   	278.24	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9LIT|aASPD
29	43431 32232	5	 * 	277.91	DCR|3VULN|3DUR|1TLV|3LIT|1CDMG	1TLV|245LIT|345DUR|45BPWR|679VULN|8CDMG|aRCR
30	26127 13127	8	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8DUR|9ZMB
31	26127 13147	7	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8CGEN|9DUR
32	26127 13162	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8DUR|9ZMB
33	26127 13331	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aLHND
34	26127 13331	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aRPLT
35	26127 13332	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aMLV
36	26127 13332	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aLHND
37	26127 13333	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aCGEN
38	26127 13333	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aFEWX
39	26127 13335	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aBEXP
40	26127 13336	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aCGEN
41	26127 13337	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aBELT
42	26127 13338	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aRMIN
43	26127 13362	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9RMIN|aDUR
44	26127 13382	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9RPLT|aDUR
45	26127 13122	10	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8DUR|9ERES
46	26127 13127	9	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8DUR|9ERES
47	26127 13183	10	   	277.77	DCR|3VULN|3DMG|3TLV|1DUR	157DMG|279TLV|3MBVNT|47aVULN|6RCR|7BPWR|8DUR
48	26127 13312	9	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DLOT|aDUR
49	26127 13336	9	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aBBNT
50	26127 13347	7	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8ERES|9DUR
51	26127 13354	9	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ERES|aDUR
52	26127 13145	9	   	277.63	DCR|3VULN|3DMG|2TLV|1DUR|1SELL	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8DUR|9SELL
53	23346 23121	2	   	277.59	DCR|3VULN|2DMG|2TLV|1CDMG	19DMG|2LIT|3AART|4BBNT|569VULN|7RCR|89TLV|9BPWR|aCDMG
54	23446 23121	3	   	277.59	DCR|3VULN|2DMG|2TLV|1CDMG	19DMG|2LIT|3AART|4BBNT|569VULN|7RCR|89TLV|9BPWR|aCDMG
55	43415 11323	1	 * 	277.51	DCR|5VULN|3TLV|1DUR|1CDMG	138TLV|23579VULN|3BPWR|4DUR|6CDMG|aRCR
56	14216 33332	10	   	277.28	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LIT|aAART
57	14216 33335	9	   	277.28	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LIT|aAART
58	14216 33335	8	   	277.28	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LIT|aAART
59	23415 11234	1	   	277.12	DCR|4VULN|2DMG|2DUR|1CDMG	13DMG|2357VULN|3BPWR|4aDUR|6CDMG|8BBNT|9RCR
60	26127 12331	10	 * 	277.08	DCR|5VULN|2DMG|1TLV	15DMG|2TLV|3MBVNT|4789aVULN|6RCR
61	14216 33325	10	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|237VULN|4LWND|5aDMG|67TLV|7BPWR|8RCR|9RPLT
62	14216 33326	9	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|237VULN|4LWND|5aDMG|67TLV|7BPWR|8RCR|9RPLT
63	14216 33316	9	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|237VULN|4LWND|5aDMG|67TLV|7BPWR|8RCR|9LEGI
64	16254 43318	8	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|2MBVNT|368VULN|47DMG|57TLV|7BPWR|9LWND|aRCR
65	16254 43328	8	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|2MBVNT|368VULN|47DMG|57TLV|7BPWR|9BEXP|aRCR
66	16254 43338	8	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|2MBVNT|368VULN|47DMG|57TLV|7BPWR|9FEWX|aRCR
67	16254 43348	8	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|2MBVNT|368VULN|47DMG|57TLV|7BPWR|9LHND|aRCR
68	14141 41331	10	 * 	276.80	DCR|4VULN|3DUR|2DMG	13aDUR|279aVULN|4MLV|5ERES|6aDMG|8RCR|aBPWR
69	16254 43328	9	   	276.70	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|2MBVNT|368VULN|47DMG|57TLV|7BPWR|9LEGI|aRCR
70	26127 13321	8	   	276.48	DCR|3VULN|3DMG|2TLV|2LIT	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9aLIT
71	26127 13511	8	   	276.48	DCR|3VULN|3DMG|2TLV|2LIT	157DMG|27TLV|3MBVNT|479VULN|6RCR|7BPWR|8aLIT
72	23115 11366	1	   	276.00	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|257VULN|4DUR|6CDMG|8TLV|9ASPD|aRCR
73	23412 13326	1	   	276.00	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|238VULN|3BPWR|4DUR|5BBNT|6CDMG|7TLV|9LIT|aRCR
74	14216 33331	10	   	275.93	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LIT|aASPD
75	14216 33331	8	   	275.93	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LIT|aASPD
76	14216 33331	9	   	275.93	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LIT|aASPD
77	23421 63523	1	   	275.55	DCR|4VULN|2DMG|1TLV	13DMG|2359VULN|3BPWR|4ASPD|6CGEN|7LIT|8RCR|aTLV
78	23422 12523	1	   	275.55	DCR|4VULN|2DMG|1TLV	13DMG|2379VULN|3BPWR|4ASPD|5LIT|6CGEN|8RCR|aTLV
79	26127 13341	8	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aBELT
80	26127 13342	8	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aLHND
81	26127 13344	9	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9BEXP|aCDMG
82	26127 13345	8	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aRPLT
83	26127 13348	8	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aLWND
84	26127 13363	10	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9RMIN|aCDMG
85	26127 13374	8	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9BEXP|aCDMG
86	26127 13381	10	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9RPLT|aCDMG
87	26212 13622	7	   	275.23	DCR|4VULN|2DMG|2TLV	19DMG|24TLV|3LIT|5678VULN|aRCR
88	26212 13622	8	   	275.23	DCR|4VULN|2DMG|2TLV	19DMG|24TLV|3LIT|5678VULN|aRCR
89	26127 13311	9	   	275.17	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DLOT|aCDMG
90	26127 13343	8	   	275.17	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aERES
91	26127 13347	8	   	275.17	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aDUST
92	26127 13353	10	   	275.17	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ERES|aCDMG
93	26127 13133	8	   	275.14	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	157DMG|27TLV|3MBVNT|47VULN|6RCR|7BPWR|8DUR|9LIT|aCDMG
94	26127 13543	9	   	275.14	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	157DMG|27TLV|3MBVNT|47VULN|6RCR|7BPWR|8LIT|9DUR|aCDMG
95	13121 16423	7	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2RPLT|3TLV|47DMG|569aVULN|8RCR
96	13121 16423	6	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2RPLT|3TLV|47DMG|569aVULN|8RCR
97	13151 36423	5	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2RPLT|3TLV|459aVULN|67DMG|8RCR
98	26127 12311	10	   	274.39	DCR|4VULN|3DMG|1TLV	15aDMG|2TLV|3MBVNT|478aVULN|6RCR|9aERES|aBPWR
99	11363 33361	10	   	274.20	DCR|3VULN|3DUR|1TLV|2ASPD|1CDMG	137DUR|27ASPD|4TLV|5BEXP|678VULN|7BPWR|9CDMG|aRCR
100	14222 12154	10	   	274.16	DCR|5VULN|2DUR|2ASPD|1CDMG	19DUR|23459VULN|6ZMB|7CDMG|89ASPD|9BPWR|aRCR
101	16213 41615	4	 * 	274.12	DCR|3VULN|3DUR|1TLV|1DMG	15aDUR|2MBVNT|35aVULN|4AART|5aBPWR|6DMG|7RCR|8TLV|9aBEXP
102	24123 23321	2	 * 	274.10	DCR|3VULN|2DMG|1TLV|3LIT|1DUR	17DMG|2RMIN|3TBNT|467VULN|567LIT|67BPWR|8DUR|9RCR|aTLV
103	24543 23321	2	   	274.10	DCR|3VULN|2DMG|1TLV|3LIT|1DUR	17DMG|2RMIN|367VULN|4TBNT|567LIT|67BPWR|8DUR|9RCR|aTLV
104	23533 26124	1	   	273.93	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1CDMG	19DMG|29VULN|37DUR|4CDMG|59ASPD|6BELT|8RCR|9BPWR|aTLV
105	16213 41645	4	   	273.92	DCR|3VULN|3DUR|1TLV|1DMG	15aDUR|2MBVNT|35aVULN|4AART|5aBPWR|6DMG|7RCR|8TLV|9aDUST
106	16213 41653	4	   	273.92	DCR|3VULN|3DUR|1TLV|1DMG	159DUR|2MBVNT|35aVULN|4AART|5BPWR|6DMG|7RCR|8TLV
107	22315 24315	9	   	273.28	DCR|3VULN|3DUR|2DMG|2AART	18DMG|2LWND|378DUR|489VULN|56AART|8BPWR|aRCR
108	26127 13151	10	 * 	273.14	DCR|2VULN|3DMG|2TLV|2CDMG|1DUR	157DMG|27TLV|3MBVNT|47VULN|6RCR|7BPWR|8DUR|9aCDMG
109	14216 33324	9	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9RPLT|aCDMG
110	14216 33326	8	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9CGEN|aCDMG
111	14216 33341	10	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	17DUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9MLV|aCDMG
112	14216 33325	9	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	17aDUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9RPLT
113	14216 33326	10	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	17aDUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9RPLT
114	14216 33314	10	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	17aDUR|237VULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LEGI
115	26127 12335	9	   	272.39	DCR|4VULN|2DMG|1TLV|1CDMG	15DMG|2TLV|3MBVNT|4789VULN|6RCR|aCDMG
116	14242 13336	10	   	271.98	DCR|4VULN|2DMG|2DUR	17DUR|237aVULN|4MLV|5LHND|67DMG|7BPWR|8RCR|9LIT
117	14212 13336	10	   	271.88	DCR|4VULN|2DMG|2DUR	17DUR|237aVULN|4LWND|5ERES|67DMG|7BPWR|8RCR|9LIT
118	23522 58423	5	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	1aDMG|2LIT|368aVULN|4SELL|5MBVNT|7aDUR|9RCR|aBPWR
119	23522 64423	7	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	1aDMG|2LIT|368aVULN|4SELL|5MBVNT|7aDUR|9RCR|aBPWR
120	23522 68423	6	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	1aDMG|2LIT|368aVULN|4SELL|5MBVNT|7aDUR|9RCR|aBPWR
121	24114 63484	7	 * 	271.50	DCR|3VULN|3DMG|3DUR	18aDMG|2RMIN|3MBVNT|4LWND|58aVULN|6RCR|78aDUR|8aBPWR|9BBNT
122	26312 13126	7	   	271.38	DCR|3VULN|3DMG|2TLV	15aDMG|2aTLV|3ZMB|4CGEN|6RCR|79aVULN|8AART|aBPWR
123	26164 17214	8	   	271.28	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|4AART|678VULN|7BPWR|9BEXP|aRCR
124	26164 17222	10	   	271.28	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|4AART|678VULN|7BPWR|9CGEN|aRCR
125	26164 17334	8	   	271.28	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|4AART|679VULN|7BPWR|8FEWX|aRCR
126	26127 13313	9	   	271.18	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DLOT|aAART
127	26127 13314	10	   	271.18	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DLOT|aAART
128	26164 17232	10	   	271.18	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|4AART|678VULN|7BPWR|9ERES|aRCR
129	26164 17244	8	   	271.18	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|4AART|678VULN|7BPWR|9DUST|aRCR
130	23415 11235	1	   	270.84	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2357VULN|3BPWR|4DUR|6CDMG|8BBNT|9RCR|aLIT
131	14252 35223	9	   	270.77	DCR|3VULN|2TLV|2DUR|1CDMG	18DUR|238VULN|4AART|5LEGI|68TLV|7RCR|8BPWR|9LIT|aCDMG
132	14222 14531	10	   	270.57	DCR|5VULN|2DUR|1TLV	1aDUR|2345aVULN|6ZMB|7TLV|8aMLV|9RCR|aBPWR
133	26412 12522	2	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	13DMG|23TLV|3BPWR|479VULN|5LIT|6CGEN|8RCR|aDUR
134	26412 12522	1	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	13DMG|23TLV|3BPWR|479VULN|5LIT|6CGEN|8RCR|aDUR
135	14224 53331	10	   	270.37	DCR|5VULN|2DUR|1TLV	1aDUR|2349aVULN|5TLV|6ZMB|7aERES|8RCR|aBPWR
136	16213 81315	4	   	270.21	DCR|3VULN|3DUR|1TLV|2ASPD	15aDUR|2MBVNT|35aVULN|4AART|5aBPWR|6TLV|7RCR|8LWND|9aASPD
137	16254 43114	7	   	270.08	DCR|2VULN|2DMG|2TLV|2DUR	17DUR|2MBVNT|36VULN|47DMG|57TLV|7BPWR|8AART|9LIT|aRCR
138	26516 33331	8	   	270.03	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3BEXP|4LWND|678VULN|7BPWR|9ASPD|aRCR
139	26181 12831	10	   	269.93	DCR|3VULN|3DMG|3TLV	189DMG|289TLV|3MBVNT|4ASPD|5ERES|6RCR|789VULN|89BPWR|aBEXP
140	26181 12831	9	   	269.93	DCR|3VULN|3DMG|3TLV	189DMG|289TLV|3MBVNT|4ASPD|5ERES|6RCR|789VULN|89BPWR|aRMIN
141	26181 12832	9	   	269.93	DCR|3VULN|3DMG|3TLV	189DMG|289TLV|3MBVNT|4ASPD|5ERES|6RCR|789VULN|89BPWR|aZMB
142	26181 12833	10	   	269.93	DCR|3VULN|3DMG|3TLV	189DMG|289TLV|3MBVNT|4ASPD|5ERES|6RCR|789VULN|89BPWR|aDMSP
143	26181 12834	10	   	269.93	DCR|3VULN|3DMG|3TLV	189DMG|289TLV|3MBVNT|4ASPD|5ERES|6RCR|789VULN|89BPWR|aCGEN
144	26127 13331	8	   	269.93	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ASPD|aRMIN
145	26127 13335	8	   	269.93	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ASPD|aDMSP
146	26127 13336	8	   	269.93	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ASPD|aLHND
147	26127 13361	10	   	269.93	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9RMIN|aASPD
148	64216 11331	9	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	18LWND|278VULN|3MLV|4TLV|568DMG|8BPWR|9DUR|aRCR
149	26181 12833	9	   	269.83	DCR|3VULN|3DMG|3TLV	189DMG|289TLV|3MBVNT|4ASPD|5aERES|6RCR|789VULN|89BPWR
150	26127 13314	9	   	269.83	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DLOT|aLIT
151	26127 13322	8	   	269.83	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9LIT|aBBNT
152	26127 13323	8	   	269.83	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9LIT|aERES
153	26127 13332	8	   	269.83	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ASPD|aERES
154	26127 13351	10	   	269.83	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ERES|aASPD
155	26127 13512	8	   	269.83	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|479VULN|6RCR|7BPWR|8LIT|aBBNT
156	26127 13513	8	   	269.83	DCR|3VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|479VULN|6RCR|7BPWR|8LIT|aERES
157	13121 16426	7	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|2RPLT|3TLV|47aDMG|569VULN|8RCR
158	13121 16426	6	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|2RPLT|3TLV|47aDMG|569VULN|8RCR
159	24151 12833	9	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	189DMG|2RMIN|3MBVNT|4TLV|589ERES|6RCR|789VULN|89BPWR|aDUR
160	26127 13337	8	   	269.69	DCR|3VULN|3DMG|2TLV|1SELL	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9ASPD|aSELL
161	23422 33234	1	   	269.37	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|23VULN|3BPWR|4ASPD|5LIT|6CDMG|7AART|8TLV|9DUR|aRCR
162	14122 12154	10	   	269.05	DCR|4VULN|3DUR|2ASPD|1CDMG	139DUR|2459VULN|6ZMB|7CDMG|89ASPD|9BPWR|aRCR
