0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41112 31625	10	 * 	282.47	ACR|4VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689aVULN|789DUR|89BPWR
17	42343 35122	4	   	273.80	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV|1AART	1AART|28ASPD|34DUR|5BELT|68DMG|78VULN|8BPWR|9TLV|aRCR
18	41411 31622	9	   	273.68	ACR|3VULN|3DMG|3DUR|1CDMG|1AART	1AART|289DMG|3LHND|4RCR|5DMSP|689VULN|789DUR|89BPWR|aCDMG
19	41112 31622	9	   	273.48	ACR|3VULN|3DMG|3DUR|1CDMG|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aCDMG
20	33521 24216	1	 * 	271.56	DCR|4VULN|3DUR|2TLV	1LEGI|2368VULN|456DUR|68BPWR|78TLV|9DUST|aRCR
21	41253 15313	10	 * 	271.02	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG|1AART	1AART|24aDMG|3BELT|5aTLV|6DUR|7CDMG|8aVULN|9RCR|aBPWR
22	41112 31626	10	   	270.83	ACR|3VULN|3DMG|3DUR|1ASPD|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aASPD
23	33513 26261	1	 * 	269.34	DCR|4VULN|2DUR|3LIT|1ASPD	1LEGI|239aVULN|4ASPD|59DUR|6RCR|789LIT|9BPWR
24	41411 31621	9	   	268.34	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|3LHND|4RCR|5DMSP|689VULN|789DUR|89BPWR|aLIT
25	41333 21541	10	   	268.24	DCR|2VULN|3DMG|2DUR|1TLV|1AART	1AART|269DMG|39DUR|4FEWX|5CGEN|79VULN|8RCR|9BPWR|aTLV
26	41112 31621	9	   	268.14	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aLIT
27	13531 24236	3	   	267.85	DCR|4VULN|3DUR|1TLV	1DUST|2368VULN|456DUR|6BPWR|7TLV|9LHND|aRCR
28	13531 24236	2	   	267.85	DCR|4VULN|3DUR|1TLV	1DUST|2368VULN|456DUR|6BPWR|7TLV|9LHND|aRCR
29	13535 53121	6	 * 	267.57	DCR|5VULN|3ASPD|1AART	19DUST|23679VULN|469ASPD|5RCVC|69BPWR|8RCR|aAART
30	33551 22263	1	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|236VULN|46DMG|5RMIN|6BPWR|78DUR|9CDMG|aRCR
31	12423 13235	7	 * 	266.51	DCR|3VULN|3DUR|2DMG	123DUST|45aVULN|6RCR|78aDUR|9aDMG|aBPWR
32	12423 13535	7	   	266.51	DCR|3VULN|3DUR|2DMG	123DUST|45aVULN|6RCR|79aDUR|8aDMG|aBPWR
33	12425 13235	7	   	266.51	DCR|3VULN|3DUR|2DMG	123DUST|45aVULN|5aBPWR|6RCR|78aDUR|9aDMG
34	53112 12644	5	   	266.22	DCR|5VULN|2DUR	1MLV|23689VULN|4MBVNT|56DUR|6BPWR|7LIT|aRCR
35	53113 12644	4	   	266.22	DCR|5VULN|2DUR	1MLV|23689VULN|4MBVNT|56DUR|6BPWR|7LIT|aRCR
36	66523 31132	9	   	264.91	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1aLWND|2DUR|35aVULN|4TLV|6LHND|7AART|8RCR|9aDMG|aBPWR
37	66523 21132	9	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1aLWND|2DUR|35aVULN|4TLV|6DUST|7AART|8RCR|9aDMG|aBPWR
38	53143 12331	3	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1MLV|238aVULN|4CDMG|5DUR|6RCR|7ASPD|9TLV
39	53163 12331	4	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1MLV|238aVULN|4CDMG|5DUR|6RCR|7ASPD|9TLV
40	23143 12331	3	   	264.59	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1ERES|238aVULN|4CDMG|5DUR|6RCR|7ASPD|9TLV
41	51122 42162	9	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1aMLV|26DUR|35aVULN|4CGEN|7ASPD|8aDMG|9RCR|aBPWR
42	12423 12222	10	 * 	264.53	DCR|5VULN|2DMG	123DUST|4589aVULN|6RCR|78DMG|8BPWR
43	12425 12222	10	   	264.53	DCR|5VULN|2DMG	123DUST|4589aVULN|58BPWR|6RCR|78DMG
44	21122 42162	9	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1aERES|26DUR|35aVULN|4CGEN|7ASPD|8aDMG|9RCR|aBPWR
45	63323 32513	10	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1LWND|25DMG|3SELL|45DUR|5BPWR|68aVULN|7ASPD|9RCR
46	63221 32531	1	 * 	263.39	DCR|5VULN|2CDMG|1TLV	17LWND|27CDMG|3567aVULN|4MBVNT|7BPWR|8RCR|9TLV
47	64221 32531	2	   	263.39	DCR|5VULN|2CDMG|1TLV	17LWND|27CDMG|3567aVULN|4MBVNT|7BPWR|8RCR|9TLV
48	41321 11543	10	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	1AART|29DMG|359DUR|4MLV|6LHND|79VULN|8RCR|9BPWR|aCDMG
49	13363 32531	3	   	263.19	DCR|5VULN|2CDMG|1TLV	17DUST|2467aVULN|3MBVNT|57CDMG|7BPWR|8RCR|9TLV
50	21514 72613	4	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	18ERES|23DUR|4MBVNT|589VULN|68DMG|7AART|8BPWR|aRCR
51	23112 72613	5	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	18ERES|239VULN|4MBVNT|58DUR|68DMG|7AART|8BPWR|aRCR
52	23113 72613	4	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	18ERES|239VULN|4MBVNT|58DUR|68DMG|7AART|8BPWR|aRCR
53	13253 52431	3	 * 	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1TLV	17DUST|27aVULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9TLV
54	13142 32643	3	   	261.79	DCR|3VULN|2DMG|2DUR	1DUST|25aVULN|3CGEN|4MLV|6RCR|7aDUR|8LIT|9aDMG|aBPWR
55	23622 32643	4	   	261.79	DCR|3VULN|2DMG|2DUR	1ERES|25aVULN|3FEWX|4CGEN|6RCR|7aDUR|8LIT|9aDMG|aBPWR
56	13162 32643	4	   	261.69	DCR|3VULN|2DMG|2DUR	1DUST|25aVULN|3CGEN|4ERES|6RCR|7aDUR|8LIT|9aDMG|aBPWR
57	23135 32643	3	   	261.69	DCR|3VULN|2DMG|2DUR	1ERES|23aVULN|4MLV|5DUST|6RCR|7aDUR|8LIT|9aDMG|aBPWR
58	23161 32643	5	   	261.69	DCR|3VULN|2DMG|2DUR	1ERES|23aVULN|4DUST|5MLV|6RCR|7aDUR|8LIT|9aDMG|aBPWR
59	33152 25313	3	   	261.34	DCR|4VULN|2DMG|1DUR	1LEGI|2MLV|3568VULN|46DMG|6BPWR|7DUST|9DUR|aRCR
60	33652 22263	1	   	261.34	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	1LEGI|25VULN|36ASPD|46DMG|6BPWR|78DUR|9CDMG|aRCR
61	21211 52116	2	 * 	261.25	DCR|2VULN|3DUR|3ASPD|1DMG	178ERES|237DUR|4LIT|58VULN|678ASPD|78BPWR|9RCR|aDMG
62	21511 52116	3	   	261.25	DCR|2VULN|3DUR|3ASPD|1DMG	178ERES|237DUR|4LIT|58VULN|678ASPD|78BPWR|9RCR|aDMG
63	12423 12251	9	   	261.24	DCR|4VULN|2DMG|1TLV	123DUST|458aVULN|6RCR|78DMG|8BPWR|9TLV
64	12425 12251	9	   	261.24	DCR|4VULN|2DMG|1TLV	123DUST|458aVULN|58BPWR|6RCR|78DMG|9TLV
65	41226 32352	9	   	260.92	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	1AART|29DMG|3BELT|4CDMG|5RPLT|69LIT|789VULN|9BPWR|aRCR
66	12423 12235	8	 * 	260.84	DCR|4VULN|3DMG	123DUST|458aVULN|6RCR|78aDMG|8aBPWR|9aBEXP
67	12423 12245	9	   	260.84	DCR|4VULN|3DMG	123DUST|458aVULN|6RCR|78aDMG|8aBPWR|9aLWND
68	12425 12235	8	   	260.84	DCR|4VULN|3DMG	123DUST|458aVULN|58aBPWR|6RCR|78aDMG|9aBEXP
69	12423 12221	9	   	260.64	DCR|4VULN|3DMG	123DUST|4589VULN|6RCR|78aDMG|8BPWR
70	12425 12221	9	   	260.64	DCR|4VULN|3DMG	123DUST|4589VULN|58BPWR|6RCR|78aDMG
71	41321 11536	7	   	260.57	DCR|2VULN|3DUR|2DMG|1ASPD|1AART	1AART|28DMG|358DUR|4MLV|6LHND|78VULN|8BPWR|9ASPD|aRCR
72	41321 11542	9	   	260.57	DCR|2VULN|3DUR|2DMG|1ASPD|1AART	1AART|29DMG|359DUR|4MLV|6LHND|79VULN|8RCR|9BPWR|aASPD
73	21432 52115	2	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	178ERES|247DUR|3ZMB|58LIT|678VULN|78BPWR|9RCR|aTLV
74	53131 32244	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|238aVULN|4BEXP|5TLV|6RCR|7DUR|9DMG
75	53142 32243	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|258aVULN|3LHND|4TLV|6RCR|7DUR|9DMG
76	41411 31621	10	   	260.03	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|3LHND|4RCR|5DMSP|689VULN|789DUR|89BPWR|aCGEN
77	41411 31623	10	   	260.03	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|3LHND|4RCR|5DMSP|689VULN|789DUR|89BPWR|aLWND
78	33142 32243	3	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1LEGI|2MLV|358aVULN|4TLV|6RCR|7DUR|9DMG
79	36113 23323	2	 * 	259.99	DCR|3VULN|3DUR|3ASPD	1LEGI|29aASPD|34LHND|59aDUR|6RCR|79aVULN|8RMIN|9aBPWR
80	41411 31622	10	   	259.93	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|3LHND|4RCR|5DMSP|689VULN|789DUR|89BPWR|aERES
81	41411 31623	9	   	259.93	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|3LHND|4RCR|5DMSP|689VULN|789DUR|89BPWR|aERES
82	13344 46482	9	   	259.91	DCR|4VULN|3DUR	178DUST|2578VULN|3MBVNT|4RPLT|678DUR|78BPWR|9LIT|aRCR
83	42112 31625	10	 * 	259.90	ACR|4VULN|3DUR|3ASPD|1AART	1AART|289ASPD|35DUST|4RCR|689aVULN|789DUR|89BPWR
84	41112 31621	10	   	259.83	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aCGEN
85	41112 31623	10	   	259.83	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aLWND
86	41112 31624	9	   	259.83	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aRMIN
87	41112 31624	10	   	259.83	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aZMB
88	41112 31626	9	   	259.83	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aMLV
89	41312 51624	9	   	259.83	ACR|3VULN|3DMG|3DUR|1AART	1AART|28aDMG|38aDUR|4RCR|5DUST|6FEWX|78aVULN|8aBPWR|9MBVNT
90	41112 31622	10	   	259.73	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aERES
91	41112 31623	9	   	259.73	ACR|3VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689VULN|789DUR|89BPWR|aERES
92	41333 35122	3	   	259.21	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1AART	1AART|28DMG|3DUR|4RCVC|5BELT|68ASPD|78VULN|8BPWR|9TLV|aRCR
93	41533 35122	2	   	259.21	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1AART	1AART|28DMG|3DUR|4RCVC|5BELT|68ASPD|78VULN|8BPWR|9TLV|aRCR
94	42333 35122	3	   	259.21	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1AART	1AART|28ASPD|3DUR|4RCVC|5BELT|68DMG|78VULN|8BPWR|9TLV|aRCR
95	42533 35122	2	   	259.21	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1AART	1AART|28ASPD|3DUR|4RCVC|5BELT|68DMG|78VULN|8BPWR|9TLV|aRCR
96	23112 12113	5	   	258.94	DCR|4VULN|2DUR|1ASPD|1AART	1ERES|2369VULN|4MBVNT|56DUR|6BPWR|7AART|8ASPD|aRCR
97	23112 65113	7	   	258.94	DCR|4VULN|2DUR|1ASPD|1AART	17ERES|2379VULN|4MBVNT|57DUR|6AART|7BPWR|8ASPD|aRCR
98	23112 65313	8	   	258.94	DCR|4VULN|2DUR|1ASPD|1AART	17ERES|2379VULN|4MBVNT|57DUR|6AART|7BPWR|8ASPD|aRCR
99	23113 12113	4	   	258.94	DCR|4VULN|2DUR|1ASPD|1AART	1ERES|2369VULN|4MBVNT|56DUR|6BPWR|7AART|8ASPD|aRCR
100	41315 54342	10	 * 	258.87	ACR|4VULN|2DMG|2TLV|1DUR|1AART	1AART|28DMG|3DUR|4RCR|58TLV|6MBVNT|789aVULN|8BPWR
101	61561 32233	3	 * 	258.77	DCR|4VULN|1DMG|2CDMG|1ASPD	17LWND|2FEWX|3567VULN|47CDMG|7BPWR|8DMG|9ASPD|aRCR
102	61561 32233	2	   	258.77	DCR|4VULN|1DMG|2CDMG|1ASPD	17LWND|2FEWX|3567VULN|47CDMG|7BPWR|8DMG|9ASPD|aRCR
103	21245 34122	2	   	258.76	DCR|3VULN|3DUR|1TLV|1CDMG	1ERES|236DUR|4CDMG|57aVULN|8RCR|9TLV
104	33152 25363	3	   	258.74	DCR|4VULN|2DMG|1CDMG	1LEGI|2MLV|3568VULN|46DMG|6BPWR|7DUST|9CDMG|aRCR
105	63241 32233	1	   	258.67	DCR|4VULN|1DMG|2CDMG|1ASPD	17LWND|27CDMG|3567VULN|4LEGI|7BPWR|8DMG|9ASPD|aRCR
106	64241 32233	2	   	258.67	DCR|4VULN|1DMG|2CDMG|1ASPD	17LWND|27CDMG|3567VULN|4LEGI|7BPWR|8DMG|9ASPD|aRCR
107	62561 32233	2	   	258.67	DCR|4VULN|1DMG|2CDMG|1ASPD	17LWND|2DUST|3567VULN|47CDMG|7BPWR|8DMG|9ASPD|aRCR
108	62561 32233	3	   	258.67	DCR|4VULN|1DMG|2CDMG|1ASPD	17LWND|2DUST|3567VULN|47CDMG|7BPWR|8DMG|9ASPD|aRCR
109	51122 32332	5	   	258.44	DCR|4VULN|2DUR|1DMG	1MLV|27DUR|3589VULN|4CGEN|6RCR|aDMG
110	53153 32332	3	   	258.44	DCR|4VULN|2DUR|1DMG	1MLV|2389VULN|4CGEN|57DUR|6RCR|aDMG
111	53522 32332	5	   	258.44	DCR|4VULN|2DUR|1DMG	1MLV|2589VULN|37DUR|4CGEN|6RCR|aDMG
112	13535 42122	7	 * 	258.44	DCR|4VULN|3ASPD|1DMG	179DUST|2379VULN|479ASPD|56RCVC|79BPWR|8RCR|aDMG
113	53653 11333	2	   	258.44	DCR|4VULN|2DUR|1DMG	1MLV|2689VULN|3CGEN|4DMG|56DUR|6BPWR|7ERES|aRCR
114	23123 63433	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|2369VULN|45DUR|7DMG|8LWND|aRCR
115	23123 63633	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|2369VULN|45DUR|7DMG|8LHND|aRCR
116	23123 65123	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|236aVULN|45DUR|7RCR|8BELT|9DMG
117	23123 65232	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|2369VULN|45DUR|7RCR|8CGEN|aDMG
118	23124 32332	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|2389VULN|47DUR|5MLV|6RCR|aDMG
119	23133 32332	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|2389VULN|4MLV|57DUR|6RCR|aDMG
120	23142 32332	5	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|2389VULN|4MLV|57DUR|6RCR|aDMG
121	23143 32332	4	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|2389VULN|4MLV|57DUR|6RCR|aDMG
122	51162 32332	5	   	258.34	DCR|4VULN|2DUR|1DMG	1MLV|27DUR|3589VULN|4ERES|6RCR|aDMG
123	53562 32332	5	   	258.34	DCR|4VULN|2DUR|1DMG	1MLV|2589VULN|37DUR|4ERES|6RCR|aDMG
124	31164 48712	8	   	258.34	DCR|4VULN|2DUR|2CDMG	1LEGI|2BELT|37DUR|4MBVNT|579aVULN|67CDMG|7BPWR|8RCR
125	31164 48742	9	   	258.34	DCR|4VULN|2DUR|2CDMG	1LEGI|2BELT|37DUR|4MBVNT|579aVULN|67CDMG|7BPWR|8RCR
126	31413 34324	4	 * 	258.27	DCR|3VULN|3DMG|2TLV	1LEGI|2BELT|3RMIN|48aVULN|58TLV|689DMG|7RCR|8BPWR
127	13553 41233	2	   	258.24	DCR|4VULN|2DUR|1DMG	1DUST|2369VULN|4DMG|58DUR|7ERES|aRCR
128	13553 41233	3	   	258.24	DCR|4VULN|2DUR|1DMG	1DUST|2369VULN|4DMG|58DUR|7ERES|aRCR
129	23123 63353	3	   	258.24	DCR|4VULN|2DUR|1DMG	1ERES|2368VULN|45DUR|7DMG|9DUST|aRCR
130	33553 23642	1	   	258.24	DCR|4VULN|2DUR|1DMG	1LEGI|2379VULN|4DMG|5aDUR|6RCR|8MBVNT
131	33553 41333	1	   	258.24	DCR|4VULN|2DUR|1DMG	1LEGI|2369VULN|4DMG|58DUR|7ERES|aRCR
132	41253 41213	10	   	258.23	DCR|2VULN|3DMG|2DUR|1TLV|1AART|1SELL	1AART|24aDMG|3BELT|5TLV|6SELL|7aVULN|8aDUR|9RCR|aBPWR
133	33562 21223	1	   	258.11	DCR|5VULN|2DUR	1LEGI|2356aVULN|46FEWX|6aBPWR|7aLHND|8aDUR|9RCR
134	33562 22623	1	   	258.11	DCR|5VULN|2DUR	1LEGI|2356aVULN|46FEWX|6aBPWR|7aDUR|8aLHND|9RCR
135	13252 21223	2	   	258.01	DCR|5VULN|2DUR	1aDUST|2456aVULN|36FEWX|6aBPWR|7LHND|8aDUR|9RCR
136	13562 21223	3	   	258.01	DCR|5VULN|2DUR	1aDUST|2356aVULN|46FEWX|6aBPWR|7LHND|8aDUR|9RCR
137	13562 21223	2	   	258.01	DCR|5VULN|2DUR	1aDUST|2356aVULN|46FEWX|6aBPWR|7LHND|8aDUR|9RCR
138	51122 32331	5	   	257.91	DCR|5VULN|2DUR	1MLV|27DUR|3589aVULN|4CGEN|6RCR
139	53153 32331	3	   	257.91	DCR|5VULN|2DUR	1MLV|2389aVULN|4CGEN|57DUR|6RCR
140	53522 32331	5	   	257.91	DCR|5VULN|2DUR	1MLV|2589aVULN|37DUR|4CGEN|6RCR
141	13535 53122	6	   	257.81	DCR|5VULN|3ASPD	19DUST|23679VULN|469ASPD|5RCVC|69BPWR|8RCR|aERES
142	13535 53123	6	   	257.81	DCR|5VULN|3ASPD	19DUST|23679VULN|469ASPD|5RCVC|69BPWR|8RCR|aTBNT
143	23123 65231	3	   	257.81	DCR|5VULN|2DUR	1ERES|2369aVULN|45DUR|7RCR|8CGEN
144	23123 66124	3	   	257.81	DCR|5VULN|2DUR	1ERES|2367aVULN|45DUR|8RCR|9LWND
145	23123 66142	3	   	257.81	DCR|5VULN|2DUR	1ERES|23679VULN|45DUR|8RCR|aLWND
146	23123 66143	3	   	257.81	DCR|5VULN|2DUR	1ERES|23679VULN|45DUR|8RCR|aRMIN
147	23124 32331	3	   	257.81	DCR|5VULN|2DUR	1ERES|2389aVULN|47DUR|5MLV|6RCR
148	23133 32331	3	   	257.81	DCR|5VULN|2DUR	1ERES|2389aVULN|4MLV|57DUR|6RCR
149	23142 32331	5	   	257.81	DCR|5VULN|2DUR	1ERES|2389aVULN|4MLV|57DUR|6RCR
150	23143 32331	4	   	257.81	DCR|5VULN|2DUR	1ERES|2389aVULN|4MLV|57DUR|6RCR
151	51162 32331	5	   	257.81	DCR|5VULN|2DUR	1MLV|27DUR|3589aVULN|4ERES|6RCR
152	53562 32331	5	   	257.81	DCR|5VULN|2DUR	1MLV|2589aVULN|37DUR|4ERES|6RCR
153	21132 43543	3	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18ERES|2aDUR|38VULN|4TLV|5aLIT|68FEWX|7RCR|8aBPWR|9aDMG
154	23232 43543	2	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18ERES|2aVULN|38DUR|4TLV|5aLIT|68FEWX|7RCR|8aBPWR|9aDMG
155	23123 66135	3	   	257.71	DCR|5VULN|2DUR	1ERES|2367aVULN|45DUR|8RCR|9MBVNT
156	41114 13513	2	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	1AART|28DMG|3CGEN|48DUR|59VULN|6ZMB|78ASPD|8BPWR|aRCR
157	53163 43322	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1MLV|239aVULN|4CDMG|5BELT|6DMG|7RCR|8DUR
158	53112 54432	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1MLV|236aVULN|4MBVNT|5DUR|7DMG|8RCR|9CDMG
159	42112 31626	10	 * 	257.32	ACR|3VULN|3DUR|3ASPD|1DMG|1AART	1AART|289ASPD|35DUST|4RCR|689VULN|789DUR|89BPWR|aDMG
160	53163 24323	10	   	256.98	DCR|5VULN|1TLV|1CDMG	1MLV|23789VULN|4CDMG|5BELT|6RCR|aTLV
161	13363 34531	3	   	256.78	DCR|5VULN|1TLV|1CDMG	1DUST|2467aVULN|3MBVNT|5CDMG|8RCR|9TLV
162	51245 12331	2	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1MLV|23DUR|4CDMG|58aVULN|6RCR|7ASPD|9TLV
163	21245 12331	2	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ERES|23DUR|4CDMG|58aVULN|6RCR|7ASPD|9TLV
164	21545 12331	3	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ERES|23DUR|4CDMG|58aVULN|6RCR|7ASPD|9TLV
165	23453 12113	2	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ERES|269VULN|3ZMB|4DMG|56DUR|6BPWR|7AART|8ASPD|aRCR
166	33122 62162	9	   	256.29	DCR|4VULN|2DMG|1ASPD	1LEGI|2aMLV|356aVULN|4CGEN|7ASPD|8aDMG|9RCR|aBPWR
167	63323 36352	7	   	256.23	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	1LWND|25DMG|3SELL|45DUR|5BPWR|68VULN|7TLV|9RCR|aCDMG
168	63323 36512	9	   	256.23	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	1LWND|25DMG|3SELL|45DUR|5BPWR|68VULN|7TLV|9RCR|aCDMG
169	63323 36513	10	   	256.23	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	1LWND|25DMG|3SELL|45DUR|5BPWR|68VULN|7TLV|9RCR|aCDMG
170	33162 62162	9	   	256.19	DCR|4VULN|2DMG|1ASPD	1LEGI|2aMLV|356aVULN|4ERES|7ASPD|8aDMG|9RCR|aBPWR
171	63323 11563	9	   	255.83	DCR|2VULN|3DMG|2DUR|1CDMG|1SELL	1aLWND|25aDMG|3SELL|45DUR|5aBPWR|6RCVC|7CDMG|8aVULN|9RCR
172	21512 22826	9	 * 	255.25	DCR|2VULN|3DMG|3DUR	1aERES|235DUR|4MBVNT|67aDMG|8aVULN|9RCR|aBPWR
173	31164 48734	9	   	255.16	DCR|3VULN|3DUR|3CDMG	1LEGI|2BELT|37aDUR|4MBVNT|57aVULN|67aCDMG|7aBPWR|8RCR|9DMSP
174	63113 23323	2	   	254.85	DCR|3VULN|3DMG|1DUR	19aLWND|29aDMG|34LHND|5DUR|6RCR|79aVULN|8RMIN|9aBPWR
175	63211 23323	2	   	254.85	DCR|3VULN|3DMG|1DUR	19aLWND|29aDMG|3DUR|45LHND|6RCR|79aVULN|8RMIN|9aBPWR
176	63413 23323	3	   	254.85	DCR|3VULN|3DMG|1DUR	19aLWND|29aDMG|34LHND|5DUR|6RCR|79aVULN|8RMIN|9aBPWR
