0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36224 26112	8	 * 	297.16	DCR|4VULN|3DMG|2CDMG|1TLV	1DLOT|2378VULN|38BPWR|48CDMG|568DMG|9RCR|aTLV
32	36331 33221	7	 * 	278.75	DCR|3VULN|3DUR|1DMG|2CDMG	1DLOT|289VULN|358DUR|48CDMG|6AART|7RCR|8BPWR|aDMG
33	36226 36331	6	 * 	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1DLOT|236aVULN|36aBPWR|46CDMG|5RMIN|7RCR|8aTLV|9aDUR
34	41252 24122	2	 * 	275.93	DCR|5VULN|2DMG|1ASPD	1346aVULN|2aBEXP|5CGEN|7RCR|8ASPD|9aDMG|aBPWR
35	42252 24122	1	   	275.93	DCR|5VULN|2DMG|1ASPD	1346aVULN|2aBEXP|5CGEN|7RCR|8ASPD|9aDMG|aBPWR
36	41253 14122	2	   	275.83	DCR|5VULN|2DMG|1ASPD	1345aVULN|2aBEXP|6ERES|7RCR|8ASPD|9aDMG|aBPWR
37	42253 14122	1	   	275.83	DCR|5VULN|2DMG|1ASPD	1345aVULN|2aBEXP|6ERES|7RCR|8ASPD|9aDMG|aBPWR
38	42243 25173	6	 * 	274.62	ACR|4VULN|3DMG|3LIT|1DUR	1789VULN|2MBVNT|3AART|4RCR|578LIT|678DMG|789BPWR|aDUR
39	42263 22174	2	   	272.95	DCR|5VULN|1DMG|1DUR	13457VULN|2MBVNT|6DUR|8AART|9RCR|aDMG
40	42431 42372	2	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	158VULN|2MBVNT|38DMG|4LIT|6ASPD|78DUR|8BPWR|9FEWX|aRCR
41	46131 24132	4	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	146aVULN|2aCGEN|3DUR|5RCVC|7RCR|8ASPD|9aDMG|aBPWR
42	36224 26313	6	 * 	271.92	DCR|3VULN|3DMG|2TLV|1CDMG	1DLOT|239VULN|39BPWR|4CDMG|569DMG|7RCR|89TLV|aMLV
43	36224 26312	6	   	271.82	DCR|3VULN|3DMG|2TLV|1CDMG	1DLOT|239VULN|39BPWR|4CDMG|569DMG|7RCR|89TLV|aDUST
44	42272 16314	8	   	271.45	DCR|3VULN|2DMG|2DUR	159VULN|2MBVNT|3AART|4RPLT|69DUR|7RCR|89DMG|9BPWR|aLIT
45	42512 16314	8	   	271.45	DCR|3VULN|2DMG|2DUR	159VULN|2MBVNT|3RPLT|4AART|69DUR|7RCR|89DMG|9BPWR|aLIT
46	54121 11243	8	 * 	271.44	DCR|5VULN|3DUR	129FEWX|3RPLT|49aDUR|5679aVULN|8RCR|9aBPWR
47	21224 32343	8	 * 	271.34	ACR|3VULN|3DMG|3DUR|2ASPD|1SELL	1SELL|249DUR|3RCR|59aVULN|6LHND|7aASPD|89aDMG|9aBPWR
48	21224 52343	8	 * 	271.34	ACR|3VULN|3DMG|3DUR|2ASPD|1SELL	1SELL|249DUR|3RCR|59aVULN|6LWND|7aASPD|89aDMG|9aBPWR
49	36226 36311	6	 * 	269.96	DCR|4VULN|3CDMG|2TLV|1DUR	1DLOT|2369VULN|369BPWR|469CDMG|5RMIN|7RCR|89TLV|aDUR
50	42438 42338	2	 * 	269.74	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	18VULN|2MBVNT|38DMG|4LIT|56ASPD|78DUR|8BPWR|9CDMG|aRCR
51	41213 65223	2	 * 	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	135aVULN|2BEXP|48DUR|6DMG|7RCR|9ASPD
52	42213 65223	1	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	135aVULN|2BEXP|48DUR|6DMG|7RCR|9ASPD
53	21463 13714	7	   	269.33	DCR|4VULN|2DUR|1TLV|2LIT|1SELL	1SELL|28DUR|38LIT|4589VULN|6RCR|7MBVNT|8BPWR|aTLV
54	36261 33152	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1DLOT|238VULN|38BPWR|48DMG|59DUR|6LHND|78LIT|aRCR
55	36343 14112	5	 * 	268.30	DCR|3VULN|3DUR|3ASPD	1DLOT|278VULN|378DUR|4LHND|5LIT|678ASPD|78BPWR|9BEXP|aRCR
56	42243 25151	6	   	268.23	ACR|3VULN|3DMG|3LIT|1TLV|1DUR	178VULN|2MBVNT|3AART|4RCR|578LIT|678DMG|78BPWR|9TLV|aDUR
57	36313 14112	5	   	268.20	DCR|3VULN|3DUR|3ASPD	1DLOT|278VULN|378DUR|4DUST|5LIT|678ASPD|78BPWR|9BEXP|aRCR
58	36313 14162	5	   	268.20	DCR|3VULN|3DUR|3ASPD	1DLOT|278VULN|378DUR|4DUST|5LIT|678ASPD|78BPWR|9LHND|aRCR
