0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11226 13663	7	 * 	279.50	DCR|4VULN|3DMG|1DUR|2LIT	1248VULN|3ERES|58LIT|68aDMG|7RCR|8BPWR|9DUR
49	12121 33414	5	   	262.46	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	15aVULN|2CDMG|3DMSP|4MBVNT|6AART|7aDUR|8RCR|9aTLV|aBPWR
50	12221 33414	5	   	262.46	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	15aVULN|2CDMG|3RCVC|4MBVNT|6AART|7aDUR|8RCR|9aTLV|aBPWR
51	11312 43512	5	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|3LIT|47CGEN|5MBVNT|67DMG|7BPWR|8TLV|9DUR|aRCR
52	16612 43512	5	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	137VULN|2LIT|47CGEN|5MBVNT|67DMG|7BPWR|8TLV|9DUR|aRCR
53	31531 43253	5	   	262.35	DCR|3VULN|2DMG|1TLV|2ASPD	1LIT|24ASPD|348VULN|4BPWR|5FEWX|6RCR|7aDMG|9TLV
54	52111 55333	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2DUR|37aVULN|4LHND|5TLV|68DMG|9RCR
55	11226 13413	7	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	124VULN|3ERES|5LIT|6aDMG|7RCR|8TLV|9DUR
56	11226 13553	8	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	124VULN|3ERES|5LIT|6aDMG|7RCR|8DUR|9TLV
57	31532 33163	6	   	262.25	DCR|3VULN|2DMG|1TLV|2ASPD	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7aDMG|8RCR|9TLV
58	31532 35163	7	   	262.25	DCR|3VULN|2DMG|1TLV|2ASPD	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7aDMG|8RCR|9TLV
59	31532 42163	5	   	262.25	DCR|3VULN|2DMG|1TLV|2ASPD	1LIT|24ASPD|347VULN|4BPWR|5MBVNT|6aDMG|8RCR|9TLV
60	11415 21251	3	 * 	261.22	DCR|4VULN|1TLV|1DMG|2CDMG	1269VULN|3DMSP|46CDMG|5TBNT|6BPWR|7DMG|8TLV|aRCR
61	11416 21251	3	   	261.22	DCR|4VULN|1TLV|1DMG|2CDMG	1269VULN|3DMSP|46CDMG|5BBNT|6BPWR|7DMG|8TLV|aRCR
62	11314 13412	5	   	261.09	DCR|4VULN|2TLV|1CDMG|1AART	1267VULN|3LIT|47CGEN|57TLV|7BPWR|8CDMG|9AART|aRCR
63	31532 33168	6	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7DMG|8RCR|9TLV|aDUR
64	31532 33362	6	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7DMG|8DUR|9TLV|aRCR
65	31532 35362	7	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7DMG|8DUR|9TLV|aRCR
66	31532 35642	9	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7DMG|8DUR|9TLV|aRCR
67	31532 42168	5	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|347VULN|4BPWR|5MBVNT|6DMG|8RCR|9TLV|aDUR
68	31532 42362	5	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|347VULN|4BPWR|5MBVNT|6DMG|8DUR|9TLV|aRCR
69	31532 34813	9	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7DUR|8RCR|9DMG|aTLV
70	31532 34818	10	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7DUR|8RCR|9DMG|aTLV
71	31532 34833	8	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|7DUR|8RCR|9DMG|aTLV
72	33248 54444	2	   	260.33	DCR|4VULN|2DUR|1TLV	1LIT|26DUR|368aVULN|4MBVNT|5BELT|6BPWR|7TLV|9RCR
73	56331 32361	3	 * 	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1aASPD|2BELT|3aVULN|4BBNT|5TLV|68DUR|7aDMG|9RCR|aBPWR
74	52122 34151	1	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	17ASPD|27DUR|3aVULN|4BBNT|5TLV|67DMG|7BPWR|8LWND|9RCR
75	52122 34611	1	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	17ASPD|27DUR|3aVULN|4BBNT|5TLV|67DMG|7BPWR|8RCR|9BEXP
76	16232 42336	3	 * 	260.18	4VULN|3DMG|3DUR|1TLV|1CDMG	189aVULN|2LIT|389DUR|4TLV|5BBNT|6CDMG|789DMG|89BPWR
77	11334 41613	3	   	259.61	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	127VULN|39LIT|4DUR|5ASPD|6RCR|8TLV|aDMG
78	11341 13633	2	   	259.60	DCR|5VULN|1TLV|1DMG	12567VULN|3MLV|4TLV|8RPLT|9DMG|aRCR
79	14141 13633	1	   	259.60	DCR|5VULN|1TLV|1DMG	13567VULN|2MLV|4TLV|8RPLT|9DMG|aRCR
80	26141 13633	1	   	259.60	DCR|5VULN|1TLV|1DMG	1MLV|23567VULN|4TLV|8RPLT|9DMG|aRCR
81	11421 22526	8	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	126VULN|3DMSP|46DUR|5RMIN|6BPWR|7TLV|8DMG|9ASPD|aRCR
82	11421 22626	7	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	126VULN|3DMSP|46DUR|5RMIN|6BPWR|7TLV|8DMG|9ASPD|aRCR
83	31532 42383	6	   	259.30	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|24ASPD|3478VULN|4BPWR|5MBVNT|6TLV|9CDMG|aRCR
84	11543 14313	3	   	259.27	DCR|4VULN|2TLV|1DUR|1CDMG	1256VULN|3RMIN|45TLV|5BPWR|7DUR|8FEWX|9CDMG|aRCR
85	11226 13516	10	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	124VULN|3ERES|5LIT|6DMG|7RCR|89DUR|aTLV
86	16233 23366	6	   	259.23	DCR|3VULN|2DMG|2DUR	16aVULN|2LIT|3aDUR|4RMIN|5LWND|7ASPD|8aDMG|9RCR|aBPWR
87	16213 22366	7	   	259.13	DCR|3VULN|2DMG|2DUR|1NUKE	16aVULN|2LIT|3aDUR|4ASPD|5LWND|7aDMG|8NUKE|9RCR|aBPWR
88	16213 23366	6	   	259.13	DCR|3VULN|2DMG|2DUR|1NUKE	16aVULN|2LIT|3aDUR|4ASPD|5LWND|7aDMG|8NUKE|9RCR|aBPWR
89	31533 62112	7	   	259.04	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	17LIT|24ASPD|347VULN|47BPWR|57DMG|6LEGI|8ZMB|9DUR|aRCR
90	31533 62522	9	   	259.04	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	17LIT|24ASPD|347VULN|47BPWR|57DMG|6LEGI|8DUR|9ZMB|aRCR
91	31533 12663	7	 * 	258.94	DCR|3VULN|1TLV|3ASPD|1DMG|2LIT	17LIT|247ASPD|349VULN|47BPWR|5DMG|67FEWX|8RCR|aTLV
92	56332 11361	6	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|2BELT|35aVULN|45DMG|5aBPWR|6CGEN|7aDUR|8BBNT|9RCR
93	56332 31114	5	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|2BELT|358VULN|45DMG|58BPWR|69ERES|78DUR|aRCR
94	56332 31114	6	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|2BELT|358VULN|45DMG|58BPWR|69ERES|78DUR|aRCR
95	56332 31361	5	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|2BELT|35aVULN|45DMG|5aBPWR|6ERES|7aDUR|8BBNT|9RCR
96	56332 31361	6	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|2BELT|35aVULN|45DMG|5aBPWR|6ERES|7aDUR|8BBNT|9RCR
97	31534 33511	6	   	258.67	DCR|2VULN|2DUR|1TLV|3ASPD|2LIT|1CDMG	17LIT|247ASPD|34VULN|47BPWR|5TLV|67DUR|8RPLT|9RCR|aCDMG
98	11413 42251	3	 * 	258.01	DCR|5VULN|2DUR|1CDMG	12679VULN|3DMSP|4CDMG|59DUR|89BEXP|9BPWR|aRCR
99	11413 41251	3	   	258.01	DCR|5VULN|2DUR|1CDMG	12689VULN|3DMSP|4CDMG|59DUR|79LWND|9BPWR|aRCR
100	11421 25611	7	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	126VULN|3DMSP|467DUR|5RMIN|6BPWR|8CDMG|9TLV|aRCR
101	12412 33131	1	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	158VULN|2CGEN|3TLV|457DUR|5BPWR|6RCVC|9CDMG|aRCR
102	12412 63131	1	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	158VULN|26CGEN|3TLV|457DUR|5BPWR|9CDMG|aRCR
103	11311 41453	3	   	257.87	DCR|4VULN|1TLV|1DMG	1278VULN|3LIT|4ASPD|5LWND|6RCR|9TLV|aDMG
104	12415 53131	1	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	168VULN|2CGEN|3TLV|457DUR|9CDMG|aRCR
105	13435 41231	1	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	158VULN|269DUR|3CDMG|4ZMB|7TLV|aRCR
106	11543 22331	3	 * 	257.84	DCR|4VULN|3TLV|1DMG	1257VULN|3RMIN|457TLV|57BPWR|67MLV|8ASPD|9DMG|aRCR
107	26143 32331	1	   	257.84	DCR|4VULN|3TLV|1DMG	17MLV|2357VULN|457TLV|57BPWR|6RMIN|8ASPD|9DMG|aRCR
108	11413 42151	3	   	257.81	DCR|5VULN|2DUR|1CDMG	12679VULN|3DMSP|4CDMG|59DUR|89DUST|9BPWR|aRCR
109	11352 12624	4	   	257.75	DCR|3VULN|2DMG|1TLV|3LIT	128VULN|358LIT|4BEXP|6ERES|78DMG|8BPWR|9RCR|aTLV
110	11362 12624	3	   	257.75	DCR|3VULN|2DMG|1TLV|3LIT	128VULN|358LIT|4BEXP|6ERES|78DMG|8BPWR|9RCR|aTLV
111	16121 32624	6	   	257.75	DCR|3VULN|2DMG|1TLV|3LIT	168VULN|248LIT|3ERES|5BEXP|78DMG|8BPWR|9RCR|aTLV
112	16131 32624	6	   	257.75	DCR|3VULN|2DMG|1TLV|3LIT	168VULN|248LIT|34ERES|48BPWR|5BEXP|78DMG|9RCR|aTLV
113	13614 14131	1	   	257.75	DCR|3VULN|3DUR|1TLV|1CDMG	158VULN|234DUR|6ERES|7TLV|9CDMG|aRCR
114	11543 52331	3	   	257.64	DCR|4VULN|3TLV|1DMG	1257VULN|3RMIN|457TLV|57BPWR|67ERES|8ASPD|9DMG|aRCR
115	11451 21214	4	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1248VULN|3DMSP|5DMG|6RPLT|7TLV|9RCR|aDUR
116	11324 33112	6	   	257.22	DCR|3VULN|2TLV|2DUR|1AART	127VULN|3LIT|4RMIN|57TLV|67DUR|7BPWR|8ZMB|9AART|aRCR
117	16624 33112	6	   	257.22	DCR|3VULN|2TLV|2DUR|1AART	137VULN|2LIT|4RMIN|57TLV|67DUR|7BPWR|8ZMB|9AART|aRCR
118	11526 13363	7	   	257.19	DCR|4VULN|2DMG|1DUR	1248VULN|3RMIN|5LIT|6aDMG|7RCR|9DUR
119	11526 13523	9	   	257.19	DCR|4VULN|2DMG|1DUR	1249VULN|3RMIN|5LIT|6aDMG|7RCR|8DUR
120	13121 44243	5	   	257.16	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1456VULN|2DUST|3SELL|7TLV|8DUR|9DMG|aRCR
121	31531 41216	4	   	257.13	DCR|4VULN|2DUR|2ASPD|2LIT	1aLIT|24ASPD|347aVULN|4aBPWR|5LWND|6RCR|8BEXP|9aDUR
122	31531 41316	4	   	257.13	DCR|4VULN|2DUR|2ASPD|2LIT	1aLIT|24ASPD|347aVULN|4aBPWR|5LWND|6RCR|8FEWX|9aDUR
123	11226 13523	9	   	257.09	DCR|4VULN|2DMG|1DUR	1249VULN|3ERES|5LIT|6aDMG|7RCR|8DUR
124	31532 34177	7	   	256.93	DCR|4VULN|2DUR|2ASPD|2LIT	1aLIT|24ASPD|346aVULN|4aBPWR|5MBVNT|7aDUR|8LEGI|9RCR
125	31531 43316	4	   	256.04	DCR|3VULN|2DUR|1DMG|2ASPD|2LIT|1NUKE	1aLIT|24ASPD|34aVULN|4aBPWR|5LWND|6RCR|7DMG|8NUKE|9aDUR
126	31531 41413	4	   	255.86	DCR|4VULN|1DMG|2ASPD|1DUR	1LIT|24ASPD|3478VULN|4BPWR|5LWND|6RCR|9DUR|aDMG
127	11344 88438	1	 * 	255.85	DCR|3VULN|3DUR|2DMG	19aVULN|2MBVNT|36aFEWX|456DUR|6aBPWR|7RCR|8aDMG
128	31532 34843	8	   	255.76	DCR|4VULN|1DMG|2ASPD|1DUR	1LIT|24ASPD|3469VULN|4BPWR|5MBVNT|7DUR|8RCR|aDMG
129	11316 33112	3	   	255.62	DCR|2VULN|2DMG|1TLV|1DUR|1AART	12VULN|3LIT|4ASPD|57DMG|6TLV|8DUR|9AART|aRCR
130	16216 33112	2	   	255.62	DCR|2VULN|2DMG|1TLV|1DUR|1AART	13VULN|2LIT|4ASPD|57DMG|6TLV|8DUR|9AART|aRCR
131	16616 33112	3	   	255.62	DCR|2VULN|2DMG|1TLV|1DUR|1AART	13VULN|2LIT|4ASPD|57DMG|6TLV|8DUR|9AART|aRCR
132	31532 43212	6	   	255.57	DCR|3VULN|2TLV|2ASPD|1DUR|2LIT	17LIT|24ASPD|347VULN|47BPWR|5MBVNT|67TLV|8ERES|9DUR|aRCR
133	31534 63212	5	   	255.57	DCR|3VULN|2TLV|2ASPD|1DUR|2LIT	17LIT|24ASPD|347VULN|47BPWR|57TLV|6MBVNT|8ERES|9DUR|aRCR
134	31532 34848	10	   	255.43	DCR|3VULN|2DUR|1TLV|2ASPD	1LIT|24ASPD|346VULN|4BPWR|5MBVNT|79DUR|8RCR|aTLV
135	36232 42331	1	 * 	254.96	ACR|3VULN|3DMG|1TLV|3LIT|1CDMG	189LIT|2RCR|389VULN|4TLV|5BBNT|6CDMG|789DMG|89BPWR|aCGEN
136	36232 42332	1	   	254.96	ACR|3VULN|3DMG|1TLV|3LIT|1CDMG	189LIT|2RCR|389VULN|4TLV|5BBNT|6CDMG|789DMG|89BPWR|aFEWX
137	36232 42336	1	   	254.96	ACR|3VULN|3DMG|1TLV|3LIT|1CDMG	189LIT|2RCR|389VULN|4TLV|5BBNT|6CDMG|789DMG|89BPWR|aBEXP
138	11522 31226	5	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3RMIN|5FEWX|6CDMG|7TLV|9DMG|aRCR
139	36232 42333	1	   	254.86	ACR|3VULN|3DMG|1TLV|3LIT|1CDMG	189LIT|2RCR|389VULN|4TLV|5BBNT|6CDMG|789DMG|89BPWR|aDLOT
140	11524 31226	4	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3RMIN|5CDMG|6LEGI|7TLV|9DMG|aRCR
141	11151 21226	6	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3DUST|5RMIN|6CDMG|7TLV|9DMG|aRCR
142	11151 24126	8	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3DUST|5RMIN|6CDMG|7TLV|9DMG|aRCR
143	11151 24226	7	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3DUST|5RMIN|6CDMG|7TLV|9DMG|aRCR
144	11222 31226	5	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3ERES|5FEWX|6CDMG|7TLV|9DMG|aRCR
145	11223 31226	4	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3ERES|5FEWX|6CDMG|7TLV|9DMG|aRCR
146	11224 61226	4	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3ERES|5CDMG|6BEXP|7TLV|9DMG|aRCR
147	12653 11226	6	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1468VULN|2CDMG|3ERES|5FEWX|7TLV|9DMG|aRCR
148	33313 16312	1	 * 	254.71	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1LIT|24CDMG|34VULN|4BPWR|59DUR|6TLV|7RPLT|8DMG|aRCR
149	11224 11226	4	   	254.70	DCR|4VULN|1TLV|1DMG|1CDMG	1248VULN|3ERES|5CDMG|6DUST|7TLV|9DMG|aRCR
150	11312 43383	5	   	254.69	DCR|4VULN|2DMG|1CDMG	1278VULN|3LIT|47CGEN|5MBVNT|67DMG|7BPWR|9CDMG|aRCR
151	16612 43383	5	   	254.69	DCR|4VULN|2DMG|1CDMG	1378VULN|2LIT|47CGEN|5MBVNT|67DMG|7BPWR|9CDMG|aRCR
152	16251 24112	7	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	145VULN|2LIT|3DUR|6TLV|7DMG|8ZMB|9AART|aRCR
153	31531 33412	6	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|346VULN|4BPWR|5FEWX|7DMG|8TLV|9AART|aRCR
154	31531 34412	7	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|346VULN|4BPWR|5FEWX|7DMG|8TLV|9AART|aRCR
155	31533 12412	6	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6FEWX|8TLV|9AART|aRCR
156	31533 21412	6	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|348VULN|4BPWR|5DMG|6TLV|7BEXP|9AART|aRCR
157	31533 25312	7	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6TLV|8AART|9FEWX|aRCR
158	31533 25412	7	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6TLV|8FEWX|9AART|aRCR
159	31533 25512	8	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6TLV|8BEXP|9AART|aRCR
160	31533 31412	5	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|348VULN|4BPWR|5DMG|6TLV|7BEXP|9AART|aRCR
161	31533 52412	5	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6BEXP|8TLV|9AART|aRCR
162	31536 31412	4	   	254.42	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	1LIT|24ASPD|348VULN|4BPWR|5DMG|6TLV|7BEXP|9AART|aRCR
