0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42323 35353	10	 * 	267.68	DCR|4VULN|2TLV|1DUR|1CDMG	19LWND|2LIT|369aVULN|4CDMG|5DUR|7RCR|89TLV|9BPWR
69	12322 65153	10	   	250.10	DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	18DUST|2LIT|38VULN|4CDMG|5DMG|68TLV|7RCR|8BPWR|9DUR|aASPD
70	21531 33112	10	   	250.07	DCR|4VULN|2DMG|2AART	1aERES|2RPLT|379aVULN|4aDMG|58AART|6RCR|aBPWR
71	12416 35112	10	 * 	249.90	DCR|3VULN|1TLV|3LIT|1DUR|1CDMG	18DUST|238LIT|4DUR|5CDMG|689VULN|7RCR|8BPWR|aTLV
72	32512 23234	6	   	249.73	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|27aDMG|3aVULN|4MLV|56ASPD|8RCR|9aDUR|aBPWR
73	32522 23224	6	   	249.73	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|27aDMG|3aVULN|4CGEN|56ASPD|8RCR|9aDUR|aBPWR
74	32522 61224	7	   	249.73	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|26aDMG|3aVULN|4CGEN|57ASPD|8RCR|9aDUR|aBPWR
75	35314 61312	4	   	249.64	DCR|5VULN|1DMG|1DUR	1RCVC|2DUR|3458aVULN|6RCR|7DMG|9MLV
76	33164 42322	1	 * 	249.54	DCR|5VULN|3LIT|1DUR	1RCVC|2DUR|35678VULN|456LIT|56BPWR|9TBNT|aRCR
77	33264 42322	1	   	249.54	DCR|5VULN|3LIT|1DUR	1RCVC|2DUR|356LIT|45678VULN|56BPWR|9TBNT|aRCR
78	22612 23224	6	   	249.53	DCR|2VULN|3DMG|2DUR|2ASPD	1aERES|27aDMG|34VULN|56ASPD|8RCR|9aDUR|aBPWR
79	14233 62231	9	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	19DUST|28VULN|39DMG|4FEWX|5DUR|69CDMG|7RCR|9BPWR|aTLV
80	15253 62231	9	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	19DUST|2BEXP|39DMG|48VULN|5DUR|69CDMG|7RCR|9BPWR|aTLV
81	22613 33652	10	   	249.21	DCR|4VULN|1TLV|1DMG|1SELL	1ERES|2DMG|3459VULN|6SELL|7LIT|8TLV|aRCR
82	22612 22165	5	   	249.17	DCR|4VULN|1DMG|1DUR|1AART	1ERES|2DMG|3479VULN|5ASPD|6AART|8DUR|aRCR
83	32541 15123	7	   	249.15	DCR|3VULN|3DMG|1CDMG|1SELL	14RCVC|268DMG|368VULN|5SELL|68BPWR|7RCR|9CDMG|aLIT
84	31311 44263	9	   	248.89	DCR|4VULN|2DMG|1DUR	1RCVC|2LHND|3478VULN|5aDMG|6DUR|9RCR
85	32513 12254	5	   	248.89	DCR|4VULN|2DMG|2ASPD	1RCVC|2aDMG|359aVULN|4MLV|6DUST|7aASPD|8RCR|aBPWR
86	32513 12254	4	   	248.89	DCR|4VULN|2DMG|2ASPD	1RCVC|2aDMG|359aVULN|4MLV|6DUST|7aASPD|8RCR|aBPWR
87	22613 61263	9	   	248.79	DCR|4VULN|2DMG|1DUR	1ERES|2aDMG|3458VULN|6DUR|7MLV|9RCR
88	32541 15331	9	   	248.74	DCR|4VULN|2DMG|1DUR|1SELL	14RCVC|26DMG|368aVULN|5SELL|6BPWR|7RCR|9DUR
89	22613 43334	6	   	248.69	DCR|4VULN|2DMG|1DUR	1ERES|26DMG|3457VULN|8BBNT|9DUR|aRCR
90	12322 65131	10	   	248.35	DCR|2VULN|2TLV|1DMG|1DUR|2LIT|1CDMG	18DUST|29LIT|38VULN|4CDMG|5DMG|68TLV|7RCR|8BPWR|aDUR
91	12323 35333	10	   	248.20	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2LIT|36VULN|4CDMG|59DUR|7RCR|8TLV|aDMG
92	32531 26123	5	   	248.19	DCR|2VULN|3DMG|2DUR|2LIT|1SELL	1RCVC|279DMG|39VULN|47DUST|5SELL|67LIT|79BPWR|89DUR|aRCR
93	22613 33214	10	   	248.00	DCR|5VULN|1DMG|2LIT|1SELL	19ERES|2DMG|3459aVULN|6SELL|79LIT|8RCR|9BPWR
94	13224 16386	1	   	247.68	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	17DUST|247VULN|3MBVNT|5AART|67TLV|7BPWR|8DUR|9RCR|aCDMG
95	21531 24114	8	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1ERES|2RPLT|378VULN|4aDMG|5AART|6TLV|9RCR
96	21531 24134	9	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1ERES|2RPLT|378VULN|4aDMG|5AART|6TLV|9RCR
97	21531 31314	8	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1ERES|2RPLT|389VULN|4aDMG|5AART|6RCR|7TLV
98	21531 31314	7	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1ERES|2RPLT|389VULN|4aDMG|5AART|6RCR|7TLV
99	32541 15323	10	   	247.31	DCR|3VULN|2DMG|1TLV|1AART|1SELL	14RCVC|26DMG|368VULN|5SELL|6BPWR|7RCR|9TLV|aAART
100	44211 63113	6	 * 	247.30	DCR|3VULN|3DMG|3LIT	19LWND|25aVULN|379DMG|489LIT|6RCR|9BPWR
101	22611 33214	10	   	247.25	DCR|4VULN|2DMG|2LIT|1SELL	19ERES|25DMG|349aVULN|6SELL|79LIT|8RCR|9BPWR
102	22663 33214	10	   	247.25	DCR|4VULN|2DMG|2LIT|1SELL	19ERES|24DMG|359aVULN|6SELL|79LIT|8RCR|9BPWR
103	21534 21112	9	   	247.20	DCR|3VULN|3DMG|3LIT	189ERES|2RPLT|37aVULN|48aDMG|58aLIT|6RCR|8aBPWR
104	21534 24132	8	   	247.20	DCR|3VULN|3DMG|3LIT	178ERES|2RPLT|39aVULN|48aDMG|58aLIT|6RCR|8aBPWR
105	32553 23224	6	   	247.09	DCR|2VULN|3DMG|2DUR|1CDMG|1SELL	1RCVC|26aDMG|3aVULN|4CDMG|56CGEN|6aBPWR|7SELL|8RCR|9aDUR
106	13226 81264	1	   	246.84	DCR|5VULN|1DMG|1CDMG	15DUST|24569VULN|3MBVNT|5BPWR|7DMG|8RCR|aCDMG
107	42323 35161	10	   	246.70	DCR|3VULN|3DUR|2LIT|1CDMG	18LWND|28LIT|369VULN|4CDMG|58aDUR|7RCR|8BPWR
108	42323 35351	9	   	246.63	DCR|3VULN|2TLV|1DUR|1CDMG	19LWND|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aMLV
109	42323 35352	10	   	246.63	DCR|3VULN|2TLV|1DUR|1CDMG	19aLWND|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR
110	42323 35352	9	   	246.53	DCR|3VULN|2TLV|1DUR|1CDMG	19LWND|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aBBNT
111	42323 35353	9	   	246.53	DCR|3VULN|2TLV|1DUR|1CDMG	19LWND|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aTBNT
112	12323 35351	9	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	19DUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aMLV
113	12323 35352	10	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	19DUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aLWND
114	12323 35354	9	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	19DUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aCGEN
115	22612 22256	5	   	246.38	DCR|3VULN|1TLV|1DMG|1AART	1ERES|2DMG|347VULN|5ASPD|6AART|8TLV|9LIT|aRCR
116	35313 61322	5	   	246.37	DCR|3VULN|3DUR|1DMG	1RCVC|259DUR|348VULN|6RCR|7DMG|aLIT
117	35313 61352	5	   	246.37	DCR|3VULN|3DUR|1DMG	1RCVC|25aDUR|348VULN|6RCR|7DMG|9LIT
118	12323 35352	9	   	246.33	DCR|3VULN|2TLV|1DUR|1CDMG	19DUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aBBNT
119	12323 35353	9	   	246.33	DCR|3VULN|2TLV|1DUR|1CDMG	19DUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aTBNT
120	12323 35355	10	   	246.33	DCR|3VULN|2TLV|1DUR|1CDMG	19aDUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR
121	11615 21234	6	   	246.10	DCR|3VULN|2DMG|1TLV	1aDUST|2RCVC|34aVULN|5TLV|6ASPD|7aDMG|8RCR|9DMSP|aBPWR
122	21531 33221	8	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ERES|2RPLT|378VULN|4DMG|5AART|6RCR|9DUR|aTLV
123	21531 33241	9	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ERES|2RPLT|378VULN|4DMG|5AART|6RCR|9DUR|aTLV
124	21531 33521	7	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ERES|2RPLT|378VULN|4DMG|5AART|6RCR|9DUR|aTLV
125	21531 63251	9	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ERES|2RPLT|378VULN|4DMG|5AART|6DUR|9RCR|aTLV
126	22613 41253	7	   	246.00	DCR|3VULN|2DMG|1TLV	1ERES|26DMG|345VULN|7ZMB|8RCR|9LIT|aTLV
127	22613 33213	10	   	245.91	DCR|4VULN|1DMG|1DUR|2LIT|1SELL	19ERES|2DMG|3459VULN|6SELL|79LIT|8RCR|9BPWR|aDUR
128	35313 61312	5	   	245.88	DCR|4VULN|2DUR|1DMG	1RCVC|25DUR|348aVULN|6RCR|7DMG|9MLV
129	35314 61313	4	   	245.88	DCR|4VULN|2DUR|1DMG	1RCVC|2aDUR|3458VULN|6RCR|7DMG|9MLV
130	35314 61321	4	   	245.88	DCR|4VULN|2DUR|1DMG	1RCVC|29DUR|3458VULN|6RCR|7DMG|aCGEN
131	35314 61322	4	   	245.88	DCR|4VULN|2DUR|1DMG	1RCVC|29DUR|3458VULN|6RCR|7DMG|aLWND
132	22611 33652	10	   	245.75	DCR|3VULN|2DMG|1TLV|1SELL	1ERES|25DMG|349VULN|6SELL|7LIT|8TLV|aRCR
133	22613 33642	10	   	245.75	DCR|3VULN|2DMG|1TLV|1SELL	1ERES|29DMG|345VULN|6SELL|7LIT|8TLV|aRCR
134	22612 22135	5	   	245.70	DCR|3VULN|2DMG|1DUR|1AART	1ERES|29DMG|347VULN|5ASPD|6AART|8DUR|aRCR
135	26611 22135	5	   	245.70	DCR|3VULN|2DMG|1DUR|1AART	1ERES|2ASPD|347VULN|59DMG|6AART|8DUR|aRCR
136	26612 22135	4	   	245.70	DCR|3VULN|2DMG|1DUR|1AART	1ERES|2ASPD|347VULN|59DMG|6AART|8DUR|aRCR
137	35314 62213	4	   	245.65	DCR|4VULN|1TLV|1DUR	1RCVC|2DUR|345aVULN|6RCR|7DUST|8LIT|9TLV
138	14251 32326	9	   	245.54	DCR|4VULN|2DUR|1DMG|1SELL	1aDUST|247aVULN|3DMG|5SELL|6ERES|8RCR|9aDUR|aBPWR
139	22153 42125	2	   	245.21	DCR|4VULN|1DMG|1CDMG	1ERES|2DMG|389aVULN|4ASPD|5CDMG|6RCR|7LIT
140	13623 52124	10	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|2CGEN|3CDMG|489aVULN|5DMG|6RCR|7DUR
141	13623 52126	9	   	244.80	DCR|3VULN|2DUR|1DMG|2CDMG	1aDUST|2CGEN|3aCDMG|489VULN|5DMG|6RCR|7aDUR|aBPWR
142	12323 35634	10	   	244.80	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	1DUST|29LIT|368VULN|4CDMG|5DUR|7RCR|aTLV
143	12323 35635	9	   	244.80	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	1DUST|29LIT|368VULN|4CDMG|5DUR|7RCR|aTLV
144	35314 24233	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|2DUR|345VULN|6TLV|7RCR|8LHND|9DMG|aLIT
145	35315 21263	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|2DUR|348VULN|5TLV|6ASPD|7MLV|9RCR|aDMG
146	21531 36112	10	   	244.67	DCR|3VULN|3DMG|2AART	1aERES|2RPLT|39aVULN|47aDMG|58AART|6RCR|aBPWR
147	11615 21252	6	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2RCVC|349VULN|5TLV|6ASPD|7DMG|8RCR|aDUR
148	32413 12252	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|2DMG|3TLV|459VULN|6DUST|7ASPD|8RCR|aDUR
149	42323 35323	10	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1LWND|2LIT|36aVULN|49CDMG|5DUR|7RCR|8TLV
150	35313 23166	5	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1RCVC|25DUR|349VULN|6TLV|7CDMG|8LWND|aRCR
151	22612 26253	7	   	244.56	DCR|3VULN|1TLV|1DMG|2ASPD	1ERES|2DMG|347VULN|56ASPD|8RCR|9LIT|aTLV
152	12323 35625	8	   	244.56	DCR|3VULN|1TLV|2CDMG|1DUR	1DUST|2LIT|368VULN|49CDMG|5DUR|7RCR|aTLV
153	35313 23366	5	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	1RCVC|25DUR|348VULN|6TLV|7CDMG|9LEGI|aRCR
154	32413 23334	2	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1RCVC|2DMG|36TLV|457VULN|8BBNT|9DUR|aRCR
155	22531 12324	10	   	244.41	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1ERES|2DMG|3DUR|4TLV|5SELL|6ASPD|79aVULN|8RCR
156	26531 12324	10	   	244.41	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1ERES|2ASPD|3DUR|4TLV|5SELL|6DMG|79aVULN|8RCR
157	35313 24313	5	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|25aDUR|348VULN|6TLV|7RCR|9MLV
158	35313 24321	5	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|259DUR|348VULN|6TLV|7RCR|aLWND
159	35313 24323	5	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|259DUR|348VULN|6TLV|7RCR|aLHND
160	35313 24325	5	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|259DUR|348VULN|6TLV|7RCR|aMLV
161	35313 14314	6	   	244.20	DCR|3VULN|3DUR|1TLV	1RCVC|257DUR|349VULN|6RPLT|8RCR|aTLV
162	24413 16133	8	   	244.10	DCR|3VULN|3DUR|1TLV	1ERES|289DUR|3TLV|47aVULN|5LHND|6RCR
163	35313 24326	5	   	244.10	DCR|3VULN|3DUR|1TLV	1RCVC|259DUR|348VULN|6TLV|7RCR|aDUST
164	35313 42228	5	   	244.10	DCR|3VULN|3DUR|1TLV	1RCVC|256DUR|348VULN|7TLV|9MBVNT|aRCR
165	12416 35111	10	   	243.76	DCR|3VULN|3LIT|1DMG|1DUR|1CDMG	18DUST|238LIT|4DUR|5CDMG|689VULN|7RCR|8BPWR|aDMG
166	32511 12254	5	   	243.49	DCR|3VULN|3DMG|2ASPD	1RCVC|25aDMG|39aVULN|4MLV|6DUST|7aASPD|8RCR|aBPWR
167	32512 12254	4	   	243.49	DCR|3VULN|3DMG|2ASPD	1RCVC|25aDMG|39aVULN|4MLV|6DUST|7aASPD|8RCR|aBPWR
168	22611 61263	9	   	243.39	DCR|3VULN|3DMG|1DUR	1ERES|25aDMG|348VULN|6DUR|7MLV|9RCR
169	22613 43263	9	   	243.39	DCR|3VULN|3DMG|1DUR	1ERES|26aDMG|345VULN|7DUR|8CGEN|9RCR
170	22613 33215	10	   	243.31	DCR|4VULN|1DMG|2LIT|1CDMG|1SELL	19ERES|2DMG|3459VULN|6SELL|79LIT|8RCR|9BPWR|aCDMG
171	13162 33346	1	   	243.29	DCR|3VULN|3DMG|2ASPD	167DUST|28aVULN|347DMG|57ASPD|7BPWR|9RCR
172	22162 62213	2	   	243.26	DCR|3VULN|1TLV|1DMG|2LIT	1ERES|2DMG|378VULN|45LIT|6RCR|9ASPD|aTLV
173	22164 62213	2	   	243.26	DCR|3VULN|1TLV|1DMG|2LIT	15ERES|2DMG|378VULN|45LIT|5BPWR|6RCR|9ASPD|aTLV
