0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34141 22263	8	 * 	293.71	DCR|3VULN|2DMG|2DUR|2TLV|2CDMG	1RMIN|27aVULN|3RCVC|4aTLV|57CDMG|67DMG|7aBPWR|8aDUR|9RCR
19	42143 31621	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|28DMG|3RCVC|4TLV|5LIT|68DUR|7RCR|8BPWR|aZMB
20	42143 31622	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|28DMG|3RCVC|4TLV|5LIT|68DUR|7RCR|8BPWR|aLHND
21	42313 31621	10	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	148VULN|28DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|9RCVC|aTLV
22	42313 31642	8	   	277.44	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aMLV
23	42313 31651	10	   	277.44	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aFEWX
24	42313 31652	9	   	277.44	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aMLV
25	42313 31653	10	   	277.44	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aZMB
26	42313 31641	8	   	277.34	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3aERES|5LIT|68DUR|7RCR|8BPWR
27	42313 31643	8	   	277.34	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aLEGI
28	42313 31651	9	   	277.34	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3aERES|5LIT|68DUR|7RCR|8BPWR
29	42313 31653	9	   	277.34	DCR|3VULN|3DMG|2DUR	148VULN|289DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aLEGI
30	42111 21352	3	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	1457VULN|27DMG|3RCVC|67LIT|7BPWR|8BEXP|9RCR|aDUR
31	42111 21452	3	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	1457VULN|27DMG|3RCVC|67LIT|7BPWR|8FEWX|9RCR|aDUR
32	42211 21352	2	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	1457VULN|27DMG|3RCVC|67LIT|7BPWR|8BEXP|9RCR|aDUR
33	42211 21452	2	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	1457VULN|27DMG|3RCVC|67LIT|7BPWR|8FEWX|9RCR|aDUR
34	43411 21352	1	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	1457VULN|2RCVC|37DMG|67LIT|7BPWR|8BEXP|9RCR|aDUR
35	41212 33441	2	   	275.27	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	168VULN|28DUR|3DMG|4ASPD|5RMIN|78TLV|8BPWR|9LIT|aRCR
36	34315 12262	8	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1RMIN|247VULN|3ERES|57DMG|67CDMG|7BPWR|8DUR|9RCR|aTLV
37	34311 22262	8	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1RMIN|247VULN|3ERES|57CDMG|67DMG|7BPWR|8DUR|9RCR|aTLV
38	34311 22634	9	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1RMIN|247VULN|3ERES|57CDMG|67DMG|7BPWR|8TLV|9RCR|aDUR
39	42335 12262	8	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	157VULN|27DMG|3ERES|4ZMB|67CDMG|7BPWR|8DUR|9RCR|aTLV
40	42313 31662	8	   	275.02	DCR|3VULN|3DUR|2DMG	148VULN|28DMG|3ERES|5LIT|689DUR|7RCR|8BPWR|aRPLT
41	42311 34342	7	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1469VULN|28DMG|3ERES|5CDMG|7RCR|aDUR
42	42313 31644	10	   	274.92	DCR|3VULN|3DUR|2DMG	148VULN|28DMG|3ERES|5LIT|68aDUR|7RCR|8BPWR|9MBVNT
43	42313 31661	8	   	274.92	DCR|3VULN|3DUR|2DMG	148VULN|28DMG|3aERES|5LIT|689DUR|7RCR|8BPWR
44	42315 31412	2	   	273.88	DCR|3VULN|3DUR|1DMG|1TLV|1NUKE	19aVULN|2DMG|39aCGEN|4TLV|5NUKE|6RCR|7LIT|89aDUR|9aBPWR
45	42542 22111	3	   	273.68	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	1579VULN|2DMG|3AART|47CDMG|67CGEN|7BPWR|8DUR|aRCR
46	41221 62235	7	 * 	273.55	ACR|4VULN|2DMG|2DUR|2ASPD	1689VULN|28DUR|3CGEN|4RCR|56ASPD|68BPWR|78DMG|aLIT
47	34236 11363	1	 * 	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	1RMIN|2aCDMG|39aVULN|45ASPD|6TLV|7RCR|8aDUR|aBPWR
48	41162 52233	10	 * 	272.71	ACR|4VULN|3DMG|3DUR	179aVULN|256DUR|3RCR|456DMG|56BPWR|8DUST
49	41162 16212	5	 * 	272.28	ACR|3VULN|3DUR|2DMG|2ASPD|1TLV	189VULN|258DUR|3RCR|45DMG|589BPWR|69ASPD|789CGEN|aTLV
50	13643 11363	2	   	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1RCVC|2aCDMG|3RMIN|49aVULN|5DMG|6TLV|7RCR|8aDUR|aBPWR
51	33143 11363	2	   	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	12RMIN|3aCDMG|49aVULN|5DMG|6TLV|7RCR|8aDUR|aBPWR
52	33146 21363	2	   	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	12RMIN|3aCDMG|49aVULN|5TLV|6DMG|7RCR|8aDUR|aBPWR
53	34311 21265	6	   	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1RMIN|24aVULN|3ERES|5aCDMG|6DMG|7RCR|8TLV|9aDUR|aBPWR
54	42311 32122	7	   	271.70	DCR|5VULN|1DMG|1CDMG|1ASPD	14678VULN|2DMG|3ERES|5CDMG|9RCR|aASPD
55	42311 32622	8	   	271.70	DCR|5VULN|1DMG|1CDMG|1ASPD	14678VULN|2DMG|3ERES|5CDMG|9RCR|aASPD
56	15635 31113	2	   	269.93	DCR|3VULN|3DUR|1TLV|2LIT|1AART	1RCVC|2AART|378VULN|4TLV|58LIT|68aDUR|8BPWR|9RCR
57	34311 22634	10	   	269.87	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1RMIN|247VULN|3ERES|57CDMG|67DMG|7BPWR|8TLV|9RCR|aASPD
58	34152 32363	5	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1RMIN|2aVULN|3RCVC|45aDUR|6TLV|7CDMG|8aDMG|9RCR|aBPWR
59	32241 32363	1	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1RMIN|24aDUR|3RCVC|5aVULN|6TLV|7CDMG|8aDMG|9RCR|aBPWR
60	33111 32363	4	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	12RMIN|34aDUR|4aBPWR|5aVULN|6TLV|7CDMG|8aDMG|9RCR
61	33122 32363	5	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	12RMIN|35aDUR|4aVULN|6TLV|7CDMG|8aDMG|9RCR|aBPWR
62	33141 32363	3	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	12RMIN|34aDUR|5aVULN|6TLV|7CDMG|8aDMG|9RCR|aBPWR
63	33161 32363	4	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	12RMIN|34aDUR|5aVULN|6TLV|7CDMG|8aDMG|9RCR|aBPWR
64	42135 51121	8	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1569VULN|2DMG|3RCVC|4AART|7DUR|8RCR|aTLV
65	42313 31356	10	   	269.65	DCR|4VULN|2DMG|1DUR	148aVULN|29DMG|3ERES|5LIT|6DUR|7RCR
66	34141 21363	5	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1RMIN|29aVULN|3RCVC|4aTLV|5CDMG|6DMG|7RCR|8aDUR|aBPWR
67	34141 21363	6	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1RMIN|29aVULN|3RCVC|4aTLV|5CDMG|6DMG|7RCR|8aDUR|aBPWR
68	34311 22661	8	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV|1AART	1RMIN|247VULN|3ERES|57CDMG|67DMG|7BPWR|8TLV|9AART|aRCR
69	42313 51221	7	 * 	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	148VULN|28DMG|3ERES|5LIT|6RMIN|78ASPD|8BPWR|9DUR|aRCR
70	42313 31623	9	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	148VULN|28DMG|3ERES|5aLIT|68DUR|7RCR|8BPWR|9RCVC
71	42163 31623	8	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	189VULN|28DMG|3RCVC|4ERES|5aLIT|68DUR|7RCR|8BPWR
72	42311 24341	7	   	268.00	DCR|3VULN|3DMG|1TLV|1CDMG	149VULN|268DMG|3ERES|5CDMG|7RCR|aTLV
73	42152 13336	9	 * 	267.85	DCR|2VULN|2DMG|2DUR|2ASPD|2CDMG	1aVULN|2aDMG|3RCVC|45DUR|68CDMG|7aASPD|9RCR|aBPWR
74	15635 31111	2	   	267.70	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD|1AART	1RCVC|2AART|378VULN|4TLV|58LIT|68DUR|8BPWR|9RCR|aASPD
75	34315 12261	8	   	267.17	DCR|3VULN|2DMG|2CDMG|1DUR	1RMIN|247VULN|3ERES|57DMG|67CDMG|7BPWR|8DUR|9RCR|aLIT
76	34311 22261	8	   	267.17	DCR|3VULN|2DMG|2CDMG|1DUR	1RMIN|247VULN|3ERES|57CDMG|67DMG|7BPWR|8DUR|9RCR|aLIT
77	42335 12261	8	   	267.17	DCR|3VULN|2DMG|2CDMG|1DUR	157VULN|27DMG|3ERES|4ZMB|67CDMG|7BPWR|8DUR|9RCR|aLIT
78	42135 51123	8	   	267.16	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1569VULN|2DMG|3RCVC|4AART|7DUR|8RCR|aCDMG
79	42311 31111	6	   	267.06	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1469VULN|2DMG|3ERES|5CDMG|7AART|8DUR|aRCR
80	42311 31461	7	   	267.06	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1468VULN|2DMG|3ERES|5CDMG|7DUR|9AART|aRCR
81	42311 32314	9	   	267.05	DCR|4VULN|2DMG|1CDMG	1467VULN|29DMG|3ERES|5CDMG|8LIT|aRCR
82	42311 22364	8	   	267.05	DCR|4VULN|2DMG|1CDMG	1479VULN|26DMG|3ERES|5CDMG|8LIT|aRCR
83	42311 22624	9	   	267.05	DCR|4VULN|2DMG|1CDMG	1478VULN|26DMG|3ERES|5CDMG|9LIT|aRCR
84	41451 12223	9	 * 	266.84	DCR|4VULN|2DUR|2CDMG	178aVULN|28DUR|3BEXP|4BELT|5LIT|68CDMG|8BPWR|9RCR
85	41111 33224	5	 * 	266.74	ACR|4VULN|3ASPD|2DUR|3TLV|1AART	168aVULN|2aDUR|3RCR|458ASPD|78aTLV|8aBPWR|9AART
86	12121 33466	5	   	266.71	DCR|3VULN|3DUR|2DMG	1RCVC|234DUR|58DMG|68aVULN|7RMIN|8BPWR|9RCR
87	33112 12365	6	   	266.71	DCR|3VULN|3DUR|2DMG	12RMIN|345DUR|45aBPWR|67aVULN|8aDMG|9RCR
88	33122 32365	6	   	266.71	DCR|3VULN|3DUR|2DMG	12RMIN|356DUR|47aVULN|8aDMG|9RCR|aBPWR
89	33162 12365	6	   	266.71	DCR|3VULN|3DUR|2DMG	12RMIN|345DUR|5aBPWR|67aVULN|8aDMG|9RCR
90	34542 33113	3	   	265.89	DCR|3VULN|2CDMG|1DMG|1DUR|2LIT|1AART	1RMIN|257VULN|3AART|47CDMG|67LIT|7BPWR|8DMG|9RCR|aDUR
91	42313 31512	7	   	265.85	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD	14VULN|2aDMG|3ERES|5LIT|6aDUR|7RCR|8ASPD|9aTLV|aBPWR
92	41244 21231	2	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	14aVULN|26DUR|3DMG|5CDMG|7RCR|8TLV|9TBNT
93	12314 41423	3	 * 	265.57	DCR|3VULN|3DUR|2CDMG|1TLV	1RCVC|27aDUR|37aVULN|4TLV|58CDMG|67aLWND|7aBPWR|9RCR
94	12314 51423	3	   	265.57	DCR|3VULN|3DUR|2CDMG|1TLV	1RCVC|27aDUR|37aVULN|4TLV|58CDMG|67aBEXP|7aBPWR|9RCR
95	42314 21423	1	   	265.57	DCR|3VULN|3DUR|2CDMG|1TLV	17aVULN|237aLHND|4TLV|58CDMG|67aDUR|7aBPWR|9RCR
96	43214 21423	1	   	265.57	DCR|3VULN|3DUR|2CDMG|1TLV	17aVULN|2RCVC|37aLHND|4TLV|58CDMG|67aDUR|7aBPWR|9RCR
97	42252 11521	5	 * 	265.31	DCR|3VULN|2DUR|2ASPD|1DMG	159VULN|2DMG|3DUST|45DUR|5BPWR|68ASPD|7LIT|aRCR
98	34315 12136	10	   	265.25	DCR|4VULN|2DMG|2CDMG	1RMIN|247aVULN|3ERES|57DMG|67CDMG|7BPWR|8CGEN|9RCR
99	42121 33616	3	 * 	265.25	DCR|4VULN|2DMG|2TLV	1678VULN|28DMG|3RCVC|4BBNT|58TLV|8BPWR|9BEXP|aRCR
100	42221 33616	2	   	265.25	DCR|4VULN|2DMG|2TLV	1678VULN|28DMG|3RCVC|4BBNT|58TLV|8BPWR|9BEXP|aRCR
101	34311 22136	10	   	265.25	DCR|4VULN|2DMG|2CDMG	1RMIN|247aVULN|3ERES|57CDMG|67DMG|7BPWR|8CGEN|9RCR
102	42335 12136	10	   	265.25	DCR|4VULN|2DMG|2CDMG	157aVULN|27DMG|3ERES|4ZMB|67CDMG|7BPWR|8CGEN|9RCR
103	41221 62231	7	   	265.24	ACR|4VULN|2DMG|2DUR|2ASPD	1689VULN|28DUR|3CGEN|4RCR|56ASPD|68BPWR|78DMG|aBEXP
104	41221 62232	7	   	265.24	ACR|4VULN|2DMG|2DUR|2ASPD	1689VULN|28DUR|3CGEN|4RCR|56ASPD|68BPWR|78DMG|aDMSP
105	41221 62233	7	   	265.24	ACR|4VULN|2DMG|2DUR|2ASPD	1689VULN|28DUR|3CGEN|4RCR|56ASPD|68BPWR|78DMG|aFEWX
106	41221 62234	7	   	265.24	ACR|4VULN|2DMG|2DUR|2ASPD	1689VULN|28DUR|3CGEN|4RCR|56ASPD|68BPWR|78DMG|aLWND
107	41221 62236	7	   	265.24	ACR|4VULN|2DMG|2DUR|2ASPD	1689VULN|28DUR|3CGEN|4RCR|56ASPD|68BPWR|78DMG|aMLV
108	34315 12423	9	   	265.15	DCR|4VULN|2DMG|2CDMG	1RMIN|247aVULN|38ERES|57DMG|67CDMG|7BPWR|9RCR
109	34311 22423	9	   	265.15	DCR|4VULN|2DMG|2CDMG	1RMIN|247aVULN|38ERES|57CDMG|67DMG|7BPWR|9RCR
110	42335 12423	9	   	265.15	DCR|4VULN|2DMG|2CDMG	157aVULN|27DMG|38ERES|4ZMB|67CDMG|7BPWR|9RCR
111	42361 33222	7	   	264.80	DCR|3VULN|2DMG|3CDMG|1TLV	168VULN|28DMG|38ERES|457CDMG|8BPWR|9RCR|aTLV
112	41255 12311	8	 * 	264.78	DCR|4VULN|2DUR|3CDMG	157aVULN|24DUR|37aCGEN|67aCDMG|7aBPWR|8RCR|9BELT
113	42135 51111	9	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	156VULN|29DMG|3RCVC|4AART|7DUR|8RCR|aTLV
114	34643 11333	1	 * 	264.57	DCR|2VULN|3DUR|3CDMG|1DMG|1TLV	1RMIN|23aCDMG|4aVULN|5DMG|6TLV|7RCR|89aDUR|aBPWR
115	12364 33423	9	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	1RCVC|278DUR|38VULN|4CDMG|5BEXP|68DMG|8BPWR|9RCR|aASPD
116	12366 33423	9	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	1RCVC|278DUR|38VULN|4CDMG|5FEWX|68DMG|8BPWR|9RCR|aASPD
117	13326 52437	9	   	264.48	DCR|4VULN|2DUR|3CDMG	1RCVC|24aCDMG|367aVULN|5MBVNT|8aDUR|9RCR|aBPWR
118	12531 42111	3	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1RCVC|258DUR|3DLOT|45LIT|58BPWR|68VULN|78DMG|9AART|aRCR
119	41111 12166	9	 * 	264.34	ACR|3VULN|3DUR|3CDMG|2ASPD|1DMG	19aVULN|29aDUR|3RCR|45ASPD|6RCVC|7DMG|89aCDMG|9aBPWR
120	42311 34342	8	   	263.72	DCR|4VULN|2CDMG|1DMG|1DUR	1469VULN|2DMG|3ERES|58CDMG|7RCR|aDUR
