0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13161 23522	7	 * 	272.42	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1LHND|24aVULN|34DUR|4aBPWR|5ERES|6aDMG|7RCR|8CDMG|9aASPD
19	13125 24133	3	   	262.24	DCR|3VULN|3DUR|2TLV|1AART	1aLHND|247VULN|34aDUR|4aBPWR|5RPLT|6RCR|8aTLV|9AART
20	13165 24133	4	   	262.24	DCR|3VULN|3DUR|2TLV|1AART	1aLHND|247VULN|34aDUR|4aBPWR|5RPLT|6RCR|8aTLV|9AART
21	13122 34133	10	 * 	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1LHND|26aVULN|3DUR|4DUST|5aTLV|7CGEN|8RCR|9aDMG|aBPWR
22	12326 14523	2	 * 	261.63	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1LHND|248DUR|34VULN|4BPWR|5TLV|6CDMG|7DMG|9LIT|aRCR
23	13126 14523	3	   	261.63	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1LHND|24VULN|348DUR|4BPWR|5TLV|6CDMG|7DMG|9LIT|aRCR
24	13163 31424	9	   	260.91	DCR|3VULN|3DUR|1TLV	1LHND|24aVULN|347DUR|4BPWR|5LIT|6ASPD|8RCR|9TLV
25	13163 31432	9	   	260.91	DCR|3VULN|3DUR|1TLV	1LHND|249VULN|347DUR|4BPWR|5LIT|6ASPD|8RCR|aTLV
26	12325 24122	2	   	260.40	DCR|4VULN|2TLV|2DUR	1aLHND|24DUR|347aVULN|4aBPWR|5RPLT|6RCR|8aTLV|9RCVC
27	13163 56242	10	   	260.33	DCR|4VULN|2DUR|1TLV	1LHND|249aVULN|34DUR|4BPWR|5LIT|6RCR|7TLV|8MBVNT
28	22641 33252	2	   	260.30	DCR|4VULN|2TLV|2DUR	1aTLV|23FEWX|457aVULN|6aDUR|8RCR|9RPLT|aBPWR
29	21141 72468	2	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|25CGEN|3MBVNT|4589VULN|59BPWR|6TBNT|79DUR|aRCR
30	22441 33252	3	 * 	260.20	DCR|4VULN|3TLV|2DUR	13aTLV|2FEWX|457aVULN|6aDUR|8RCR|9RPLT|aBPWR
31	22461 33252	4	   	260.20	DCR|4VULN|3TLV|2DUR	13aTLV|2FEWX|457aVULN|6aDUR|8RCR|9RPLT|aBPWR
32	23641 33252	3	   	260.20	DCR|4VULN|3TLV|2DUR	12aTLV|2aBPWR|3FEWX|457aVULN|6aDUR|8RCR|9RPLT
33	23661 33252	4	   	260.20	DCR|4VULN|3TLV|2DUR	12aTLV|2aBPWR|3FEWX|457aVULN|6aDUR|8RCR|9RPLT
34	21336 11468	3	   	260.10	DCR|4VULN|2TLV|2DUR	19TLV|2CGEN|39DUR|4TBNT|5789VULN|6MBVNT|9BPWR|aRCR
35	23141 33252	2	   	260.10	DCR|4VULN|3TLV|2DUR	12aTLV|2aBPWR|3DUST|457aVULN|6aDUR|8RCR|9RPLT
36	23541 33252	3	   	260.10	DCR|4VULN|3TLV|2DUR	12aTLV|2aBPWR|3DUST|457aVULN|6aDUR|8RCR|9RPLT
37	23561 33252	4	   	260.10	DCR|4VULN|3TLV|2DUR	12aTLV|2aBPWR|3DUST|457aVULN|6aDUR|8RCR|9RPLT
38	25141 33252	2	   	260.10	DCR|4VULN|3TLV|2DUR	12aTLV|3DUST|457aVULN|6aDUR|8RCR|9RPLT|aBPWR
39	21141 72468	1	   	260.00	DCR|4VULN|2TLV|2DUR	19TLV|25ERES|3MBVNT|4589VULN|59BPWR|6TBNT|79DUR|aRCR
40	55131 13631	4	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ASPD|28TLV|3DUR|4CGEN|58VULN|6CDMG|78DMG|8BPWR|9RMIN|aRCR
41	55133 13631	5	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ASPD|28TLV|3DUR|4CGEN|58VULN|6CDMG|78DMG|8BPWR|9RMIN|aRCR
42	55131 13621	4	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1NUKE	1ASPD|28TLV|3DUR|4CGEN|58VULN|6CDMG|78DMG|8BPWR|9NUKE|aRCR
43	55133 13621	5	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1NUKE	1ASPD|28TLV|3DUR|4CGEN|58VULN|6CDMG|78DMG|8BPWR|9NUKE|aRCR
44	33226 15431	8	   	259.43	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG|1SELL	1DMSP|2aLIT|37aVULN|4TLV|5SELL|6RCR|8CDMG|9aDUR|aBPWR
45	13163 51342	6	   	259.36	DCR|3VULN|3DUR|1TLV|2LIT	19LHND|249VULN|347DUR|49BPWR|59LIT|6RCR|8RCVC|aTLV
46	13163 53532	9	   	259.36	DCR|3VULN|3DUR|1TLV|2LIT	18LHND|249VULN|348DUR|48BPWR|58LIT|6RCR|7RMIN|aTLV
47	13161 23632	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|24aVULN|34DUR|4BPWR|5ERES|6DMG|7RCR|8LIT|9TLV
48	26444 34345	6	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|2LIT|3MBVNT|456VULN|79DUR|8RCR|aDMG
49	26444 34361	6	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|2LIT|3MBVNT|456VULN|7aDUR|8RCR|9DMG
50	24124 44828	2	 * 	259.22	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|2MLV|3MBVNT|48DUR|5RMIN|6RCR|78aVULN|8BPWR|9DMG
51	23331 26453	5	   	259.07	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|2BPWR|3CDMG|4578VULN|6TBNT|9RCR|aDUR
52	12325 21432	2	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|249DUR|348VULN|4BPWR|5RPLT|6RCR|7CDMG|aTLV
53	12325 23412	2	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|247DUR|349VULN|4BPWR|5RPLT|6RCR|8CDMG|aTLV
54	12325 24632	2	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|249DUR|347VULN|4BPWR|5RPLT|6RCR|8CDMG|aTLV
55	13125 21432	3	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|248VULN|349DUR|4BPWR|5RPLT|6RCR|7CDMG|aTLV
56	13125 23412	3	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|249VULN|347DUR|4BPWR|5RPLT|6RCR|8CDMG|aTLV
57	13125 24632	3	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|247VULN|349DUR|4BPWR|5RPLT|6RCR|8CDMG|aTLV
58	13165 21432	4	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|248VULN|349DUR|4BPWR|5RPLT|6RCR|7CDMG|aTLV
59	13165 23412	4	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|249VULN|347DUR|4BPWR|5RPLT|6RCR|8CDMG|aTLV
60	23131 35353	6	 * 	257.03	DCR|5VULN|3TLV|1AART|1SELL	126TLV|267BPWR|3SELL|45678VULN|9AART|aRCR
61	32462 21131	9	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1DMSP|27DMG|3BEXP|467VULN|57DUR|7BPWR|8MBVNT|9CDMG|aRCR
62	32662 21131	9	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1DMSP|27DMG|3FEWX|467VULN|57DUR|7BPWR|8MBVNT|9CDMG|aRCR
63	13163 31435	9	 * 	255.76	DCR|4VULN|3DUR	1LHND|249aVULN|347DUR|4BPWR|5LIT|6ASPD|8RCR
64	32662 21147	9	 * 	255.75	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3FEWX|467VULN|579DUR|7BPWR|8MBVNT|aRCR
65	23131 31445	7	 * 	255.67	DCR|5VULN|3TLV|1SELL	126TLV|26BPWR|3SELL|45689VULN|7RCR|aLIT
66	13161 33266	6	 * 	255.54	DCR|4VULN|2DUR|1DMG|1AART	1LHND|2467VULN|34DUR|4BPWR|5ERES|8RCR|9DMG|aAART
67	13163 31434	10	   	254.77	DCR|3VULN|3DUR|1DMG	1LHND|249VULN|347DUR|4BPWR|5LIT|6ASPD|8RCR|aDMG
68	12325 24134	2	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1LHND|24DUR|347VULN|4BPWR|5RPLT|6RCR|8TLV|9AART|aCDMG
69	13125 24134	3	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1LHND|247VULN|34DUR|4BPWR|5RPLT|6RCR|8TLV|9AART|aCDMG
70	22311 22353	3	   	254.29	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	1aTLV|2FEWX|3AART|46aVULN|5LWND|7RCR|8DUR|9aCDMG|aBPWR
71	13163 55114	9	   	254.19	DCR|4VULN|2DUR|1DMG	1LHND|2478VULN|34DUR|4BPWR|5LIT|6RCR|9MBVNT|aDMG
72	23131 31511	8	   	253.58	DCR|4VULN|3TLV|1DUR|1SELL	126TLV|26BPWR|3SELL|456aVULN|7RCR|8ASPD|9DUR
73	25131 31511	8	   	253.58	DCR|4VULN|3TLV|1DUR|1SELL	126TLV|3SELL|456aVULN|6BPWR|7RCR|8ASPD|9DUR
74	12325 21255	2	   	253.32	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1LHND|249DUR|34VULN|4BPWR|5RPLT|6RCR|7CDMG|8DMG|aTLV
75	13125 21255	3	   	253.32	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1LHND|24VULN|349DUR|4BPWR|5RPLT|6RCR|7CDMG|8DMG|aTLV
76	13163 51341	6	   	253.22	DCR|3VULN|3DUR|1DMG|2LIT	19LHND|249VULN|347DUR|49BPWR|59LIT|6RCR|8RCVC|aDMG
77	24241 33135	1	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2ASPD|3DMG|457VULN|6DUR|8LIT|9LHND|aRCR
78	24241 35322	1	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2ASPD|3DMG|459VULN|6DUR|7LIT|8RCR|aRCVC
79	55622 32132	10	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3LIT|469VULN|5DMG|7BELT|8DUR|aRCR
80	12322 52156	2	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|24DUR|349VULN|4BPWR|5CDMG|6LIT|7RCR|8CGEN|aTLV
81	12322 52226	2	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|24DUR|349VULN|4BPWR|5CDMG|6LIT|7RCR|8MLV|aTLV
82	12325 21451	2	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|24DUR|348VULN|4BPWR|5RPLT|6RCR|7CDMG|9TLV|aASPD
83	13561 25213	3	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|269VULN|3LIT|4TLV|56DUR|6BPWR|7RCR|8LWND|aCDMG
84	13661 25213	2	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|269VULN|3LIT|4TLV|56DUR|6BPWR|7RCR|8LWND|aCDMG
85	13122 52156	3	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|249VULN|34DUR|4BPWR|5CDMG|6LIT|7RCR|8CGEN|aTLV
86	13122 52226	3	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|249VULN|34DUR|4BPWR|5CDMG|6LIT|7RCR|8MLV|aTLV
87	13125 21451	3	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|248VULN|34DUR|4BPWR|5RPLT|6RCR|7CDMG|9TLV|aASPD
88	13162 52226	4	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|249VULN|34DUR|4BPWR|5CDMG|6LIT|7RCR|8MLV|aTLV
89	13163 56213	7	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|249VULN|34DUR|4BPWR|5LIT|6RCR|7TLV|8LWND|aCDMG
90	26232 31542	9	 * 	252.99	DCR|3DMG|1VULN|2DUR|1TLV|2LIT	1TLV|28LIT|3DUST|4ASPD|589DMG|6VULN|78DUR|8BPWR|aRCR
91	24241 35323	1	   	252.97	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2ASPD|3DMG|459VULN|6DUR|7LIT|8RCR|aBBNT
92	24242 33225	1	   	252.97	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2ASPD|3DMG|479VULN|5LIT|6DUST|8DUR|aRCR
93	26232 33225	6	   	252.97	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2LIT|3DUST|4ASPD|5DMG|679VULN|8DUR|aRCR
94	12322 52453	2	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|24DUR|349VULN|4BPWR|5CDMG|6LIT|7RCR|8ERES|aTLV
95	13122 52453	3	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|249VULN|34DUR|4BPWR|5CDMG|6LIT|7RCR|8ERES|aTLV
96	23331 35352	7	   	252.84	DCR|3VULN|2TLV|2CDMG|1DUR	12TLV|26BPWR|36CDMG|456VULN|7FEWX|8DUR|9RCR|aLIT
97	25331 35352	7	   	252.84	DCR|3VULN|2TLV|2CDMG|1DUR	12TLV|36CDMG|456VULN|6BPWR|7FEWX|8DUR|9RCR|aLIT
98	12325 21452	2	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	1LHND|24DUR|348VULN|4BPWR|5RPLT|6RCR|7CDMG|9aTLV
99	13125 21452	3	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	1LHND|248VULN|34DUR|4BPWR|5RPLT|6RCR|7CDMG|9aTLV
100	23331 23252	8	   	252.80	DCR|3VULN|3TLV|2DUR|1CDMG	12aTLV|2aBPWR|3CDMG|45aVULN|6LHND|7FEWX|8aDUR|9RCR
101	25331 23252	8	   	252.80	DCR|3VULN|3TLV|2DUR|1CDMG	12aTLV|3CDMG|45aVULN|6LHND|7FEWX|8aDUR|9RCR|aBPWR
102	13163 42253	8	   	252.79	DCR|3VULN|2DUR|1TLV|1CDMG|1SELL	1LHND|249VULN|34DUR|4BPWR|5LIT|6SELL|7RCR|8TLV|aCDMG
103	23331 32352	6	   	252.74	DCR|3VULN|2TLV|2CDMG|1DUR	12TLV|26BPWR|36CDMG|456VULN|7DUST|8DUR|9RCR|aLIT
104	25331 32352	6	   	252.74	DCR|3VULN|2TLV|2CDMG|1DUR	12TLV|36CDMG|456VULN|6BPWR|7DUST|8DUR|9RCR|aLIT
105	32231 24553	3	   	252.61	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1DMSP|28DMG|38LIT|4TLV|5TBNT|6DUR|78VULN|8BPWR|9RCR|aASPD
106	32233 34553	3	   	252.61	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1DMSP|28DMG|38LIT|4TLV|5DUR|6TBNT|78VULN|8BPWR|9RCR|aASPD
107	13163 13316	7	   	252.61	DCR|3VULN|3DUR|1TLV	1LHND|24aVULN|348DUR|4BPWR|5LIT|6FEWX|7RCR|9TLV
108	13163 13633	7	   	252.61	DCR|3VULN|3DUR|1TLV	1LHND|248VULN|34aDUR|4BPWR|5LIT|6FEWX|7RCR|9TLV
109	13163 55233	8	   	252.61	DCR|3VULN|3DUR|1TLV	1LHND|247VULN|34aDUR|4BPWR|5LIT|6RCR|8FEWX|9TLV
110	13163 55333	8	   	252.61	DCR|3VULN|3DUR|1TLV	1LHND|247VULN|34aDUR|4BPWR|5LIT|6RCR|8BEXP|9TLV
111	13164 23316	7	   	252.61	DCR|3VULN|3DUR|1TLV	1LHND|24aVULN|348DUR|4BPWR|5BEXP|6LIT|7RCR|9TLV
112	13164 23633	7	   	252.61	DCR|3VULN|3DUR|1TLV	1LHND|248VULN|34aDUR|4BPWR|5BEXP|6LIT|7RCR|9TLV
113	52236 21413	6	   	252.60	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	14ASPD|2BELT|3DMG|569VULN|7TLV|8RCR|aDUR
114	23131 42321	4	 * 	252.59	DCR|3VULN|3TLV|2CDMG|1DUR|1SELL	12aTLV|2aBPWR|3SELL|48aVULN|5DUR|6RCR|7LIT|9aCDMG
115	23151 42321	3	 * 	252.59	DCR|3VULN|3TLV|2CDMG|1DUR|1SELL	12aTLV|2aBPWR|3SELL|48aVULN|5DUR|6RCR|7LIT|9aCDMG
116	25131 42321	4	 * 	252.59	DCR|3VULN|3TLV|2CDMG|1DUR|1SELL	12aTLV|3SELL|48aVULN|5DUR|6RCR|7LIT|9aCDMG|aBPWR
117	25151 42321	3	 * 	252.59	DCR|3VULN|3TLV|2CDMG|1DUR|1SELL	12aTLV|3SELL|48aVULN|5DUR|6RCR|7LIT|9aCDMG|aBPWR
118	13125 24122	3	   	252.58	DCR|3VULN|3DUR|2TLV	1aLHND|247VULN|34aDUR|4aBPWR|5RPLT|6RCR|8aTLV|9RCVC
119	13165 24122	4	   	252.58	DCR|3VULN|3DUR|2TLV	1aLHND|247VULN|34aDUR|4aBPWR|5RPLT|6RCR|8aTLV|9RCVC
120	13561 25313	3	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|269VULN|3LIT|4TLV|56aDUR|6BPWR|7RCR|8DUST
121	13661 25313	2	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|269VULN|3LIT|4TLV|56aDUR|6BPWR|7RCR|8DUST
122	13163 23316	7	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|24aVULN|348DUR|4BPWR|5LIT|6DUST|7RCR|9TLV
123	13163 23633	7	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|248VULN|34aDUR|4BPWR|5LIT|6DUST|7RCR|9TLV
124	13163 56213	8	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|249VULN|34aDUR|4BPWR|5LIT|6RCR|7TLV|8MBVNT
125	13163 56243	9	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|249VULN|34aDUR|4BPWR|5LIT|6RCR|7TLV|8MBVNT
126	13163 56313	7	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|249VULN|34aDUR|4BPWR|5LIT|6RCR|7TLV|8DUST
127	13166 23316	7	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|24aVULN|348DUR|4BPWR|5DUST|6LIT|7RCR|9TLV
128	13166 23633	7	   	252.51	DCR|3VULN|3DUR|1TLV	1LHND|248VULN|34aDUR|4BPWR|5DUST|6LIT|7RCR|9TLV
129	22156 12521	9	 * 	252.31	DCR|2VULN|2DMG|3TLV|2DUR	179TLV|27FEWX|3RPLT|49VULN|5CGEN|67DMG|79BPWR|89DUR|aRCR
130	13161 23246	8	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	19LHND|249VULN|34DUR|49BPWR|58ERES|69DMG|7RCR|aAART
131	12325 24151	2	   	252.12	DCR|4VULN|2DUR|1TLV	1LHND|24DUR|347aVULN|4BPWR|5RPLT|6RCR|8TLV|9FEWX
132	13125 24151	3	   	252.12	DCR|4VULN|2DUR|1TLV	1LHND|247aVULN|34DUR|4BPWR|5RPLT|6RCR|8TLV|9FEWX
133	13122 14133	10	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LHND|2aVULN|36DUR|4DUST|5aTLV|7CGEN|8RCR|9aDMG|aBPWR
134	13163 42132	10	   	252.09	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1LHND|24VULN|34DUR|4BPWR|5LIT|6SELL|7RCR|89DMG|aTLV
135	23131 14454	4	   	252.03	DCR|3VULN|3DUR|3TLV|1SELL	12aTLV|2aBPWR|3SELL|49aVULN|57aDUR|6MBVNT|8RCR
136	23151 14454	3	   	252.03	DCR|3VULN|3DUR|3TLV|1SELL	12aTLV|2aBPWR|3SELL|49aVULN|57aDUR|6MBVNT|8RCR
137	25131 14454	4	   	252.03	DCR|3VULN|3DUR|3TLV|1SELL	12aTLV|3SELL|49aVULN|57aDUR|6MBVNT|8RCR|aBPWR
138	25151 14454	3	   	252.03	DCR|3VULN|3DUR|3TLV|1SELL	12aTLV|3SELL|49aVULN|57aDUR|6MBVNT|8RCR|aBPWR
139	12325 24161	2	   	252.02	DCR|4VULN|2DUR|1TLV	1LHND|24DUR|347aVULN|4BPWR|5RPLT|6RCR|8TLV|9DUST
140	22151 12441	6	   	252.02	DCR|4VULN|2DUR|1TLV	1TLV|2FEWX|3RPLT|4689VULN|57DUR|aRCR
141	22151 32441	5	   	252.02	DCR|4VULN|2DUR|1TLV	1TLV|2FEWX|3RPLT|4689VULN|57DUR|aRCR
142	22163 12441	6	   	252.02	DCR|4VULN|2DUR|1TLV	1TLV|2FEWX|3RPLT|47DUR|5689VULN|aRCR
143	22163 32441	5	   	252.02	DCR|4VULN|2DUR|1TLV	1TLV|2FEWX|3RPLT|47DUR|5689VULN|aRCR
144	13125 24161	3	   	252.02	DCR|4VULN|2DUR|1TLV	1LHND|247aVULN|34DUR|4BPWR|5RPLT|6RCR|8TLV|9DUST
145	13326 14522	3	 * 	251.85	ACR|3VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	14LHND|24aVULN|3RCR|4aBPWR|5TLV|6CDMG|7aDMG|8DUR|9aASPD
146	12325 21426	2	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|24aDUR|348VULN|4BPWR|5RPLT|6RCR|7CDMG|9DMG
147	12325 21435	2	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|249DUR|348VULN|4BPWR|5RPLT|6RCR|7CDMG|aDMG
148	12325 23415	2	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|247DUR|349VULN|4BPWR|5RPLT|6RCR|8CDMG|aDMG
149	13125 21426	3	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|248VULN|34aDUR|4BPWR|5RPLT|6RCR|7CDMG|9DMG
150	13125 21435	3	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|248VULN|349DUR|4BPWR|5RPLT|6RCR|7CDMG|aDMG
151	13125 23415	3	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|249VULN|347DUR|4BPWR|5RPLT|6RCR|8CDMG|aDMG
152	21324 13631	2	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|28CGEN|3CDMG|4DUR|58VULN|6ASPD|78DMG|8BPWR|9RMIN|aRCR
153	21331 13631	4	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|28CGEN|3DUR|4ASPD|58VULN|6CDMG|78DMG|8BPWR|9RMIN|aRCR
154	21331 13646	4	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|28CGEN|3DUR|4ASPD|58VULN|6CDMG|78DMG|8BPWR|9LHND|aRCR
155	21333 13631	5	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|28CGEN|3DUR|4ASPD|58VULN|6CDMG|78DMG|8BPWR|9RMIN|aRCR
156	21333 13646	5	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|28CGEN|3DUR|4ASPD|58VULN|6CDMG|78DMG|8BPWR|9LHND|aRCR
157	24331 14631	4	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|28MLV|3DUR|4ASPD|58VULN|6CDMG|78DMG|8BPWR|9RMIN|aRCR
158	24333 14631	5	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|28MLV|3DUR|4ASPD|58VULN|6CDMG|78DMG|8BPWR|9RMIN|aRCR
159	51151 13631	3	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ASPD|28CGEN|3DUR|4TLV|58VULN|6CDMG|78DMG|8BPWR|9RMIN|aRCR
160	21324 13621	2	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1NUKE	1TLV|28CGEN|3CDMG|4DUR|58VULN|6ASPD|78DMG|8BPWR|9NUKE|aRCR
161	21331 13621	4	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1NUKE	1TLV|28CGEN|3DUR|4ASPD|58VULN|6CDMG|78DMG|8BPWR|9NUKE|aRCR
