0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16311 63611	9	 * 	297.70	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|28aDMG|3TLV|4BEXP|589DUR|6RCR|8BPWR
61	41311 35333	6	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR	189DMG|29DUR|3aTLV|4BEXP|5AART|6RCR|79VULN|9BPWR
62	16311 63631	10	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9DUST|aLIT
63	16315 61321	9	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	19aVULN|27DMG|39TLV|4BEXP|5LHND|6RCR|89DUR|9BPWR
64	41312 63221	9	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	19DMG|28DUR|39TLV|4BEXP|5LHND|6RCR|79aVULN|9BPWR
65	41363 63221	9	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	19DMG|28DUR|39TLV|4FEWX|5BEXP|6RCR|79aVULN|9BPWR
66	15333 34613	10	 * 	276.90	DCR|4VULN|3DUR|2DMG	1269VULN|3BELT|4BEXP|579DUR|89DMG|9BPWR|aRCR
67	16325 61321	9	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	19aVULN|27DMG|39TLV|4DUST|5LHND|6RCR|89DUR|9BPWR
68	13215 22434	7	 * 	276.32	DCR|5VULN|2TLV|2LIT|1CDMG	1689aVULN|2aTLV|3CDMG|4ZMB|5aLIT|7RCR|aBPWR
69	16311 61623	9	   	276.17	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|39TLV|4BEXP|58DUR|6RCR|8BPWR|aLIT
70	13413 15124	10	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19aVULN|28TLV|3aLWND|4CDMG|5DUR|6aDMG|7RCR|aBPWR
71	13221 18114	7	   	275.42	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	17VULN|27TLV|3CDMG|48DUR|5MBVNT|67DMG|7BPWR|9RCR|aAART
72	13221 18314	8	   	275.42	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	17VULN|27TLV|3CDMG|48DUR|5MBVNT|67DMG|7BPWR|9RCR|aAART
73	13511 18114	7	   	275.42	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	17VULN|27TLV|38DUR|4CDMG|5MBVNT|67DMG|7BPWR|9RCR|aAART
74	13511 18314	8	   	275.42	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	17VULN|27TLV|38DUR|4CDMG|5MBVNT|67DMG|7BPWR|9RCR|aAART
75	16351 12433	7	   	275.40	DCR|3VULN|3DMG|1TLV|1CDMG	189VULN|25aDMG|3TLV|4CDMG|6LIT|7RCR
76	43651 22233	7	   	275.40	DCR|3VULN|3DMG|1TLV|1CDMG	18aDMG|2LIT|3TLV|469VULN|5CDMG|7RCR
77	16312 63611	9	   	275.29	DCR|4VULN|2DMG|1TLV|1DUR	178aVULN|28DMG|3TLV|4BEXP|58FEWX|6RCR|8BPWR|9DUR
78	16312 63621	9	   	274.89	DCR|4VULN|3DMG|1TLV	1789VULN|289DMG|3TLV|4aBEXP|589FEWX|6RCR|89BPWR
79	16312 63621	10	   	274.89	DCR|4VULN|3DMG|1TLV	1789VULN|289DMG|3TLV|4BEXP|589FEWX|6RCR|89BPWR|aRMIN
80	16312 63623	10	   	274.89	DCR|4VULN|3DMG|1TLV	1789VULN|289DMG|3TLV|4BEXP|589FEWX|6RCR|89BPWR|aMLV
81	16312 63622	10	   	274.79	DCR|4VULN|3DMG|1TLV	1789VULN|289DMG|3TLV|4BEXP|589FEWX|6RCR|89BPWR|aDLOT
82	16121 63621	10	   	274.59	DCR|4VULN|3DMG|1TLV	1789VULN|289DMG|3BEXP|4FEWX|589ERES|6RCR|89BPWR|aTLV
83	13233 12524	10	   	274.20	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	19aVULN|2TLV|3aCDMG|47LHND|5DUR|6aDMG|8RCR|aBPWR
84	16511 11351	9	 * 	274.12	DCR|3VULN|3DUR|3CDMG|1DMG	179VULN|2DMG|379DUR|479CDMG|56RPLT|79BPWR|8AART|aRCR
85	16221 11351	9	   	274.12	DCR|3VULN|3DUR|3CDMG|1DMG	179VULN|2DMG|379CDMG|479DUR|56RPLT|79BPWR|8AART|aRCR
86	11522 13365	5	   	273.91	DCR|3VULN|3DUR|2DMG	159VULN|2RPLT|359DUR|4RMIN|59BPWR|6RCR|79DMG|8AART|aASPD
87	16311 61631	8	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9CDMG|aFEWX
88	16311 61633	8	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9CDMG|aLWND
89	16311 61623	8	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58aDUR|6RCR|8BPWR|9CGEN
90	16514 21112	8	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	158VULN|2DMG|38DUR|4CDMG|6CGEN|78TLV|8BPWR|9RCR|aLWND
91	16514 21113	8	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	158VULN|2DMG|38DUR|4CDMG|6CGEN|78TLV|8BPWR|9RCR|aBEXP
92	12523 22344	3	   	272.96	DCR|4VULN|3DUR|3LIT|1CDMG	1578VULN|24RMIN|378DUR|678LIT|78BPWR|9RCR|aCDMG
93	12533 22344	4	   	272.96	DCR|4VULN|3DUR|3LIT|1CDMG	1578VULN|2RMIN|378DUR|4DMSP|678LIT|78BPWR|9RCR|aCDMG
94	16514 21111	8	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	158VULN|2DMG|38DUR|4CDMG|6CGEN|78TLV|8BPWR|9RCR|aDUST
95	16514 31112	8	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	158VULN|2DMG|38DUR|4CDMG|6ERES|78TLV|8BPWR|9RCR|aLWND
96	16514 31113	8	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	158VULN|2DMG|38DUR|4CDMG|6ERES|78TLV|8BPWR|9RCR|aBEXP
97	16514 31111	8	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	158VULN|2DMG|38DUR|4CDMG|6ERES|78TLV|8BPWR|9RCR|aDUST
98	16315 63322	10	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	179VULN|2DMG|39TLV|4BEXP|5LHND|6RCR|89aDUR|9BPWR
99	16325 63322	10	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	179VULN|2DMG|39TLV|4DUST|5LHND|6RCR|89aDUR|9BPWR
100	13233 15144	10	 * 	272.17	DCR|2VULN|2DMG|2TLV|2DUR|2CDMG	1aVULN|28TLV|3aCDMG|4LHND|59DUR|6aDMG|7RCR|aBPWR
101	13221 48625	9	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	179aVULN|2TLV|37CDMG|47DUR|5MBVNT|6RMIN|7BPWR|8RCR
102	13221 18118	8	   	272.07	DCR|2VULN|2DMG|2TLV|2DUR|2CDMG	17VULN|27TLV|38CDMG|4aDUR|5MBVNT|67DMG|7BPWR|9RCR
103	13221 18174	8	   	272.07	DCR|2VULN|2DMG|2TLV|2DUR|2CDMG	17VULN|27TLV|38CDMG|49DUR|5MBVNT|67DMG|7BPWR|aRCR
104	13511 18118	8	   	272.07	DCR|2VULN|2DMG|2TLV|2DUR|2CDMG	17VULN|27TLV|3aDUR|48CDMG|5MBVNT|67DMG|7BPWR|9RCR
105	13511 18174	8	   	272.07	DCR|2VULN|2DMG|2TLV|2DUR|2CDMG	17VULN|27TLV|39DUR|48CDMG|5MBVNT|67DMG|7BPWR|aRCR
106	16221 13182	3	   	271.83	DCR|3VULN|3DMG|2DUR|1CDMG	19aVULN|279DMG|3CDMG|4LHND|59DUR|6RCR|8MBVNT|9BPWR
107	14121 15163	4	   	271.60	DCR|3VULN|3DMG|3DUR	178VULN|245LWND|357DUR|57BPWR|679DMG|aRCR
108	23651 22433	7	   	271.52	DCR|4VULN|1TLV|1DMG|1CDMG	1ASPD|2LIT|3TLV|4689VULN|5CDMG|7RCR|aDMG
109	16221 11413	8	   	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	178VULN|2DMG|37CDMG|47DUR|56RPLT|7BPWR|9TLV|aRCR
110	16511 11413	8	   	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	178VULN|2DMG|37DUR|47CDMG|56RPLT|7BPWR|9TLV|aRCR
111	13233 15224	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	189aVULN|2TLV|3CDMG|4LHND|5DUR|6DMG|7RCR
112	13413 15224	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	189aVULN|2TLV|3LWND|4CDMG|5DUR|6DMG|7RCR
113	13511 48622	10	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	179VULN|2TLV|37DUR|47CDMG|5MBVNT|6RMIN|7BPWR|8RCR|aDMG
114	13221 48622	10	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	179VULN|2TLV|37CDMG|47DUR|5MBVNT|6RMIN|7BPWR|8RCR|aDMG
115	13221 48635	10	   	270.50	DCR|3VULN|3DUR|1TLV|3CDMG	17aVULN|2TLV|37aCDMG|47aDUR|5MBVNT|69RMIN|7aBPWR|8RCR
116	15352 32612	8	   	269.86	DCR|4VULN|2TLV|2DUR	124aVULN|3BELT|5ERES|6aDUR|7RCR|8aTLV|9AART|aBPWR
117	16311 61631	10	   	269.45	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aFEWX
118	41311 35334	6	   	269.45	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4BEXP|5AART|6RCR|79VULN|9BPWR|aLHND
119	41311 35335	6	   	269.45	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4BEXP|5AART|6RCR|79VULN|9BPWR|aRPLT
120	41161 35333	6	   	269.45	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3BEXP|4CGEN|5AART|6RCR|79VULN|9BPWR|aTLV
121	16263 21113	8	 * 	269.40	DCR|4VULN|2TLV|1DMG|2CDMG	148aVULN|2DMG|38CDMG|5DUST|6CGEN|78TLV|8BPWR|9RCR
122	16311 61631	9	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aERES
123	16311 61632	9	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aDUST
124	16311 61632	10	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aDUST
125	41311 35331	6	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4BEXP|5AART|6RCR|79VULN|9BPWR|aERES
126	41311 35332	6	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4BEXP|5AART|6RCR|79VULN|9BPWR|aDUST
127	41321 35334	6	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4DUST|5AART|6RCR|79VULN|9BPWR|aLHND
128	41321 35335	6	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4DUST|5AART|6RCR|79VULN|9BPWR|aRPLT
129	16263 31113	8	   	269.30	DCR|4VULN|2TLV|2CDMG|1DMG	148aVULN|2DMG|38CDMG|5DUST|6ERES|78TLV|8BPWR|9RCR
130	41321 35331	6	   	269.25	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4DUST|5AART|6RCR|79VULN|9BPWR|aERES
131	41321 35332	6	   	269.25	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4aDUST|5AART|6RCR|79VULN|9BPWR
132	41321 35333	6	   	269.25	DCR|2VULN|3DMG|2DUR|1TLV	189DMG|29DUR|3TLV|4DUST|5AART|6RCR|79VULN|9BPWR|aLEGI
133	13151 61133	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2TLV|39BEXP|4ZMB|5aDUR|6RCR|79DMG|9BPWR
134	13151 61333	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2TLV|39BEXP|4ZMB|5aDUR|6RCR|79DMG|9BPWR
135	16311 63611	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9BELT|aLHND
136	16311 63622	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9aLHND
137	16311 63632	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9ZMB|aLHND
138	16312 63612	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58FEWX|6RCR|8BPWR|9aDUR
139	16314 33331	3	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|28DMG|3TLV|4CGEN|5BELT|68DUR|7RCR|8BPWR|9RPLT
140	16334 33331	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|28DMG|3TLV|4CGEN|5BELT|68DUR|7RCR|8BPWR|9RPLT
141	16311 33625	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6LEGI|8BPWR|9RCVC|aRCR
142	16311 63612	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9BELT|aMBVNT
143	16311 63613	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9BELT|aERES
144	16311 63632	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9DUST|aLHND
145	16311 63633	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9DUST|aLWND
146	16311 63633	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9DUST|aRCVC
147	16324 33331	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|28DMG|3TLV|4ERES|5BELT|68DUR|7RCR|8BPWR|9RPLT
148	13535 14211	3	 * 	268.51	DCR|4VULN|3TLV|2DUR	1789VULN|258TLV|38DUR|4RPLT|6RCR|8BPWR|aLIT
149	16311 61611	9	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4aBEXP|58DUR|6RCR|8BPWR|9LIT
150	16311 61611	10	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9LIT|aRMIN
151	16311 61613	9	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9LIT|aLWND
152	16311 61613	10	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9LIT|aFEWX
153	13112 25524	10	   	267.89	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19aVULN|2TLV|36aBEXP|4CDMG|5DUR|7aDMG|8RCR|aBPWR
154	13151 61131	8	   	267.89	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	189VULN|2TLV|39BEXP|4ZMB|5DUR|6RCR|79DMG|9BPWR|aCDMG
155	13151 61331	7	   	267.89	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	189VULN|2TLV|39BEXP|4ZMB|5DUR|6RCR|79DMG|9BPWR|aCDMG
156	16311 61621	9	   	267.86	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|39TLV|4BEXP|58DUR|6RCR|8BPWR|aMLV
157	16311 61621	10	   	267.86	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|39TLV|4aBEXP|58DUR|6RCR|8BPWR
158	16311 61622	10	   	267.86	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|39TLV|4BEXP|58DUR|6RCR|8BPWR|aMLV
159	16311 61622	9	   	267.86	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|39TLV|4BEXP|58DUR|6RCR|8BPWR|aLWND
160	16311 61623	10	   	267.86	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|39TLV|4BEXP|58DUR|6RCR|8BPWR|aLHND
