0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31343 43313	5	 * 	290.03	DCR|3VULN|3DUR|2DMG|2TLV	138DUR|2aDMG|48TLV|578VULN|6BBNT|8BPWR|9RCR
17	26331 12245	1	   	269.72	DCR|4VULN|2TLV|2DUR|1AART|1SELL	1SELL|259aVULN|3aDUR|4AART|6RCR|7aTLV|8RPLT|aBPWR
18	51542 33333	4	   	269.45	DCR|2VULN|3DMG|2DUR|1TLV|1AART	1DMSP|279DMG|39VULN|4TLV|5FEWX|69DUR|8RCR|9BPWR|aAART
19	51152 34734	3	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV|1AART	1DMSP|29aDMG|3AART|4TLV|5MBVNT|6aDUR|7RCR|8aVULN|aBPWR
20	51152 34734	2	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV|1AART	1DMSP|29aDMG|3AART|4TLV|5MBVNT|6aDUR|7RCR|8aVULN|aBPWR
21	34221 51313	9	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2RMIN|3LHND|4aDMG|5LWND|6TLV|79aVULN|8RCR|aBPWR
22	34221 51323	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2RMIN|3LHND|4aDMG|5LWND|6TLV|79aVULN|8RCR|aBPWR
23	34224 31313	9	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2RMIN|3LHND|4aDMG|5TLV|6LWND|79aVULN|8RCR|aBPWR
24	34224 31323	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2RMIN|3LHND|4aDMG|5TLV|6LWND|79aVULN|8RCR|aBPWR
25	51542 33332	4	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1DMSP|279DMG|39VULN|4TLV|5FEWX|69DUR|8RCR|9BPWR|aLIT
26	31452 23335	2	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	18aDUR|2aDMG|3AART|4TLV|56LWND|7RCR|9aVULN|aBPWR
27	51152 34334	3	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1DMSP|2aDMG|3AART|4TLV|5MBVNT|68aDUR|7RCR|9aVULN|aBPWR
28	51152 34334	2	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1DMSP|2aDMG|3AART|4TLV|5MBVNT|68aDUR|7RCR|9aVULN|aBPWR
29	56152 34334	1	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1DMSP|2aDMG|3AART|4TLV|5MBVNT|68aDUR|7RCR|9aVULN|aBPWR
30	32151 21662	6	   	266.36	DCR|3VULN|3DUR|1TLV|1CDMG	128DUR|378VULN|4LIT|5CDMG|68BEXP|8BPWR|9TLV|aRCR
31	32151 22262	6	   	266.36	DCR|3VULN|3DUR|1TLV|1CDMG	127DUR|378VULN|4LIT|5CDMG|67BEXP|7BPWR|9TLV|aRCR
32	32151 22662	7	   	266.36	DCR|3VULN|3DUR|1TLV|1CDMG	128DUR|378VULN|4LIT|5CDMG|68BEXP|8BPWR|9TLV|aRCR
33	32151 42262	6	   	266.36	DCR|3VULN|3DUR|1TLV|1CDMG	127DUR|378VULN|4LIT|5CDMG|67FEWX|7BPWR|9TLV|aRCR
34	32151 52222	6	   	266.36	DCR|3VULN|3DUR|1TLV|1CDMG	127DUR|378VULN|4LIT|5CDMG|67LHND|7BPWR|9TLV|aRCR
35	32131 65335	9	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	127DUR|39aVULN|4CDMG|5TLV|6RCR|8ASPD
36	31341 62252	7	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13DUR|26DMG|46TLV|5RMIN|6BPWR|78VULN|9CDMG|aRCR
37	32131 61363	9	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	12DUR|389aVULN|4CDMG|5TLV|6RCR|7RCVC
38	32131 33362	9	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	12DUR|3789VULN|4CDMG|5TLV|6LEGI|aRCR
39	36543 32213	6	 * 	265.44	DCR|2VULN|3DUR|2DMG|3TLV	135DUR|245TLV|5aBPWR|6aLWND|7aVULN|8aDMG|9RCR
40	31445 11211	2	   	264.47	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|1AART	17DUR|2DMG|3AART|47CDMG|57VULN|6RCR|7BPWR|8RPLT|9LIT|aTLV
41	32161 13253	6	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	125DUR|358VULN|4RPLT|5BPWR|6LHND|7TLV|9DMG|aRCR
42	32161 63253	5	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	125DUR|358VULN|4RPLT|5BPWR|6FEWX|7TLV|9DMG|aRCR
43	32161 13253	5	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	125DUR|358VULN|4RPLT|5BPWR|6DUST|7TLV|9DMG|aRCR
44	32161 33253	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	125DUR|358VULN|4RPLT|5BPWR|6DUST|7TLV|9DMG|aRCR
45	25123 62334	10	 * 	262.60	DCR|5VULN|1TLV|1CDMG|1AART|1SELL	1SELL|2AART|34579VULN|6TLV|8CDMG|aRCR
46	36133 53243	3	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	159DUR|2aTLV|3DUST|45aVULN|5aBPWR|6AART|7RCR|8aFEWX
47	36133 53343	3	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	159DUR|2aTLV|3DUST|45aVULN|5aBPWR|6AART|7RCR|8aLHND
48	32111 61311	3	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	128DUR|368VULN|4RMIN|5BBNT|78TLV|8BPWR|9RCR|aAART
49	32143 31311	3	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	128DUR|348VULN|5RMIN|6TBNT|78TLV|8BPWR|9RCR|aAART
50	32343 43311	5	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	128DUR|3ZMB|48TLV|578VULN|6BBNT|8BPWR|9RCR|aAART
51	36133 53153	3	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	159DUR|2aTLV|3aDUST|45aVULN|5aBPWR|6AART|7RCR|8MBVNT
52	26331 12265	1	   	261.90	DCR|3VULN|3DUR|2TLV|1AART|1SELL	1SELL|25aVULN|39aDUR|4AART|6RCR|7aTLV|8RPLT|aBPWR
53	51152 34634	3	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	1DMSP|2aDMG|3AART|48TLV|5MBVNT|6aDUR|7RCR|9aVULN|aBPWR
54	51152 34634	2	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	1DMSP|2aDMG|3AART|48TLV|5MBVNT|6aDUR|7RCR|9aVULN|aBPWR
55	31422 33626	9	   	261.66	DCR|2VULN|3DMG|3DUR|2LIT	145DUR|24aDMG|3RMIN|4aBPWR|6RCR|7ERES|8aVULN|9aLIT
56	25123 62224	9	   	261.44	DCR|4VULN|2DUR|1TLV|1AART|1SELL	1SELL|2AART|3457VULN|6TLV|89DUR|aRCR
57	35343 43312	5	   	260.69	DCR|3VULN|3DUR|2TLV	138DUR|2ASPD|48TLV|578VULN|6BBNT|8BPWR|9RCR|aLWND
58	25123 62362	10	   	260.51	DCR|4VULN|1TLV|1DUR|1CDMG|1AART|1SELL	1SELL|2AART|3457VULN|6TLV|8CDMG|9DUR|aRCR
