0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31114 25341	6	 * 	287.32	DCR|4VULN|3DUR|2LIT|1ASPD|1AART	19LIT|2ASPD|389aVULN|469DUR|5AART|7RCR|9BPWR
63	25234 11632	1	   	261.54	DCR|4VULN|2DMG|1TLV	17LHND|2RMIN|3579VULN|4TBNT|67DMG|7BPWR|8TLV|aRCR
64	11513 16621	8	   	261.44	DCR|4VULN|2DMG|1TLV	1DMSP|2378VULN|38BPWR|4TLV|58DMG|68DUST|9FEWX|aRCR
65	11513 16621	9	   	261.44	DCR|4VULN|2DMG|1TLV	1DMSP|2378VULN|38BPWR|4TLV|58DMG|68DUST|9BEXP|aRCR
66	11544 11221	7	   	261.44	DCR|4VULN|2DMG|1DUR	1DMSP|236aVULN|3aBPWR|4DUR|5aERES|7RCR|8BELT|9aDMG
67	11621 21424	4	   	261.34	DCR|4VULN|2DMG|1DUR	1DMSP|2456VULN|35DMG|5BPWR|7BBNT|8ERES|9DUR|aRCR
68	11624 11332	4	   	261.34	DCR|4VULN|2DMG|1DUR	1DMSP|2467VULN|38DMG|5BBNT|9DUR|aRCR
69	11654 11332	3	   	261.34	DCR|4VULN|2DMG|1DUR	1DMSP|2467VULN|38DMG|5BBNT|9DUR|aRCR
70	11553 13632	10	   	260.84	DCR|4VULN|3DMG	1DMSP|238aVULN|38BPWR|4MLV|578DMG|68DUST|9RCR
71	11252 41314	3	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1DMSP|2468VULN|3AART|4BPWR|5ASPD|7TLV|9DUR|aRCR
72	31124 61312	3	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	1LIT|2ASPD|3589VULN|4DMG|6RCR|7FEWX|aCDMG
73	31124 61361	3	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	1LIT|2ASPD|358aVULN|4DMG|6RCR|7FEWX|9CDMG
74	31144 61312	4	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	1LIT|2ASPD|3589VULN|4DMG|6RCR|7FEWX|aCDMG
75	11531 23256	9	   	260.55	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	1DMSP|239VULN|39BPWR|4FEWX|59TLV|6ASPD|7CDMG|89DUR|aRCR
76	11261 36531	2	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2469VULN|34LWND|4BPWR|5TLV|7DMG|8DUR|aRCR
77	11361 36531	2	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2469VULN|34FEWX|4BPWR|5TLV|7DMG|8DUR|aRCR
78	22161 36511	2	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	149LHND|2346VULN|4BPWR|5TLV|7DMG|8DUR|aRCR
79	62161 31362	2	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	14FEWX|2346VULN|4BPWR|5TLV|7RPLT|8DMG|9DUR|aRCR
80	11541 34221	3	 * 	260.18	ACR|4VULN|2DMG|2DUR|1TLV	1DMSP|236aVULN|3aBPWR|4RCR|5TLV|7aDUR|8BELT|9aDMG
81	11512 36531	4	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4TLV|5FEWX|7DMG|8DUR|aRCR
82	11513 31511	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|236aVULN|3BPWR|4TLV|5DMG|7RCR|8DUR|9LHND
83	11513 31531	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8DUR|aRMIN
84	11513 31534	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1aDMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8DUR
85	11513 31535	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8DUR|aLHND
86	11513 35221	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2367VULN|3BPWR|4TLV|5DMG|8DUR|9FEWX|aRCR
87	11513 35251	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2367VULN|3BPWR|4TLV|5DMG|8DUR|9BEXP|aRCR
88	11531 16531	6	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4FEWX|5TLV|7DMG|8DUR|aRCR
89	11531 36531	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4FEWX|5TLV|7DMG|8DUR|aRCR
90	11531 36531	4	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4FEWX|5TLV|7DMG|8DUR|aRCR
91	11541 11112	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|236aVULN|3BPWR|4DUR|5TLV|7RCR|8MLV|9DMG
92	11541 11133	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4DUR|5TLV|7RCR|8MLV|aDMG
93	11541 11224	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|236aVULN|3BPWR|4DUR|5TLV|7RCR|8BELT|9DMG
94	11541 11261	9	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|236aVULN|3BPWR|4DUR|5TLV|7RCR|8FEWX|9DMG
95	11541 11612	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|236aVULN|3BPWR|4DUR|5TLV|7RCR|8RMIN|9DMG
96	11541 11633	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4DUR|5TLV|7RCR|8RMIN|aDMG
97	11542 11333	9	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2368VULN|3BPWR|4DUR|5MLV|7RCR|9TLV|aDMG
98	11542 11334	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2368VULN|3BPWR|4DUR|5MLV|7RCR|9TLV|aDMG
99	62121 36531	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	14FEWX|2369VULN|5TLV|7DMG|8DUR|aRCR
100	11513 31521	5	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|236aVULN|3BPWR|4TLV|5DMG|7RCR|8DUR|9DUST
101	11513 31533	5	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR|1NUKE	1DMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8DUR|aNUKE
102	11513 34314	5	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2368VULN|3BPWR|4TLV|5DMG|7DLOT|9DUR|aRCR
103	11514 11324	4	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2367VULN|3BPWR|4TLV|5BBNT|8DMG|9DUR|aRCR
104	11541 11312	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|236aVULN|3BPWR|4DUR|5TLV|7RCR|8ERES|9DMG
105	11541 11333	8	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DMSP|2369VULN|3BPWR|4DUR|5TLV|7RCR|8ERES|aDMG
106	32123 34165	8	   	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	1aLIT|2MLV|367aVULN|4ERES|5DUR|8aASPD|9RCR|aBPWR
107	32123 35365	6	   	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	1aLIT|2MLV|368aVULN|4ERES|5DUR|7aASPD|9RCR|aBPWR
108	22241 24335	3	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1LHND|257VULN|39DUR|4AART|6CDMG|8RCR|aDMG
109	11252 35633	3	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	1DMSP|249aVULN|3AART|4BPWR|5ASPD|68DUR|7RCR
110	11513 34512	7	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	1DMSP|237VULN|37BPWR|47TLV|57DMG|6RPLT|8DUR|9LEGI|aRCR
111	11621 22652	4	   	258.84	DCR|4VULN|2DMG|1CDMG	1DMSP|2456VULN|35DMG|5BPWR|7MLV|8DUST|9RCR|aCDMG
112	11231 24364	5	 * 	258.78	DCR|3VULN|3DUR|2CDMG|1AART	1DMSP|279VULN|3AART|4BEXP|59aDUR|69CDMG|8RCR|9BPWR
113	51234 53312	2	   	258.74	DCR|4VULN|2DMG|1CDMG	1CDMG|2RPLT|359aVULN|4TBNT|6RCR|78DMG
114	32123 25631	9	 * 	258.71	DCR|4VULN|2CDMG|1DUR|2LIT	19LIT|2MLV|379aVULN|4ERES|5DUR|69CDMG|8RCR|9BPWR
115	32123 25635	10	   	258.71	DCR|4VULN|2CDMG|1DUR|2LIT	19LIT|2MLV|379aVULN|4ERES|5DUR|69CDMG|8RCR|9BPWR
116	32143 32365	7	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	1aLIT|2MLV|368aVULN|4DMG|5DUR|7aERES|9RCR|aBPWR
117	11126 11412	2	   	258.54	DCR|4VULN|2DUR|1DMG	1DMSP|2578VULN|3TBNT|47DUR|67BEXP|7BPWR|9DMG|aRCR
118	11126 21412	2	   	258.54	DCR|4VULN|2DUR|1DMG	1DMSP|2578VULN|3TBNT|47DUR|67FEWX|7BPWR|9DMG|aRCR
119	11126 31412	2	   	258.54	DCR|4VULN|2DUR|1DMG	1DMSP|2578VULN|3TBNT|47DUR|67LWND|7BPWR|9DMG|aRCR
120	35323 35412	7	 * 	258.54	DCR|4VULN|2DUR|3LIT	189LIT|246FEWX|349aVULN|49BPWR|59DUR|7RCR
121	11523 31331	5	   	258.48	DCR|4VULN|2ASPD|1DMG|1AART	1DMSP|236aVULN|3BPWR|48ASPD|5DMG|7RCR|9AART
122	11541 11252	7	   	258.44	DCR|4VULN|2DUR|2TLV	1DMSP|2369VULN|39BPWR|49DUR|59TLV|7RCR|8BELT|aBBNT
123	11542 11343	9	   	258.44	DCR|4VULN|2DUR|1DMG	1DMSP|2368VULN|3BPWR|49DUR|5MLV|7RCR|aDMG
124	22133 36561	2	   	258.44	DCR|4VULN|2DUR|1DMG	1LHND|2356VULN|4CGEN|7DMG|89DUR|aRCR
125	53133 71722	9	 * 	258.43	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	18CDMG|2TLV|3MBVNT|478DUR|58VULN|6DMSP|8BPWR|9RCR|aDMG
126	11126 61412	2	   	258.34	DCR|4VULN|2DUR|1DMG	1DMSP|2578VULN|3TBNT|47DUR|67DUST|7BPWR|9DMG|aRCR
127	11523 31311	5	 * 	258.34	DCR|4VULN|3ASPD|1DMG	1DMSP|236aVULN|3BPWR|489ASPD|5DMG|7RCR
128	11513 13612	8	 * 	258.17	DCR|3VULN|3DMG|2TLV	1DMSP|238VULN|38BPWR|49TLV|578DMG|68DUST|aRCR
129	11513 13635	9	   	258.17	DCR|3VULN|3DMG|2TLV	1DMSP|238VULN|38BPWR|4aTLV|578DMG|68DUST|9RCR
130	11542 11253	7	   	258.11	DCR|5VULN|2DUR	1DMSP|2369aVULN|39BPWR|49DUR|59MLV|7RCR|8BELT
131	11542 11311	10	   	258.11	DCR|5VULN|2DUR	1DMSP|2368aVULN|3aBPWR|4aDUR|5aMLV|7RCR|9BELT
132	11542 11343	10	   	257.91	DCR|5VULN|2DUR	1DMSP|2368aVULN|3BPWR|49DUR|5MLV|7RCR
133	33323 25345	10	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24LHND|34aVULN|4BPWR|57DUR|6CDMG|8DMG|9RCR
134	22142 61674	1	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LHND|2MBVNT|358VULN|45DUR|5BPWR|6LIT|7RCR|9CDMG|aDMG
135	35362 63312	1	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|3ZMB|45DUR|6RCR|789VULN|aCDMG
136	35432 21644	1	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	19LIT|29DMG|3ERES|48VULN|59DUR|6MBVNT|7RCR|9BPWR|aTLV
137	11513 31232	5	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1DMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8FEWX|aCDMG
138	11513 31432	5	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1DMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8BEXP|aCDMG
139	11513 31632	5	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1DMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8LWND|aCDMG
140	11516 11632	7	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1DMSP|2369VULN|3BPWR|4TLV|5LWND|7RCR|8DMG|aCDMG
141	11542 11362	9	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DMSP|2368VULN|3BPWR|4DUR|5MLV|7RCR|9DMG|aCDMG
142	11553 31532	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DMSP|2369VULN|3BPWR|4MLV|5DMG|7RCR|8DUR|aCDMG
143	11623 31532	4	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DMSP|2469VULN|3DMG|5CGEN|7RCR|8DUR|aCDMG
144	11624 31532	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DMSP|2469VULN|3DMG|5CGEN|7RCR|8DUR|aCDMG
145	11653 31532	3	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DMSP|2469VULN|3DMG|5CGEN|7RCR|8DUR|aCDMG
146	11423 31532	5	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DMSP|2469VULN|3ERES|5DMG|7RCR|8DUR|aCDMG
