0	Index      	 *	Score 	Summary	Detail	
1	36323 23365	 * 	267.51	DCR|2VULN|3DMG|2TLV|2CDMG|1AART|1SELL	169DMG|29CDMG|3SELL|4LIT|56TLV|69BPWR|7AART|89VULN|aRCR
17	32333 22216	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART|1AAC	1DMG|2AAC|3AEFRZ|4VULN|5AART|6DUR|79RCR|8MGNBOS|aFEWX
18	32533 22211	   	250.10	DCR|DCR|1VULN|2AAC|1DMG|1DUR|1AART	1DMG|23AAC|4VULN|5AART|6DUR|79RCR|8MGNBOS|aDUST
19	32333 22211	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AART|1AAC	1DMG|2AAC|3AEFRZ|4VULN|5AART|6DUR|79RCR|8MGNBOS|aDUST
20	36333 52212	   	249.96	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6FEWX|79RCR|8MGNBOS|aRAT
21	36333 52213	   	249.96	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6FEWX|79RCR|8MGNBOS|aLIT
22	36333 52214	   	249.96	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6FEWX|79RCR|8MGNBOS|aDMSP
23	36333 52216	   	249.96	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6aFEWX|79RCR|8MGNBOS
24	36333 52211	   	249.86	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6FEWX|79RCR|8MGNBOS|aDUST
25	36333 62212	   	249.86	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUST|79RCR|8MGNBOS|aFEWX
26	36333 62214	   	249.86	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUST|79RCR|8MGNBOS|aDMSP
27	36333 62215	   	249.86	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUST|79RCR|8MGNBOS|aRAT
28	36333 62211	   	249.76	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6aDUST|79RCR|8MGNBOS
29	32616 12212	 * 	249.00	DCR|DCR|1VULN|2AART|1DMG|1AAC	1DMG|2AAC|3LHND|45AART|6VULN|79RCR|8MGNBOS|aRAT
30	32616 12213	   	249.00	DCR|DCR|1VULN|2AART|1DMG|1AAC	1DMG|2AAC|3LHND|45AART|6VULN|79RCR|8MGNBOS|aLIT
31	32616 12214	   	249.00	DCR|DCR|1VULN|2AART|1DMG|1AAC	1DMG|2AAC|3LHND|45AART|6VULN|79RCR|8MGNBOS|aDMSP
32	32616 12216	   	249.00	DCR|DCR|1VULN|2AART|1DMG|1AAC	1DMG|2AAC|3LHND|45AART|6VULN|79RCR|8MGNBOS|aFEWX
33	32616 12211	   	248.90	DCR|DCR|1VULN|2AART|1DMG|1AAC	1DMG|2AAC|3LHND|45AART|6VULN|79RCR|8MGNBOS|aDUST
