0	Index      	 *	Score 	Summary	Detail	
1	13225 43262	 * 	275.21	DCR|DCR|2VULN|1TLV|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8RAT|9TLV
13	13235 43251	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8RAT|aBELT
14	13235 43253	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8RAT|aCGEN
15	13235 43321	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8AAC|aRPLT
16	13235 43322	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8AAC|aLHND
17	13235 43325	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8AAC|aRMIN
18	13235 43421	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8CGEN|aRPLT
19	13235 43422	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8CGEN|aLHND
20	13235 43262	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8RAT|9TLV|aBEXP
21	13235 43613	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUST|2DMG|38LIT|4DUR|5VULN|67RCR|9LWND|aTLV
22	13235 43233	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|5aVULN|67RCR|8RAT|9MBVNT
23	13235 43323	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8AAC|aTSLARM
24	13235 43324	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8AAC|aAME
25	13235 43423	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8CGEN|aFLTHEA
26	13235 43113	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9LWND|aTLV
27	13235 43142	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9DMSP|aTLV
28	13235 43261	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8RAT|9TLV|aLEGI
29	13235 43263	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8RAT|9TLV|aMSE
30	13235 43314	   	262.55	DCR|DCR|1VULN|2AAC|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8aAAC|9RAT
31	13532 43326	   	261.56	DCR|DCR|2VULN|2AAC|1DMG	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8aAAC
32	13225 43326	   	261.46	DCR|DCR|2VULN|2AAC|1DMG	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8aAAC
33	13212 35334	 * 	260.44	DCR|DCR|2DMG|2TLV|1MLV	189DUST|28DMG|3LIT|4BBNT|5MLV|6aRCR|78TLV|8BPWR
34	22113 18645	   	260.07	ACR|DCR|2DMG|1VULN|1TLV|1DUR|1CDMG	1TLV|27RCR|3aDMG|4MBVNT|5FEWX|6DUR|8VULN|9CDMG
35	22163 15633	   	258.91	ACR|DCR|2DMG|2TLV|1VULN|1MLV	14TLV|2aRCR|34DMG|4BPWR|5RCVC|6MLV|7CGEN|8VULN|9LHND
36	22111 64572	   	258.09	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AART	1TLV|2aRCR|3DMG|4MBVNT|5MLV|6DUR|7FEWX|8AART|9VULN
37	22113 68624	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1TLV|27RCR|3DMG|4MBVNT|5FEWX|6LWND|8aVULN|9MLV
38	22113 18122	 * 	256.89	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1TLV|27RCR|3DMG|4MBVNT|5FEWX|68DUR|9VULN|aMLV
39	22113 18624	   	256.89	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1TLV|27RCR|3DMG|4MBVNT|5FEWX|6aDUR|8VULN|9MLV
40	22113 18652	   	256.89	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1TLV|27RCR|3DMG|4MBVNT|5FEWX|69DUR|8VULN|aMLV
41	22116 18624	   	256.89	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1TLV|27RCR|3DMG|4MBVNT|5LHND|6aDUR|8VULN|9MLV
42	22113 18628	 * 	256.73	ACR|DCR|1VULN|2MLV|1TLV|1DMG|1DUR	1TLV|27RCR|3DMG|4MBVNT|5FEWX|6DUR|8VULN|9aMLV
43	22311 14416	 * 	255.30	ACR|DCR|2TLV|2DUR|1DMG|2CDMG|1MLV	19TLV|2aRCR|3RAT|49CDMG|5DMG|6MLV|7BBNT|89DUR|9BPWR
44	21212 32222	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1TLV|2LWND|38RCR|46VULN|5BBNT|7LIT|9DMG|aDUR
45	22415 32222	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1TLV|28RCR|3LHND|46VULN|5BBNT|7LIT|9DMG|aDUR
46	11352 61125	   	254.94	DCR|DCR|2VULN|1TLV	1DUST|2SNIFST|3AEWIND|4TLV|5LIT|67RCR|8MDPS|9aVULN
47	12215 32222	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1DUST|2TLV|38RCR|46VULN|5BBNT|7LIT|9DMG|aDUR
48	22215 32222	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1TLV|28RCR|3DUST|46VULN|5BBNT|7LIT|9DMG|aDUR
49	23215 32222	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1TLV|2AETHUN|38RCR|46VULN|5TBNT|7LIT|9DMG|aDUR
50	25215 32222	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1TLV|2DUST|38RCR|46VULN|5BBNT|7LIT|9DMG|aDUR
51	22113 18121	   	254.94	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1AART	1TLV|27RCR|3DMG|4MBVNT|5FEWX|68DUR|9VULN|aAART
52	22113 18125	   	254.94	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|27RCR|3DMG|4MBVNT|5FEWX|68DUR|9VULN|aCDMG
53	22113 18651	   	254.94	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1AART	1TLV|27RCR|3DMG|4MBVNT|5FEWX|69DUR|8VULN|aAART
54	22116 18125	   	254.94	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|27RCR|3DMG|4MBVNT|5LHND|68DUR|9VULN|aCDMG
55	13225 43362	   	254.04	DCR|DCR|2DMG|1VULN|2ASPD|1AAC	1aDUST|2aDMG|3LIT|4LEGI|5VULN|67RCR|8AAC|9aASPD|aBPWR
56	33312 16252	 * 	253.97	DCR|3VULN|2DMG|2TLV|1AART	1TBNT|289VULN|3BBNT|4RCVC|5AART|69DMG|79TLV|9BPWR|aRCR
57	33212 16252	   	253.87	DCR|3VULN|2DMG|2TLV|1AART	1TBNT|289VULN|3AEBURN|4BBNT|5AART|69DMG|79TLV|9BPWR|aRCR
58	33332 16252	   	253.87	DCR|3VULN|2DMG|2TLV|1AART	1TBNT|289VULN|3BBNT|4AEFRZ|5AART|69DMG|79TLV|9BPWR|aRCR
59	33362 16252	   	253.87	DCR|3VULN|2DMG|2TLV|1AART	1TBNT|289VULN|3BBNT|4AEPOI|5AART|69DMG|79TLV|9BPWR|aRCR
60	23326 51247	 * 	252.92	DCR|DCR|2TLV|1VULN|1DUR|1AAC	14TLV|2AETHUN|3DUR|5CGEN|6AAC|7MBVNT|8aRCR|9VULN
61	22116 18121	 * 	252.73	ACR|DCR|3DUR|1VULN|1TLV|1DMG	1TLV|27RCR|3DMG|4MBVNT|5LHND|68aDUR|9VULN
62	53513 21413	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RAT|2ERES|3VULN|4DUR|5RCVC|6RPLT|7MLV|89RCR|aDMG
63	22133 45233	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	14TLV|2aRCR|3DMG|5RCVC|67VULN|8FEWX|9LWND
64	22133 45133	   	251.72	ACR|DCR|2VULN|2TLV|1DMG	14TLV|2aRCR|3DMG|5RCVC|67VULN|8DUST|9LWND
65	22136 24316	   	251.62	ACR|DCR|2VULN|2TLV|1DMG	14TLV|2aRCR|3DMG|5MSLREG|6VENTOX|7MDPS|89VULN
66	22113 18625	   	251.38	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1TLV|27RCR|3DMG|4MBVNT|5FEWX|6DUR|8VULN|9MLV|aASPD
67	13235 43212	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8RAT|9LWND|aAAC
68	13235 43362	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|2ASPD|1AAC	1aDUST|2DMG|3aLIT|4DUR|5VULN|67RCR|8AAC|9aASPD|aBPWR
69	13235 43633	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DUST|2DMG|38LIT|4DUR|5VULN|67RCR|9AART|aLHND
70	13255 43232	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4LWND|5VULN|67RCR|8RAT|9DUR|aAAC
71	13235 43133	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9AART|aLHND
72	13235 43143	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9DMSP|aAAC
73	13235 43224	   	250.10	DCR|DCR|1VULN|1DMG|1AAC|1DUR	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8RAT|9ERES|aAAC
74	13235 43225	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8RAT|9ERES|aAART
75	13235 43232	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8RAT|9MBVNT|aAAC
76	13235 43631	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DUST|2DMG|38LIT|4DUR|5VULN|67RCR|9AART|aVENICY
77	13235 43632	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1aDUST|2DMG|38LIT|4DUR|5VULN|67RCR|9AART
78	54212 14513	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2MBVNT|3DUR|4FEWX|5CDMG|6VULN|7AEFBLL|89RCR|aDMG
79	13235 43131	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AART	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9AART|aVENICY
80	13235 43132	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AART	18aDUST|2DMG|3LIT|4DUR|5VULN|67RCR|9AART
81	13235 43134	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AART	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9AART|aAEBURN
82	13235 43136	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AART	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9AART|aBASARM
83	13235 43311	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9RAT|aLEGI
84	13235 43312	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9RAT|aBEXP
85	13235 43313	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9RAT|aMSE
86	13235 43315	 * 	250.00	DCR|DCR|1VULN|2DUR|1DMG|1AAC	1DUST|2DMG|3LIT|4aDUR|5VULN|67RCR|8AAC|9RAT
87	13235 43316	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9RAT|aLHND
88	13235 43331	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9MSE|aBBNT
89	13235 43332	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9MSE|aASPD
90	13235 43333	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9MSE|aAME
91	13235 43334	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1aDUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9MSE
92	13235 43335	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9MSE|aRAT
93	13235 43336	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9MSE|aFEWX
94	13235 43341	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9TBNT|aLWND
95	13235 43342	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9TBNT|aRPLT
96	13235 43343	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9TBNT|aAEFRZ
97	13235 43351	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9RCVC|aRPLT
98	13235 43352	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9RCVC|aLHND
99	13235 43353	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9RCVC|aTSLARM
100	13235 43361	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1aDUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9ASPD
101	13235 43363	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8AAC|9ASPD|aBBNT
102	13235 43532	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DUST|2DMG|3LIT|4DUR|5VULN|67RCR|8TBNT|9MSE|aAAC
103	33118 84172	   	249.43	DCR|DCR|2VULN|1AART	1TBNT|26VULN|36ERES|4MBVNT|5DMSP|6BPWR|7AART|8ASPD|9aRCR
104	22113 18646	   	249.42	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|27RCR|3DMG|4MBVNT|5FEWX|6DUR|8VULN|9CDMG|aASPD
105	26332 34413	   	249.20	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RPLT|3LHND|47CGEN|5VULN|6RAT|89RCR|aDMG
106	26332 36413	   	249.20	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RPLT|3LHND|4CGEN|5VULN|67RAT|89RCR|aDMG
107	13255 43222	   	249.10	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LWND|5aVULN|67RCR|8RAT|9ZMB
108	13255 43312	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LWND|5aVULN|67RCR|8AAC|9RAT
109	13255 43321	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LWND|59VULN|67RCR|8AAC|aRPLT
110	13255 43322	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LWND|59VULN|67RCR|8AAC|aLHND
111	13532 43213	   	249.10	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|4aVULN|5LIT|67RCR|8RAT|9LWND
112	13532 43251	   	249.10	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8RAT|aRCVC
113	13532 43321	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8AAC|aRPLT
114	13532 43322	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8AAC|aLHND
115	13532 43325	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8AAC|aRMIN
116	13532 43421	   	249.10	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8CGEN|aRPLT
117	13532 43422	   	249.10	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8CGEN|aLHND
118	13532 43262	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2DMG|3BEXP|4VULN|5LIT|67RCR|8RAT|9TLV|aFEWX
119	13532 43613	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2DMG|3BEXP|4VULN|58LIT|67RCR|9LWND|aTLV
120	13225 43213	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8RAT|9LWND
121	13225 43242	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8RAT|9RMIN
122	13225 43251	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8RAT|aBELT
123	13225 43253	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8RAT|aCGEN
124	13225 43312	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8AAC|9RAT
125	13225 43321	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8AAC|aRPLT
126	13225 43322	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8AAC|aLHND
127	13225 43325	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8AAC|aRMIN
128	13225 43412	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8CGEN|9RAT
129	13225 43421	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8CGEN|aRPLT
130	13225 43422	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8CGEN|aLHND
131	13255 43323	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LWND|59VULN|67RCR|8AAC|aTSLARM
132	13532 43233	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|4aVULN|5LIT|67RCR|8RAT|9MBVNT
133	13532 43252	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8RAT|aERES
134	13532 43253	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8RAT|aMDPS
135	13532 43323	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8AAC|aTSLARM
136	13532 43324	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8AAC|aAME
137	13532 43423	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3BEXP|49VULN|5LIT|67RCR|8CGEN|aFLTHEA
138	13225 43261	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2DMG|3LIT|4LEGI|5VULN|67RCR|8RAT|9TLV|aDMSP
139	13225 43613	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2DMG|38LIT|4LEGI|5VULN|67RCR|9LWND|aTLV
140	13255 43113	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	18DUST|2DMG|3LIT|4LWND|5VULN|67RCR|9LHND|aTLV
141	13532 43113	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	18DUST|2DMG|3BEXP|4VULN|5LIT|67RCR|9LWND|aTLV
142	13532 43142	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	18DUST|2DMG|3BEXP|4VULN|5LIT|67RCR|9DMSP|aTLV
143	13532 43261	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2DMG|3BEXP|4VULN|5LIT|67RCR|8RAT|9TLV|aLEGI
144	13532 43263	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1MSE	1DUST|2DMG|3BEXP|4VULN|5LIT|67RCR|8RAT|9TLV|aMSE
145	26533 12413	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RPLT|3VULN|4CGEN|5AME|6RAT|7ERES|89RCR|aDMG
146	13225 43222	   	248.90	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8RAT|9ERES
147	13225 43233	   	248.90	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8RAT|9MBVNT
148	13225 43323	   	248.90	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8AAC|aTSLARM
149	13225 43324	   	248.90	DCR|DCR|2VULN|1DMG|1AAC	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8AAC|aAME
150	13225 43423	   	248.90	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3LIT|4LEGI|59VULN|67RCR|8CGEN|aFLTHEA
151	13225 43113	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	18DUST|2DMG|3LIT|4LEGI|5VULN|67RCR|9LWND|aTLV
152	13225 43263	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1aDUST|2DMG|3LIT|4LEGI|5VULN|67RCR|8RAT|9TLV
153	13532 43314	   	248.90	DCR|DCR|1VULN|2AAC|1DMG	1DUST|2DMG|3BEXP|4VULN|5LIT|67RCR|8aAAC|9RAT
154	13225 43314	   	248.80	DCR|DCR|1VULN|2AAC|1DMG	1DUST|2DMG|3LIT|4LEGI|5VULN|67RCR|8aAAC|9RAT
155	13225 43163	   	248.66	DCR|DCR|2VULN|1DMG|1SELL	18DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|9SELL
156	21265 13243	 * 	248.33	ACR|DCR|1VULN|2AART|1TLV|1DMG	1TLV|2LWND|39RCR|45AART|6ASPD|7RAT|8VULN|aDMG
157	22113 18152	   	248.23	ACR|DCR|1VULN|2DUR|1TLV|1DMG	1TLV|27RCR|3DMG|4MBVNT|5FEWX|68DUR|9ASPD|aVULN
158	22116 18152	   	248.23	ACR|DCR|1VULN|2DUR|1TLV|1DMG	1TLV|27RCR|3DMG|4MBVNT|5LHND|68DUR|9ASPD|aVULN
159	23265 13243	   	248.23	ACR|DCR|1VULN|2AART|1TLV|1DMG	1TLV|2AETHUN|39RCR|45AART|6ASPD|7RAT|8VULN|aDMG
160	22111 54327	 * 	248.11	ACR|DCR|2DMG|3MLV|2TLV	17TLV|2aRCR|37DMG|4MBVNT|578MLV|6RMIN|7BPWR|9AME
161	33421 24731	 * 	247.70	DCR|4VULN|2TLV|2DUR|1SELL	1TBNT|258aVULN|3SELL|4aTLV|6MBVNT|7aDUR|9RCR|aBPWR
162	53325 33412	 * 	247.59	DCR|2VULN|3DMG|2TLV|1DUR	17RAT|2ERES|37TLV|4DUR|58VULN|67aDMG|7BPWR|9RCR
163	33543 13216	 * 	247.44	DCR|3VULN|3DMG|2MLV|1AAC	1TBNT|25aVULN|3LIT|47aDMG|6AAC|8aMLV|9RCR|aBPWR
164	13235 43151	   	247.35	DCR|DCR|1VULN|1DMG|1DUR|1NUKE	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9NUKE|aRPLT
165	13235 43152	   	247.35	DCR|DCR|1VULN|1DMG|1DUR|1NUKE	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9NUKE|aLHND
166	13235 43153	   	247.35	DCR|DCR|1VULN|1DMG|1DUR|1NUKE	18DUST|2DMG|3LIT|4DUR|5VULN|67RCR|9NUKE|aTSLARM
