0	Index      	 *	Score 	Summary	Detail	
1	35416 46311	 * 	269.79	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7DUR|89RCR|aCDMG
21	35814 13112	 * 	252.92	DCR|DCR|2TLV|1VULN|1AART	1AART|2MBVNT|3RPLT|4DUST|56TLV|7VENTOX|8VULN|9aRCR
22	35471 46313	   	252.48	DCR|DCR|1VULN|1MLV|1DUR|1AART	1AART|2MBVNT|3TSLARM|4TBNT|5MLV|6VULN|7DUR|89RCR|aASPD
23	33432 32112	 * 	252.31	DCR|4VULN|3DUR|1MLV|1AART	1AART|29aDUR|3MLV|4569VULN|7RCR|89LIT|9BPWR
24	11145 21352	 * 	251.08	DCR|DCR|3VULN	1BOSS|2ERES|357VULN|4RPLT|6RCVC|8MBVNT|9aRCR
25	31232 32365	   	249.63	DCR|DCR|2VULN|1AART	1AART|2DUST|3ASPD|45VULN|6LHND|7aRCR|8LIT|9RPLT
26	32232 12365	   	249.63	DCR|DCR|2VULN|1AART	1AART|2FEWX|3ASPD|45VULN|6DUST|7aRCR|8LIT|9RPLT
27	35232 53241	   	249.43	DCR|DCR|2VULN|1AART	1AART|2MBVNT|3ASPD|45VULN|6FLTHEA|7MULARM|8CGEN|9aRCR
28	35416 48313	   	249.43	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7FEWX|89RCR|aASPD
29	35487 33441	   	249.33	DCR|DCR|2VULN|1AART	1AART|2MBVNT|3TSLARM|45VULN|6ERES|7AIRARM|8ASPD|9aRCR
30	35532 53441	   	249.33	DCR|DCR|2VULN|1AART	1AART|2MBVNT|3ERES|45VULN|6LSRHEA|7AIRARM|8ASPD|9aRCR
31	35416 47313	   	249.33	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7LEGI|89RCR|aASPD
32	35467 33241	 * 	248.80	DCR|DCR|1VULN|2AART|1DMG	16AART|2MBVNT|3TSLARM|4DMG|5VULN|7MULARM|8CGEN|9aRCR
33	33432 32255	 * 	248.27	DCR|4VULN|1DMG|1MLV|1DUR|1AART	1AART|2DUR|3MLV|4569VULN|7RCR|8FEWX|aDMG
34	35322 13731	 * 	247.60	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2MBVNT|39DUR|4CGEN|59VULN|6BBNT|7RCR|89DMG|9BPWR|aTLV
35	35322 23731	   	247.60	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2MBVNT|39DUR|4CGEN|59VULN|6TBNT|7RCR|89DMG|9BPWR|aTLV
36	33432 32533	 * 	247.54	DCR|3VULN|2MLV|1FLTARM|1DUR|1AART	1AART|2DUR|38MLV|456VULN|7RCR|9CGEN|aFLTARM
37	33432 32542	 * 	247.54	DCR|3VULN|2MLV|1TLV|1DUR|1AART	1AART|2DUR|38MLV|456VULN|7RCR|9FEWX|aTLV
38	33432 32562	   	247.54	DCR|3VULN|2MLV|1TLV|1DUR|1AART	1AART|2DUR|38MLV|456VULN|7RCR|9RAT|aTLV
39	33432 32512	   	247.43	DCR|3VULN|2MLV|1TLV|1DUR|1AART	1AART|2DUR|38MLV|456VULN|7RCR|9DUST|aTLV
40	33622 32515	 * 	246.69	DCR|3VULN|2DMG|1MLV|1DUR|1AART	1AART|2DUR|356VULN|4CGEN|7RCR|8MLV|9aDMG
41	35414 14626	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1AART|1AAC	1AART|2MBVNT|3TSLARM|4TLV|5MLV|6AAC|7DMSP|89RCR|aDMG
42	35414 68241	   	246.07	DCR|DCR|1TLV|1DMG|1MLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5MLV|6AIRHEA|7DMG|8CGEN|9aRCR
43	33653 32512	   	245.62	DCR|2VULN|2DUR|1TLV|1DMG|1MLV|1AART	1AART|24DUR|36VULN|5CGEN|7RCR|8MLV|9DMG|aTLV
44	35471 46312	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1AART	1AART|2MBVNT|3TSLARM|4TBNT|5MLV|6VULN|7DUR|89RCR|aRPLT
45	35471 46314	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1AART	1AART|2MBVNT|3TSLARM|4TBNT|5MLV|6VULN|7DUR|89RCR|aRCVC
46	35471 48311	   	245.54	DCR|DCR|1VULN|1MLV|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TBNT|5MLV|6VULN|7FEWX|89RCR|aCDMG
47	35471 47311	   	245.44	DCR|DCR|1VULN|1MLV|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TBNT|5MLV|6VULN|7LEGI|89RCR|aCDMG
48	35884 41421	 * 	244.39	DCR|2VULN|2DMG|2TLV|2AART	17AART|2MBVNT|3RPLT|48VULN|58TLV|68DMG|8BPWR|9LHND|aRCR
49	35884 41411	   	244.29	DCR|2VULN|2DMG|2TLV|2AART	17AART|2MBVNT|3RPLT|48VULN|58TLV|68DMG|8BPWR|9DUST|aRCR
50	35422 73241	   	244.02	DCR|DCR|2TLV|1MSLTOX|1AART	1AART|2MBVNT|3TSLARM|4ASPD|5BEXP|68TLV|7MSLTOX|9aRCR
51	35446 46311	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4CGEN|5TBNT|6VULN|7DUR|89RCR|aCDMG
52	35322 13737	 * 	243.54	DCR|3VULN|2DMG|2DUR|1AART	1AART|2MBVNT|39DUR|4CGEN|59aVULN|6BBNT|7RCR|89DMG|9BPWR
53	35322 23737	   	243.54	DCR|3VULN|2DMG|2DUR|1AART	1AART|2MBVNT|39DUR|4CGEN|59aVULN|6TBNT|7RCR|89DMG|9BPWR
54	35477 41311	   	243.49	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TBNT|5DUR|6VULN|7AME|89RCR|aCDMG
55	35411 44626	 * 	242.91	DCR|DCR|2AART|1TLV|1DMG	15AART|2MBVNT|3TSLARM|4TLV|6ZMB|7AME|89RCR|aDMG
56	35844 31212	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4LWND|5TLV|6VULN|7RCVC|8VENTOX|9aRCR
57	35844 38212	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|47LWND|5TLV|6VULN|8VENTOX|9aRCR
58	35881 41212	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4VULN|5FEWX|6TLV|7RCVC|8VENTOX|9aRCR
59	35883 41212	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4VULN|5LHND|6TLV|7RCVC|8VENTOX|9aRCR
60	35884 31212	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4VULN|5TLV|6FEWX|7RCVC|8VENTOX|9aRCR
61	33136 25212	 * 	242.59	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|5VULN|6CGEN|7MBVNT|8VENTOX|9aRCR
62	33166 25212	   	242.59	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|4BPWR|5VULN|6CGEN|7MBVNT|8VENTOX|9aRCR
63	35322 85212	   	242.59	DCR|DCR|1VULN|2AART|1DUR	17AART|2MBVNT|3DUR|4CGEN|5VULN|6RPLT|8VENTOX|9aRCR
64	35814 31212	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4DUST|5TLV|6VULN|7RCVC|8VENTOX|9aRCR
65	35844 31112	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4LWND|5TLV|6VULN|7RCVC|8AIRARM|9aRCR
66	35844 31512	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4LWND|5TLV|6VULN|7RCVC|8SNIFST|9aRCR
67	35844 31612	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4LWND|5TLV|6VULN|7RCVC|8BASARM|9aRCR
68	35844 38112	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|47LWND|5TLV|6VULN|8AIRARM|9aRCR
69	35881 41112	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4VULN|5FEWX|6TLV|7RCVC|8AIRARM|9aRCR
70	35883 41112	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4VULN|5LHND|6TLV|7RCVC|8AIRARM|9aRCR
71	35884 31112	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4VULN|5TLV|6FEWX|7RCVC|8AIRARM|9aRCR
72	35487 13241	   	242.49	DCR|DCR|2VULN|1AART|1AAC	1AART|2MBVNT|3TSLARM|45VULN|6AAC|7MULARM|8CGEN|9aRCR
73	32633 61311	   	242.49	DCR|DCR|1VULN|2AART|1DUR	1aAART|2FEWX|3VULN|4TBNT|5BBNT|6DUR|7LIT|89RCR
74	32633 61312	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|2FEWX|3VULN|4TBNT|5BBNT|6aDUR|7LIT|89RCR
75	33123 15212	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|25DUR|3RPLT|4ERES|6VULN|7MBVNT|8VENTOX|9aRCR
76	33136 25112	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|5VULN|6CGEN|7MBVNT|8AIRARM|9aRCR
77	33136 25512	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|5VULN|6CGEN|7MBVNT|8SNIFST|9aRCR
78	33136 25612	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|5VULN|6CGEN|7MBVNT|8BASARM|9aRCR
79	33136 65212	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|5VULN|6ERES|7MBVNT|8VENTOX|9aRCR
80	33166 25112	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|4BPWR|5VULN|6CGEN|7MBVNT|8AIRARM|9aRCR
81	33633 11311	   	242.49	DCR|DCR|1VULN|2AART|1DUR	1aAART|2DUR|3VULN|4TBNT|5BBNT|6BEXP|7LIT|89RCR
82	33633 11312	   	242.49	DCR|DCR|1VULN|2DUR|1AART	1AART|2aDUR|3VULN|4TBNT|5BBNT|6BEXP|7LIT|89RCR
83	35322 85112	   	242.49	DCR|DCR|1VULN|2AART|1DUR	17AART|2MBVNT|3DUR|4CGEN|5VULN|6RPLT|8AIRARM|9aRCR
84	35415 14623	 * 	242.49	DCR|DCR|1VULN|2AAC|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|56AAC|7AME|89RCR|aVULN
85	35416 48312	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7FEWX|89RCR|aRPLT
86	35416 48314	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7FEWX|89RCR|aRCVC
87	35417 33541	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5VULN|6RCVC|7AIRARM|8ZMB|9aRCR
88	35483 33541	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4VULN|5TLV|6RCVC|7AIRARM|8ZMB|9aRCR
89	35814 31112	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4DUST|5TLV|6VULN|7RCVC|8AIRARM|9aRCR
90	35814 31512	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4DUST|5TLV|6VULN|7RCVC|8SNIFST|9aRCR
91	35814 31612	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4DUST|5TLV|6VULN|7RCVC|8BASARM|9aRCR
92	35814 34212	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|47DUST|5TLV|6VULN|8VENTOX|9aRCR
93	35814 53112	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|4DUST|5TLV|6AEWIND|7VENTOX|8VULN|9aRCR
94	35125 53112	   	242.39	DCR|DCR|2VULN|1AART|1NUKE	1AART|2MBVNT|3NUKE|4BOSS|5AETHUN|69RCR|7FRZFST|8aVULN
95	33123 15112	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1AART|25DUR|3RPLT|4ERES|6VULN|7MBVNT|8AIRARM|9aRCR
96	33123 15512	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1AART|25DUR|3RPLT|4ERES|6VULN|7MBVNT|8SNIFST|9aRCR
97	33123 15612	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1AART|25DUR|3RPLT|4ERES|6VULN|7MBVNT|8BASARM|9aRCR
98	33136 65112	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1AART|24DUR|3RPLT|5VULN|6ERES|7MBVNT|8AIRARM|9aRCR
99	35416 47312	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7LEGI|89RCR|aRPLT
100	35416 47314	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7LEGI|89RCR|aRCVC
101	35814 34112	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|47DUST|5TLV|6VULN|8AIRARM|9aRCR
102	35814 34512	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|47DUST|5TLV|6VULN|8SNIFST|9aRCR
103	35814 34612	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3RPLT|47DUST|5TLV|6VULN|8BASARM|9aRCR
104	31633 61311	   	242.39	DCR|DCR|1VULN|2AART|1DUR	1aAART|2DUST|3VULN|4TBNT|5BBNT|6DUR|7LIT|89RCR
105	31633 61312	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1AART|2DUST|3VULN|4TBNT|5BBNT|6aDUR|7LIT|89RCR
106	35417 43541	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4TLV|5VULN|6AEFBLL|7AIRARM|8ZMB|9aRCR
107	35483 43541	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2MBVNT|3TSLARM|4VULN|5TLV|6AEFBLL|7AIRARM|8ZMB|9aRCR
108	32432 32312	   	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1AART|1AAC	1AART|2FEWX|3MLV|456VULN|7RCR|8AAC|9DMG|aTLV
109	32622 32512	   	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1AART	1AART|2FEWX|356VULN|4CGEN|7RCR|8MLV|9DMG|aTLV
110	33432 32515	 * 	241.29	DCR|3VULN|2MLV|1DMG|1DUR|1AART	1AART|2DUR|38MLV|456VULN|7RCR|9DUST|aDMG
111	33432 32111	   	240.86	DCR|4VULN|2DUR|1MLV|1AART	1AART|29DUR|3MLV|4569VULN|7RCR|89LIT|9BPWR|aLWND
112	33432 32114	   	240.86	DCR|4VULN|2DUR|1MLV|1AART	1AART|29DUR|3MLV|4569VULN|7RCR|89aLIT|9BPWR
113	33432 32115	   	240.86	DCR|4VULN|2DUR|1MLV|1AART	1AART|29DUR|3MLV|4569VULN|7RCR|89LIT|9BPWR|aCGEN
114	35416 54311	 * 	240.84	DCR|DCR|3TLV|1AART|1CDMG	1AART|2MBVNT|3TSLARM|467TLV|5TBNT|89RCR|aCDMG
115	32432 32652	   	240.76	DCR|4VULN|1TLV|1MLV|1AART	1AART|2FEWX|3MLV|4569VULN|7RCR|8BEXP|aTLV
116	33432 32113	   	240.76	DCR|4VULN|2DUR|1MLV|1AART	1AART|29DUR|3MLV|4569VULN|7RCR|89LIT|9BPWR|aERES
117	33432 32116	   	240.76	DCR|4VULN|2DUR|1MLV|1AART	1AART|29DUR|3MLV|4569VULN|7RCR|89LIT|9BPWR|aTBNT
118	33432 32142	   	240.66	DCR|4VULN|2DUR|1MLV|1AART	1AART|2aDUR|3MLV|4569VULN|7RCR|8LIT
119	33622 32562	 * 	240.50	DCR|4VULN|2MLV|1DUR|1AART	1AART|2DUR|3569VULN|4CGEN|7RCR|8aMLV
120	33432 32525	   	240.40	DCR|4VULN|2MLV|1DUR|1AART	1AART|2DUR|38MLV|456aVULN|7RCR|9TBNT
