0	Index      	 *	Score 	Summary	Detail	
1	51325 12532	 * 	275.11	DCR|DCR|2VULN|2DUR|1DMG	1RAT|2DMG|39DUR|4ERES|5aVULN|68RCR|7CANTOX
22	13344 16173	   	251.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2LHND|3LWND|4TLV|5SNIFST|6aRCR|7MLV|8VULN|9ASPD
23	13631 16173	   	251.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2LHND|3TLV|4FRZFST|5BEXP|6aRCR|7MLV|8VULN|9ASPD
24	12344 16573	   	251.38	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3LWND|4TLV|5FRZFST|6aRCR|7MLV|8DUST|9ASPD
25	18144 16173	   	251.38	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2LWND|3AETHUN|4TLV|5FRZFST|6aRCR|7MLV|8VULN|9ASPD
26	12634 25373	   	251.28	DCR|DCR|2VULN|1MLV	1MBVNT|28VULN|3AME|4BLASTR|5MDPS|6MLV|7aRCR|9ASPD
27	12734 25373	   	251.28	DCR|DCR|2VULN|1MLV	1MBVNT|28VULN|3ERES|4BLASTR|5MDPS|6MLV|7aRCR|9ASPD
28	16446 13841	   	251.18	DCR|DCR|3VULN	1MBVNT|2RPLT|349VULN|5BELT|6LHND|7FEWX|8aRCR
29	51633 12252	   	250.80	DCR|DCR|1VULN|2MLV|1DMG	1RAT|2DMG|3CGEN|4VULN|5LHND|69RCR|7CANTOX|8aMLV
30	51225 12252	   	250.70	DCR|DCR|1VULN|2MLV|1DMG	1RAT|2DMG|3LHND|4ERES|5VULN|69RCR|7CANTOX|8aMLV
31	51331 14234	   	250.30	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2DMG|3DUR|4CDMG|5RCVC|6aRCR|7BEXP|8VULN|9CGEN
32	12441 61518	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1MBVNT|2VULN|3DMSP|4FEWX|5LIT|6DUR|7AART|8DMG|9aRCR
33	51231 11344	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2DMG|3LHND|4CDMG|5RCVC|6aRCR|7ERES|8VULN|9DUR
34	51331 11314	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2DMG|3DUR|4CDMG|5RCVC|6aRCR|7ERES|8VULN|9FEWX
35	12141 61518	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1MBVNT|2VULN|3AEPOI|4FEWX|5LIT|6DUR|7AART|8DMG|9aRCR
36	51331 11334	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2DMG|3DUR|4CDMG|5RCVC|6aRCR|7ERES|8VULN|9AETHUN
37	51331 11354	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2DMG|3DUR|4CDMG|5RCVC|6aRCR|7ERES|8VULN|9DUST
38	22162 12151	 * 	250.04	DCR|2VULN|2DMG|2TLV|1MSLTOX|1MLV|1NUKE	1NUKE|2BOSS|37VULN|4MLV|57TLV|67DMG|7BPWR|8MSLTOX|9TBNT|aRCR
39	62163 32363	   	249.73	DCR|DCR|2VULN|1DUR	1DUR|2RPLT|34VULN|5ASPD|6LIT|7aRCR|8LHND|9FEWX
40	12331 84363	   	249.53	DCR|DCR|2VULN|1DUR	1MBVNT|25VULN|3LWND|4TSLARM|6ASPD|7aRCR|8DUR|9LHND
41	12331 84713	   	249.53	DCR|DCR|2VULN|1DUR	1MBVNT|25VULN|3LWND|4TSLARM|6ASPD|7aRCR|8BEXP|9DUR
42	12233 17613	   	249.53	DCR|DCR|2VULN|1DUR	1MBVNT|28VULN|3BEXP|4TSLARM|5ASPD|6aRCR|7LWND|9DUR
43	12333 12463	   	249.53	DCR|DCR|2VULN|1DUR	1MBVNT|28VULN|3LWND|4TSLARM|5ASPD|6aRCR|7DUR|9LHND
44	12333 15613	   	249.53	DCR|DCR|2VULN|1DUR	1MBVNT|28VULN|3LWND|4TSLARM|5ASPD|6aRCR|7BEXP|9DUR
45	12344 12373	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2VULN|3LWND|4TLV|5FRZFST|6aRCR|7DUR|8RMIN|9ASPD
46	12724 21842	   	249.43	DCR|DCR|2VULN|1DUR	1MBVNT|2aVULN|3ERES|4DUR|5ASPD|6ZMB|79RCR|8MDPS
47	12234 12473	   	249.43	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2VULN|3BEXP|4TSLARM|5AME|6aRCR|7DUR|8TLV|9ASPD
48	12334 12473	   	249.43	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2VULN|3LWND|4TSLARM|5AME|6aRCR|7DUR|8TLV|9ASPD
49	12631 12473	   	249.43	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2VULN|3AME|4BLASTR|5BEXP|6aRCR|7DUR|8TLV|9ASPD
50	12731 12473	   	249.43	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2VULN|3ERES|4BLASTR|5BEXP|6aRCR|7DUR|8TLV|9ASPD
51	12781 12473	   	249.43	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2VULN|3ERES|4MSLFST|5BEXP|6aRCR|7DUR|8TLV|9ASPD
52	51325 12243	 * 	249.40	DCR|2VULN|2DMG|2MLV|1TLV|1DUR	1RAT|29DMG|3DUR|4ERES|59VULN|6RCR|7CANTOX|89MLV|9BPWR|aTLV
53	51633 12511	   	249.10	DCR|DCR|2VULN|1DMG	1RAT|2DMG|3CGEN|4aVULN|5LHND|68RCR|7CANTOX|9LIT
54	51225 12511	   	249.00	DCR|DCR|2VULN|1DMG	1RAT|2DMG|3LHND|4ERES|5aVULN|68RCR|7CANTOX|9LIT
55	51633 12532	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1RAT|2DMG|3CGEN|4VULN|5LHND|68RCR|7CANTOX|9aDUR
56	13338 12258	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2LHND|3LWND|4MULARM|5DMG|68RCR|79DUR|aVULN
57	51225 12532	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1RAT|2DMG|3LHND|4ERES|5VULN|68RCR|7CANTOX|9aDUR
58	51325 12522	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1RAT|2DMG|3aDUR|4ERES|5VULN|68RCR|7CANTOX|9FEWX
59	14644 83236	 * 	248.88	DCR|3VULN|3TLV|2DUR|1CDMG	1MBVNT|24DUR|346TLV|46BPWR|568VULN|7CDMG|9BBNT|aRCR
60	12248 74413	 * 	248.80	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2VULN|3BEXP|4TLV|5DMG|6MDPS|7TBNT|8AIRBOS|9aRCR
61	12248 74613	   	248.80	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2VULN|3BEXP|4TLV|5DMG|6MDPS|7TBNT|8TSLARM|9aRCR
62	13138 12258	   	248.80	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2LHND|3AETHUN|4TSLARM|5DMG|68RCR|79DUR|aVULN
63	51325 12533	   	248.80	DCR|DCR|1VULN|2DUR|1DMG	1RAT|2DMG|39DUR|4ERES|5VULN|68RCR|7CANTOX|aTBNT
64	22162 12231	   	247.54	DCR|2VULN|2DMG|2TLV|1MLV|1CDMG|1NUKE	1NUKE|2BOSS|37VULN|4MLV|57TLV|67DMG|7BPWR|8RMIN|9CDMG|aRCR
65	22162 12541	   	247.54	DCR|2VULN|2DMG|2TLV|1MLV|1CDMG|1NUKE	1NUKE|2BOSS|37VULN|4MLV|57TLV|67DMG|7BPWR|8CDMG|9CGEN|aRCR
66	22162 12561	   	247.54	DCR|2VULN|2DMG|2TLV|1MLV|1CDMG|1NUKE	1NUKE|2BOSS|37VULN|4MLV|57TLV|67DMG|7BPWR|8CDMG|9RMIN|aRCR
67	22162 12521	   	247.44	DCR|2VULN|2DMG|2TLV|1MLV|1CDMG|1NUKE	1NUKE|2BOSS|37VULN|4MLV|57TLV|67DMG|7BPWR|8CDMG|9AME|aRCR
68	22162 12636	   	247.44	DCR|2VULN|2DMG|2TLV|1MLV|1CDMG|1NUKE	1NUKE|2BOSS|37VULN|4MLV|57TLV|67DMG|7BPWR|8TBNT|9CDMG|aRCR
