0	Index      	 *	Score 	Summary	Detail	
1	35113 23421	 * 	257.29	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1AART|2RPLT|3aDMG|4TLV|57aVULN|6RCR|8TBNT|9aASPD|aBPWR
57	35113 21434	   	233.17	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2RPLT|3DMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9RCVC|aDUR
58	35113 21412	   	233.07	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2RPLT|3DMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9DUR|aDLOT
59	35113 21416	   	233.07	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2RPLT|3DMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9DUR|aTSLARM
60	35113 21425	   	233.07	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9ERES|aCDMG
61	14132 36421	   	232.77	ACR|DCR|2VULN|2DMG	12LWND|38RCR|4DMSP|5aDMG|6TBNT|79VULN
62	26132 36421	   	232.77	ACR|DCR|2VULN|2DMG	1LHND|2RCVC|38RCR|4DMSP|5aDMG|6TBNT|79VULN
63	12132 36421	   	232.67	ACR|DCR|2VULN|2DMG	1LWND|2AEFRZ|38RCR|4DMSP|5aDMG|6TBNT|79VULN
64	13332 36422	   	232.67	ACR|DCR|2VULN|2DMG	1LWND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aLHND
65	13332 36424	   	232.67	ACR|DCR|2VULN|2DMG	1LWND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aBEXP
66	13332 36425	   	232.67	ACR|DCR|2VULN|2DMG	1LWND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aRAT
67	13332 36426	   	232.67	ACR|DCR|2VULN|2DMG	1LWND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aZMB
68	22132 36421	   	232.67	ACR|DCR|2VULN|2DMG	1LHND|2AEFRZ|38RCR|4DMSP|5aDMG|6TBNT|79VULN
69	23332 36422	   	232.67	ACR|DCR|2VULN|2DMG	1aLHND|23DMG|4AEBURN|58RCR|6TBNT|79VULN
70	23332 36424	   	232.67	ACR|DCR|2VULN|2DMG	1LHND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aBEXP
71	23332 36425	   	232.67	ACR|DCR|2VULN|2DMG	1LHND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aRAT
72	23332 36426	   	232.67	ACR|DCR|2VULN|2DMG	1LHND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aZMB
73	23223 36345	 * 	232.67	ACR|DCR|2DMG|1VULN|1TLV|1NUKE	16LHND|26DMG|3BBNT|4NUKE|5aRCR|6BPWR|7VULN|8TLV|9MDPS
74	23332 36423	   	232.57	ACR|DCR|2VULN|2DMG	1LHND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aMBVNT
75	51332 26421	   	232.57	ACR|DCR|2VULN|2DMG	1AME|28RCR|3aDMG|4AEBURN|5TBNT|6CGEN|79VULN
76	51332 36421	   	232.47	ACR|DCR|2VULN|2DMG	1AME|28RCR|3aDMG|4AEBURN|5TBNT|6ERES|79VULN
77	11511 21442	 * 	232.42	DCR|DCR|1TLV|2CDMG|1MLV	1LWND|2ERES|35CDMG|4TLV|6RAT|7SNIFST|8aRCR|9MLV
78	11511 22442	   	232.42	DCR|DCR|1TLV|2CDMG|1MLV	1LWND|2ERES|35CDMG|4TLV|6RAT|7SPLREG|8aRCR|9MLV
79	21511 21442	   	232.42	DCR|DCR|1TLV|2CDMG|1MLV	1LHND|2ERES|35CDMG|4TLV|6RAT|7SNIFST|8aRCR|9MLV
80	21511 22442	   	232.42	DCR|DCR|1TLV|2CDMG|1MLV	1LHND|2ERES|35CDMG|4TLV|6RAT|7SPLREG|8aRCR|9MLV
81	13632 23153	   	231.97	DCR|2VULN|2DUR|1TLV|1DMG|1MLV	1LWND|2DMG|3RAT|45DUR|6TLV|7RCR|89VULN|aMLV
82	23632 23153	   	231.97	DCR|2VULN|2DUR|1TLV|1DMG|1MLV	1LHND|2DMG|3RAT|45DUR|6TLV|7RCR|89VULN|aMLV
83	13255 34132	 * 	231.73	DCR|2VULN|2DMG|2TLV|1DUR	1LWND|2aDMG|3BBNT|4DUR|5AEFRZ|6aVULN|7DUST|8aTLV|9RCR|aBPWR
84	23255 34132	   	231.73	DCR|2VULN|2DMG|2TLV|1DUR	1LHND|2aDMG|3BBNT|4DUR|5AEFRZ|6aVULN|7DUST|8aTLV|9RCR|aBPWR
85	35121 34312	 * 	231.68	ACR|DCR|3DMG|2MLV|1AART|1NUKE	1AART|2RPLT|34aDMG|58RCR|6aMLV|7NUKE|9MDPS|aBPWR
86	35121 34332	   	231.68	ACR|DCR|3DMG|2MLV|1AART|1NUKE	1AART|2RPLT|349DMG|58RCR|6aMLV|7NUKE|aBPWR
87	35143 23252	   	231.29	DCR|3VULN|2DMG|1DUR|1AART	1AART|2RPLT|39DMG|4RMIN|579VULN|6RCR|89LWND|9BPWR|aDUR
88	35113 23331	   	231.21	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8DUR|9CDMG|aRCVC
89	35113 23335	   	231.21	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8DUR|9CDMG|aLHND
90	35113 23336	   	231.21	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8DUR|9CDMG|aZMB
91	35113 23333	   	231.11	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8DUR|9CDMG|aAME
92	35113 23334	   	231.11	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8DUR|9CDMG|aAEWIND
93	35113 23365	   	231.11	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8DUR|9BLASTR|aCDMG
94	32331 54323	   	231.09	DCR|3VULN|2DMG|1DUR|1AART	1AART|2DUR|3aDMG|4BOSS|5BELT|689VULN|7RCR
95	32333 14323	   	231.09	DCR|3VULN|2DMG|1DUR|1AART	1AART|2DUR|3aDMG|4BOSS|589VULN|6BELT|7RCR
96	35143 23152	   	231.09	DCR|3VULN|2DMG|1DUR|1AART	1AART|2RPLT|39DMG|4RMIN|579VULN|6RCR|89DUST|9BPWR|aDUR
97	12121 41553	 * 	231.01	ACR|DCR|3VULN|1DUR	18LWND|28AEFRZ|39RCR|4DUR|5BOSS|6LHND|78aVULN|8BPWR
98	23542 41437	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1LHND|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7BEXP|9TLV|aDUR
99	23542 41484	   	230.56	DCR|DCR|1TLV|1DMG|1AART	1LHND|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7BEXP|9AART|aTLV
100	63542 42437	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1BEXP|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7LHND|9TLV|aDUR
101	63542 42484	   	230.56	DCR|DCR|1TLV|1DMG|1AART	1BEXP|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7LHND|9AART|aTLV
102	35113 52222	 * 	230.27	3VULN|2FLTARM|2DMG|2TLV|2AART	1aAART|2RPLT|38DMG|46TLV|589VULN|78FLTARM|8BPWR
103	35143 22216	 * 	230.12	DCR|2VULN|1FLTARM|1TLV|1DMG|1AART	1AART|2RPLT|3DMG|4RMIN|5aVULN|6RCR|7BEXP|8FLTARM|9TLV
104	23322 34163	   	230.09	DCR|3VULN|2DMG|2DUR	169LHND|23DMG|49DUR|59aVULN|7RCR|8RCVC|9BPWR
105	35143 23251	   	230.09	DCR|3VULN|2DMG|2AART	1aAART|2RPLT|39DMG|4RMIN|579VULN|6RCR|89LWND|9BPWR
106	35113 23354	   	230.02	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8aDUR|9LWND
107	35113 42413	   	230.02	DCR|2VULN|1FLTARM|1TLV|1DMG|1AART|1AAC	1AART|2RPLT|3DMG|4TLV|56VULN|7FLTARM|8AAC|9MBVNT|aRCR
108	35143 23151	   	229.89	DCR|3VULN|2DMG|2AART	1aAART|2RPLT|39DMG|4RMIN|579VULN|6RCR|89DUST|9BPWR
109	35113 21144	   	229.85	DCR|2VULN|2TLV|1DMG|1MLV|1AART	1AART|2RPLT|3DMG|4aTLV|59VULN|6RCR|7MLV|8FEWX
110	35113 21244	   	229.85	DCR|2VULN|2TLV|1DMG|1MLV|1AART	1AART|2RPLT|3DMG|4aTLV|59VULN|6RCR|7MLV|8LWND
111	35113 21663	   	229.85	DCR|2VULN|2TLV|1DMG|1MLV|1AART	1AART|2RPLT|3DMG|49TLV|5aVULN|6RCR|7MLV|8LIT
112	35165 21322	   	229.18	DCR|DCR|2DMG|1AART	1AART|2RPLT|3aDMG|4aFEWX|5ASPD|68RCR|7AME|9aBEXP|aBPWR
113	63535 34411	   	228.83	ACR|DCR|1VULN|1TLV|1DMG|1AART	1BEXP|2DMG|3MBVNT|4VULN|59RCR|6TLV|7RMIN|8AART|aLHND
114	63535 34414	   	228.83	ACR|DCR|1VULN|1TLV|1DMG|1AART	1BEXP|2DMG|3MBVNT|4VULN|59RCR|6TLV|7aRMIN|8AART
115	23535 24416	   	228.83	ACR|DCR|1VULN|1TLV|1DMG|1AART	1LHND|2DMG|3MBVNT|4VULN|59RCR|6CGEN|7RMIN|8AART|aTLV
116	23535 47411	   	228.73	ACR|DCR|2VULN|1DMG|1AART	1aLHND|2DMG|3MBVNT|47VULN|59RCR|6DUST|8AART
117	23535 47412	   	228.73	ACR|DCR|2VULN|1DMG|1AART	1LHND|2DMG|3MBVNT|47VULN|59RCR|6DUST|8AART|aBOSS
118	23535 47414	   	228.73	ACR|DCR|2VULN|1DMG|1AART	1LHND|2DMG|3MBVNT|47VULN|59RCR|6DUST|8AART|aLWND
119	63535 34412	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1AART	1BEXP|2DMG|3MBVNT|4VULN|59RCR|6TLV|7RMIN|8AART|aAEPOI
120	63535 34413	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1AART	1BEXP|2DMG|3MBVNT|4VULN|59RCR|6TLV|7RMIN|8AART|aAEBURN
121	23535 34416	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1AART	1LHND|2DMG|3MBVNT|4VULN|59RCR|6ERES|7RMIN|8AART|aTLV
122	23535 47413	   	228.63	ACR|DCR|2VULN|1DMG|1AART	1LHND|2DMG|3MBVNT|47VULN|59RCR|6DUST|8AART|aAEBURN
123	35165 23211	   	228.44	DCR|2DMG|1VULN|1FLTARM|1TLV|1AART	1AART|2RPLT|3aDMG|4FEWX|5ASPD|6RCR|7VULN|8FLTARM|9TLV
124	35113 23314	   	227.90	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1AART|2RPLT|3DMG|4aTLV|57VULN|6RCR|8DUR|9CGEN
125	35113 23351	   	227.90	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1AART|2RPLT|3DMG|4aTLV|57VULN|6RCR|8DUR|9LWND
126	63632 23153	 * 	227.81	DCR|2VULN|3DUR|1TLV|1DMG	1BEXP|2DMG|3RAT|45aDUR|6TLV|7RCR|89VULN
127	35113 23324	   	227.80	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1AART|2RPLT|3DMG|4aTLV|57VULN|6RCR|8DUR|9ERES
