0	Index      	 *	Score 	Summary	Detail	
1	62453 23323	 * 	265.88	DCR|DCR|2VULN|2TLV	19VULN|2RPLT|39RAT|4BEXP|57TLV|69LIT|8aRCR|9BPWR
30	62362 33136	   	238.93	DCR|5VULN|2TLV	1459aVULN|2RPLT|3RCVC|59BPWR|69BEXP|79TLV|8RCR
31	62642 13122	   	238.83	DCR|5VULN|2TLV	1356aVULN|2RPLT|456AEBURN|56aBPWR|7aTLV|8RCR|9aCGEN
32	62661 33132	   	238.83	DCR|5VULN|2TLV	13459VULN|2RPLT|69BEXP|79TLV|8RCR|9BPWR|aBBNT
33	62662 33132	   	238.83	DCR|5VULN|2TLV	13459VULN|2RPLT|59BPWR|69BEXP|79TLV|8RCR|aBBNT
34	62342 13162	   	238.73	DCR|5VULN|2TLV	1569aVULN|2RPLT|3RCVC|456AEBURN|569BPWR|79TLV|8RCR
35	62121 13162	 * 	237.79	DCR|2VULN|3MLV|2TLV|1DMG	19VULN|2RPLT|359MLV|45CGEN|59BPWR|6AEPOI|79TLV|8RCR|aDMG
36	62661 23122	 * 	237.71	DCR|4VULN|1FLTARM|1TLV	1345VULN|2RPLT|6LWND|7TLV|8RCR|9CGEN|aFLTARM
37	62662 23122	   	237.71	DCR|4VULN|1FLTARM|1TLV	1345VULN|2RPLT|5BPWR|6LWND|7TLV|8RCR|9CGEN|aFLTARM
38	62161 13162	   	237.59	DCR|2VULN|3MLV|2TLV|1DMG	19VULN|2RPLT|359MLV|45AME|59BPWR|6AEPOI|79TLV|8RCR|aDMG
39	41531 53122	   	236.21	DCR|DCR|1VULN|2CDMG|1AART|1SELL	1AART|2BOSS|36CDMG|4AEWIND|5CGEN|79RCR|8SELL|aVULN
40	24314 53122	   	236.11	DCR|DCR|1VULN|2CDMG|1AART|1SELL	1ERES|26CDMG|3AART|4BOSS|5AEWIND|79RCR|8SELL|aVULN
41	24334 53122	   	236.11	DCR|DCR|1VULN|2CDMG|1AART|1SELL	1ERES|26CDMG|3AART|4LIT|5AEWIND|79RCR|8SELL|aVULN
