0	Index      	 *	Score 	Summary	Detail	
1	23441 32351	 * 	264.61	橙橙1易伤1等级2技能1伤害1矿等	16技能2等级3赏金塔4矿等5伤害7a核8雷电减费9易伤
27	23442 62321	   	242.12	橙橙2等级2矿等1技能	1技能25等级3赏金塔45矿等5序列升级6策反7a核8雷电减费9时间
28	23362 22623	 * 	240.42	橙3易伤2伤害2等级2技能	13技能2a等级45a易伤6赏金塔7核8头目9a伤害a序列升级
29	11311 16141	   	240.39	橙橙2伤害1易伤1技能	1赏金塔2技能3掉矿4金币生成58伤害6易伤7a核9基地爆炸
30	11311 16161	   	240.39	橙橙2伤害1易伤1技能	1赏金塔2技能3掉矿4金币生成58伤害6易伤7a核9低血量敌人
31	11311 26151	   	240.29	橙橙2伤害1易伤1技能	1赏金塔2技能3掉矿4金币生成58伤害6挖尘7a核9易伤
32	23422 32121	 * 	239.71	紫橙2伤害1易伤1等级1技能	1技能2等级3赏金塔4a核58伤害6金币生成7易伤9时间
33	23441 32121	   	239.55	橙橙1等级2技能1伤害1矿等	16技能2等级3赏金塔4矿等5伤害7a核8基地爆炸9时间
34	23441 32421	   	239.55	橙橙1等级2技能1伤害1矿等	16技能2等级3赏金塔4矿等5伤害7a核8敌人爆炸9时间
35	11222 62451	 * 	239.47	橙橙2等级1易伤1技能	1赏金塔2技能35金币生成45等级5序列升级6策反7a核8敌人爆炸9易伤
36	23441 32321	   	239.45	橙橙1等级2技能1伤害1矿等	16技能2等级3赏金塔4矿等5伤害7a核8雷电减费9时间
37	11241 32451	   	238.50	橙橙1易伤2技能1伤害1矿等	1赏金塔26技能3金币生成4矿等5伤害7a核8敌人爆炸9易伤
38	21411 32451	   	238.50	橙橙1易伤2技能1伤害1矿等	16技能2矿等3赏金塔4金币生成5伤害7a核8敌人爆炸9易伤
39	11241 32351	   	238.40	橙橙1易伤2技能1伤害1矿等	1赏金塔26技能3金币生成4矿等5伤害7a核8雷电减费9易伤
40	11341 32451	   	238.40	橙橙1易伤2技能1伤害1矿等	1赏金塔26技能3掉矿4矿等5伤害7a核8敌人爆炸9易伤
41	21411 32351	   	238.40	橙橙1易伤2技能1伤害1矿等	16技能2矿等3赏金塔4金币生成5伤害7a核8雷电减费9易伤
42	11341 32351	   	238.30	橙橙1易伤2技能1伤害1矿等	1赏金塔26技能3掉矿4矿等5伤害7a核8雷电减费9易伤
43	24112 32286	   	235.98	橙橙1易伤1等级1技能	1技能2敌人爆炸3等级4头目5加一6易伤7时间8额外掉落9a核
