0	Index      	 *	Score 	Summary	Detail	
1	46221 13411	 * 	321.61	ACR|DCR|2TLV|2VULN|2CDMG	19TLV|2CGEN|39CDMG|4MULHEA|5aRCR|6AAC|7FEWX|89VULN|9BPWR
48	62443 12312	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3TLV|4ZMB|58RCR|6MGNSTR|7FEWX|9CDMG|aDMG
49	62443 12313	   	295.70	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1DUR|2VULN|3TLV|4ZMB|58RCR|6MGNSTR|7FEWX|9CDMG|aAEPOI
50	32315 32135	   	295.31	DCR|DCR|2VULN|1TLV|1AEPOI	1LHND|29VULN|3BELT|4AEPOI|5AETHUN|6aRCR|7RCVC|8TLV
51	32463 32411	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|58RCR|6NUKE|7AAC|aBELT
52	32463 32413	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|58RCR|6NUKE|7AAC|aFEWX
53	41331 41322	 * 	295.27	DCR|4VULN|2TLV|2AEBURN	17TLV|2DUST|3579VULN|47AEBURN|6MDPS|7BPWR|8DLOT|aRCR
54	32315 35135	   	295.21	DCR|DCR|2VULN|1TLV|1AEPOI	1LHND|29VULN|3BELT|4AEPOI|5AETHUN|6aRCR|7AEFRZ|8TLV
55	32463 12361	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|58RCR|6MGNSTR|7FEWX|aDLOT
56	32463 32412	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|58RCR|6NUKE|7AAC|aMDPS
57	32463 32433	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1LHND|2aVULN|3TLV|4DMG|58RCR|6NUKE|7AAC|9MBVNT
58	43236 32413	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2RCVC|38RCR|4MDPS|5DMG|6NUKE|7AAC|9aVULN
59	41143 12361	   	295.11	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUST|3DMG|49VULN|58RCR|6MGNSTR|7FEWX|aDLOT
60	41331 41233	   	294.38	DCR|3VULN|2TLV|1DMG|2AEBURN	17TLV|2DUST|357VULN|47AEBURN|6MDPS|7BPWR|8CGEN|9DMG|aRCR
61	41331 41633	   	294.38	DCR|3VULN|2TLV|1DMG|2AEBURN	17TLV|2DUST|357VULN|47AEBURN|6MDPS|7BPWR|8AME|9DMG|aRCR
62	45335 21322	   	294.11	DCR|4VULN|2TLV|2DUR	17TLV|2LWND|3679VULN|4LEGI|57DUR|7BPWR|8DLOT|aRCR
63	45361 21322	   	294.11	DCR|4VULN|2TLV|2DUR	17TLV|2LWND|3579VULN|47DUR|6LEGI|7BPWR|8DLOT|aRCR
64	41343 15321	   	293.65	ACR|3TLV|3VULN|2DUR	17aTLV|2DUST|39aVULN|4ZMB|5RCR|6MGNSTR|8aDUR|aBPWR
65	44335 21233	   	293.22	DCR|3VULN|2TLV|1DMG|2DUR	17TLV|2LHND|367VULN|4LEGI|57DUR|7BPWR|8CGEN|9DMG|aRCR
66	45335 21233	   	293.22	DCR|3VULN|2TLV|1DMG|2DUR	17TLV|2LWND|367VULN|4LEGI|57DUR|7BPWR|8CGEN|9DMG|aRCR
67	45361 21233	   	293.22	DCR|3VULN|2TLV|1DMG|2DUR	17TLV|2LWND|357VULN|47DUR|6LEGI|7BPWR|8CGEN|9DMG|aRCR
68	41325 13521	   	291.90	DCR|3VULN|2TLV|2DMG	1aTLV|24DUST|39aVULN|5LSRICY|6RCR|7LHND|8aDMG|aBPWR
