0	Index      	 *	Score 	Summary	Detail	
1	14212 63433	 * 	304.32	DCR|DCR|1TLV|1VULN|2CDMG|1AEPOI|2DUR	13DUR|23LIT|3BPWR|4AEPOI|5VULN|6aRCR|7TLV|89CDMG
38	12162 31615	   	279.60	ACR|DCR|1TLV|1VULN|2RAT|1AART	1DUR|2LHND|3TLV|48RAT|56RCR|7DUST|9VULN|aAART
39	11145 13213	 * 	278.51	ACR|2TLV|1VULN|2DMG|3DUR|1CDMG	14aDUR|2LWND|3aTLV|5RCR|6VULN|7CDMG|8aDMG|9RPLT|aBPWR
40	11162 33615	   	277.64	ACR|DCR|1TLV|1VULN|2DUR|2RAT	1aDUR|2LWND|3TLV|48RAT|56RCR|7AETHUN|9VULN
41	12162 33615	   	277.64	ACR|DCR|1TLV|1VULN|2DUR|2RAT	1aDUR|2LHND|3TLV|48RAT|56RCR|7AETHUN|9VULN
42	35231 41341	   	276.36	ACR|DCR|1TLV|1VULN|1DMG|1AART	1NUKE|2LEGI|37RCR|4DMSP|5VULN|6DMG|8AART|9FLTFST|aTLV
43	11162 32535	   	275.74	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8CGEN|9VULN|aCDMG
44	11162 32621	   	275.74	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8CDMG|9FRZFST|aVULN
45	12162 32535	   	275.74	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8CGEN|9VULN|aCDMG
46	12162 32621	   	275.74	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8CDMG|9FRZFST|aVULN
47	11142 43632	 * 	275.66	DCR|2TLV|2VULN|2DUR|1ASPD|1CDMG	14DUR|2LWND|36TLV|5ASPD|7CDMG|89VULN|aRCR
48	12142 43632	   	275.66	DCR|2TLV|2VULN|2DUR|1ASPD|1CDMG	14DUR|2LHND|36TLV|5ASPD|7CDMG|89VULN|aRCR
49	11162 31162	   	275.64	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8CDMG|9VULN|aLIT
50	11162 31165	   	275.64	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8CDMG|9VULN|aRMIN
51	11162 31166	   	275.64	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8CDMG|9VULN|aAAC
52	12162 31151	   	275.64	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|29LHND|3TLV|4RAT|56RCR|7DUST|8CDMG|aVULN
53	14212 62121	 * 	275.61	DCR|3VULN|1TLV|3DUR|2AEPOI	138DUR|239LIT|38BPWR|48AEPOI|578VULN|6RCR|aTLV
54	11162 31163	   	275.54	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8CDMG|9VULN|aMBVNT
55	11162 31442	   	275.54	ACR|DCR|1TLV|1VULN|1ASPD	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8ASPD|9DLOT|aVULN
56	11162 33442	   	275.54	ACR|DCR|1TLV|1VULN|1ASPD	1DUR|2LWND|3TLV|4RAT|56RCR|7AETHUN|8ASPD|9DLOT|aVULN
57	12162 31442	   	275.54	ACR|DCR|1TLV|1VULN|1ASPD	1DUR|2LHND|3TLV|4RAT|56RCR|7DUST|8ASPD|9DLOT|aVULN
58	12162 33442	   	275.54	ACR|DCR|1TLV|1VULN|1ASPD	1DUR|2LHND|3TLV|4RAT|56RCR|7AETHUN|8ASPD|9DLOT|aVULN
59	13311 65314	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|25ERES|3CGEN|4LIT|6aRCR|7DMG|8TLV|9VULN
