0	Index      	 *	Score 	Summary	Detail	
1	12111 22322	 * 	315.01	DCR|DCR|3VULN|3DMG|1AEPOI	1ERES|256VULN|346DMG|6BPWR|7LIT|8AEPOI|9aRCR
16	22111 31436	   	299.51	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9LHND|aRCR
17	22111 31411	   	299.41	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9RCR|aDUST
18	22111 31412	   	299.41	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9RCR|aMDPS
19	22111 31413	   	299.41	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9RCR|aERES
20	12154 61133	   	299.07	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD	1ERES|2VULN|3DMG|4MLV|59RCR|6AEBURN|7AETHUN|8TLV|aASPD
21	22414 11133	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|26VULN|3RCVC|4FEWX|59RCR|7AETHUN|8TLV|aNUKE
22	12111 31646	 * 	296.41	DCR|4VULN|1TLV|2DMG	1ERES|2578VULN|34DMG|6TLV|9DUR|aRCR
23	12154 11131	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1ERES|26VULN|3DMG|4MLV|59RCR|7AETHUN|8TLV|aFEWX
24	12154 11132	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1ERES|26VULN|3DMG|4MLV|59RCR|7AETHUN|8TLV|aLHND
25	12154 11134	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1ERES|26VULN|3DMG|4MLV|59RCR|7AETHUN|8TLV|aBEXP
26	12154 11135	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1ERES|26VULN|3DMG|4MLV|59RCR|7AETHUN|8TLV|aRCVC
27	16614 11131	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1ERES|2RMIN|36VULN|4DMG|59RCR|7AETHUN|8TLV|aFEWX
28	16614 11132	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1ERES|2RMIN|36VULN|4DMG|59RCR|7AETHUN|8TLV|aLHND
29	61614 11131	   	295.11	ACR|DCR|2VULN|1TLV|1DMG	1AEWIND|2DUST|36VULN|4DMG|59RCR|7AETHUN|8TLV|aFEWX
30	61614 11132	   	295.11	ACR|DCR|2VULN|1TLV|1DMG	1AEWIND|2DUST|36VULN|4DMG|59RCR|7AETHUN|8TLV|aLWND
31	12111 25515	 * 	295.11	DCR|3VULN|1TLV|3DMG|1CDMG	1ERES|256VULN|346DMG|6BPWR|7TLV|8CDMG|9BEXP|aRCR
32	11514 14333	   	295.08	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1ERES|2FEWX|3TLV|4DMG|59RCR|6VULN|7MDPS|8DUR|aAEPOI
33	12111 25535	   	295.01	DCR|3VULN|1TLV|3DMG|1CDMG	1ERES|256VULN|346DMG|6BPWR|7TLV|8CDMG|9DUST|aRCR
34	12141 31414	   	294.38	DCR|3VULN|2TLV|1DMG|1AEPOI	1ERES|257VULN|3DMG|4AEPOI|68TLV|9RCR|aFEWX
35	12141 31415	   	294.38	DCR|3VULN|2TLV|1DMG|1AEPOI	1ERES|257VULN|3DMG|4AEPOI|68TLV|9RCR|aAME
36	12141 31416	   	294.38	DCR|3VULN|2TLV|1DMG|1AEPOI	1ERES|257VULN|3DMG|4AEPOI|68TLV|9RCR|aBEXP
37	12141 31436	   	294.38	DCR|3VULN|2TLV|1DMG|1AEPOI	1ERES|257VULN|3DMG|4AEPOI|68TLV|9LHND|aRCR
38	12141 31411	   	294.28	DCR|3VULN|2TLV|1DMG|1AEPOI	1ERES|257VULN|3DMG|4AEPOI|68TLV|9RCR|aDUST
39	12141 31412	   	294.28	DCR|3VULN|2TLV|1DMG|1AEPOI	1ERES|257VULN|3DMG|4AEPOI|68TLV|9RCR|aMDPS
40	12141 31413	   	294.28	DCR|3VULN|2TLV|1DMG|1AEPOI	1aERES|257VULN|3DMG|4AEPOI|68TLV|9RCR
41	22254 11131	   	293.66	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD|1MSE	1ASPD|26VULN|3MSE|4AEBURN|59RCR|7AETHUN|8TLV|aFEWX
42	22254 11132	   	293.66	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD|1MSE	1ASPD|26VULN|3MSE|4AEBURN|59RCR|7AETHUN|8TLV|aLWND
43	22254 11134	   	293.66	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD|1MSE	1ASPD|26VULN|3MSE|4AEBURN|59RCR|7AETHUN|8TLV|aBEXP
44	22254 11135	   	293.66	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD|1MSE	1ASPD|26VULN|3MSE|4AEBURN|59RCR|7AETHUN|8TLV|aRCVC
45	22254 11136	   	293.66	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD|1MSE	1ASPD|26VULN|3MSE|4AEBURN|59RCR|7AETHUN|8TLV|aDMSP
46	12111 31414	   	291.90	DCR|3VULN|2TLV|2DMG	1ERES|257VULN|34DMG|68TLV|9RCR|aFEWX
47	12111 31415	   	291.90	DCR|3VULN|2TLV|2DMG	1ERES|257VULN|34DMG|68TLV|9RCR|aAME
48	12111 31416	   	291.90	DCR|3VULN|2TLV|2DMG	1ERES|257VULN|34DMG|68TLV|9RCR|aBEXP
49	12111 31436	   	291.90	DCR|3VULN|2TLV|2DMG	1ERES|257VULN|34DMG|68TLV|9LHND|aRCR
50	12111 31411	   	291.80	DCR|3VULN|2TLV|2DMG	1ERES|257VULN|34DMG|68TLV|9RCR|aDUST
51	12111 31412	   	291.80	DCR|3VULN|2TLV|2DMG	1ERES|257VULN|34DMG|68TLV|9RCR|aMDPS
52	12111 31413	   	291.80	DCR|3VULN|2TLV|2DMG	1aERES|257VULN|34DMG|68TLV|9RCR
53	22141 34351	   	291.59	DCR|3VULN|1TLV|1DMG|1AEPOI|1ASPD	1ASPD|25aVULN|3DMG|4AEPOI|6TLV|7LHND|8DUR|9RCR
54	22141 35351	   	291.49	DCR|3VULN|1TLV|1DMG|1AEPOI|1ASPD	1ASPD|25aVULN|3DMG|4AEPOI|6TLV|7DUST|8DUR|9RCR
55	12111 45622	   	290.22	DCR|DCR|2VULN|3DMG|1AEBURN	1ERES|25VULN|347DMG|6AEBURN|8LIT|9aRCR
56	12141 31614	   	289.23	DCR|4VULN|1TLV|1DMG|1AEPOI	1ERES|2578VULN|3DMG|4AEPOI|6TLV|9RCR|aFEWX
57	12141 31615	   	289.23	DCR|4VULN|1TLV|1DMG|1AEPOI	1ERES|2578VULN|3DMG|4AEPOI|6TLV|9RCR|aAME
58	12141 31616	   	289.23	DCR|4VULN|1TLV|1DMG|1AEPOI	1ERES|2578VULN|3DMG|4AEPOI|6TLV|9RCR|aBEXP
59	12141 31636	   	289.23	DCR|4VULN|1TLV|1DMG|1AEPOI	1ERES|2578VULN|3DMG|4AEPOI|6TLV|9LHND|aRCR
60	12141 31611	   	289.13	DCR|4VULN|1TLV|1DMG|1AEPOI	1ERES|2578VULN|3DMG|4AEPOI|6TLV|9RCR|aDUST
61	12141 31612	   	289.13	DCR|4VULN|1TLV|1DMG|1AEPOI	1ERES|2578VULN|3DMG|4AEPOI|6TLV|9RCR|aMDPS
62	12141 31613	   	289.13	DCR|4VULN|1TLV|1DMG|1AEPOI	1aERES|2578VULN|3DMG|4AEPOI|6TLV|9RCR
63	22111 34351	   	289.11	DCR|3VULN|1TLV|2DMG|1ASPD	1ASPD|25aVULN|34DMG|6TLV|7LHND|8DUR|9RCR
64	22111 35351	   	289.01	DCR|3VULN|1TLV|2DMG|1ASPD	1ASPD|25aVULN|34DMG|6TLV|7DUST|8DUR|9RCR
65	22414 11131	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|26VULN|3RCVC|4aFEWX|59RCR|7AETHUN|8TLV
66	22414 11132	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|26VULN|3RCVC|4FEWX|59RCR|7AETHUN|8TLV|aLHND
67	22414 11134	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|26VULN|3RCVC|4FEWX|59RCR|7AETHUN|8TLV|aBEXP
68	22414 11135	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|26VULN|3aRCVC|4FEWX|59RCR|7AETHUN|8TLV
69	22414 11136	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|26VULN|3RCVC|4FEWX|59RCR|7AETHUN|8TLV|aDMSP
70	22141 31416	   	288.87	DCR|3VULN|1TLV|1AEBURN|1AEPOI|1DMG|1ASPD	1ASPD|257VULN|3DMG|4AEPOI|6TLV|8AEBURN|9RCR|aZMB
71	21454 12332	   	288.87	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1ASPD|2FEWX|3DUR|4AEPOI|59RCR|6VULN|7LWND|8TLV|aLIT
72	22554 32332	   	288.87	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1ASPD|2VULN|3DUR|4AEBURN|59RCR|6FEWX|7LWND|8TLV|aLIT
73	16624 11133	   	288.80	ACR|DCR|2VULN|1TLV|1ASPD	1ERES|2RMIN|36VULN|4AAC|59RCR|7AETHUN|8TLV|aASPD
74	16114 12531	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1ERES|2RMIN|3DUR|4DMG|59RCR|6VULN|7LWND|8TLV|aASPD
75	21454 12333	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1MSE	1ASPD|2FEWX|3DUR|4AEPOI|59RCR|6VULN|7LWND|8TLV|aMSE
76	22414 61133	   	288.77	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1ASPD|2VULN|3RCVC|4FEWX|59RCR|6AEBURN|7AETHUN|8TLV|aNUKE
77	22554 32333	   	288.77	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1MSE	1ASPD|2VULN|3DUR|4AEBURN|59RCR|6FEWX|7LWND|8TLV|aMSE
78	61624 11133	   	288.70	ACR|DCR|2VULN|1TLV|1ASPD	1AEWIND|2DUST|36VULN|4AAC|59RCR|7AETHUN|8TLV|aASPD
79	61114 12331	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1AEWIND|2DUST|3DUR|4DMG|59RCR|6VULN|7LWND|8TLV|aASPD
80	12154 13311	   	288.24	ACR|3VULN|1TLV|2CDMG|1DMG|2AEPOI	1ERES|26aVULN|3DMG|4MLV|5RCR|7aCDMG|8TLV|9aAEPOI|aBPWR
81	12111 31614	   	286.75	DCR|4VULN|1TLV|2DMG	1ERES|2578VULN|34DMG|6TLV|9RCR|aFEWX
82	12111 31615	   	286.75	DCR|4VULN|1TLV|2DMG	1ERES|2578VULN|34DMG|6TLV|9RCR|aAME
83	12111 31616	   	286.75	DCR|4VULN|1TLV|2DMG	1ERES|2578VULN|34DMG|6TLV|9RCR|aBEXP
84	12111 31636	   	286.75	DCR|4VULN|1TLV|2DMG	1ERES|2578VULN|34DMG|6TLV|9LHND|aRCR
85	12111 31611	   	286.65	DCR|4VULN|1TLV|2DMG	1ERES|2578VULN|34DMG|6TLV|9RCR|aDUST
86	12111 31612	   	286.65	DCR|4VULN|1TLV|2DMG	1ERES|2578VULN|34DMG|6TLV|9RCR|aMDPS
87	12111 31613	   	286.65	DCR|4VULN|1TLV|2DMG	1aERES|2578VULN|34DMG|6TLV|9RCR
88	12154 61131	   	285.42	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1ERES|2VULN|3DMG|4MLV|59RCR|6AEBURN|7AETHUN|8TLV|aFEWX
89	12154 61132	   	285.42	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG	1ERES|2VULN|3DMG|4MLV|59RCR|6AEBURN|7AETHUN|8TLV|aLHND
90	22254 33242	 * 	285.32	ACR|3VULN|2TLV|2ASPD|1AEBURN|2MSE	1aASPD|29aVULN|37MSE|4AEBURN|5RCR|6BELT|8aTLV|aBPWR
91	22554 13313	   	285.17	ACR|3VULN|1TLV|1AEPOI|1AEBURN|1ASPD|1CDMG	1ASPD|26aVULN|3DUR|4AEBURN|5RCR|7CDMG|8TLV|9AEPOI
