0	Index      	 *	Score 	Summary	Detail	
1	23151 34421	 * 	263.16	橙橙1易伤1伤害1矿等1技能1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8矿等a技能
22	23133 14242	 * 	251.43	橙3易伤2伤害2等级1雷电	178易伤27伤害3雷电4基地爆炸5双倍秒伤67等级7序列升级9随机技能a核
23	21131 32621	 * 	251.25	橙橙1易伤2雷电1技能1攻速	1易伤28雷电3毒气减费4攻速5平台69核7掉矿a技能
24	21131 36621	   	251.25	橙橙1易伤2雷电1技能1攻速	1易伤28雷电3毒气减费4攻速5平台69核7技能点a技能
25	21531 32621	   	251.25	橙橙1易伤2雷电1技能1攻速	1易伤28雷电3火球减费4攻速5平台69核7掉矿a技能
26	21531 36621	   	251.25	橙橙1易伤2雷电1技能1攻速	1易伤28雷电3火球减费4攻速5平台69核7技能点a技能
27	23323 42131	   	250.48	橙3易伤2伤害1等级1攻速	13a易伤27伤害4掉矿5攻速6等级8时间9核
28	23151 34422	   	249.51	橙橙1易伤1伤害1矿等1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8矿等a额外掉落
29	23151 34423	   	249.41	橙橙1易伤1伤害1矿等1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8矿等a加一
30	23315 16312	   	249.20	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8敌人爆炸a低血量敌人
31	23315 16311	   	249.10	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8敌人爆炸a掉矿
32	23315 16313	   	249.10	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8敌人爆炸a赏金塔
33	23315 16314	   	249.10	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8敌人爆炸a基础对甲
34	23315 16315	   	249.10	橙橙2易伤1伤害1挖怪	13易伤2伤害4基地爆炸5随机技能6头目79核8敌人爆炸a挖怪
35	23315 16316	   	249.10	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8敌人爆炸a烈焰减费
36	23365 16312	   	249.10	橙橙2易伤1伤害	13易伤2伤害4挖尘5随机技能6头目79核8敌人爆炸a低血量敌人
37	23365 16311	   	249.00	橙橙2易伤1伤害	13易伤2伤害4挖尘5随机技能6头目79核8敌人爆炸a掉矿
38	23365 16313	   	249.00	橙橙2易伤1伤害	13易伤2伤害4挖尘5随机技能6头目79核8敌人爆炸a赏金塔
39	23151 32221	   	247.55	橙橙1易伤1伤害1技能1雷电	1易伤2伤害3雷电4双倍矿5平台69核7掉矿8立即金币a技能
40	23151 34221	   	247.55	橙橙1易伤1伤害1技能1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8金币生成a技能
41	23151 36221	   	247.55	橙橙1易伤1伤害1技能1雷电	1易伤2伤害3雷电4双倍矿5平台69核7技能点8立即金币a技能
42	23151 32321	   	247.45	橙橙1易伤1伤害1技能1雷电	1易伤2伤害3雷电4双倍矿5平台69核78掉矿a技能
43	13266 42112	   	243.59	橙橙1易伤1伤害1技能1暴击	1基地爆炸2伤害3时间4技能5暴击6随机技能7易伤8金币生成9a核
44	21131 34422	   	242.99	橙橙1易伤1矿等1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7暴雪减费8矿等a额外掉落
45	21131 34424	   	242.99	橙橙1易伤1矿等1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7暴雪减费8矿等a随机矿
46	21131 34426	   	242.99	橙橙1易伤1矿等1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7暴雪减费8矿等a敌人爆炸
47	21531 34422	   	242.99	橙橙1易伤1矿等1攻速1雷电	1易伤2雷电3火球减费4攻速5平台69核7暴雪减费8矿等a额外掉落
48	21131 34423	   	242.89	橙橙1易伤1矿等1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7暴雪减费8矿等a加一
49	21131 34425	   	242.89	橙橙1易伤1矿等1攻速1雷电1卖塔	1易伤2雷电3毒气减费4攻速5平台69核7暴雪减费8矿等a卖塔
50	21531 34423	   	242.89	橙橙1易伤1矿等1攻速1雷电	1易伤2雷电3火球减费4攻速5平台69核7暴雪减费8矿等a加一
51	22316 32536	   	242.69	橙橙2易伤1暴击	13易伤2金币生成45基地爆炸6暴击7a核8额外掉落9赏金塔
52	22331 32536	   	242.69	橙橙2易伤1暴击	13易伤2金币生成4双倍矿5敌人爆炸6暴击7a核8额外掉落9赏金塔
53	22334 32536	   	242.69	橙橙2易伤1暴击	13易伤2金币生成4双倍矿5基地爆炸6暴击7a核8额外掉落9赏金塔
54	22341 32536	   	242.69	橙橙2易伤1暴击	13易伤2金币生成4立即金币5敌人爆炸6暴击7a核8额外掉落9赏金塔
55	53334 81611	   	242.69	橙橙2易伤1暴击	1加一2头目3a易伤4随机矿5低血量敌人69核7敌人爆炸8暴击
56	21136 16161	 * 	242.61	橙2易伤2伤害1等级2雷电1攻速	19易伤25雷电3毒气减费4攻速67伤害8核a等级
57	22335 32536	   	242.59	橙橙2易伤1暴击	13易伤2金币生成4双倍矿5挖尘6暴击7a核8额外掉落9赏金塔
58	61431 36221	 * 	242.29	橙橙1等级1技能1攻速1雷电	1时间2雷电3双倍矿4攻速5平台69核7等级8立即金币a技能
59	43151 36221	 * 	241.76	橙橙1等级1伤害1技能1雷电	1最后敌人2伤害3雷电4双倍矿5平台69核7等级8立即金币a技能
60	23311 26125	   	241.19	橙3易伤2伤害1等级1雷电	137易伤27伤害4基地爆炸5雷电67策反7序列升级8随机技能9等级a核
61	23361 26135	   	241.09	橙3易伤2伤害1等级1雷电	137易伤27伤害4挖尘5雷电67策反7序列升级8随机技能9等级a核
62	21131 32221	   	241.04	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7掉矿8立即金币a技能
63	21131 34221	   	241.04	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7暴雪减费8金币生成a技能
64	21131 36221	   	241.04	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7技能点8立即金币a技能
65	21531 32221	   	241.04	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3火球减费4攻速5平台69核7掉矿8立即金币a技能
66	21531 34221	   	241.04	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3火球减费4攻速5平台69核7暴雪减费8金币生成a技能
67	21531 36221	   	241.04	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3火球减费4攻速5平台69核7技能点8立即金币a技能
68	51648 32222	   	241.04	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7掉矿8立即金币a额外掉落
69	51648 32223	   	241.04	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7掉矿8立即金币a平台
70	51648 34222	   	241.04	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7暴雪减费8金币生成a额外掉落
71	51648 34223	   	241.04	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7暴雪减费8金币生成a平台
72	21131 32321	   	240.94	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核78掉矿a技能
73	21531 32321	   	240.94	橙橙1易伤1技能1攻速1雷电	1易伤2雷电3火球减费4攻速5平台69核78掉矿a技能
74	51648 32224	   	240.94	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7掉矿8立即金币a挖青
75	51648 32322	   	240.94	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核78掉矿a额外掉落
76	51648 32323	   	240.94	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核78掉矿a平台
77	51648 34224	   	240.94	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7暴雪减费8金币生成a挖青
78	23325 33424	 * 	240.89	橙2易伤2伤害1等级1喷火对甲	13易伤2a伤害4掉矿5等级6双倍矿7时间8核9喷火对甲
79	51648 32324	   	240.84	橙橙1易伤1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核78掉矿a挖青
80	23124 36161	   	240.79	橙3易伤2伤害1等级1雷电	159易伤27伤害3雷电46掉矿8核a等级
81	23323 32131	   	239.88	橙3易伤2伤害1矿等1攻速	13a易伤27伤害4掉矿5攻速6矿等8时间9核
82	21131 32522	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7掉矿a额外掉落
83	21131 32524	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7掉矿a随机矿
84	21131 32526	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7掉矿a敌人爆炸
85	21131 36522	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7技能点a额外掉落
86	21131 36524	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7技能点a随机矿
87	21131 36526	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7技能点a敌人爆炸
88	21531 32522	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3火球减费48攻速5平台69核7掉矿a额外掉落
89	21531 32524	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3火球减费48攻速5平台69核7掉矿a随机矿
90	21531 32526	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3火球减费48攻速5平台69核7掉矿a敌人爆炸
91	21531 36522	   	239.84	橙橙1易伤2攻速1雷电	1易伤2雷电3火球减费48攻速5平台69核7技能点a额外掉落
92	21131 32523	   	239.74	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7掉矿a加一
93	21131 32525	   	239.74	橙橙1易伤2攻速1雷电1卖塔	1易伤2雷电3毒气减费48攻速5平台69核7掉矿a卖塔
94	21131 36523	   	239.74	橙橙1易伤2攻速1雷电	1易伤2雷电3毒气减费48攻速5平台69核7技能点a加一
95	21131 36525	   	239.74	橙橙1易伤2攻速1雷电1卖塔	1易伤2雷电3毒气减费48攻速5平台69核7技能点a卖塔
96	21531 32523	   	239.74	橙橙1易伤2攻速1雷电	1易伤2雷电3火球减费48攻速5平台69核7掉矿a加一
97	21531 32525	   	239.74	橙橙1易伤2攻速1雷电1卖塔	1易伤2雷电3火球减费48攻速5平台69核7掉矿a卖塔
98	21531 36523	   	239.74	橙橙1易伤2攻速1雷电	1易伤2雷电3火球减费48攻速5平台69核7技能点a加一
99	23322 43524	   	239.50	橙3易伤1等级1伤害1全技能1暴击	139易伤2伤害4掉矿5赏金邻近6暴击7全技能8核a等级
100	23325 52233	 * 	238.91	橙2易伤3伤害1等级1矿等	13易伤278伤害4掉矿5等级6矿等9赏金邻近a核
101	23325 52243	   	238.91	橙2易伤3伤害1等级1矿等	13易伤278伤害4掉矿5等级6矿等9赏金塔a核
102	54112 57422	 * 	238.90	橙3易伤3等级3雷电	1加一2挖青38a易伤4金币生成58a雷电68a等级7平台8a序列升级9核
103	51813 34331	   	237.94	橙2易伤2等级2雷电1矿等1暴击	1加一28易伤38等级4火球减费5矿等6核78雷电8序列升级9时间a暴击
104	21131 32622	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7掉矿a额外掉落
105	21131 32624	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7掉矿a随机矿
106	21131 32626	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7掉矿a敌人爆炸
107	21131 36622	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7技能点a额外掉落
108	21131 36624	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7技能点a随机矿
109	21131 36626	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7技能点a敌人爆炸
110	21531 32622	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3火球减费4攻速5平台69核7掉矿a额外掉落
111	21531 32624	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3火球减费4攻速5平台69核7掉矿a随机矿
112	21531 32626	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3火球减费4攻速5平台69核7掉矿a敌人爆炸
113	21531 36622	   	237.60	橙橙1易伤2雷电1攻速	1易伤28雷电3火球减费4攻速5平台69核7技能点a额外掉落
114	21131 32623	   	237.50	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7掉矿a加一
115	21131 32625	   	237.50	橙橙1易伤2雷电1攻速1卖塔	1易伤28雷电3毒气减费4攻速5平台69核7掉矿a卖塔
116	21131 36623	   	237.50	橙橙1易伤2雷电1攻速	1易伤28雷电3毒气减费4攻速5平台69核7技能点a加一
117	21131 36625	   	237.50	橙橙1易伤2雷电1攻速1卖塔	1易伤28雷电3毒气减费4攻速5平台69核7技能点a卖塔
118	21531 32623	   	237.50	橙橙1易伤2雷电1攻速	1易伤28雷电3火球减费4攻速5平台69核7掉矿a加一
119	21531 32625	   	237.50	橙橙1易伤2雷电1攻速1卖塔	1易伤28雷电3火球减费4攻速5平台69核7掉矿a卖塔
120	21531 36623	   	237.50	橙橙1易伤2雷电1攻速	1易伤28雷电3火球减费4攻速5平台69核7技能点a加一
121	23323 42266	   	237.06	橙2易伤3伤害1等级1攻速	13易伤278伤害4掉矿5攻速6等级9随机技能a核
122	23325 33421	   	236.96	橙2易伤1等级1喷火对甲1伤害1暴击	13易伤2伤害4掉矿5等级6双倍矿7时间8核9喷火对甲a暴击
123	51362 83342	   	236.96	橙3易伤1等级1伤害1攻速1雷电	1加一279易伤3敌人爆炸4伤害5雷电6攻速8核a等级
124	23325 22131	   	236.83	橙3易伤2伤害1等级1技能	13a易伤27伤害4掉矿5等级6技能8时间9核
125	23325 12131	   	236.73	橙3易伤2伤害1等级	13a易伤27伤害4掉矿5等级6核弹8时间9核
126	51442 14645	 * 	236.50	橙4易伤2伤害2时间	1加一2679易伤39时间4基地爆炸56挖尘69序列升级89伤害a核
127	54122 66232	   	236.00	橙2易伤2伤害1等级2雷电	1加一2挖青37易伤4等级57雷电67伤害7序列升级8时间9低血量敌人a核
128	23132 45214	 * 	235.66	橙2易伤2等级2雷电1伤害1全技能	17易伤2伤害37雷电4基地爆炸5敌人爆炸67等级7序列升级8全技能9策反a核
129	56353 43412	   	235.63	橙橙2易伤1卖塔	1加一2掉矿38易伤4卖塔5随机技能6敌人爆炸7时间9a核
130	51851 42212	 * 	235.63	橙橙1易伤1等级1卖塔	1加一2易伤3等级4卖塔5挖尘6随机技能7立即金币8时间9a核
131	56351 43412	   	235.53	橙橙2易伤1卖塔	1加一2掉矿38易伤4卖塔5挖尘6随机技能7时间9a核
132	56353 14412	   	235.53	橙橙2易伤1卖塔	1加一2掉矿38易伤4卖塔5随机技能6雷电减费7时间9a核
133	51851 43412	 * 	235.53	橙橙1易伤1等级1卖塔	1加一2易伤3等级4卖塔5挖尘6随机技能7时间8风暴减费9a核
134	51853 44412	 * 	235.53	橙橙1易伤1等级1卖塔	1加一2易伤3等级4卖塔5挖青6随机技能7时间8风暴减费9a核
135	13411 33651	 * 	234.60	橙橙2伤害1等级	19基地爆炸29伤害3策反4最后敌人59火球减费68核7赏金邻近9序列升级a等级
136	23313 51122	   	234.46	橙2易伤2伤害1等级1矿等1雷电	13易伤26伤害4基地爆炸5矿等7雷电8随机技能9等级a核
137	23363 51132	   	234.36	橙2易伤2伤害1等级1矿等1雷电	13易伤26伤害4挖尘5矿等7雷电8随机技能9等级a核
138	21421 24251	   	234.20	橙2易伤2等级1矿等1全技能1攻速1雷电1卖塔	15易伤2雷电3全技能4攻速6卖塔7核89等级a矿等
139	23151 32222	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7掉矿8立即金币a额外掉落
140	23151 32224	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7掉矿8立即金币a随机矿
141	23151 32226	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7掉矿8立即金币a敌人爆炸
142	23151 34222	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8金币生成a额外掉落
143	23151 34224	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8金币生成a随机矿
144	23151 34226	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8金币生成a敌人爆炸
145	23151 36222	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7技能点8立即金币a额外掉落
146	23151 36224	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7技能点8立即金币a随机矿
147	23151 36226	   	233.90	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7技能点8立即金币a敌人爆炸
148	23151 32223	   	233.80	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7掉矿8立即金币a加一
149	23151 32225	   	233.80	橙橙1易伤1伤害1雷电1卖塔	1易伤2伤害3雷电4双倍矿5平台69核7掉矿8立即金币a卖塔
150	23151 32322	   	233.80	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核78掉矿a额外掉落
151	23151 32324	   	233.80	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核78掉矿a随机矿
152	23151 32326	   	233.80	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核78掉矿a敌人爆炸
153	23151 34223	   	233.80	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8金币生成a加一
154	23151 34225	   	233.80	橙橙1易伤1伤害1雷电1卖塔	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8金币生成a卖塔
155	23151 36223	   	233.80	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核7技能点8立即金币a加一
156	23151 36225	   	233.80	橙橙1易伤1伤害1雷电1卖塔	1易伤2伤害3雷电4双倍矿5平台69核7技能点8立即金币a卖塔
157	23151 32323	   	233.70	橙橙1易伤1伤害1雷电	1易伤2伤害3雷电4双倍矿5平台69核78掉矿a加一
158	23151 32325	   	233.70	橙橙1易伤1伤害1雷电1卖塔	1易伤2伤害3雷电4双倍矿5平台69核78掉矿a卖塔
