0	Index      	 *	Score 	Summary	Detail	
1	36612 14212	 * 	290.55	DCR|DCR|2VULN|1DMG|1CDMG	1DUR|2TBNT|37VULN|4DMG|5CDMG|6RMIN|8aRCR|9MBVNT
29	36612 26212	   	269.02	DCR|DCR|1VULN|1DMG|2DUR|1CDMG	16DUR|2TBNT|3VULN|4DMG|5CDMG|7RMIN|8aRCR|9MBVNT
30	36612 15212	 * 	268.78	DCR|DCR|1VULN|1DMG|2CDMG	1DUR|2TBNT|3VULN|4DMG|57CDMG|6RMIN|8aRCR|9MBVNT
31	12353 32132	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1CGEN|2MLV|3TLV|4RPLT|5MDPS|6aRCR|7BEXP|8VULN|9DMG
32	42311 35424	   	267.60	DCR|DCR|2VULN|1AART|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9LWND|aAART
33	42311 35444	   	267.60	DCR|DCR|2VULN|1AART|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9LHND|aAART
34	22622 63326	   	267.51	DCR|DCR|1VULN|2CDMG|1MLV|1RPLT	1RPLT|28CDMG|3MLV|4MSLTOX|5TBNT|6VULN|7aRCR|9DUST
35	55152 31122	   	266.39	DCR|DCR|2VULN|1RPLT	1DUST|2DUR|3MDPS|4RMIN|5RPLT|6aRCR|79VULN|8AAC
36	55162 31122	   	266.29	DCR|DCR|2VULN|1RPLT	1DUST|2DUR|3MDPS|4ERES|5RPLT|6aRCR|79VULN|8AAC
37	42311 35411	   	266.25	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9DUR|aBELT
38	42311 35413	   	266.25	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9DUR|aFEWX
39	42311 35414	   	266.25	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9DUR|aDMSP
40	42311 35415	   	266.25	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9DUR|aAAC
41	42311 35416	   	266.15	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9DUR|aCANARM
42	62414 34134	   	265.96	DCR|DCR|2VULN|1MLV	1MBVNT|2RCVC|3MLV|4ERES|58VULN|69CGEN|7aRCR
43	62417 44134	   	265.96	DCR|DCR|2VULN|1MLV	1MBVNT|2RCVC|3MLV|4ERES|59CGEN|68VULN|7aRCR
44	62474 64144	   	265.76	DCR|DCR|2VULN|1MLV	1MBVNT|2RCVC|3MLV|49AME|58VULN|6ERES|7aRCR
45	42311 35427	   	264.88	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9LWND|aNUKE
46	42311 35437	   	264.88	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9BEXP|aNUKE
47	42311 35447	   	264.88	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9LHND|aNUKE
48	42311 35428	   	263.14	DCR|DCR|2VULN|2RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5aRPLT|68RCR|9LWND
49	42311 35438	   	263.14	DCR|DCR|2VULN|2RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5aRPLT|68RCR|9BEXP
50	42311 35448	   	263.14	DCR|DCR|2VULN|2RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5aRPLT|68RCR|9LHND
51	42311 35471	   	263.14	DCR|DCR|2VULN|2RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5aRPLT|68RCR|9TLV
52	42311 35481	   	262.89	DCR|DCR|2VULN|2RPLT|1ZMB|1SELL	1LIT|27VULN|3SELL|4MBVNT|5aRPLT|68RCR|9ZMB
53	36642 21212	   	262.51	DCR|DCR|1VULN|2DUR|1ASPD|1CDMG	16DUR|2TBNT|3VULN|4AME|5CDMG|7ASPD|8aRCR|9MBVNT
54	36612 16212	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2TBNT|3VULN|4DMG|5CDMG|67RMIN|8aRCR|9MBVNT
55	61343 42773	   	262.18	DCR|DCR|2VULN|1CDMG	1MBVNT|2AAC|3CDMG|4FRZARM|5LHND|68RCR|7aVULN|9LWND
56	61343 42782	   	262.18	DCR|DCR|2VULN|1CDMG	1MBVNT|2AAC|3CDMG|4FRZARM|5LHND|68RCR|7aVULN|9LIT
57	61343 42713	   	262.08	DCR|DCR|2VULN|1CDMG	1MBVNT|2AAC|3CDMG|4FRZARM|5LHND|68RCR|7aVULN|9LEGI
58	61383 42713	   	262.08	DCR|DCR|2VULN|1CDMG	1MBVNT|2AAC|3CDMG|4LSRICY|5LHND|68RCR|7aVULN|9LEGI
59	42224 34132	   	261.90	DCR|DCR|1VULN|2MLV	1LIT|2VULN|3RCVC|4DUR|58MLV|6SPLARM|7aRCR|9BBNT
