0	Index      	 *	Score 	Summary	Detail	
1	31451 21225	 * 	286.72	ACR|DCR|3VULN|1DMG|2CDMG|1AART	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AART|aDMG
22	12225 12626	   	262.72	DCR|DCR|2AART|1MLV|2DUR|1ASPD|1CDMG	17DUR|2LWND|3MLV|4CDMG|58AART|6aRCR|9ASPD
23	22225 13226	   	262.22	DCR|DCR|2MLV|2CDMG|1ASPD|1AART	17BEXP|2LWND|37MLV|47CDMG|5AART|6aRCR|7BPWR|8DMSP|9ASPD
24	11345 31342	   	261.96	DCR|DCR|2VULN|1AART	1DUR|2TBNT|36VULN|4AART|567LHND|6BPWR|8aRCR|9CGEN
25	31451 21623	   	261.95	ACR|DCR|2VULN|2CDMG|1MLV|1AART	1BASARM|28CDMG|3MDPS|46RCR|57VULN|9AART|aMLV
26	11341 33342	   	261.76	DCR|DCR|2VULN|1AART	1DUR|2TBNT|36VULN|4AART|56DUST|6BPWR|7DMSP|8aRCR|9CGEN
27	41235 13352	   	261.33	DCR|DCR|2VULN|2AART	13AART|2TLV|4CGEN|5BEXP|69VULN|7FEWX|8aRCR
28	43134 33352	   	261.23	DCR|DCR|2VULN|2AART	17AART|2CGEN|3FEWX|4DUST|59VULN|6RMIN|8aRCR
29	26234 33352	   	261.23	DCR|DCR|2VULN|2AART	1BEXP|2CGEN|37AART|4DUST|59VULN|6RMIN|8aRCR
30	52232 25352	   	261.23	DCR|DCR|2VULN|2AART	1RMIN|29VULN|35AART|4DUST|6FEWX|7CGEN|8aRCR
31	52232 63352	   	261.13	DCR|DCR|2VULN|2AART	1RMIN|29VULN|35AART|4DUST|6ERES|7FEWX|8aRCR
32	62222 32143	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1DMG|2LWND|3AART|4FRZARM|5VULN|6CGEN|7CDMG|8BELT|9aRCR
33	66222 32143	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1DMG|2LHND|3AART|4FRZARM|5VULN|6CGEN|7CDMG|8BELT|9aRCR
34	25232 43353	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BEXP|2DMG|3AART|4DUST|5CDMG|6BELT|78RCR|9RCVC|aVULN
35	31451 23236	   	260.14	ACR|DCR|3VULN|1CDMG|1RPLT	1BASARM|2CDMG|3MDPS|46RCR|59aVULN|7RPLT|8AIRARM
36	61262 26132	 * 	258.24	DCR|3VULN|2DMG|2MLV|1AART	1aDMG|2BBNT|3MDPS|4CGEN|58aVULN|6AART|7RCR|9aMLV|aBPWR
37	31451 23121	   	258.17	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT	1BASARM|2CDMG|3MDPS|46RCR|5aVULN|7RPLT|8DMG|9BEXP
38	61242 26132	   	258.14	DCR|3VULN|2DMG|2MLV|1AART	1aDMG|2BBNT|3MDPS|4ERES|58aVULN|6AART|7RCR|9aMLV|aBPWR
39	31451 23111	   	258.07	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT	1BASARM|2CDMG|3MDPS|46RCR|5aVULN|7RPLT|8DMG|9DUST
40	63132 52245	 * 	257.77	DCR|DCR|2ASPD|3CDMG|1DMG	1DMG|249CDMG|34ASPD|4BPWR|5FRZARM|6CGEN|7aRCR|8MBVNT
41	31451 21211	   	256.99	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9LWND|aBEXP
42	31451 21213	   	256.99	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9LWND|aFEWX
43	31451 21214	   	256.99	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9LWND|aLIT
44	31451 21216	   	256.99	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9LWND|aCGEN
45	31451 21261	   	256.99	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9DMSP|aCGEN
46	31451 21236	   	256.89	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AME|aLHND
47	31451 21241	   	256.89	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9RMIN|aERES
48	31451 21243	   	256.89	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9RMIN|aAME
49	31451 21262	   	256.89	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9DMSP|aDUST
50	31451 21263	   	256.89	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9DMSP|aERES
51	31451 21325	   	256.89	ACR|DCR|3VULN|2CDMG	1BASARM|2aCDMG|3MDPS|46RCR|579VULN|8BEXP
52	31451 21413	   	256.89	ACR|DCR|3VULN|2CDMG	1BASARM|2aCDMG|3MDPS|46RCR|579VULN|8BBNT
53	31451 21313	   	256.81	ACR|DCR|2VULN|1DMG|1CDMG	1BASARM|2CDMG|3MDPS|46RCR|57VULN|8BEXP|9DMG|aDUR
54	31451 21336	   	256.81	ACR|DCR|2VULN|1DMG|1CDMG	1BASARM|2CDMG|3MDPS|46RCR|57VULN|8BEXP|9DUR|aDMG
55	31451 21231	   	256.79	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AME|aERES
56	31451 21233	   	256.79	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9aAME
