0	Index      	 *	Score 	Summary	Detail	
1	13212 31316	 * 	283.22	DCR|DCR|3VULN|1MLV|1SELL	129VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7LHND|8MDPS
13	13141 34522	   	265.65	DCR|DCR|2VULN|1CDMG	12VULN|2BPWR|3DUR|4DUST|5CDMG|6LHND|7TBNT|8aRCR|9MGNSTR
14	13223 45522	   	265.59	DCR|DCR|3VULN|1SELL	127VULN|2BPWR|3SELL|4MDPS|5LWND|6BBNT|8aRCR|9MGNSTR
15	13114 36335	 * 	264.60	DCR|3VULN|2MLV|3DUR|1DMG|1CDMG	128VULN|28BPWR|348DUR|5DMG|6CDMG|78MLV|9LIT|aRCR
16	13212 11262	 * 	262.50	DCR|3VULN|3MLV|2DMG|1SELL	127VULN|27BPWR|3SELL|479MLV|5TBNT|67DMG|8BBNT|aRCR
17	13212 31456	   	261.18	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7LHND|8FEWX|9LWND
18	13212 31466	   	261.08	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7LHND|8FEWX|9DUST
19	14212 31316	   	261.08	DCR|DCR|2VULN|1MLV|1SELL	19VULN|2RCVC|3SELL|4MLV|5TBNT|6aRCR|7LHND|8MDPS
20	13212 33726	   	260.98	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7MBVNT|8LIT|9MDPS
21	26212 35316	   	260.98	DCR|DCR|2VULN|1MLV|1SELL	1ERES|2CGEN|3SELL|4MLV|5TBNT|6aRCR|79VULN|8MDPS
22	12123 16435	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2CGEN|3SPLREG|4DMG|5RPLT|6LWND|7aRCR|8CDMG|9BEXP
23	12123 26435	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2CGEN|3SPLREG|4DMG|5RPLT|6FEWX|7aRCR|8CDMG|9BEXP
24	12123 36435	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2CGEN|3SPLREG|4DMG|5RPLT|6LHND|7aRCR|8CDMG|9BEXP
25	13212 32522	   	260.88	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7ERES|8BASARM|9MDPS
26	13212 32622	   	260.88	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7ERES|8MDPS|9MSLTOX
27	13212 34522	   	260.88	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7AME|8BASARM|9MDPS
28	13212 34622	   	260.88	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7AME|8MDPS|9MSLTOX
29	13152 33521	   	260.21	DCR|3VULN|2DMG|1MLV|1AART|1RPLT|2ZMB	127VULN|27BPWR|3DUR|47DMG|5RPLT|67ZMB|8MLV|9RCR|aAART
30	11322 31514	   	258.65	DCR|DCR|2VULN|2DUR	16VULN|25DUR|3NUKE|4FEWX|7aRCR|8BELT|9LWND
31	13152 53522	   	257.58	DCR|3VULN|2DMG|1MLV|2DUR|1RPLT	127VULN|27BPWR|37DUR|47DMG|5RPLT|6aAAC|8MLV|9RCR
32	13152 53523	   	257.48	DCR|3VULN|2DMG|1MLV|2DUR|1RPLT|1MSE	127VULN|27BPWR|37DUR|47DMG|5RPLT|6AAC|8MLV|9RCR|aMSE
33	22431 51236	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2DUR|3RMIN|4MLV|5VULN|6CDMG|7aRCR|8DUST|9BBNT
34	13225 41116	 * 	254.32	ACR|DCR|3VULN|1MLV|1SELL	129VULN|2BPWR|3SELL|4MDPS|5aRCR|6BBNT|7MLV|8BEXP
35	13225 51116	 * 	254.32	ACR|DCR|3VULN|1MLV|1SELL	129VULN|2BPWR|3SELL|4MDPS|5aRCR|6TBNT|7MLV|8BEXP
36	13251 54121	 * 	254.26	DCR|4VULN|1DMG|2CDMG|1MLV|1SELL	125aVULN|25BPWR|3SELL|45CDMG|6RCR|7DMG|8LIT|9MLV
