0	Index      	 *	Score 	Summary	Detail	
1	41336 32363	 * 	272.81	ACR|DCR|3VULN|1DMG|1AART	1LIT|2aRCR|358VULN|4TLV|6DMG|7MDPS|9AART
15	14145 13321	   	256.63	DCR|DCR|2VULN	1DUST|2DUR|3BEXP|49VULN|5FEWX|6MSLREG|7BASICY|8aRCR
16	14425 23321	   	256.63	DCR|DCR|2VULN	1DUST|2DUR|3FLTHEA|49VULN|5LEGI|6FEWX|7BASICY|8aRCR
17	36135 23321	   	256.63	DCR|DCR|2VULN	1AIRHEA|29VULN|3DUR|4BEXP|5LEGI|6FEWX|7BASICY|8aRCR
18	36511 21533	   	256.49	DCR|DCR|2VULN|1ZMB	1AIRHEA|2aVULN|3BEXP|4LSRHEA|5DUR|6LWND|7ZMB|89RCR
19	36135 31533	   	256.39	DCR|DCR|2VULN|1ZMB	1AIRHEA|2aVULN|3DUR|4BEXP|5LEGI|6VENFST|7ZMB|89RCR
20	36262 26123	   	254.21	DCR|3VULN|1DMG|1MLV|1ASPD|1AART|1RPLT	1AIRHEA|256VULN|3RPLT|4DMG|7RCR|8AART|9MLV|aASPD
21	36343 23432	 * 	253.47	DCR|4VULN|3DUR|1DMG|1AART	14AIRHEA|2346VULN|46BPWR|568DUR|7DMG|9AART|aRCR
22	25631 32153	 * 	252.57	DCR|3VULN|2DMG|1MLV|1ASPD	1BBNT|29DMG|378VULN|4MLV|5ASPD|6RMIN|aRCR
23	41314 32363	   	249.35	ACR|DCR|2VULN|1DMG|1AART	14LIT|2aRCR|38VULN|5TLV|6DMG|7MDPS|9AART
24	41336 32163	   	249.35	ACR|DCR|2VULN|1DMG|1AART	18LIT|2aRCR|35VULN|4TLV|6DMG|7MDPS|9AART
25	41316 32363	   	249.25	ACR|DCR|2VULN|1DMG|1AART	14LIT|2aRCR|38VULN|5ERES|6DMG|7MDPS|9AART
26	25632 21163	 * 	249.17	DCR|2VULN|2DMG|2CDMG|1MLV|1ASPD	1BBNT|2aDMG|3aVULN|4MLV|5MDPS|6ASPD|7TBNT|8RCR|9aCDMG|aBPWR
27	33373 42344	   	248.53	DCR|DCR|2VULN	18AIRHEA|2MBVNT|38VULN|4BBNT|5DMSP|68LWND|7aRCR|8BPWR|9BELT
28	33322 66144	   	248.43	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5RCVC|6aRCR|7BBNT|8LWND|9BELT
29	33322 66744	   	248.43	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5RCVC|6aRCR|7BBNT|8LHND|9BELT
30	33324 85424	   	248.43	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5BEXP|6BELT|79CGEN|8aRCR
31	33384 85414	   	248.43	DCR|DCR|2VULN	1AIRHEA|2MBVNT|39VULN|4DMSP|5BEXP|6BELT|7CGEN|8aRCR
32	21247 12344	   	248.33	DCR|DCR|2VULN	1BBNT|28BLASTR|3LWND|4MBVNT|58VULN|68AELOIC|7aRCR|8BPWR|9BELT
33	33324 85824	   	248.33	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5BEXP|6BELT|7CGEN|8MDPS|9aRCR
34	33326 83424	   	248.33	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5DUST|6BELT|79CGEN|8aRCR
35	33384 83414	   	248.33	DCR|DCR|2VULN	1AIRHEA|2MBVNT|39VULN|4DMSP|5BEXP|6BELT|7AME|8aRCR
36	33386 83414	   	248.33	DCR|DCR|2VULN	1AIRHEA|2MBVNT|39VULN|4DMSP|5DUST|6BELT|7CGEN|8aRCR
37	12115 23321	   	248.23	DCR|DCR|2VULN	1DUST|29VULN|3BEXP|4MULARM|5LEGI|6FEWX|7BASICY|8aRCR
38	33324 83444	   	248.23	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5BEXP|6BELT|79AME|8aRCR
39	33324 83484	   	248.23	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5BEXP|6BELT|7AME|8aRCR|9MDPS
40	33324 83824	   	248.23	DCR|DCR|2VULN	1AIRHEA|2MBVNT|34VULN|5BEXP|6BELT|7AME|8MDPS|9aRCR
41	36513 21533	   	248.08	DCR|DCR|2VULN|1ZMB	1AIRHEA|2aVULN|3BEXP|4LSRHEA|5DUST|6LWND|7ZMB|89RCR
42	12115 31533	   	247.98	DCR|DCR|2VULN|1ZMB	1DUST|2aVULN|3BEXP|4MULARM|5LEGI|6VENFST|7ZMB|89RCR
43	36123 23114	 * 	247.24	DCR|3VULN|2ASPD|3DUR|1MLV	1AIRHEA|246VULN|356DUR|6BPWR|78ASPD|9MLV|aRCR
44	12432 33411	   	247.06	DCR|4VULN|1DMG|1CDMG|1RPLT	13DUST|2379VULN|3BPWR|4RPLT|5CDMG|6SNITOX|8RCR|aDMG
45	12432 63411	   	247.06	DCR|4VULN|1DMG|1CDMG|1RPLT	13DUST|2379VULN|3BPWR|4RPLT|5CDMG|6BLAICY|8RCR|aDMG
46	45222 45123	   	247.01	ACR|DCR|1VULN|1DMG|1MLV|1RPLT	1LIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|8VULN|9MDPS|aMLV
47	31344 21312	 * 	246.11	DCR|DCR|1DMG|1MLV|1ASPD|1RPLT	1AIRHEA|2RPLT|3ASPD|4CANARM|5VENTOX|6MLV|7MDPS|8DMG|9aRCR
48	32632 15531	   	246.09	DCR|DCR|1VULN|1MLV	1AIRHEA|2BLASTR|3LHND|4MLV|5VULN|6LWND|7DUR|8aRCR|9ERES
49	36343 21112	   	246.06	DCR|5VULN|2DUR|1AART	14AIRHEA|23468VULN|46BPWR|56DUR|7AART|9CGEN|aRCR
50	36343 21152	   	246.06	DCR|5VULN|2DUR|1AART	14AIRHEA|23468VULN|46BPWR|56DUR|7AART|9TLV|aRCR
51	14214 31531	   	245.99	DCR|DCR|1VULN|1MLV	1DUST|2DUR|3MLV|4BLASTR|5FRZFST|6VULN|7LHND|8aRCR|9ERES
52	14214 33531	   	245.99	DCR|DCR|1VULN|1MLV	1DUST|2DUR|3MLV|4BLASTR|5FRZFST|6VULN|7FEWX|8aRCR|9ERES
53	14224 31531	   	245.99	DCR|DCR|1VULN|1MLV	1DUST|2DUR|3MLV|4BASICY|5FRZFST|6VULN|7LHND|8aRCR|9ERES
54	14224 33531	   	245.99	DCR|DCR|1VULN|1MLV	1DUST|2DUR|3MLV|4BASICY|5FRZFST|6VULN|7FEWX|8aRCR|9ERES
55	36343 21132	   	245.96	DCR|5VULN|2DUR|1AART	14AIRHEA|23468VULN|46BPWR|56DUR|7AART|9AME|aRCR
56	36262 26211	   	244.50	DCR|3VULN|2DMG|1CDMG|1RPLT	1AIRHEA|256VULN|3RPLT|4aDMG|7RCR|8ERES|9CDMG
57	23421 33354	   	244.22	DCR|3VULN|2ASPD|2DUR|1AART|1RPLT	1BBNT|2DMSP|3RPLT|4aDUR|5aASPD|6AART|7RCR|89aVULN|aBPWR
58	45222 45143	   	243.23	ACR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|8VULN|9CGEN|aCDMG
59	45222 45144	   	243.23	ACR|DCR|1VULN|1DMG|1ASPD|1RPLT	1LIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|8VULN|9CGEN|aASPD
60	41334 11442	 * 	243.05	ACR|DCR|2DMG|1VULN|1CDMG	1aLIT|29RCR|3VULN|4aTLV|5CDMG|6LSRICY|7MBVNT|8aDMG|aBPWR
61	41213 42363	   	242.83	ACR|DCR|2VULN|1ASPD|1AART	14LIT|2aRCR|3AME|5ASPD|68VULN|7MDPS|9AART
