0	Index      	 *	Score 	Summary	Detail	
1	15111 15335	 * 	274.27	DCR|DCR|2VULN|1MLV	1TBNT|2BLAICY|3LIT|4DUR|5aVULN|67RCR|8MDPS|9MLV
36	26231 23424	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26LWND|3BEXP|4BBNT|5MLV|7LHND|89RCR|aVULN
37	23111 16424	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUST|3MLV|4LHND|57BEXP|6BBNT|89RCR|aVULN
38	23231 26424	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUST|37BEXP|4BBNT|5MLV|6LWND|89RCR|aVULN
39	23231 61424	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUST|3BEXP|4BBNT|5MLV|6RCVC|7FEWX|89RCR|aVULN
40	23231 63424	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUST|3BEXP|4BBNT|5MLV|6RCVC|7LHND|89RCR|aVULN
41	23531 21424	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUST|36LWND|4BBNT|5MLV|7FEWX|89RCR|aVULN
42	23531 23424	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUST|36LWND|4BBNT|5MLV|7LHND|89RCR|aVULN
43	25111 26824	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26CGEN|3MBVNT|4LHND|5BEXP|7VULN|8aRCR|9MLV
44	25111 46824	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2CGEN|3MBVNT|4LHND|5BEXP|6RCVC|7VULN|8aRCR|9MLV
45	21111 87544	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|4LHND|57BEXP|6MLV|8aRCR|9VULN
46	21113 56824	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|4LHND|5DMSP|6LWND|7VULN|8aRCR|9MLV
47	21146 53824	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|4CGEN|5RMIN|6LHND|7VULN|8aRCR|9MLV
48	21151 36824	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|46LWND|5BEXP|7VULN|8aRCR|9MLV
49	21164 23824	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|4RMIN|5VULN|6LWND|7CGEN|8aRCR|9MLV
50	21164 32824	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|4RMIN|5VULN|6CGEN|7LWND|8aRCR|9MLV
51	21164 34824	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|4RMIN|5VULN|6CGEN|7LHND|8aRCR|9MLV
52	21164 43824	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|4RMIN|5VULN|6LHND|7CGEN|8aRCR|9MLV
53	21111 63544	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26ERES|3MBVNT|4LHND|5BEXP|7MLV|8aRCR|9VULN
54	21111 66824	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26ERES|3MBVNT|4LHND|5BEXP|7VULN|8aRCR|9MLV
55	21156 33524	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2ERES|3MBVNT|46LWND|5DUST|7MLV|8aRCR|9VULN
56	26631 32623	   	251.33	ACR|DCR|1VULN|1MLV|2DUR|1ASPD|1CDMG	1CDMG|2LWND|39RCR|4VULN|5BBNT|6MLV|78DUR|aASPD
57	21116 63524	   	251.33	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26ERES|3MBVNT|4LHND|5DUST|7MLV|8aRCR|9VULN
58	22513 14153	   	251.24	DCR|DCR|1VULN|1MLV|1CDMG|1SELL|1ZMB	1CDMG|2SELL|3FEWX|4ZMB|5RCVC|6TBNT|79RCR|8MLV|aVULN
59	63344 33231	 * 	251.04	DCR|4VULN|1DMG|1MLV|1RPLT	1348VULN|2AELOIC|5MLV|6DMG|7TLV|9RPLT|aRCR
60	15151 15221	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BLAICY|3LIT|4LEGI|5VULN|67RCR|8FEWX|9DMG|aRPLT
61	15111 15223	   	248.82	DCR|DCR|1VULN|1DMG	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8FEWX|9DMG|aTLV
62	55111 15223	   	248.82	DCR|DCR|1VULN|1DMG	1BBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8FEWX|9DMG|aTLV
63	12356 32222	 * 	248.82	DCR|DCR|1VULN|2CDMG	1TBNT|26CGEN|3FEWX|4aCDMG|5VULN|79RCR|8DUR
64	12356 62222	   	248.82	DCR|DCR|1VULN|2CDMG	1TBNT|2CGEN|3FEWX|4aCDMG|5VULN|6RCVC|79RCR|8DUR
65	52356 32222	   	248.82	DCR|DCR|1VULN|2CDMG	1BBNT|26CGEN|3FEWX|4aCDMG|5VULN|79RCR|8DUR
66	62326 32222	   	248.82	DCR|DCR|1VULN|2CDMG	1VULN|26CGEN|3FEWX|4BBNT|5aCDMG|79RCR|8DUR
67	62326 62222	   	248.82	DCR|DCR|1VULN|2CDMG	1VULN|2CGEN|3FEWX|4BBNT|5aCDMG|6RCVC|79RCR|8DUR
68	21333 16426	   	248.76	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|236ERES|45DUR|7CGEN|89RCR|aVULN
69	15111 15224	   	248.72	DCR|DCR|1VULN|1DMG	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8FEWX|9DMG|aERES
70	15111 15226	   	248.72	DCR|DCR|1VULN|1DMG	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8FEWX|9DMG|aMBVNT
71	61134 11531	   	248.53	DCR|DCR|2VULN	19VULN|2LIT|3TLV|4LSRHEA|57CGEN|68RCR|aBBNT
72	61134 11532	   	248.53	DCR|DCR|2VULN	19VULN|2LIT|3TLV|4LSRHEA|57CGEN|68RCR|aBEXP
73	61134 11533	   	248.53	DCR|DCR|2VULN	19VULN|2LIT|3TLV|4LSRHEA|57CGEN|68RCR|aLHND
74	61151 11531	   	248.53	DCR|DCR|2VULN	19VULN|2LIT|3TLV|47CGEN|5SPLJET|68RCR|aBBNT
75	61151 11532	   	248.53	DCR|DCR|2VULN	19VULN|2LIT|3TLV|47CGEN|5SPLJET|68RCR|aBEXP
76	61151 11533	   	248.53	DCR|DCR|2VULN	19VULN|2LIT|3TLV|47CGEN|5SPLJET|68RCR|aLHND
77	15151 15211	   	248.43	DCR|DCR|2VULN	1TBNT|2BLAICY|39LIT|4LEGI|5aVULN|67RCR|8FEWX
78	61234 11531	   	248.43	DCR|DCR|2VULN	19VULN|2LIT|3AME|4LSRHEA|57CGEN|68RCR|aBBNT
79	61234 11532	   	248.43	DCR|DCR|2VULN	19VULN|2LIT|3AME|4LSRHEA|57CGEN|68RCR|aBEXP
80	61234 11533	   	248.43	DCR|DCR|2VULN	19VULN|2LIT|3AME|4LSRHEA|57CGEN|68RCR|aLHND
81	61251 11531	   	248.43	DCR|DCR|2VULN	19VULN|2LIT|3AME|47CGEN|5SPLJET|68RCR|aBBNT
82	61251 11532	   	248.43	DCR|DCR|2VULN	19VULN|2LIT|3AME|47CGEN|5SPLJET|68RCR|aBEXP
83	61251 11533	   	248.43	DCR|DCR|2VULN	19VULN|2LIT|3AME|47CGEN|5SPLJET|68RCR|aLHND
84	33252 35431	   	248.43	DCR|DCR|2VULN	1ERES|29CGEN|3RMIN|46VULN|5TSLFST|7aRCR|8TLV
85	33322 35431	   	248.43	DCR|DCR|2VULN	1ERES|29CGEN|34VULN|5MSLFST|6RMIN|7aRCR|8TLV
86	15151 15331	   	248.33	DCR|DCR|2VULN	1TBNT|2BLAICY|3LIT|4LEGI|59VULN|67RCR|8MDPS|aTLV
87	15151 15332	   	248.33	DCR|DCR|2VULN	1TBNT|2BLAICY|3LIT|4LEGI|59VULN|67RCR|8MDPS|aCGEN
88	15151 15333	   	248.33	DCR|DCR|2VULN	1TBNT|2BLAICY|3LIT|4LEGI|59VULN|67RCR|8MDPS|aLHND
89	43353 13353	   	248.18	DCR|DCR|2VULN|1ZMB	1DMSP|2LWND|3aVULN|4MDPS|5ZMB|6AAC|7ERES|89RCR
90	62153 13353	   	248.18	DCR|DCR|2VULN|1ZMB	1aVULN|2CGEN|3TLV|4MDPS|5ZMB|6AAC|7ERES|89RCR
91	63123 24353	   	248.18	DCR|DCR|2VULN|1ZMB	1aVULN|2AELOIC|3MDPS|4FEWX|5ZMB|6TLV|7AAC|89RCR
92	63133 24353	   	248.18	DCR|DCR|2VULN|1ZMB	1aVULN|2AELOIC|3MDPS|4LWND|5ZMB|6TLV|7AAC|89RCR
93	63123 14153	   	248.08	DCR|DCR|2VULN|1ZMB	1aVULN|2AELOIC|3MDPS|4FEWX|5ZMB|6AAC|79RCR|8AME
94	63123 34353	   	248.08	DCR|DCR|2VULN|1ZMB	1aVULN|2AELOIC|3MDPS|4FEWX|5ZMB|6AME|7AAC|89RCR
95	63133 13353	   	248.08	DCR|DCR|2VULN|1ZMB	1aVULN|2AELOIC|3MDPS|4LWND|5ZMB|6AAC|7ERES|89RCR
96	63133 14153	   	248.08	DCR|DCR|2VULN|1ZMB	1aVULN|2AELOIC|3MDPS|4LWND|5ZMB|6AAC|79RCR|8AME
97	63133 34353	   	248.08	DCR|DCR|2VULN|1ZMB	1aVULN|2AELOIC|3MDPS|4LWND|5ZMB|6AME|7AAC|89RCR
98	12356 32523	   	247.85	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|26CGEN|3FEWX|4CDMG|5VULN|79RCR|8BEXP|aASPD
99	62326 32523	   	247.85	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|26CGEN|3FEWX|4BBNT|5CDMG|79RCR|8BEXP|aASPD
100	11156 21423	   	247.85	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|26LWND|3TLV|4CDMG|5VULN|7FEWX|89RCR|aASPD
101	11156 23423	   	247.85	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|26LWND|3TLV|4CDMG|5VULN|7LHND|89RCR|aASPD
102	11256 21423	   	247.85	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|26LWND|3CGEN|4CDMG|5VULN|7FEWX|89RCR|aASPD
103	12356 23423	   	247.85	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|27CGEN|3FEWX|4CDMG|5VULN|6LWND|89RCR|aASPD
104	62326 23423	   	247.85	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|27CGEN|3FEWX|4BBNT|5CDMG|6LWND|89RCR|aASPD
105	24213 36423	   	247.75	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|234BEXP|5DMSP|6VULN|7ERES|89RCR|aASPD
106	22152 14116	 * 	246.46	DCR|3VULN|2MLV|2CDMG|1AART|1SELL	1aCDMG|2SELL|34aVULN|5AAC|6TBNT|7RCR|8aMLV|9AART|aBPWR
107	15111 15331	   	246.19	DCR|DCR|1VULN|1MLV	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aLWND
108	15111 15336	   	246.19	DCR|DCR|1VULN|1MLV	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aLHND
109	15113 15335	   	246.19	DCR|DCR|1VULN|1MLV	1TBNT|2BLAICY|3LIT|4DUR|5LWND|67RCR|8MDPS|9MLV|aVULN
110	55111 15331	   	246.19	DCR|DCR|1VULN|1MLV	1BBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aLWND
111	15111 15332	   	246.09	DCR|DCR|1VULN|1MLV|1MSE	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aMSE
112	15111 15334	   	246.09	DCR|DCR|1VULN|1MLV	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aDUST
113	55111 15332	   	246.09	DCR|DCR|1VULN|1MLV|1MSE	1BBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aMSE
114	21172 44671	 * 	245.22	DCR|DCR|2ASPD|1DMG|1CDMG	1CDMG|2ERES|3MBVNT|46ASPD|5AAC|7DMG|8LIT|9aRCR
115	21173 44671	   	244.97	DCR|DCR|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3MBVNT|46ASPD|5ZMB|7DMG|8LIT|9aRCR
116	15111 15235	   	244.97	DCR|DCR|1VULN|2DUR|1RPLT	1TBNT|2BLAICY|3LIT|4aDUR|5VULN|67RCR|8FEWX|9RPLT
117	26631 32423	   	244.68	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2LWND|39RCR|4VULN|5BBNT|6MLV|7DUR|8AELOIC|aASPD
