0	Index      	 *	Score 	Summary	Detail	
1	31243 43313	 * 	303.16	DCR|3LIT|2MLV|2VULN|2DUR|1CDMG	18DUR|2aMLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR
30	21132 68643	 * 	276.21	DCR|2MLV|1LIT|2VULN|2DMG	1NUKE|2RPLT|3MBVNT|49MLV|5FEWX|69VULN|7RCR|89DMG|9BPWR|aLIT
31	11243 43311	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	18DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aRCVC
32	11243 43313	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	18DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aRPLT
33	31243 43311	   	276.11	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aBELT
34	31243 43314	   	276.11	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aRPLT
35	11243 43331	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	18DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|78aLIT|8BPWR|9BEXP
36	11243 43341	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	18DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|78aLIT|8BPWR|9LHND
37	11243 43361	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	18DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|78aLIT|8BPWR|9FEWX
38	31243 43341	   	276.11	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|38VULN|4CDMG|5CGEN|6RCR|78aLIT|8BPWR|9LHND
39	31243 43361	   	276.11	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|38VULN|4CDMG|5CGEN|6RCR|78aLIT|8BPWR|9BEXP
40	34243 43313	   	276.11	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG	18DUR|2TLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aMLV
41	11243 43323	   	276.01	DCR|3LIT|2VULN|1MLV|1CDMG	189DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|78aLIT|8BPWR
42	31243 43312	 * 	276.01	DCR|3LIT|2VULN|1MLV|3DUR|1CDMG	18aDUR|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR
43	31243 43321	   	276.01	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|38VULN|4CDMG|5CGEN|6RCR|78aLIT|8BPWR|9DUST
44	36243 43313	   	276.01	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG	18DUR|2ERES|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aMLV
45	13211 11425	   	275.22	DCR|3LIT|2VULN|1MLV|1DMG	1DUST|24VULN|356LIT|7DMG|8BEXP|9MLV|aRCR
46	33211 11425	   	275.22	DCR|3LIT|2VULN|1MLV|1DMG	1DUR|24VULN|356LIT|7DMG|8BEXP|9MLV|aRCR
47	13211 11525	   	275.12	DCR|3LIT|2VULN|1MLV|1DMG	1DUST|24VULN|356LIT|7DMG|8LEGI|9MLV|aRCR
48	33211 11525	   	275.12	DCR|3LIT|2VULN|1MLV|1DMG	1DUR|24VULN|356LIT|7DMG|8LEGI|9MLV|aRCR
49	12471 25125	   	275.08	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	19DUST|2MBVNT|3MLV|49LIT|5LSRHEA|6DMG|79VULN|8RCR|9BPWR|aCDMG
50	32275 83241	   	275.08	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DUR|2MBVNT|3aLIT|4CDMG|56VULN|7MLV|8RCR|9DMG
51	42336 34321	   	274.06	DCR|2LIT|2MLV|2DMG|1VULN	1TSLARM|29DMG|3LWND|4FEWX|59LIT|6RCR|7VULN|89MLV|9BPWR|aBEXP
52	42336 34322	   	273.91	DCR|2LIT|2MLV|2DMG|1VULN	1TSLARM|29DMG|3LWND|4FEWX|59LIT|6RCR|7VULN|89MLV|9BPWR|aDUR
53	21132 66643	   	273.51	DCR|2MLV|1LIT|2VULN|2DMG	1NUKE|2RPLT|3MBVNT|49MLV|5FEWX|69VULN|79DMG|8RCR|9BPWR|aLIT
