0	Index      	 *	Score 	Summary	Detail	
1	51333 22515	 * 	300.64	DCR|3LIT|3FLTARM|2VULN	179ERES|27aLIT|36DUST|4aVULN|57aFLTARM|7aBPWR|8RCR
30	33225 55231	   	277.10	ACR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1LWND|25VULN|39LIT|4RCR|6MLV|7FLTARM|8CDMG|aZMB
31	33221 62641	   	276.58	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1LWND|2aVULN|37LIT|4RCR|5RPLT|6MLV|8DMG|9FLTARM
32	23225 55332	   	276.33	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG|1SELL	1FEWX|25VULN|39LIT|4RCR|6MLV|7FLTARM|8SELL|aDMG
33	33225 55332	   	276.33	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG|1SELL	1LWND|25VULN|39LIT|4RCR|6MLV|7FLTARM|8SELL|aDMG
34	23212 56143	   	275.55	DCR|2LIT|3VULN|1MLV|1CDMG	1FEWX|248VULN|35LIT|6LHND|7MLV|9RCR|aCDMG
35	11622 13345	 * 	274.63	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1SELL	1SELL|2LHND|3aLIT|4MLV|5LEGI|6VULN|7RCR|8DMG|9FLTARM
36	23436 32182	 * 	274.54	DCR|2LIT|4VULN|1DMG	19FEWX|289aVULN|3BEXP|4DMG|5MBVNT|6RCR|79LIT|9BPWR
37	23636 32182	   	274.54	DCR|2LIT|4VULN|1DMG	19FEWX|289aVULN|3LHND|4DMG|5MBVNT|6RCR|79LIT|9BPWR
38	33436 32182	   	274.54	DCR|2LIT|4VULN|1DMG	19LWND|289aVULN|3BEXP|4DMG|5MBVNT|6RCR|79LIT|9BPWR
39	23336 32182	   	274.44	DCR|2LIT|4VULN|1DMG	19FEWX|289aVULN|3DMG|4DUR|5MBVNT|6RCR|79LIT|9BPWR
40	33336 32182	   	274.44	DCR|2LIT|4VULN|1DMG	19LWND|289aVULN|3DMG|4DUR|5MBVNT|6RCR|79LIT|9BPWR
41	16622 13341	   	274.12	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1SELL	1SELL|2BEXP|3LIT|4MLV|5LHND|6aVULN|7RCR|8DMG|9FLTARM
42	11622 13341	   	274.02	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1SELL	1SELL|2LHND|3LIT|4MLV|5LEGI|6aVULN|7RCR|8DMG|9FLTARM
43	33636 32182	 * 	272.86	DCR|2LIT|3VULN|2DMG	19LWND|28aVULN|3LEGI|49DMG|5MBVNT|6RCR|79LIT|9BPWR
44	23331 35523	   	272.16	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG	1FEWX|29VULN|3DMG|4DUR|5CDMG|6RCR|7MLV|8LIT|aAART
45	24131 35523	   	272.16	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG	1FEWX|2DUR|39VULN|4DMG|5CDMG|6RCR|7MLV|8LIT|aAART
46	41333 32521	   	272.04	DCR|2LIT|2FLTARM|1VULN|1MLV	167CGEN|27LIT|3DUST|4VULN|57FLTARM|7BPWR|8RCR|9BASARM|aMLV
47	32224 13254	   	271.99	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18LWND|28DMG|3RCVC|4FEWX|5ASPD|68VULN|7RCR|8BPWR|9LIT|aMLV
48	41333 32432	 * 	271.96	DCR|2LIT|2FLTARM|1VULN|1DMG|1CDMG	167CGEN|27LIT|3DUST|4VULN|57FLTARM|7BPWR|8CDMG|9RCR|aDMG
49	41233 43521	   	271.94	DCR|2LIT|2FLTARM|1VULN|1MLV	1CGEN|26LIT|3BEXP|4VULN|57FLTARM|8RCR|9BASARM|aMLV
50	41333 22521	   	271.94	DCR|2LIT|2FLTARM|1VULN|1MLV	17CGEN|27LIT|36DUST|4VULN|57FLTARM|7BPWR|8RCR|9BASARM|aMLV
51	41233 43432	   	271.86	DCR|2LIT|2FLTARM|1VULN|1DMG|1CDMG	1CGEN|26LIT|3BEXP|4VULN|57FLTARM|8CDMG|9RCR|aDMG
52	41333 22432	   	271.86	DCR|2LIT|2FLTARM|1VULN|1DMG|1CDMG	17CGEN|27LIT|36DUST|4VULN|57FLTARM|7BPWR|8CDMG|9RCR|aDMG
53	41333 43521	   	271.84	DCR|2LIT|2FLTARM|1VULN|1MLV	1CGEN|26LIT|3DUST|4VULN|57FLTARM|8RCR|9BASARM|aMLV
54	41333 43432	   	271.76	DCR|2LIT|2FLTARM|1VULN|1DMG|1CDMG	1CGEN|26LIT|3DUST|4VULN|57FLTARM|8CDMG|9RCR|aDMG
55	51333 22462	   	271.66	DCR|2LIT|2FLTARM|1VULN|1DMG|1CDMG	17ERES|27LIT|36DUST|4VULN|57FLTARM|7BPWR|8CDMG|9RCR|aDMG
56	56324 61343	 * 	271.33	DCR|2LIT|2VULN|1FLTARM|3CDMG	1aERES|2MBVNT|37aCDMG|48LIT|5FLTARM|6aVULN|9RCR|aBPWR
57	24126 34541	 * 	271.27	DCR|2LIT|2VULN|1MLV|2ASPD	17FEWX|2DUR|37VULN|47ASPD|5MBVNT|6RCR|7BPWR|89LIT|aMLV
58	33626 32181	   	271.27	DCR|2LIT|2VULN|1MLV|2ASPD	19LWND|28VULN|3LEGI|49ASPD|5MBVNT|6RCR|79LIT|9BPWR|aMLV
59	41531 36223	   	270.95	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1CGEN|2LIT|345VULN|6MLV|7BELT|8DMG|9CDMG|aRCR
60	51531 36223	   	270.85	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1ERES|2LIT|345VULN|6MLV|7BELT|8DMG|9CDMG|aRCR
