0	Index      	 *	Score 	Summary	Detail	
1	33336 46331	 * 	270.75	DCR|DCR|2VULN|1TLV|1MLV	14CGEN|2ERES|36VULN|5MDPS|78RCR|9TLV|aMLV
13	23613 35353	   	254.88	DCR|DCR|2TLV|1VULN|1MLV	1AME|2ERES|3LHND|4aTLV|5BEXP|68RCR|7MLV|9VULN
14	25313 35353	   	254.88	DCR|DCR|2TLV|1VULN|1MLV	1AME|2LHND|3ERES|4aTLV|5BEXP|68RCR|7MLV|9VULN
15	14131 21525	   	249.43	DCR|DCR|2VULN|1CDMG	1AEFRZ|2RMIN|37VULN|4CDMG|5ASPD|6BBNT|8aRCR|9MBVNT
16	16131 53171	 * 	249.00	DCR|DCR|2VULN|1DMG	1AEFRZ|2DMG|37VULN|4MBVNT|5aLHND|69RCR|8ZMB
17	16131 53173	   	249.00	DCR|DCR|2VULN|1DMG	1AEFRZ|2DMG|37VULN|4MBVNT|5LHND|69RCR|8ZMB|aCGEN
18	16133 53171	   	249.00	DCR|DCR|2VULN|1DMG	1AEFRZ|2DMG|37VULN|4MBVNT|5BEXP|69RCR|8ZMB|aLHND
19	16133 53173	   	249.00	DCR|DCR|2VULN|1DMG	1AEFRZ|2DMG|37VULN|4MBVNT|5BEXP|69RCR|8ZMB|aRAT
20	16131 53172	   	248.90	DCR|DCR|2VULN|1DMG|1MSE	1AEFRZ|2DMG|37VULN|4MBVNT|5LHND|69RCR|8ZMB|aMSE
21	16131 53174	   	248.90	DCR|DCR|2VULN|1DMG	1AEFRZ|2DMG|37VULN|4MBVNT|5LHND|69RCR|8ZMB|aTBNT
22	16133 53172	   	248.90	DCR|DCR|2VULN|1DMG|1MSE	1AEFRZ|2DMG|37VULN|4MBVNT|5BEXP|69RCR|8ZMB|aMSE
23	16133 53174	   	248.90	DCR|DCR|2VULN|1DMG	1AEFRZ|2DMG|37VULN|4MBVNT|5BEXP|69RCR|8ZMB|aSNIFST
24	21322 26525	 * 	245.97	DCR|DCR|1TLV|1DMG|1MLV|1CDMG	1AME|2DUST|3CDMG|4MLV|5TLV|6DMG|7MDPS|8aRCR|9MBVNT
25	34115 36321	   	244.64	DCR|DCR|2VULN|1MLV	14CGEN|2DMSP|34VULN|4BPWR|5MDPS|6RMIN|78RCR|9ERES|aMLV
26	33211 35324	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	19CGEN|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|aVULN
27	33211 35351	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1aCGEN|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN
28	33211 35355	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2ERES|3BEXP|4TLV|5aLHND|68RCR|7MLV|9VULN
29	33211 35364	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2ERES|3BEXP|4TLV|59LHND|68RCR|7MLV|aVULN
30	33613 35324	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	19CGEN|2ERES|3LHND|4TLV|5BEXP|68RCR|7MLV|aVULN
31	33613 35351	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1aCGEN|2ERES|3LHND|4TLV|5BEXP|68RCR|7MLV|9VULN
32	35313 35324	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	19CGEN|2LHND|3ERES|4TLV|5BEXP|68RCR|7MLV|aVULN
33	35313 35351	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1aCGEN|2LHND|3ERES|4TLV|5BEXP|68RCR|7MLV|9VULN
34	11121 66351	   	244.54	DCR|DCR|2VULN|1MLV	1AEFRZ|2LEGI|3RMIN|49VULN|5aLHND|6MLV|78RCR
35	11121 66353	   	244.54	DCR|DCR|2VULN|1MLV	1AEFRZ|2LEGI|3RMIN|49VULN|5LHND|6MLV|78RCR|aCGEN
36	24115 36331	   	244.54	DCR|DCR|2VULN|1MLV	14AME|2DMSP|34VULN|4BPWR|5MDPS|6RMIN|78RCR|9CGEN|aMLV
37	33336 46311	   	244.54	DCR|DCR|2VULN|1MLV	14CGEN|2ERES|36VULN|5MDPS|78RCR|9RMIN|aMLV
38	23211 35331	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9LIT|aVULN
39	23211 35351	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN|aCGEN
40	23211 35355	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3BEXP|4TLV|5aLHND|68RCR|7MLV|9VULN
41	23211 35364	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3BEXP|4TLV|59LHND|68RCR|7MLV|aVULN
42	23613 35331	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3LHND|4TLV|5BEXP|68RCR|7MLV|9LIT|aVULN
43	23613 35351	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3LHND|4TLV|5BEXP|68RCR|7MLV|9VULN|aCGEN
44	25313 35331	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2LHND|3ERES|4TLV|5BEXP|68RCR|7MLV|9LIT|aVULN
45	25313 35351	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1AME|2LHND|3ERES|4TLV|5BEXP|68RCR|7MLV|9VULN|aCGEN
46	33211 35346	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9MDPS|aVULN
47	33211 35352	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN|aBBNT
48	33211 35354	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2aERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN
49	33613 35352	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2ERES|3LHND|4TLV|5BEXP|68RCR|7MLV|9VULN|aBBNT
50	35313 35352	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2LHND|3ERES|4TLV|5BEXP|68RCR|7MLV|9VULN|aBBNT
51	64313 35331	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2AME|3ERES|4TLV|5BEXP|68RCR|7MLV|9LIT|aVULN
52	33336 56331	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	146CGEN|2ERES|3VULN|5MDPS|78RCR|9TLV|aMLV
53	11121 66352	   	244.44	DCR|DCR|2VULN|1MLV|1MSE	1AEFRZ|2LEGI|3RMIN|49VULN|5LHND|6MLV|78RCR|aMSE
54	24115 36321	   	244.44	DCR|DCR|2VULN|1MLV	14AME|2DMSP|34VULN|4BPWR|5MDPS|6RMIN|78RCR|9ERES|aMLV
55	23211 35345	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9MDPS|aVULN
56	23211 35352	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN|aMDPS
57	23211 35354	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1AME|2aERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN
58	23613 35352	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1AME|2ERES|3LHND|4TLV|5BEXP|68RCR|7MLV|9VULN|aMDPS
59	25313 35352	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1AME|2LHND|3ERES|4TLV|5BEXP|68RCR|7MLV|9VULN|aMDPS
60	21155 16331	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1AME|26DUST|3FEWX|4CGEN|5VULN|78RCR|9TLV|aMLV
61	21255 16331	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1AME|26DUST|3LHND|4CGEN|5VULN|78RCR|9TLV|aMLV
62	31165 16331	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|26DUST|3FEWX|4AME|5VULN|78RCR|9TLV|aMLV
63	31265 16331	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|26DUST|3LHND|4AME|5VULN|78RCR|9TLV|aMLV
64	11121 66363	   	242.99	DCR|DCR|1VULN|1MLV|1AAC|1NUKE	1AEFRZ|2LEGI|3RMIN|4VULN|5LHND|6MLV|78RCR|9AAC|aNUKE
65	13141 36532	 * 	240.94	ACR|DCR|2VULN|1TLV|1DMG|1SELL	1AEFRZ|28RCR|3DUST|4aVULN|5BBNT|6SELL|7DMG|9TLV
