0	Index      	 *	Score 	Summary	Detail	
1	45522 32321	 * 	270.29	DCR|3VULN|3DMG|3MLV|1DUR	19aVULN|269DMG|3DUR|4AME|569MLV|69BPWR|7RCR|8RMIN
21	45332 32221	   	245.53	DCR|3VULN|2DMG|2MLV|1DUR|1MSE	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89CGEN|aMSE
22	45332 32222	   	245.53	DCR|3VULN|2DMG|2MLV|1DUR	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89CGEN|aERES
23	45332 32223	   	245.53	DCR|3VULN|2DMG|2MLV|1DUR	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89CGEN|aAEPOI
24	45332 32225	   	245.53	DCR|3VULN|2DMG|2MLV|1DUR	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89CGEN|aDUST
25	45332 32422	   	245.43	DCR|3VULN|2DMG|2MLV|1DUR	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89ERES|aCGEN
26	45332 32421	   	245.33	DCR|3VULN|2DMG|2MLV|1DUR|1MSE	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89ERES|aMSE
27	45332 32423	   	245.33	DCR|3VULN|2DMG|2MLV|1DUR	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89ERES|aAEPOI
28	31442 32331	 * 	245.16	DCR|4VULN|3MSLTOX|1MLV	19AEFBLL|2aBEXP|389aVULN|4FEWX|5MLV|69aMSLTOX|7RCR|9aBPWR
29	21224 11211	   	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2BBNT|3VULN|4CGEN|5BEXP|6MLV|7BELT|8aRCR|9TLV
30	22124 11211	   	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2VULN|3TBNT|4CGEN|5BEXP|6MLV|7BELT|8aRCR|9TLV
31	22624 11211	   	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2VULN|3BBNT|4CGEN|5BEXP|6MLV|7BELT|8aRCR|9TLV
32	24121 11211	   	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2FEWX|3TBNT|4CGEN|5VULN|6MLV|7BELT|8aRCR|9TLV
33	25121 11211	   	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2BEXP|3TBNT|4CGEN|5VULN|6MLV|7BELT|8aRCR|9TLV
34	21414 11211	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2BBNT|3ERES|4VULN|5BEXP|6MLV|7BELT|8aRCR|9TLV
35	21451 11211	   	244.30	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2BBNT|3ERES|4FEWX|5VULN|6MLV|7BELT|8aRCR|9TLV
36	21461 11211	   	244.20	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2BBNT|3ERES|4DUST|5VULN|6MLV|7BELT|8aRCR|9TLV
37	21513 61211	   	244.20	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2BBNT|3MLV|4ERES|5VULN|6DUST|7BELT|8aRCR|9TLV
38	41612 11211	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2RCVC|3TBNT|4BEXP|5CDMG|6LHND|7BELT|8aRCR|9TLV
39	42112 11211	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2TBNT|3RCVC|4BEXP|5CDMG|6LHND|7BELT|8aRCR|9TLV
40	43112 11211	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2BBNT|3RCVC|4BEXP|5CDMG|6LHND|7BELT|8aRCR|9TLV
41	11652 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2RCVC|3BBNT|4VULN|5CDMG|6DUST|7BELT|8aRCR|9TLV
42	12152 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2BBNT|3RCVC|4VULN|5CDMG|6DUST|7BELT|8aRCR|9TLV
43	31652 11211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2BEXP|3BBNT|4VULN|5CDMG|6LHND|7BELT|8aRCR|9TLV
44	35652 11211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2FEWX|3BBNT|4VULN|5CDMG|6LHND|7BELT|8aRCR|9TLV
45	41612 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2RCVC|3TBNT|4BEXP|5CDMG|6DUST|7BELT|8aRCR|9TLV
46	41622 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2RCVC|3TBNT|4LHND|5CDMG|6DUST|7BELT|8aRCR|9TLV
47	42112 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2TBNT|3RCVC|4BEXP|5CDMG|6DUST|7BELT|8aRCR|9TLV
48	42122 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2TBNT|3RCVC|4LHND|5CDMG|6DUST|7BELT|8aRCR|9TLV
49	42312 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2TBNT|3RMIN|4CGEN|5CDMG|6DUST|7BELT|8aRCR|9TLV
50	43112 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2BBNT|3RCVC|4BEXP|5CDMG|6DUST|7BELT|8aRCR|9TLV
51	43122 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2BBNT|3RCVC|4LHND|5CDMG|6DUST|7BELT|8aRCR|9TLV
52	43312 61211	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2BBNT|3RMIN|4CGEN|5CDMG|6DUST|7BELT|8aRCR|9TLV
53	13652 61211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2AEBURN|3BBNT|4VULN|5CDMG|6DUST|7BELT|8aRCR|9TLV
54	31652 61211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2BEXP|3BBNT|4VULN|5CDMG|6DUST|7BELT|8aRCR|9TLV
55	32213 11211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2CDMG|3DUST|4TBNT|5VULN|6LHND|7BELT|8aRCR|9TLV
56	32236 51211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2CDMG|3DUST|4LHND|5VULN|6TBNT|7BELT|8aRCR|9TLV
57	32246 51211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2CDMG|3DUST|4BEXP|5VULN|6TBNT|7BELT|8aRCR|9TLV
58	32264 11211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2CDMG|3DUST|4VULN|5TBNT|6LHND|7BELT|8aRCR|9TLV
59	32265 51211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2CDMG|3DUST|4VULN|5LWND|6TBNT|7BELT|8aRCR|9TLV
60	32436 11211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2CDMG|3TBNT|4VULN|5MDPS|6RCVC|7BELT|8aRCR|9TLV
61	32463 61211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1AEFBLL|2CDMG|3TBNT|4LHND|5VULN|6DUST|7BELT|8aRCR|9TLV
62	42512 61211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2TBNT|3AME|4CGEN|5CDMG|6DUST|7BELT|8aRCR|9TLV
63	43512 61211	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2BBNT|3AME|4CGEN|5CDMG|6DUST|7BELT|8aRCR|9TLV
64	22221 55511	   	242.35	DCR|DCR|2VULN|1AART|1SELL	1SELL|25VULN|3LEGI|4AART|6ERES|78RCR|9RPLT|aLWND
65	22221 55513	   	242.35	DCR|DCR|2VULN|1AART|1SELL	1SELL|25VULN|3LEGI|4AART|6ERES|78RCR|9RPLT|aBEXP
66	22221 55521	   	242.35	DCR|DCR|2VULN|1AART|1SELL	1SELL|25VULN|3LEGI|4AART|6ERES|78RCR|9LIT|aCGEN
67	22221 55522	   	242.35	DCR|DCR|2VULN|1AART|1SELL	1SELL|25VULN|3LEGI|4AART|6ERES|78RCR|9LIT|aLHND
68	21136 15211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3LWND|4VULN|5DUR|6BELT|7AEPOI|8aRCR|9TLV
69	21234 61221	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3VULN|4DUR|5BELT|6ERES|7TLV|8aRCR|9CGEN
70	22134 61221	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3TBNT|4DUR|5BELT|6ERES|7TLV|8aRCR|9CGEN
71	22634 61221	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3BBNT|4DUR|5BELT|6ERES|7TLV|8aRCR|9CGEN
72	21216 15211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3VULN|4LWND|5DUR|6BELT|7AEPOI|8aRCR|9TLV
73	21234 34211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3VULN|4DUR|5BELT|6TLV|7CGEN|8aRCR|9AME
74	21234 45211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3VULN|4DUR|5BELT|6FEWX|7AEPOI|8aRCR|9TLV
75	21235 61211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3VULN|4DUR|5RCVC|6DUST|7BELT|8aRCR|9TLV
76	22116 15211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3TBNT|4LWND|5DUR|6BELT|7AEPOI|8aRCR|9TLV
77	22134 34211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3TBNT|4DUR|5BELT|6TLV|7CGEN|8aRCR|9AME
78	22134 45211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3TBNT|4DUR|5BELT|6FEWX|7AEPOI|8aRCR|9TLV
79	22135 61211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3TBNT|4DUR|5RCVC|6DUST|7BELT|8aRCR|9TLV
80	22616 15211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3BBNT|4LWND|5DUR|6BELT|7AEPOI|8aRCR|9TLV
81	22634 34211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3BBNT|4DUR|5BELT|6TLV|7CGEN|8aRCR|9AME
82	22635 61211	   	242.35	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3BBNT|4DUR|5RCVC|6DUST|7BELT|8aRCR|9TLV
83	22221 55523	   	242.25	DCR|DCR|2VULN|1AART|1SELL	1SELL|25VULN|3LEGI|4AART|6ERES|78RCR|9LIT|aTBNT
84	21232 61211	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3VULN|4DUR|5AEPOI|6DUST|7BELT|8aRCR|9TLV
85	21234 61211	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3VULN|4DUR|5BELT|6ERES|7TLV|8aRCR|9AME
86	21313 61211	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2BBNT|3AEPOI|4DUR|5VULN|6DUST|7BELT|8aRCR|9TLV
87	22132 61211	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3TBNT|4DUR|5AEPOI|6DUST|7BELT|8aRCR|9TLV
88	22134 61211	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3TBNT|4DUR|5BELT|6ERES|7TLV|8aRCR|9AME
89	22632 61211	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3BBNT|4DUR|5AEPOI|6DUST|7BELT|8aRCR|9TLV
90	22634 61211	   	242.25	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2VULN|3BBNT|4DUR|5BELT|6ERES|7TLV|8aRCR|9AME
91	22221 55531	   	242.15	DCR|DCR|2VULN|1AART|1SELL	1SELL|25VULN|3LEGI|4AART|6ERES|78RCR|9MDPS|aAEBURN
92	22221 55532	   	242.15	DCR|DCR|2VULN|1AART|1SELL	1SELL|25VULN|3LEGI|4AART|6ERES|78RCR|9MDPS|aAETHUN
