0	Index      	 *	Score 	Summary	Detail	
1	33164 31331	 * 	291.44	DCR|DCR|2VULN|1TLV|1MLV|1DUR	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7MLV|8DUR
25	32355 31341	   	272.21	DCR|DCR|2MLV|1TLV|1DMG|1DUR|1AART	1TLV|2DUR|3DMG|4TBNT|5BOSS|69RCR|7aMLV|8AART
26	12355 32421	   	271.21	DCR|DCR|2MLV|2DUR|1TLV|1DMG	19MLV|29DUR|3DMG|4TBNT|5BOSS|6aRCR|7TLV|89LHND|9BPWR
27	16364 32321	   	271.21	DCR|DCR|2MLV|2DUR|1TLV|1DMG	19MLV|2LIT|39LHND|4DMG|5TBNT|6aRCR|7TLV|89DUR|9BPWR
28	51355 32321	   	271.14	DCR|DCR|2DMG|2TLV|2DUR	1RMIN|29DUR|39DMG|4TBNT|5BOSS|6aRCR|79TLV|8LEGI|9BPWR
29	32355 31421	   	269.25	DCR|DCR|2TLV|2DUR|1DMG|1MLV	19TLV|29DUR|3DMG|4TBNT|5BOSS|6aRCR|7MLV|89LHND|9BPWR
30	12354 13423	 * 	264.97	DCR|DCR|2MLV|2DUR|1DMG|2CDMG	19MLV|29DUR|3DMG|4TBNT|56LHND|7aRCR|89CDMG|9BPWR
31	11312 53361	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MLV|2FEWX|3DMG|4VULN|5RCVC|6BBNT|7aRCR|8BOSS|9TLV
32	11313 53361	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MLV|2FEWX|3DMG|4VULN|5DMSP|6BBNT|7aRCR|8BOSS|9TLV
33	21312 53351	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1LWND|2TLV|3DMG|4VULN|5RCVC|6BBNT|7aRCR|8BOSS|9MLV
34	21313 53351	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1LWND|2TLV|3DMG|4VULN|5DMSP|6BBNT|7aRCR|8BOSS|9MLV
35	21314 53351	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	15LWND|2TLV|3DMG|4VULN|6BBNT|7aRCR|8BOSS|9MLV
36	21633 53351	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	13LWND|2TLV|4DMG|5VULN|6BBNT|7aRCR|8BOSS|9MLV
37	31312 53351	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TLV|2FEWX|3DMG|4VULN|5RCVC|6BBNT|7aRCR|8BOSS|9MLV
38	31313 53351	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TLV|2FEWX|3DMG|4VULN|5DMSP|6BBNT|7aRCR|8BOSS|9MLV
39	16164 32321	   	264.70	DCR|DCR|2MLV|2DUR|1TLV|2ASPD	19MLV|2LIT|39ASPD|4LHND|5TBNT|6aRCR|7TLV|89DUR|9BPWR
40	11316 33361	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MLV|2FEWX|3DMG|4VULN|5BBNT|6AEPOI|7aRCR|8BOSS|9TLV
41	31316 33351	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TLV|2FEWX|3DMG|4VULN|5BBNT|6AEPOI|7aRCR|8BOSS|9MLV
42	51316 43331	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1RMIN|26DUR|3DMG|4VULN|5BBNT|7aRCR|8BOSS|9MLV
43	51343 53331	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1RMIN|24DUR|3DMG|5VULN|6BBNT|7aRCR|8BOSS|9MLV
44	51452 33331	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1RMIN|23DUR|4BBNT|5DMG|6VULN|7aRCR|8BOSS|9MLV
45	61432 33331	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1BBNT|23DUR|4RMIN|5DMG|6VULN|7aRCR|8BOSS|9MLV
46	51312 53361	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1RMIN|2DUR|3DMG|4VULN|5RCVC|6BBNT|7aRCR|8BOSS|9TLV
47	33464 31321	   	262.74	DCR|DCR|2TLV|2DUR|1MLV|2ASPD	19TLV|29ASPD|3LHND|4BOSS|5TBNT|6aRCR|7MLV|89DUR|9BPWR
48	51316 33361	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1RMIN|2DUR|3DMG|4VULN|5BBNT|6AEPOI|7aRCR|8BOSS|9TLV
49	16515 31321	   	262.49	DCR|DCR|2DMG|2MLV|2DUR	19MLV|2LIT|3BBNT|49DMG|5LHND|6aRCR|7AME|89DUR|9BPWR
50	33164 33331	   	262.08	DCR|DCR|2VULN|1TLV	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7LEGI|8CGEN
51	33164 32431	   	261.98	DCR|DCR|2VULN|1TLV	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7AME|8LEGI
52	33164 32531	   	261.98	DCR|DCR|2VULN|1TLV	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7AME|8DUST
