0	Index      	 *	Score 	Summary	Detail	
1	11521 67113	 * 	272.11	DCR|2MLV|2TLV|2DMG|1VULN	1DUST|2aTLV|3ERES|4DUR|5aMLV|6MBVNT|7VULN|8aDMG|9RCR|aBPWR
17	51321 22625	   	257.64	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1LWND|2TLV|3AAC|4DUR|5MLV|6aVULN|7DMG|8MDPS|9RCR
18	11321 22625	   	257.54	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|6aVULN|7DMG|8MDPS|9RCR
19	11321 26362	   	257.54	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|67VULN|8DMG|9RCR|aAEFBLL
20	11321 26363	   	257.54	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1MSE	1DUST|2TLV|3AAC|4DUR|5MLV|67VULN|8DMG|9RCR|aMSE
21	11321 26365	   	257.54	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|67VULN|8DMG|9RCR|aERES
22	11321 36152	   	257.54	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|6BEXP|7aVULN|8DMG|9RCR
23	11321 67112	   	257.54	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|6MBVNT|7aVULN|8DMG|9RCR
24	13315 15362	   	257.24	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	14DUST|24MLV|3AAC|4BPWR|5DUR|6DMG|7LWND|8TLV|9RCR|aVULN
25	13324 15362	   	257.24	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1DUST|25MLV|3AAC|4DUR|6DMG|7LWND|8TLV|9RCR|aVULN
26	11221 24152	   	257.00	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|6aVULN|7FEWX|8DMG|9RCR
27	11221 26361	   	257.00	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|67VULN|8DMG|9RCR|aBBNT
28	11221 26364	   	257.00	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|67VULN|8DMG|9RCR|aRPLT
29	11221 26366	   	257.00	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|67VULN|8DMG|9RCR|aLWND
30	51221 22625	   	257.00	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1LWND|2TLV|3DUR|4ASPD|5MLV|6aVULN|7DMG|8MDPS|9RCR
31	11221 22625	   	256.90	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|6aVULN|7DMG|8MDPS|9RCR
32	11221 26362	   	256.90	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|67VULN|8DMG|9RCR|aAEFBLL
33	11221 26363	   	256.90	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|1MSE	1DUST|2TLV|3DUR|4ASPD|5MLV|67VULN|8DMG|9RCR|aMSE
34	11221 26365	   	256.90	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|67VULN|8DMG|9RCR|aERES
35	11221 36152	   	256.90	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|6BEXP|7aVULN|8DMG|9RCR
36	11421 21152	   	256.90	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3BEXP|4ASPD|5MLV|6aVULN|7DUR|8DMG|9RCR
37	13224 15362	   	256.60	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	1DUST|25MLV|3DUR|4ASPD|6DMG|7LWND|8TLV|9RCR|aVULN
38	53331 63114	 * 	256.47	DCR|1VULN|1TLV|2AAC|1MLV|1ASPD|1CDMG	1LWND|2MLV|3aAAC|4CDMG|5AART|6VULN|7ASPD|8TLV|9RCR
39	13331 63114	   	256.37	DCR|1VULN|2AAC|1TLV|1MLV|1ASPD|1CDMG	1DUST|2MLV|3aAAC|4CDMG|5AART|6VULN|7ASPD|8TLV|9RCR
40	13315 36324	 * 	254.94	DCR|3MLV|2VULN|1AAC	14aDUST|247MLV|3AAC|4aBPWR|5DUR|6aVULN|8aFEWX|9RCR
41	13324 36324	   	254.94	DCR|3MLV|2VULN|1AAC	1aDUST|257MLV|3AAC|4DUR|6aVULN|8aFEWX|9RCR|aBPWR
42	13324 35622	   	254.94	DCR|3MLV|2VULN|1AAC	18DUST|258MLV|3AAC|4DUR|6aVULN|78LHND|8BPWR|9RCR
43	13315 36322	   	254.84	DCR|3MLV|2VULN|1AAC	14DUST|247MLV|3AAC|4BPWR|5DUR|6aVULN|8FEWX|9RCR
44	13324 36322	   	254.84	DCR|3MLV|2VULN|1AAC	1DUST|257MLV|3AAC|4DUR|6aVULN|8FEWX|9RCR
45	11121 52662	 * 	254.66	DCR|2DMG|1VULN|1TLV|2ASPD|1MLV	18DUST|2TLV|3AETHUN|48ASPD|5MLV|6LHND|78DMG|8BPWR|9RCR|aVULN
46	13224 36322	   	254.19	DCR|3MLV|2VULN|1ASPD	1DUST|257MLV|3DUR|4ASPD|6aVULN|8FEWX|9RCR
47	11321 24652	   	253.83	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1DUST|2TLV|3AAC|4DUR|5MLV|6aVULN|7FEWX|8ASPD|9RCR
48	11661 52213	   	253.73	DCR|DCR|1VULN|1TLV	134DUST|2TLV|5AART|6aRCR|7RCVC|8VULN|9LHND
49	11321 36652	   	253.73	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1DUST|2TLV|3AAC|4DUR|5MLV|6BEXP|7aVULN|8ASPD|9RCR
50	11321 67712	   	253.73	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1DUST|2TLV|3AAC|4DUR|5MLV|6MBVNT|7aVULN|8ASPD|9RCR
51	11321 43625	   	253.73	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1DUST|2TLV|3AAC|4DUR|5MLV|6ASPD|7aVULN|8MDPS|9RCR
52	23233 22442	   	253.68	DCR|DCR|1VULN|1TLV|1SELL	1CGEN|2BASARM|3DUR|4TLV|5VULN|6BELT|7SELL|8aRCR|9LHND
53	11661 23213	   	253.63	DCR|DCR|1VULN|1TLV	134DUST|2TLV|5AART|6AEFBLL|7aRCR|8VULN|9LHND
54	11661 23253	   	253.63	DCR|DCR|1VULN|1TLV	134DUST|2TLV|5AART|6AEFBLL|7aRCR|8VULN|9LWND
55	11661 52233	   	253.63	DCR|DCR|1VULN|1TLV	134DUST|2TLV|5AART|6aRCR|7RCVC|8VULN|9AETHUN
56	11151 25263	   	253.63	DCR|DCR|1VULN|1TLV	1DUST|2TLV|3AETHUN|4LEGI|5VULN|6CGEN|7AART|8aRCR|9AEFBLL
57	11661 23233	   	253.53	DCR|DCR|1VULN|1TLV	134DUST|2TLV|5AART|6AEFBLL|7aRCR|8VULN|9AETHUN
58	13315 33212	 * 	253.33	DCR|2VULN|2MLV|2AAC	14DUST|24MLV|39AAC|4BPWR|5DUR|67VULN|8RAT|aRCR
59	13315 33652	   	253.33	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5DUR|67aVULN|8MDPS|9RCR
60	13324 33212	   	253.33	DCR|2VULN|2MLV|2AAC	1DUST|25MLV|39AAC|4DUR|67VULN|8RAT|aRCR
61	13324 33652	   	253.33	DCR|3VULN|2MLV|1AAC	1DUST|25MLV|3AAC|4DUR|67aVULN|8MDPS|9RCR
62	13224 33652	   	252.69	DCR|3VULN|2MLV|1ASPD	1DUST|25MLV|3DUR|4ASPD|67aVULN|8MDPS|9RCR
63	11321 26266	 * 	252.68	DCR|2VULN|2AAC|1TLV|1MLV	1DUST|2TLV|39AAC|4DUR|5MLV|67VULN|8RCVC|aRCR
64	11315 33252	 * 	252.24	DCR|3VULN|2TLV|1AAC	14DUST|24TLV|3AAC|4BPWR|5DUR|679VULN|8RAT|aRCR
65	13224 33232	 * 	252.17	DCR|2VULN|2MLV|2ASPD	1DUST|25MLV|3DUR|49ASPD|67VULN|8RAT|aRCR
66	11321 24453	   	251.95	DCR|2VULN|2TLV|1MLV|1AAC	1DUST|2aTLV|3AAC|4DUR|5MLV|6aVULN|7FEWX|8aCGEN|9RCR|aBPWR
67	11321 26236	   	251.75	DCR|2VULN|2TLV|1MLV|1AAC	1DUST|29TLV|3AAC|4DUR|5MLV|67VULN|8RCVC|aRCR
68	13424 36321	   	251.68	DCR|3MLV|1VULN|1TLV|1ASPD	1DUST|257MLV|3BEXP|4ASPD|6VULN|8FEWX|9RCR|aTLV
69	11321 23253	   	251.65	DCR|2VULN|2TLV|1MLV|1AAC	1DUST|2aTLV|3AAC|4DUR|5MLV|6aVULN|7ERES|8aBEXP|9RCR|aBPWR
70	11421 21453	   	251.52	DCR|2VULN|1TLV|2ASPD|1MLV	1DUST|2TLV|3aBEXP|4aASPD|5MLV|6aVULN|7DUR|8CGEN|9RCR|aBPWR
71	13334 56312	   	251.23	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1DUST|2MLV|3AAC|4CDMG|5DUR|6RPLT|7aVULN|8TLV|9RCR
72	11221 26236	   	251.11	DCR|2VULN|2TLV|1MLV|1ASPD	1DUST|29TLV|3DUR|4ASPD|5MLV|67VULN|8RCVC|aRCR
73	13661 52213	 * 	250.22	DCR|DCR|1VULN|1MLV	134DUST|2MLV|5AART|6aRCR|7RCVC|8VULN|9LHND
74	13661 23213	   	250.12	DCR|DCR|1VULN|1MLV	134DUST|2MLV|5AART|6AEFBLL|7aRCR|8VULN|9LHND
75	13661 23253	   	250.12	DCR|DCR|1VULN|1MLV	134DUST|2MLV|5AART|6AEFBLL|7aRCR|8VULN|9LWND
76	13661 52233	   	250.12	DCR|DCR|1VULN|1MLV	134DUST|2MLV|5AART|6aRCR|7RCVC|8VULN|9AETHUN
77	13151 25263	   	250.12	DCR|DCR|1VULN|1MLV	1DUST|2MLV|3AETHUN|4LEGI|5VULN|6CGEN|7AART|8aRCR|9AEFBLL
78	13661 23233	   	250.02	DCR|DCR|1VULN|1MLV	134DUST|2MLV|5AART|6AEFBLL|7aRCR|8VULN|9AETHUN
79	53121 31225	 * 	249.27	DCR|3MLV|2DMG|1AAC|1ASPD	1aLWND|25aMLV|3AETHUN|4ASPD|6RAT|7AAC|8RCR|9aDMG|aBPWR
80	13324 35623	 * 	248.80	DCR|3MLV|1VULN|1DMG|1AAC	18DUST|258MLV|3AAC|4DUR|6VULN|78LHND|8BPWR|9RCR|aDMG
81	15236 42231	   	248.74	DCR|2VULN|1MLV|1DMG|1AAC|1ASPD	1DUST|2DUR|3aVULN|4RAT|5DMG|6MLV|7AAC|8RCR|9ASPD
82	13315 36323	   	248.70	DCR|3MLV|1VULN|1DMG|1AAC	14DUST|247MLV|3AAC|4BPWR|5DUR|6VULN|8FEWX|9RCR|aDMG
83	13324 36323	   	248.70	DCR|3MLV|1VULN|1DMG|1AAC	1DUST|257MLV|3AAC|4DUR|6VULN|8FEWX|9RCR|aDMG
84	51121 26361	   	248.69	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1LWND|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aBBNT
85	11121 26361	   	248.59	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aBBNT
86	11121 26364	   	248.59	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aRPLT
87	11121 26366	   	248.59	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aLHND
88	11421 22152	   	248.59	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3BEXP|4ASPD|5MLV|6aVULN|7FEWX|8DMG|9RCR
89	51121 26362	   	248.59	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1LWND|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aAEFBLL
90	51121 26363	   	248.59	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|1MSE	1LWND|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aMSE
91	11121 26362	   	248.49	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aAEFBLL
92	11121 26363	   	248.49	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|1MSE	1DUST|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aMSE
93	11121 26365	   	248.49	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DUST|2TLV|3AETHUN|4ASPD|5MLV|67VULN|8DMG|9RCR|aERES
94	54215 41421	 * 	247.84	DCR|DCR|2VULN	1LWND|2MDPS|3aVULN|4MBVNT|5LHND|6AART|7MULHEA|89RCR
95	51221 22626	   	247.69	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1LWND|2TLV|3DUR|4ASPD|5MLV|6VULN|7DMG|8MDPS|9RCR|aAAC
96	53331 63116	 * 	247.69	DCR|1VULN|1TLV|1MLV|2CDMG|1AAC|1ASPD	1LWND|2MLV|3AAC|4aCDMG|5AART|6VULN|7ASPD|8TLV|9RCR
97	11221 22626	   	247.59	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1DUST|2TLV|3DUR|4ASPD|5MLV|6VULN|7DMG|8MDPS|9RCR|aAAC
98	13331 63116	   	247.59	DCR|1VULN|1TLV|1MLV|2CDMG|1AAC|1ASPD	1DUST|2MLV|3AAC|4aCDMG|5AART|6VULN|7ASPD|8TLV|9RCR
99	51321 22626	 * 	246.54	DCR|1VULN|2AAC|1TLV|1MLV|1DMG	1LWND|2TLV|3aAAC|4DUR|5MLV|6VULN|7DMG|8MDPS|9RCR
100	11321 22626	   	246.44	DCR|1VULN|2AAC|1TLV|1MLV|1DMG	1DUST|2TLV|3aAAC|4DUR|5MLV|6VULN|7DMG|8MDPS|9RCR
101	11354 43213	   	245.91	DCR|3VULN|1TLV|1AAC|1ASPD	1DUST|2TLV|3AAC|4ERES|57aVULN|6ASPD|8RAT|9RCR
102	13424 36322	   	245.79	DCR|3MLV|2VULN|1ASPD	1DUST|257MLV|3BEXP|4ASPD|6aVULN|8FEWX|9RCR
103	11315 36361	   	245.61	DCR|2TLV|1VULN|1MLV|1DMG|1AAC	14DUST|24TLV|3AAC|4BPWR|5DUR|6VULN|7MLV|8DMG|9RCR|aBBNT
104	51321 22621	   	245.61	DCR|2TLV|1VULN|1MLV|1DMG|1AAC	1LWND|2aTLV|3AAC|4DUR|5MLV|6VULN|7DMG|8MDPS|9RCR
105	11315 36362	   	245.51	DCR|2TLV|1VULN|1MLV|1DMG|1AAC	14DUST|24TLV|3AAC|4BPWR|5DUR|6VULN|7MLV|8DMG|9RCR|aAEFBLL
106	11315 36363	   	245.51	DCR|2TLV|1VULN|1MLV|1DMG|1AAC|1MSE	14DUST|24TLV|3AAC|4BPWR|5DUR|6VULN|7MLV|8DMG|9RCR|aMSE
107	11321 22621	   	245.51	DCR|2TLV|1VULN|1MLV|1DMG|1AAC	1DUST|2aTLV|3AAC|4DUR|5MLV|6VULN|7DMG|8MDPS|9RCR
108	51221 22361	   	245.48	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aBBNT
109	51221 22364	   	245.48	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aRPLT
110	51221 22366	   	245.48	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aLHND
111	51221 52362	   	245.48	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6LHND|7DMG|9RCR|aVULN
112	11221 22361	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aBBNT
113	11221 22364	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aRPLT
114	11221 22366	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aLWND
115	11221 45362	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|46ASPD|5MLV|7LWND|8DMG|9RCR|aVULN
116	11221 52362	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|48ASPD|5MLV|6LHND|7DMG|9RCR|aVULN
117	51221 22362	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aAEFBLL
118	51221 22363	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG|1MSE	1LWND|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aMSE
119	51221 22365	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aERES
120	51221 32362	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6BEXP|7DMG|9RCR|aVULN
121	51221 42362	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|46ASPD|5MLV|7DUST|8DMG|9RCR|aVULN
122	51221 62362	   	245.38	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1LWND|2TLV|3DUR|48ASPD|5MLV|6AETHUN|7DMG|9RCR|aVULN
123	53312 33162	   	245.32	DCR|3VULN|2MLV|1AAC	14LWND|24MLV|3AAC|4BPWR|5FEWX|67aVULN|8TBNT|9RCR
124	53312 33536	   	245.32	DCR|3VULN|2MLV|1AAC	14LWND|24MLV|3AAC|4BPWR|5FEWX|678VULN|9CGEN|aRCR
125	11221 22362	   	245.28	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aAEFBLL
126	11221 22363	   	245.28	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG|1MSE	1DUST|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aMSE
127	11221 22365	   	245.28	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|48ASPD|5MLV|6VULN|7DMG|9RCR|aERES
128	11221 62362	   	245.28	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1DUST|2TLV|3DUR|48ASPD|5MLV|6AETHUN|7DMG|9RCR|aVULN
129	53316 33162	   	245.22	DCR|3VULN|2MLV|1AAC	14LWND|24MLV|3AAC|4BPWR|5DUST|67aVULN|8TBNT|9RCR
130	53312 33212	   	245.22	DCR|2VULN|2MLV|2AAC	14LWND|24MLV|39AAC|4BPWR|5FEWX|67VULN|8RAT|aRCR
131	11315 33212	 * 	245.20	DCR|2VULN|2TLV|2AAC	14DUST|24TLV|39AAC|4BPWR|5DUR|67VULN|8RAT|aRCR
132	11315 33652	   	245.20	DCR|3VULN|2TLV|1AAC	14DUST|24TLV|3AAC|4BPWR|5DUR|67aVULN|8MDPS|9RCR
133	13312 33162	   	245.12	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5FEWX|67aVULN|8TBNT|9RCR
134	13312 33522	   	245.12	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5FEWX|678VULN|9BELT|aRCR
135	13312 33546	   	245.12	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5FEWX|678VULN|9CGEN|aRCR
136	13313 33162	   	245.12	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5LHND|67aVULN|8TBNT|9RCR
137	13313 33546	   	245.12	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5LHND|678VULN|9CGEN|aRCR
138	13313 35773	   	245.12	DCR|3VULN|2MLV|1AAC	148DUST|24MLV|3AAC|48BPWR|58LHND|68aVULN|7MBVNT|9RCR
139	53316 33212	   	245.12	DCR|2VULN|2MLV|2AAC	14LWND|24MLV|39AAC|4BPWR|5DUST|67VULN|8RAT|aRCR
140	13311 51662	   	245.12	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5BBNT|6LWND|78aVULN|9RCR
141	13312 33212	   	245.02	DCR|2VULN|2MLV|2AAC	14DUST|24MLV|39AAC|4BPWR|5FEWX|67VULN|8RAT|aRCR
142	13313 33212	   	245.02	DCR|2VULN|2MLV|2AAC	14DUST|24MLV|39AAC|4BPWR|5LHND|67VULN|8RAT|aRCR
143	13531 61162	   	244.99	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1CDMG	1DUST|2MLV|3ERES|4CDMG|5AART|6VULN|7AAC|8TLV|9DMG|aRCR
144	51221 22621	   	244.97	DCR|2TLV|1VULN|1MLV|1DMG|1ASPD	1LWND|2aTLV|3DUR|4ASPD|5MLV|6VULN|7DMG|8MDPS|9RCR
145	13313 34552	   	244.94	DCR|2VULN|2MLV|1AAC|1CDMG	14DUST|24MLV|3AAC|4BPWR|5LHND|68VULN|7AART|9CDMG|aRCR
146	11221 22621	   	244.87	DCR|2TLV|1VULN|1MLV|1DMG|1ASPD	1DUST|2aTLV|3DUR|4ASPD|5MLV|6VULN|7DMG|8MDPS|9RCR
147	13315 33242	   	244.78	DCR|2VULN|2MLV|1AAC|2DUR	14DUST|24MLV|3AAC|4BPWR|59DUR|67VULN|8RAT|aRCR
148	13324 33242	   	244.78	DCR|2VULN|2MLV|1AAC|2DUR	1DUST|25MLV|3AAC|49DUR|67VULN|8RAT|aRCR
149	13564 21333	 * 	244.73	ACR|DCR|2VULN|1MLV|1CDMG	1DUST|2MLV|3ERES|4aRCR|5FEWX|68VULN|7CDMG|9AETHUN
150	13121 33346	   	244.38	DCR|3VULN|2MLV|1ASPD	1DUST|25MLV|3AETHUN|4ASPD|678VULN|9CGEN|aRCR
151	13424 33162	   	244.38	DCR|3VULN|2MLV|1ASPD	1DUST|25MLV|3BEXP|4ASPD|67aVULN|8TBNT|9RCR
152	13424 33522	   	244.38	DCR|3VULN|2MLV|1ASPD	1DUST|25MLV|3BEXP|4ASPD|678VULN|9BELT|aRCR
153	13224 33242	   	244.14	DCR|2VULN|2MLV|1ASPD|2DUR	1DUST|25MLV|39DUR|4ASPD|67VULN|8RAT|aRCR
154	11322 33466	   	244.03	DCR|2VULN|1TLV|1MLV|1AAC|2DUR	1DUST|2TLV|3AAC|48DUR|5AEBURN|67VULN|9MLV|aRCR
155	53331 53132	   	243.40	DCR|2MLV|1TLV|1AAC|1ASPD|1CDMG	1LWND|29MLV|3AAC|4CDMG|5AART|6DUR|7ASPD|8TLV|aRCR
156	11222 33466	   	243.38	DCR|2VULN|1TLV|1MLV|1ASPD|2DUR	1DUST|2TLV|38DUR|4ASPD|5AEBURN|67VULN|9MLV|aRCR
157	15621 33215	   	243.26	DCR|2VULN|2ASPD|1MLV|1AAC	1DUST|2DUR|34ASPD|5AAC|67VULN|8RAT|9RCR|aMLV
158	53312 33163	 * 	243.25	DCR|2VULN|2MLV|1DMG|1AAC	14LWND|24MLV|3AAC|4BPWR|5FEWX|67VULN|8TBNT|9RCR|aDMG
159	33212 25662	   	243.23	DCR|DCR|1VULN|1ASPD|2RAT	1aERES|2BASARM|3aLHND|4MBVNT|5VULN|69RCR|7ASPD|8aRAT|aBPWR
160	11421 22453	   	243.21	DCR|2VULN|1TLV|2ASPD|1MLV	1DUST|2TLV|3aBEXP|4aASPD|5MLV|6aVULN|7FEWX|8CGEN|9RCR|aBPWR
161	53316 33163	   	243.15	DCR|2VULN|2MLV|1DMG|1AAC	14LWND|24MLV|3AAC|4BPWR|5DUST|67VULN|8TBNT|9RCR|aDMG
162	13312 33163	   	243.05	DCR|2VULN|2MLV|1DMG|1AAC	14DUST|24MLV|3AAC|4BPWR|5FEWX|67VULN|8TBNT|9RCR|aDMG
