0	Index      	 *	Score 	Summary	Detail	
1	43623 32513	 * 	281.93	DCR|DCR|2VULN|1DMG|1RPLT	1BEXP|2RPLT|34VULN|5LHND|6LIT|7DUR|8aRCR|9DMG
22	46234 34813	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	17BEXP|2DMG|3MBVNT|4VULN|5TLV|6MLV|8aRCR|9ERES
23	54218 11223	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2BEXP|3MBVNT|4MDPS|5VULN|6MLV|7aRCR|8DMSP|9FEWX
24	54233 11223	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2BEXP|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8DMSP|9FEWX
25	54233 11643	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2BEXP|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8FEWX|9RCVC
26	54233 11723	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1DMG|28BEXP|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|9FEWX
27	54234 34813	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1DMG|27BEXP|3MBVNT|4VULN|5TLV|6MLV|8aRCR|9ERES
28	55234 32813	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1DMG|27LHND|3MBVNT|4VULN|5TLV|6MLV|8aRCR|9ERES
29	41234 34853	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	17BEXP|2CGEN|3MBVNT|4VULN|5AME|6MLV|8aRCR|9DMG
30	14234 34853	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1ERES|27BEXP|3MBVNT|4VULN|5AME|6MLV|8aRCR|9DMG
31	15234 11853	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1ERES|2LHND|3MBVNT|4VULN|5AME|6RCVC|7MLV|8aRCR|9DMG
32	15234 32853	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1ERES|27LHND|3MBVNT|4VULN|5AME|6MLV|8aRCR|9DMG
33	26218 11213	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4MDPS|5VULN|6MLV|7aRCR|8DMSP|9BEXP
34	26218 11233	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4MDPS|5VULN|6MLV|7aRCR|8DMSP|9FEWX
35	26218 11643	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4MDPS|5VULN|6MLV|7aRCR|8FEWX|9RCVC
36	26218 11743	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4MDPS|5VULN|6MLV|7aRCR|8BEXP|9RCVC
37	26233 11213	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8DMSP|9BEXP
38	26233 11233	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8DMSP|9FEWX
39	26233 11643	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8FEWX|9RCVC
40	26233 11743	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8BEXP|9RCVC
41	26233 11753	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|89BEXP
42	54232 25423	 * 	252.99	DCR|3VULN|3ASPD|2DMG	1aDMG|2BEXP|3MBVNT|48aVULN|5AAC|6RCR|79aASPD|aBPWR
