0	Index      	 *	Score 	Summary	Detail	
1	11122 26253	 * 	287.78	ACR|DCR|2VULN|2MLV|2CDMG|2DUR	17DUR|27MLV|3aRCR|4TLV|59VULN|67CDMG|7BPWR|8DUST
16	32416 21313	 * 	265.57	DCR|DCR|2VULN|1MLV|1SELL|1ZMB	1MULARM|2FRZARM|38VULN|4SELL|5BEXP|6ZMB|7aRCR|9MLV
17	62416 21313	 * 	265.57	DCR|DCR|2VULN|1MLV|1SELL|1ZMB	1SNITOX|2FRZARM|38VULN|4SELL|5BEXP|6ZMB|7aRCR|9MLV
18	11146 22163	 * 	264.06	ACR|DCR|1VULN|1DMG|2CDMG|1MLV|2DUR	14DUR|2MLV|3aRCR|5CGEN|69CDMG|7DMG|8VULN
19	21314 16631	 * 	263.62	DCR|DCR|1VULN|1DMG|3ZMB|1RPLT	135ZMB|2DMG|4RPLT|6ERES|79RCR|8VULN|aBBNT
20	21314 16632	   	263.62	DCR|DCR|1VULN|1DMG|3ZMB|1RPLT	135ZMB|2DMG|4RPLT|6ERES|79RCR|8VULN|aCGEN
21	21314 16633	   	263.52	DCR|DCR|1VULN|1DMG|3ZMB|1RPLT|1MSE	135ZMB|2DMG|4RPLT|6ERES|79RCR|8VULN|aMSE
22	12264 24424	   	262.23	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1DUR|2DMG|3BBNT|4ZMB|5TBNT|6VULN|7MBVNT|8aRCR|9ASPD
23	42226 13532	 * 	261.73	DCR|DCR|2VULN|1ASPD|1ZMB	1ASPD|2SNITOX|3MSLFST|4ZMB|5LWND|69VULN|7DUST|8aRCR
24	42221 15512	 * 	261.63	DCR|DCR|2VULN|1ASPD|1ZMB	1ASPD|2SNITOX|3MSLFST|4ZMB|56VULN|7LEGI|8aRCR|9DUST
25	41152 32361	 * 	261.24	DCR|3VULN|2DMG|2ASPD|1CDMG	1aASPD|2aDMG|3AAC|4MDPS|5LHND|6CDMG|78aVULN|9RCR|aBPWR
26	24223 43432	 * 	260.15	DCR|3VULN|2MLV|1DMG|3ZMB|1AART	123ZMB|467VULN|56MLV|6BPWR|8DMG|9RCR|aAART
27	16231 42132	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1DUR|2BBNT|3LWND|4CDMG|5VULN|6MLV|7MDPS|8FEWX|9aRCR
28	16531 42132	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1DUR|2BBNT|3LHND|4CDMG|5VULN|6MLV|7MDPS|8FEWX|9aRCR
29	16231 42232	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1DUR|2BBNT|3LWND|4CDMG|5VULN|6MLV|7MDPS|8DUST|9aRCR
30	16531 42232	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1DUR|2BBNT|3LHND|4CDMG|5VULN|6MLV|7MDPS|8DUST|9aRCR
31	12312 22361	   	259.76	DCR|3VULN|2DMG|2DUR|1ASPD|1RPLT	1aDUR|2aDMG|3RPLT|4ASPD|5FEWX|6AAC|78aVULN|9RCR|aBPWR
32	12316 22361	   	259.76	DCR|3VULN|2DMG|2DUR|1ASPD|1RPLT	1aDUR|2aDMG|3RPLT|4ASPD|5BEXP|6AAC|78aVULN|9RCR|aBPWR
33	12313 22361	   	259.66	DCR|3VULN|2DMG|2DUR|1ASPD|1RPLT	1aDUR|2aDMG|3RPLT|4ASPD|5DUST|6AAC|78aVULN|9RCR|aBPWR
34	11122 23253	   	259.11	ACR|DCR|2VULN|1MLV|1CDMG	1DUR|2MLV|3aRCR|4TLV|59VULN|6CDMG|7RCVC|8DUST
35	11122 24253	   	259.11	ACR|DCR|2VULN|1MLV|1CDMG	1DUR|2MLV|3aRCR|47TLV|59VULN|6CDMG|8DUST
36	11125 51253	   	259.01	ACR|DCR|2VULN|1MLV|1CDMG	1DUR|2MLV|3aRCR|4TLV|58DUST|6CDMG|79VULN
37	11142 62263	 * 	258.77	ACR|DCR|1VULN|3DUR|1DMG|1MLV|1RPLT	146DUR|2MLV|37RCR|5DMG|8VULN|9RPLT|aBELT
38	11142 62253	   	258.67	ACR|DCR|1VULN|3DUR|1DMG|1MLV|1AART	146DUR|2MLV|37RCR|5DMG|8VULN|9DUST|aAART
39	11142 62261	   	258.67	ACR|DCR|1VULN|3DUR|1DMG|1MLV|1RPLT	146DUR|2MLV|37RCR|5DMG|8VULN|9RPLT|aCANSTR
40	11142 62262	   	258.67	ACR|DCR|1VULN|3DUR|1DMG|1MLV|1RPLT	146DUR|2MLV|37RCR|5DMG|8VULN|9RPLT|aDUST
