0	Index      	 *	Score 	Summary	Detail	
1	21111 63536	 * 	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6aVULN|7LHND|8MLV|9RCR
20	36111 62532	   	272.83	DCR|2TLV|1LIT|1VULN|1MLV|1ASPD	1LIT|25CGEN|35TLV|4BBNT|5BPWR|6VULN|7DUR|8MLV|9RCR|aASPD
21	36112 42532	   	272.73	DCR|2TLV|1LIT|1VULN|1MLV|1ASPD	1LIT|2CGEN|36TLV|4BBNT|5VULN|7DUR|8MLV|9RCR|aASPD
22	21123 35636	   	271.87	DCR|3LIT|2VULN|2TLV	1aERES|25aLIT|35TLV|4LEGI|5aBPWR|6FEWX|7BELT|8RCR|9aVULN
23	32253 32345	   	270.81	DCR|2VULN|2TLV|2LIT	1aLIT|2MDPS|3aTLV|4MGNSTR|5LHND|6RPLT|7AART|8RCR|9aVULN|aBPWR
24	32231 32345	   	270.71	DCR|2VULN|2TLV|2LIT	1aLIT|2MDPS|3aTLV|4LWND|5LSRHEA|6RPLT|7AART|8RCR|9aVULN|aBPWR
25	32236 32345	   	270.71	DCR|2VULN|2TLV|2LIT	1aLIT|2MDPS|3aTLV|4LWND|5TSLFST|6RPLT|7AART|8RCR|9aVULN|aBPWR
26	32263 32345	   	270.71	DCR|2VULN|2TLV|2LIT	1aLIT|2MDPS|3aTLV|4VENTOX|5LHND|6RPLT|7AART|8RCR|9aVULN|aBPWR
27	32211 32345	   	270.61	DCR|2VULN|2TLV|2LIT	1aLIT|2MDPS|3aTLV|4DUST|5LSRHEA|6RPLT|7AART|8RCR|9aVULN|aBPWR
28	31421 24263	   	270.40	DCR|3VULN|3LIT|2DMG|1CDMG	137LIT|2aLWND|4CDMG|5aDMG|68aVULN|9RCR|aBPWR
29	52126 43213	 * 	270.25	DCR|DCR|2VULN|1TLV	1AEFBLL|2GSSTOX|34VULN|5ERES|6FRZARM|7TBNT|89RCR|aTLV
30	52126 63213	   	270.15	DCR|DCR|2VULN|1TLV	1AEFBLL|2GSSTOX|34VULN|5ERES|6VENTOX|7TBNT|89RCR|aTLV
31	21111 63533	   	269.74	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7LHND|8MLV|9RCR|aBEXP
32	21111 64333	   	269.74	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8FEWX|9RCR|aBEXP
33	21111 64335	   	269.74	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8FEWX|9RCR|aDMSP
34	21111 64336	   	269.74	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8FEWX|9RCR|aCGEN
35	21111 64633	   	269.74	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8aBEXP|9RCR
36	21111 66533	   	269.74	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7FEWX|8MLV|9RCR|aBEXP
37	21111 63531	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7LHND|8MLV|9RCR|aBLASTR
38	21111 64331	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8FEWX|9RCR|aBLASTR
39	21111 64631	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8BEXP|9RCR|aBLASTR
40	21111 66531	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7FEWX|8MLV|9RCR|aBLASTR
41	21111 62533	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7DUST|8MLV|9RCR|aBEXP
42	21111 62535	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7DUST|8MLV|9RCR|aDMSP
43	21111 62536	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7DUST|8MLV|9RCR|aCGEN
44	21112 43534	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|2aLIT|36TLV|4BBNT|5VULN|7LHND|8MLV|9RCR
45	21112 44334	   	269.64	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|2aLIT|36TLV|4BBNT|5VULN|7MLV|8FEWX|9RCR
46	21111 62531	   	269.54	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7DUST|8MLV|9RCR|aBLASTR
47	21112 42534	   	269.54	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|2aLIT|36TLV|4BBNT|5VULN|7DUST|8MLV|9RCR
48	36112 22534	   	268.24	DCR|2VULN|2LIT|1TLV|1MLV	1aLIT|2CGEN|3TLV|4BBNT|56VULN|7DUR|8MLV|9RCR
49	21123 61253	   	267.53	DCR|3LIT|2TLV|1VULN|1ASPD	1ERES|25aLIT|35TLV|4LEGI|5BPWR|6RPLT|7ASPD|8RCR|9VULN
