0	Index      	 *	Score 	Summary	Detail	
1	26622 23252	 * 	280.56	ACR|DCR|2VULN|2LIT|1TLV	1aLHND|29RCR|3aLIT|4ZMB|5BELT|6TLV|7aVULN|8AAC|aBPWR
33	51363 32433	   	258.23	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1BBNT	1MGNLIT|29VULN|3DMG|4TLV|5BBNT|6MLV|7LIT|8RCR|aAEFBLL
34	15113 41513	   	257.73	DCR|2TLV|1LIT|1VULN|1MLV|1DUR	1DUR|2LIT|35TLV|4RCVC|6AART|7ZMB|8RCR|9VULN|aMLV
35	52355 12131	   	257.48	DCR|2VULN|1TLV|1LIT|1MLV|1ASPD|1DUR	1MGNLIT|2ASPD|3DUR|45VULN|6MLV|7LIT|8RCR|9TBNT|aTLV
36	51231 23215	   	257.23	DCR|2VULN|2LIT|1TLV|1MLV	1MGNLIT|25VULN|35LIT|4BELT|5BPWR|6MDPS|7RCR|8TLV|9MLV|aRPLT
37	51115 48421	   	257.13	DCR|2VULN|2LIT|1TLV|1MLV	1MGNLIT|23VULN|4RPLT|5MBVNT|6TLV|7MLV|89LIT|aRCR
38	51231 23223	   	256.89	DCR|3LIT|2VULN|1TLV	1MGNLIT|25VULN|35aLIT|4BELT|5BPWR|6MDPS|7RCR|8TLV|9TBNT
39	51261 22431	   	256.86	DCR|2VULN|2LIT|1TLV|1CDMG|1BBNT	1MGNLIT|25VULN|37LIT|4CDMG|6CGEN|8TLV|9RCR|aBBNT
40	51142 23152	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1BBNT	1MGNLIT|23VULN|4LIT|5LHND|6TLV|7ASPD|8RCR|9DMG|aBBNT
41	51143 23151	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|23VULN|4LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aBEXP
42	51222 23152	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1BBNT	1MGNLIT|24VULN|3LIT|5LHND|6TLV|7ASPD|8RCR|9DMG|aBBNT
43	51223 23151	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aBEXP
44	51223 23154	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aCGEN
45	51223 23155	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aLWND
46	51223 23156	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aBELT
47	51223 66132	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6DMG|7RCR|8LHND|9TLV|aASPD
48	51223 66232	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6DMG|7RCR|8FEWX|9TLV|aASPD
49	51143 23153	   	256.51	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|23VULN|4LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aCANARM
50	51223 23153	   	256.51	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aCANARM
51	16131 21253	   	256.41	ACR|DCR|2TLV|1VULN|2AART|1DUR	1DUR|2aRCR|3FEWX|49AART|5RPLT|67TLV|8VULN
52	51231 23155	   	255.69	DCR|3VULN|2LIT|1TLV	1MGNLIT|25aVULN|35LIT|4BELT|5BPWR|6MDPS|7RCR|8FEWX|9TLV
53	51231 23245	   	255.69	DCR|3VULN|2LIT|1TLV	1MGNLIT|25aVULN|35LIT|4BELT|5BPWR|6MDPS|7RCR|8TLV|9LHND
54	51231 26318	   	255.59	DCR|3VULN|2LIT|1TLV	1MGNLIT|257VULN|35LIT|4BELT|5BPWR|6MDPS|8RCR|9MBVNT|aTLV
55	15165 13221	 * 	255.18	DCR|2TLV|2LIT|1MLV|2DUR|1BBNT	18DUR|27LIT|38TLV|48CGEN|5BBNT|6MBVNT|8BPWR|9RCR|aMLV
56	15165 13222	 * 	255.08	DCR|2TLV|2LIT|1VULN|2DUR|1BBNT	18DUR|27LIT|38TLV|48CGEN|5BBNT|6MBVNT|8BPWR|9RCR|aVULN
57	15135 13221	   	254.98	DCR|2TLV|2LIT|1MLV|2DUR|1BBNT	18DUR|27LIT|38TLV|48ERES|5BBNT|6MBVNT|8BPWR|9RCR|aMLV
58	15155 13221	   	254.98	DCR|2TLV|2LIT|1MLV|2DUR|1BBNT	18DUR|27LIT|38TLV|48AME|5BBNT|6MBVNT|8BPWR|9RCR|aMLV
59	51133 62251	   	254.90	DCR|3VULN|1TLV|1LIT|1DUR|1BBNT	19MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|89FEWX|9BPWR|aTLV
60	15135 13222	   	254.88	DCR|2TLV|2LIT|1VULN|2DUR|1BBNT	18DUR|27LIT|38TLV|48ERES|5BBNT|6MBVNT|8BPWR|9RCR|aVULN
61	15155 13222	   	254.88	DCR|2TLV|2LIT|1VULN|2DUR|1BBNT	18DUR|27LIT|38TLV|48AME|5BBNT|6MBVNT|8BPWR|9RCR|aVULN
62	51133 22432	   	254.70	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|aCGEN
63	51133 22435	   	254.70	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|aBEXP
64	51133 62132	   	254.70	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|aCGEN
65	51133 62135	   	254.70	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|aBEXP
66	51133 62261	   	254.70	DCR|3VULN|1TLV|1LIT|1DUR|1BBNT	1MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|8FEWX|aTLV
67	51223 24432	   	254.70	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|249VULN|3LIT|5DUR|6TLV|7BBNT|8RCR|aCGEN
68	51133 22431	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|aVENTOX
69	51133 22433	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|aAEFBLL
70	51133 22434	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|aSNITOX
71	51133 22436	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|aAME
72	51133 62131	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|aVENTOX
73	51133 62133	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|aAEFBLL
74	51133 62134	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|aSNITOX
75	51133 62136	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|239VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|aAME
76	51223 24431	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|249VULN|3LIT|5DUR|6TLV|7BBNT|8RCR|aVENTOX
77	51223 24433	   	254.60	DCR|3VULN|1TLV|1LIT|1BBNT|1DUR	1MGNLIT|249VULN|3LIT|5DUR|6TLV|7BBNT|8RCR|aAEFBLL
78	51133 22643	   	254.51	DCR|2VULN|1TLV|1LIT|1ASPD|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6TLV|7LIT|8ASPD|9RPLT|aRCR
79	51223 23643	   	254.51	DCR|2VULN|1TLV|1LIT|1ASPD|1DUR|1BBNT	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8BBNT|9RPLT|aRCR
80	16131 24263	   	254.23	ACR|DCR|2VULN|1TLV|1DUR	1DUR|2aRCR|3FEWX|4AART|5RPLT|6TLV|7RCVC|89VULN
81	51335 12131	   	254.23	DCR|2VULN|1TLV|1LIT|1MLV|1DMG	1MGNLIT|25VULN|3DMG|4LHND|6MLV|7LIT|8RCR|9TBNT|aTLV
82	51355 12131	   	254.13	DCR|2VULN|1TLV|1LIT|1MLV|1DMG	1MGNLIT|25VULN|3DMG|4DUST|6MLV|7LIT|8RCR|9TBNT|aTLV
83	26622 23253	   	253.91	ACR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|29RCR|3LIT|4ZMB|5BELT|6TLV|7VULN|8AAC|aDMG
84	35325 11532	 * 	253.31	DCR|2TLV|2LIT|1VULN|1DMG	14ERES|2TBNT|34TLV|4BPWR|5aLIT|6DMG|7MDPS|8VULN|9RCR
85	51341 31421	 * 	253.20	DCR|2LIT|1TLV|2DMG|1VULN	1MGNLIT|2VULN|34DMG|5TLV|6RPLT|7MBVNT|89LIT|aRCR
86	51133 22411	   	253.10	DCR|2VULN|2TLV|1LIT|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6aTLV|7LIT|8RCR|9ZMB
87	51133 62111	   	253.10	DCR|2VULN|2TLV|1LIT|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6RCR|7LIT|8aTLV|9ZMB
88	51223 24411	   	253.10	DCR|2VULN|2TLV|1LIT|1DUR|1BBNT	1MGNLIT|24VULN|3LIT|5DUR|6aTLV|7BBNT|8RCR|9ZMB
89	51142 23131	   	252.99	DCR|2VULN|2TLV|1LIT|1ASPD	1MGNLIT|23VULN|4LIT|5LHND|6aTLV|7ASPD|8RCR|9TBNT
90	51222 23131	   	252.99	DCR|2VULN|2TLV|1LIT|1ASPD	1MGNLIT|24VULN|3LIT|5LHND|6aTLV|7ASPD|8RCR|9TBNT
91	35322 56331	 * 	252.98	DCR|2VULN|2TLV|1MLV|1CDMG	14ERES|2TBNT|34TLV|4BPWR|5CGEN|6aVULN|7CDMG|8RCR|9MLV
92	15122 15432	   	252.77	DCR|2VULN|2LIT|1TLV|1BBNT|1DUR	1DUR|25LIT|3TLV|4MULHEA|6BBNT|79VULN|8RCR|aCGEN
93	15122 13435	   	252.77	DCR|2VULN|2LIT|1TLV|1BBNT|1DUR	1DUR|25LIT|3TLV|4MULHEA|6BBNT|7LHND|8RCR|9aVULN
94	16624 31311	 * 	252.76	ACR|2TLV|2LIT|1VULN|1MLV|1DMG|1DUR	1DUR|2RCR|3aLIT|4LWND|5MLV|6VULN|79TLV|8DMG
95	16634 31311	   	252.76	ACR|2TLV|2LIT|1VULN|1MLV|1DMG|1DUR	1DUR|2RCR|3aLIT|4BEXP|5MLV|6VULN|79TLV|8DMG
96	26614 31311	   	252.76	ACR|2TLV|2LIT|1VULN|1MLV|1DMG|1DUR	1LHND|2RCR|3aLIT|4DUR|5MLV|6VULN|79TLV|8DMG
97	15122 15431	   	252.67	DCR|2VULN|2LIT|1TLV|1BBNT|1DUR	1DUR|25LIT|3TLV|4MULHEA|6BBNT|79VULN|8RCR|aVENTOX
98	15122 15433	   	252.67	DCR|2VULN|2LIT|1TLV|1BBNT|1DUR	1DUR|25LIT|3TLV|4MULHEA|6BBNT|79VULN|8RCR|aAEFBLL
99	16462 23322	 * 	252.63	ACR|DCR|2LIT|1VULN|1DMG|1CDMG|1DUR|1BBNT	1DUR|27RCR|3ZMB|4CDMG|5aLIT|6DMG|8VULN|9BBNT
100	51133 22415	   	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|9ZMB|aDMG
101	51133 22425	   	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6TLV|7LIT|8RCR|9CGEN|aDMG
102	51133 62115	   	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|9ZMB|aDMG
103	51133 62125	   	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6RCR|7LIT|8TLV|9CGEN|aDMG
104	51133 62511	   	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6RCR|7LIT|8DMG|9ZMB|aTLV
105	51133 62521	   	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1MGNLIT|23VULN|4DUR|5BBNT|6RCR|7LIT|8DMG|9CGEN|aTLV
106	51223 26152	   	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7AAC|8RCR|9DMG|aBBNT
107	51142 23132	   	252.51	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD	1MGNLIT|23VULN|4LIT|5LHND|6TLV|7ASPD|8RCR|9TBNT|aDMG
108	51222 23132	   	252.51	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD	1MGNLIT|24VULN|3LIT|5LHND|6TLV|7ASPD|8RCR|9TBNT|aDMG
109	43334 23351	 * 	252.34	DCR|DCR|1TLV|1VULN|1CDMG	14ZMB|2ERES|3FEWX|5RCVC|6CDMG|7TLV|8aRCR|9VULN
110	43332 23351	   	252.24	DCR|DCR|1TLV|1VULN|1CDMG	14ZMB|25ERES|3FEWX|6CDMG|7TLV|8aRCR|9VULN
111	51231 23152	   	251.33	DCR|3LIT|2VULN|1TLV	1MGNLIT|25VULN|35aLIT|4BELT|5BPWR|6MDPS|7RCR|8FEWX|9TLV
112	51231 23242	   	251.33	DCR|3LIT|2VULN|1TLV	1MGNLIT|25VULN|35aLIT|4BELT|5BPWR|6MDPS|7RCR|8TLV|9LHND
113	35321 33621	 * 	251.12	DCR|3LIT|2TLV|1MLV	145ERES|2TBNT|34TLV|4BPWR|679LIT|8RCR|aMLV
114	51341 52131	 * 	250.78	DCR|2TLV|2DMG|1LIT|1VULN	1MGNLIT|2VULN|34DMG|5aTLV|6BEXP|7LIT|8RCR|9TBNT
115	23253 42532	   	250.72	DCR|2LIT|1TLV|1VULN|1DMG|1ASPD|1BBNT	1LHND|2BBNT|3BEXP|4ASPD|5TLV|6DMG|7aLIT|8VULN|9RCR
116	51223 46131	   	250.59	DCR|3VULN|1TLV|1LIT|1DUR	1MGNLIT|247VULN|3LIT|5DUR|6BEXP|8RCR|9TBNT|aTLV
