0	Index      	 *	Score 	Summary	Detail	
1	35361 13512	 * 	308.73	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD	1TLV|2ERES|3MDPS|4ASPD|5AEBURN|69RCR|7DUR|8VULN|aDMG
23	13232 43237	 * 	290.67	DCR|2TLV|2VULN|3DUR|1DMG|1ASPD	139DUR|2ASPD|49TLV|5LHND|6DMG|7MBVNT|89VULN|9BPWR|aRCR
24	31632 22144	   	290.21	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1TLV|2BEXP|3CDMG|4AART|5LWND|6RPLT|7VULN|89RCR|aDMG
25	31633 22144	   	290.11	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1TLV|2BEXP|3CDMG|4AART|5LEGI|6RPLT|7VULN|89RCR|aDMG
26	31363 13512	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2BEXP|3ERES|4ASPD|5LHND|69RCR|7DUR|8VULN|aDMG
27	31561 13512	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2BEXP|3MLV|4ASPD|5DUR|69RCR|7DUST|8VULN|aDMG
28	31562 13212	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2BEXP|3MLV|4ASPD|5VULN|69RCR|7DUST|8DUR|aDMG
29	34363 13512	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FEWX|3ERES|4ASPD|5LHND|69RCR|7DUR|8VULN|aDMG
30	34562 13212	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FEWX|3MLV|4ASPD|5VULN|69RCR|7DUST|8DUR|aDMG
31	35163 13512	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2ERES|3BEXP|4ASPD|5LHND|69RCR|7DUR|8VULN|aDMG
32	36321 15511	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3RMIN|4DMG|5DUR|69RCR|7BEXP|8VULN|aCDMG
33	36322 15211	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3RMIN|4DMG|5VULN|69RCR|7BEXP|8DUR|aCDMG
34	35361 13513	   	288.67	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1TLV|2ERES|3MDPS|4ASPD|5AEBURN|69RCR|7DUR|8VULN|aBEXP
35	36321 13511	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3RMIN|4DMG|5DUR|69RCR|7DUST|8VULN|aCDMG
36	36322 13211	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3RMIN|4DMG|5VULN|69RCR|7DUST|8DUR|aCDMG
37	36521 13511	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3MLV|4DMG|5DUR|69RCR|7DUST|8VULN|aCDMG
38	32242 21346	   	286.21	DCR|3TLV|2VULN|2ASPD	138TLV|2BELT|38BPWR|4RAT|5RPLT|68VULN|78ASPD|9RCR|aDUR
39	46131 22243	   	285.93	DCR|DCR|1TLV|1AEFBLL|1DMG|1ASPD|1CDMG|1AART|1SELL	1LIT|2AART|3DMG|4ASPD|5SELL|6TLV|79RCR|8AEFBLL|aCDMG
40	33312 12614	 * 	285.62	ACR|3VULN|2TLV|1AEBURN|1AART	19TLV|29LIT|38AME|4AART|5RCR|6AEBURN|79aVULN|9BPWR
41	31214 64122	   	285.06	DCR|4VULN|2TLV	16TLV|2BEXP|3DUR|4MDPS|567aVULN|6BPWR|8RMIN|9RCR
42	35123 12622	   	285.06	DCR|4VULN|2TLV	17TLV|2ERES|37BEXP|467aVULN|5MDPS|7BPWR|8DUR|9RCR
43	31323 12622	   	284.96	DCR|4VULN|2TLV	17TLV|2BEXP|37ERES|467aVULN|5MDPS|7BPWR|8DUR|9RCR
44	34323 12622	   	284.96	DCR|4VULN|2TLV	17TLV|2FEWX|37ERES|467aVULN|5MDPS|7BPWR|8DUR|9RCR
45	31266 13512	   	284.91	DCR|DCR|2VULN|1TLV	1TLV|2BEXP|3DUR|4CGEN|5AAC|69RCR|7DUST|8aVULN
46	31526 13212	   	284.91	DCR|DCR|2VULN|1TLV	1TLV|2BEXP|3MLV|4aVULN|5AAC|69RCR|7DUST|8DUR
47	34526 13212	   	284.91	DCR|DCR|2VULN|1TLV	1TLV|2FEWX|3MLV|4aVULN|5AAC|69RCR|7DUST|8DUR
48	31336 13512	   	284.91	DCR|DCR|2VULN|1TLV	1TLV|2BEXP|3ERES|4FEWX|5AAC|69RCR|7DUR|8aVULN
49	31346 13512	   	284.91	DCR|DCR|2VULN|1TLV	1TLV|2BEXP|3ERES|4LHND|5AAC|69RCR|7DUR|8aVULN
50	35136 13512	   	284.91	DCR|DCR|2VULN|1TLV	1TLV|2ERES|3BEXP|4FEWX|5AAC|69RCR|7DUR|8aVULN
51	31316 13512	   	284.81	DCR|DCR|2VULN|1TLV	1TLV|2BEXP|3ERES|4LEGI|5AAC|69RCR|7DUR|8aVULN
52	34316 13512	   	284.81	DCR|DCR|2VULN|1TLV	1TLV|2FEWX|3ERES|4LEGI|5AAC|69RCR|7DUR|8aVULN
53	35116 13512	   	284.81	DCR|DCR|2VULN|1TLV	1TLV|2ERES|3BEXP|4LEGI|5AAC|69RCR|7DUR|8aVULN
54	36332 16353	   	284.65	DCR|3VULN|2TLV|2CDMG|2ZMB	1aTLV|2LEGI|3RMIN|49ZMB|58aVULN|6RCR|7aCDMG|aBPWR
55	46112 33623	   	284.14	DCR|2TLV|2VULN|1DMG|1ASPD|1AART	19LIT|2AART|3DMG|49TLV|5DUR|6ERES|7RCR|89VULN|9BPWR|aASPD
56	35361 11612	   	283.77	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD|1MSE	1TLV|2ERES|3MDPS|4ASPD|5AEBURN|69RCR|7MSE|8VULN|aDMG
57	32242 21343	   	283.16	DCR|3TLV|2VULN|2ASPD|2RAT	138TLV|2BELT|38BPWR|4aRAT|5RPLT|68VULN|78ASPD|9RCR
58	36323 15512	   	283.04	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3RMIN|4aDMG|5LHND|69RCR|7BEXP|8VULN
59	36322 13612	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3RMIN|4aDMG|5VULN|69RCR|7DUST|8BEXP
60	36323 13512	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3RMIN|4aDMG|5LHND|69RCR|7DUST|8VULN
61	36523 13512	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3MLV|4aDMG|5LHND|69RCR|7DUST|8VULN
62	31363 13511	   	282.35	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TLV|2BEXP|3ERES|4ASPD|5LHND|69RCR|7DUR|8VULN|aCDMG
63	31561 13511	   	282.35	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TLV|2BEXP|3MLV|4ASPD|5DUR|69RCR|7DUST|8VULN|aCDMG
64	31562 13211	   	282.35	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TLV|2BEXP|3MLV|4ASPD|5VULN|69RCR|7DUST|8DUR|aCDMG
65	34363 13511	   	282.35	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TLV|2FEWX|3ERES|4ASPD|5LHND|69RCR|7DUR|8VULN|aCDMG
66	34562 13211	   	282.35	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TLV|2FEWX|3MLV|4ASPD|5VULN|69RCR|7DUST|8DUR|aCDMG
67	35163 13511	   	282.35	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TLV|2ERES|3BEXP|4ASPD|5LHND|69RCR|7DUR|8VULN|aCDMG
68	36333 15512	   	282.19	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3RMIN|4ZMB|5LHND|69RCR|7BEXP|8aVULN
69	36332 13612	   	282.09	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3RMIN|4ZMB|5aVULN|69RCR|7DUST|8BEXP
70	36333 13512	   	282.09	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3RMIN|4ZMB|5LHND|69RCR|7DUST|8aVULN
71	36533 13512	   	282.09	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3MLV|4ZMB|5LHND|69RCR|7DUST|8aVULN
72	36332 16333	   	281.36	DCR|3VULN|2TLV|2CDMG	1aTLV|2LEGI|3RMIN|4ZMB|58aVULN|6RCR|7aCDMG|9DMSP|aBPWR
73	31213 34632	   	280.10	DCR|3VULN|2TLV|2DUR	19TLV|29BEXP|36DUR|4MDPS|5ZMB|79aVULN|8RCR|9BPWR
74	34213 34632	   	280.10	DCR|3VULN|2TLV|2DUR	19TLV|29FEWX|36DUR|4MDPS|5ZMB|79aVULN|8RCR|9BPWR
75	31213 14635	   	280.07	DCR|3TLV|2VULN|1AEPOI	179TLV|29BEXP|3DUR|4MDPS|5ZMB|69VULN|8RCR|9BPWR|aAEPOI
76	31213 54632	   	280.00	DCR|3VULN|2TLV|2DUR	19TLV|2BEXP|39DUR|4MDPS|5ZMB|6AEWIND|79aVULN|8RCR|9BPWR
77	35316 11612	   	279.91	DCR|DCR|2VULN|1TLV|1AEBURN|1MSE	1TLV|2ERES|3MDPS|4AEBURN|5AAC|69RCR|7MSE|8aVULN
78	31631 22142	   	279.80	DCR|DCR|1TLV|1VULN|1CDMG|1AART	1TLV|2BEXP|3CDMG|4AART|5DUR|6RPLT|7VULN|89RCR|aLIT
79	31631 22141	   	279.70	DCR|DCR|1TLV|1VULN|1CDMG|1AART	1TLV|2BEXP|3CDMG|4AART|5DUR|6RPLT|7VULN|89RCR|aDUST
80	31631 22143	   	279.70	DCR|DCR|1TLV|1VULN|1CDMG|1AART	1TLV|2BEXP|3CDMG|4AART|5DUR|6RPLT|7VULN|89RCR|aMBVNT
81	31631 22146	   	279.70	DCR|DCR|1TLV|1VULN|1CDMG|1AART	1TLV|2BEXP|3CDMG|4AART|5DUR|6RPLT|7VULN|89RCR|aSNIFST
82	41212 11414	   	279.38	ACR|3VULN|1TLV|1AEBURN|2CDMG|1AART	1aLIT|2DMSP|37aVULN|4AART|5RCR|6TLV|8AEBURN|9aCDMG|aBPWR
83	31563 13512	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2BEXP|3MLV|4ASPD|5LHND|69RCR|7DUST|8VULN|aDMG
84	36323 15511	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3RMIN|4DMG|5LHND|69RCR|7BEXP|8VULN|aCDMG
85	36322 13611	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3RMIN|4DMG|5VULN|69RCR|7DUST|8BEXP|aCDMG
86	36323 13511	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3RMIN|4DMG|5LHND|69RCR|7DUST|8VULN|aCDMG
87	36523 13511	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2LEGI|3MLV|4DMG|5LHND|69RCR|7DUST|8VULN|aCDMG
