0	Index      	 *	Score 	Summary	Detail	
1	51321 73153	 * 	285.29	DCR|DCR|2DMG|1VULN|1MLV|1AART	1CGEN|2MBVNT|3TLV|4VULN|5AART|69DMG|7aRCR|8MLV
17	22512 13242	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9ASPD|aFEWX
18	22512 13244	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9ASPD|aLWND
19	22512 13245	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9ASPD|aCGEN
20	22512 13246	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9ASPD|aLHND
21	22512 13241	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9ASPD|aERES
22	24423 21133	   	263.92	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMSP|2DMG|3BEXP|4TLV|5AART|6ASPD|7aRCR|8AAC|9VULN
23	51321 33833	   	263.01	DCR|DCR|1VULN|2MLV|1AART|1ZMB	1CGEN|2MBVNT|3TLV|4VULN|5AART|69MLV|7aRCR|8ZMB
24	42531 33273	   	262.37	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2LHND|3DUR|4VULN|5BEXP|6DMG|7MBVNT|8aRCR|9CDMG
25	61151 33273	   	262.37	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2DUR|3LHND|4VULN|5ERES|6DMG|7MBVNT|8aRCR|9CDMG
26	61153 33273	   	262.37	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2DUR|3LHND|4VULN|5AME|6DMG|7MBVNT|8aRCR|9CDMG
27	22512 13213	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1DMSP|2aLIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9RPLT
28	22512 13214	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9RPLT|aAAC
29	22512 13215	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9RPLT|aBEXP
30	22512 13253	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9RCVC|aAART
31	22512 13211	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9RPLT|aDUST
32	22512 13212	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9RPLT|aERES
33	51321 43183	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	19CGEN|2MBVNT|3TLV|4VULN|5AART|6ASPD|7aRCR|8MLV
34	22512 13221	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9DUR|aLWND
35	22512 13222	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9DUR|aCGEN
36	22512 13225	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9DUR|aFEWX
37	22512 13251	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9RCVC|aDUR
38	22542 14233	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4CGEN|5VULN|68RCR|7DUR|9LHND|aMLV
39	22512 13223	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9DUR|aMSE
40	22512 13263	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9NUKE|aDUR
41	22512 13261	   	258.57	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9NUKE|aERES
42	22512 13262	   	258.57	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9NUKE|aFEWX
43	22512 13264	   	258.57	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9NUKE|aLWND
44	22512 13265	   	258.57	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9NUKE|aCGEN
45	22512 13266	   	258.57	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9NUKE|aLHND
46	24323 11133	   	258.48	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2DMG|3DUR|4TLV|5AART|6NUKE|7aRCR|8AAC|9VULN
47	33134 13644	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MBVNT|45VULN|6AART|7MDPS|8LHND|9aRCR
48	33134 13744	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MBVNT|45VULN|6AART|7MDPS|8LWND|9aRCR
49	33136 83114	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MBVNT|48VULN|5MDPS|6AART|7aRCR|9BEXP
50	33136 83154	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MBVNT|48VULN|5MDPS|6AART|7aRCR|9LHND
51	33136 83184	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MBVNT|48VULN|5MDPS|6AART|7aRCR|9LWND
52	33324 83114	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MDPS|4MBVNT|58VULN|6AART|7aRCR|9BEXP
53	33324 83154	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MDPS|4MBVNT|58VULN|6AART|7aRCR|9LHND
54	33324 83184	   	257.99	DCR|DCR|2VULN|1AART	1TBNT|2DUST|3MDPS|4MBVNT|58VULN|6AART|7aRCR|9LWND
55	23612 53732	   	257.90	DCR|DCR|2DMG|1VULN	1DMSP|2VENICY|3MDPS|4LWND|5MBVNT|6VULN|78DMG|9aRCR
56	41881 21333	   	257.85	DCR|DCR|1VULN|1DMG|2AART	1ERES|2MBVNT|3LHND|4DMG|58AART|6RCVC|7aRCR|9VULN
57	41881 41333	   	257.75	DCR|DCR|1VULN|1DMG|2AART	16ERES|2MBVNT|3LHND|4DMG|58AART|7aRCR|9VULN
58	24345 23232	 * 	256.00	DCR|3VULN|2DMG|2ASPD	1DMSP|27DMG|3DUR|4BBNT|57ASPD|679VULN|7BPWR|8RCR|aLWND
59	24345 23233	   	256.00	DCR|3VULN|2DMG|2ASPD	1DMSP|27DMG|3DUR|4BBNT|57ASPD|679VULN|7BPWR|8RCR|aAAC
60	41611 23273	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1ERES|2MBVNT|3DUR|4LWND|5BEXP|6ASPD|7VULN|8aRCR|9CDMG
61	41631 21273	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1ERES|2MBVNT|3DUR|4VULN|5BEXP|6ASPD|7LWND|8aRCR|9CDMG
62	24345 23231	   	255.90	DCR|3VULN|2DMG|2ASPD	1DMSP|27DMG|3DUR|4BBNT|57ASPD|679VULN|7BPWR|8RCR|aERES
63	41623 23273	   	255.86	DCR|DCR|1VULN|1ASPD|1CDMG	1ERES|2MBVNT|3DUR|4DUST|5LWND|6ASPD|7VULN|8aRCR|9CDMG
64	41624 21273	   	255.86	DCR|DCR|1VULN|1ASPD|1CDMG	1ERES|2MBVNT|3DUR|4DUST|5VULN|6ASPD|7LWND|8aRCR|9CDMG
65	32136 83364	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1TBNT|2DUR|3MBVNT|4VULN|5MDPS|6AART|7aRCR|8CGEN|9MLV
66	32342 83364	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1TBNT|2DUR|3MDPS|4VULN|5MBVNT|6AART|7aRCR|8CGEN|9MLV
67	31132 43745	   	255.70	DCR|DCR|1VULN|1MLV|1AART|1SELL	1TBNT|2LHND|3MBVNT|4VULN|5SELL|6aRCR|7MLV|8AART|9DUR
