0	Index      	 *	Score 	Summary	Detail	
1	41231 24316	 * 	280.10	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUR|2CGEN|3VULN|4DMG|5CDMG|6MLV|7BELT|8FEWX|9aRCR
16	51513 22116	   	262.57	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2FEWX|34LHND|5BELT|6CDMG|7DUR|8VULN|9aRCR
17	56233 31353	   	258.76	DCR|DCR|2DMG|1ASPD|1CDMG	14DMG|2SPLJET|3ASPD|5RMIN|6DUR|7aRCR|8CDMG|9BEXP
18	56233 31313	   	258.66	DCR|DCR|2DMG|1ASPD|1CDMG	14DMG|2SPLJET|3ASPD|5RMIN|6DUR|7aRCR|8CDMG|9DUST
19	61513 22116	   	256.16	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2FEWX|34LHND|5BELT|6CDMG|7DUR|8VULN|9aRCR
20	42224 22116	   	256.06	DCR|DCR|1VULN|1ASPD|1CDMG	1DUR|2LWND|3DUST|4RCVC|5BELT|6ASPD|7CDMG|8VULN|9aRCR
21	56133 61122	 * 	254.53	DCR|3VULN|2DMG|2MLV	1aDMG|2SPLJET|35aVULN|4ERES|6CGEN|7RCR|8TBNT|9aMLV|aBPWR
22	56133 61322	   	254.53	DCR|3VULN|2DMG|2MLV	1aDMG|2SPLJET|35aVULN|4ERES|6CGEN|7RCR|8BBNT|9aMLV|aBPWR
23	56133 11122	   	254.43	DCR|3VULN|2DMG|2MLV	1aDMG|2SPLJET|35aVULN|4ERES|6AME|7RCR|8TBNT|9aMLV|aBPWR
24	56133 11322	   	254.43	DCR|3VULN|2DMG|2MLV	1aDMG|2SPLJET|35aVULN|4ERES|6AME|7RCR|8BBNT|9aMLV|aBPWR
25	51261 13132	   	254.26	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|25FEWX|3VULN|4LIT|6CDMG|7RCVC|89RCR|aCGEN
26	51261 13133	   	254.26	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|25FEWX|3VULN|4LIT|6CDMG|7RCVC|89RCR|aBBNT
27	51261 13135	   	254.26	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|25FEWX|3VULN|4LIT|6CDMG|7RCVC|89RCR|aLWND
28	51261 13131	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|25FEWX|3VULN|4LIT|6CDMG|7RCVC|89RCR|aERES
29	51261 13134	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|25FEWX|3VULN|4LIT|6CDMG|7RCVC|89RCR|aLEGI
30	51254 33332	 * 	251.20	DCR|4VULN|2DMG|1RPLT	17DMG|2FEWX|3579VULN|4RPLT|67DUST|7BPWR|8RCR|aRCVC
31	51254 33333	   	251.20	DCR|4VULN|2DMG|1RPLT	17DMG|2FEWX|3579VULN|4RPLT|67DUST|7BPWR|8RCR|aLWND
32	53413 52123	 * 	251.20	ACR|DCR|1VULN|1DMG|1MLV|1ASPD	1DMG|2TBNT|3ASPD|4LHND|5aRCR|6DUR|7VULN|8MLV|9AAC
33	51254 33331	   	251.10	DCR|4VULN|2DMG|1RPLT	17DMG|2FEWX|3579VULN|4RPLT|67DUST|7BPWR|8RCR|aAIRARM
