0	Index      	 *	Score 	Summary	Detail	
1	22623 33352	 * 	294.79	DCR|4VULN|3DMG|2CDMG|2AART	18CDMG|29AART|378aVULN|458DMG|6RCR|8BPWR
43	22624 33324	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART|1MSE	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TBNT|aMSE
44	22624 33331	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BELT|aERES
45	22624 33335	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BELT|aDUST
46	22624 33336	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART|1ZMB	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BELT|aZMB
47	22624 33361	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BBNT|aSPLJET
48	22624 33342	   	271.16	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9DUST|aMDPS
49	22624 33343	   	271.16	DCR|4VULN|2DMG|2CDMG|1AART|1ZMB	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9DUST|aZMB
50	22623 33411	 * 	269.51	DCR|2VULN|3DMG|2ASPD|2CDMG|1AART	1aCDMG|2AART|37VULN|45aDMG|6RCR|8BELT|9aASPD|aBPWR
51	53523 12122	 * 	267.67	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1RCVC|2ZMB|3VULN|4DMG|5CDMG|6ASPD|7LIT|8aRCR|9DMSP
52	22623 32362	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|38aVULN|458DMG|6RCR|7DMSP|8BPWR|9RCVC
53	22623 33322	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9BEXP|aFLTHEA
54	22623 33323	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9BEXP|aDMSP
55	22623 33325	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9BEXP|aLIT
56	22623 33326	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9BEXP|aAAC
57	22623 33332	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9LHND|aFLTHEA
58	22623 33335	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9LHND|aLIT
59	22623 33336	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9LHND|aAAC
60	22623 33363	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9RCVC|aFEWX
61	22623 33365	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9aRCVC
62	22623 36362	   	266.87	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|38aVULN|458DMG|6RCR|79RCVC|8BPWR
63	22623 33312	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MBVNT|aFLTHEA
64	22623 33313	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MBVNT|aDMSP
65	22623 33316	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MBVNT|aLIT
66	22623 33324	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART|1MSE	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9BEXP|aMSE
67	22623 33334	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART|1MSE	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9LHND|aMSE
68	22623 33343	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MDPS|aFEWX
69	22623 33345	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MDPS|aRCVC
70	22623 33346	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MDPS|aLIT
71	22623 33361	   	266.77	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9RCVC|aERES
72	22623 33314	   	266.67	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MBVNT|aAME
73	22623 33315	   	266.67	DCR|3VULN|3DMG|2CDMG|1AART|1MSE	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MBVNT|aMSE
74	22623 33317	   	266.67	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MBVNT|aMDPS
75	32211 34178	 * 	266.15	DCR|DCR|2VULN|1RPLT|1ZMB	1FEWX|2RPLT|3ZMB|4MBVNT|5DUR|6aRCR|7NUKE|89VULN
76	22624 32352	   	264.86	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	18CDMG|2AART|358VULN|48DMG|6RCR|7DMSP|8BPWR|9RCVC|aASPD
77	22625 33352	   	264.86	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	18CDMG|2AART|378VULN|48DMG|5DMSP|6RCR|8BPWR|9RCVC|aASPD
78	22623 32354	   	264.83	DCR|2VULN|3DMG|2CDMG|2AART|1ASPD	18CDMG|29AART|38VULN|458DMG|6RCR|7DMSP|8BPWR|aASPD
