0	Index      	 *	Score 	Summary	Detail	
1	61332 11453	 * 	252.19	DCR|4VULN|3ASPD|2DMG|2DUR	12aASPD|35DUR|456aVULN|5aBPWR|7aDMG|8RCR|9RMIN
28	61332 11426	   	224.45	DCR|3VULN|1MDPS|2ASPD|1DMG|2DUR	12ASPD|35DUR|456VULN|5BPWR|7DMG|8RCR|9LWND|aMDPS
29	62332 11411	   	224.16	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2AELBLL|3DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aRCVC
30	62332 11414	   	224.16	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2AELBLL|3DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aSPLJET
31	62332 11415	   	224.16	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2AELBLL|3DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aFEWX
32	62332 11416	   	224.16	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2AELBLL|3DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aRPLT
33	61432 11411	   	224.16	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	12ASPD|35FEWX|456VULN|5BPWR|7DMG|8RCR|9AART|aDUR
34	62432 11411	   	224.16	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2AELBLL|3FEWX|456VULN|5BPWR|7DMG|8RCR|9AART|aDUR
35	61331 11411	   	224.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	12ASPD|3DUR|456VULN|7DMG|8RCR|9AART|aRCVC
36	61331 11414	   	224.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	12ASPD|3DUR|456VULN|7DMG|8RCR|9AART|aSPLJET
37	61331 11415	   	224.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	12ASPD|3DUR|456VULN|7DMG|8RCR|9AART|aFEWX
38	61331 11416	   	224.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	12ASPD|3DUR|456VULN|7DMG|8RCR|9AART|aRPLT
39	61431 11411	   	224.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	12ASPD|3FEWX|456VULN|7DMG|8RCR|9AART|aDUR
40	62432 11433	   	222.69	DCR|3VULN|3ASPD|2DMG|1AAC	15aASPD|2aAELBLL|3FEWX|456VULN|5aBPWR|7aDMG|8RCR|9AAC
41	61431 21433	   	222.59	DCR|3VULN|3ASPD|2DMG|1AAC	12aASPD|36FEWX|45aVULN|7aDMG|8RCR|9AAC|aBPWR
