0	Index      	 *	Score 	Summary	Detail	
1	51431 62333	 * 	229.03	DCR|3VULN|1MDPS|3CDMG|1AART|1ASPD	136CDMG|237VULN|3BPWR|4AART|5ASPD|8ERES|9RCR|aMDPS
25	51451 13231	   	209.87	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|238VULN|3BPWR|4DMG|5LIT|6ASPD|7ZMB|9RCR|aCGEN
26	51451 13233	   	209.87	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|238VULN|3BPWR|4DMG|5LIT|6ASPD|7ZMB|9RCR|aBELT
27	51452 23231	   	209.87	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|238VULN|3BPWR|4DMG|5ASPD|6LIT|7ZMB|9RCR|aCGEN
28	51452 23233	   	209.87	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|238VULN|3BPWR|4DMG|5ASPD|6LIT|7ZMB|9RCR|aBELT
29	51451 13132	   	209.87	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|23aVULN|3BPWR|4DMG|58LIT|6ASPD|7ZMB|9RCR
30	51452 23132	   	209.87	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|23aVULN|3BPWR|4DMG|5ASPD|68LIT|7ZMB|9RCR
31	51151 13232	   	209.77	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|28aVULN|4DMG|5LIT|6ASPD|7ZMB|9RCR
32	51152 23232	   	209.77	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|28aVULN|4DMG|5ASPD|6LIT|7ZMB|9RCR
33	53651 13232	   	209.77	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	12CDMG|38aVULN|4DMG|5LIT|6ASPD|7ZMB|9RCR
34	53652 23232	   	209.77	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	12CDMG|38aVULN|4DMG|5ASPD|6LIT|7ZMB|9RCR
35	51131 62332	   	208.35	DCR|2VULN|2AART|3CDMG|1ASPD	136CDMG|27VULN|4aAART|5ASPD|8ERES|9RCR
36	51136 62332	 * 	208.35	DCR|2VULN|2AART|3CDMG|1DMG	136CDMG|27VULN|4aAART|5DMG|8ERES|9RCR
37	53631 62332	   	208.35	DCR|2VULN|2AART|3CDMG|1ASPD	126CDMG|37VULN|4aAART|5ASPD|8ERES|9RCR
38	51431 62123	   	208.30	DCR|3VULN|3CDMG|1AART|1ASPD	136CDMG|237VULN|3BPWR|4AART|5ASPD|8BEXP|9RMIN|aRCR
39	51431 62223	   	208.20	DCR|3VULN|3CDMG|1AART|1ASPD	136CDMG|237VULN|3BPWR|4AART|5ASPD|8DUST|9RMIN|aRCR
40	51431 62313	   	208.20	DCR|3VULN|3CDMG|1AART|1ASPD	136CDMG|237VULN|3BPWR|4AART|5ASPD|8ERES|9BEXP|aRCR
41	32136 63413	 * 	207.64	DCR|2DMG|3CDMG|1VULN|1AART|1ASPD	1LWND|236CDMG|4AART|57DMG|8VULN|9ASPD|aRCR
42	42131 62214	   	207.60	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|2DUR	19DUR|236CDMG|4AART|5ASPD|7VULN|8RCR|aDMG
43	51431 63211	   	206.12	DCR|2VULN|3CDMG|1AART|1ASPD|1AAC|1DUR	136CDMG|23VULN|3BPWR|4AART|5ASPD|7LWND|8RCR|9DUR|aAAC
44	51621 13431	   	206.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|24aVULN|3AME|5LIT|6ASPD|7ZMB|8AART|9RCR
45	51622 23431	   	206.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|24aVULN|3AME|5ASPD|6LIT|7ZMB|8AART|9RCR
46	51221 12431	   	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|24aVULN|3ZMB|5LIT|6ASPD|7ERES|8AART|9RCR
47	51222 22431	   	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|24aVULN|3ZMB|5ASPD|6LIT|7ERES|8AART|9RCR
48	51433 22341	   	205.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	13CDMG|23VULN|3BPWR|4AART|5CANSTR|6RPLT|7DMG|8ASPD|9RCR|aBEXP
49	51151 12431	   	205.28	DCR|2VULN|2CDMG|1AART|1ASPD|1DMG	13CDMG|2aVULN|4DMG|5LIT|6ASPD|7ERES|8AART|9RCR
50	51152 22431	   	205.28	DCR|2VULN|2CDMG|1AART|1ASPD|1DMG	13CDMG|2aVULN|4DMG|5ASPD|6LIT|7ERES|8AART|9RCR
51	51433 22343	   	205.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1MSE	13CDMG|23VULN|3BPWR|4AART|5CANSTR|6RPLT|7DMG|8ASPD|9RCR|aMSE
52	42131 62413	   	203.60	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|2DUR	18DUR|236CDMG|4AART|5ASPD|7VULN|9DMG|aRCR
53	52331 32433	   	203.25	DCR|3VULN|1AART|2CDMG|1ASPD	1aCDMG|2aCGEN|3ERES|4AART|5ASPD|68aVULN|7RPLT|9RCR|aBPWR
54	51411 12431	   	203.15	DCR|3VULN|2CDMG|1AART|1ASPD	13CDMG|23aVULN|3BPWR|4AME|5LIT|6ASPD|7ERES|8AART|9RCR
55	51412 22431	   	203.15	DCR|3VULN|2CDMG|1AART|1ASPD	13CDMG|23aVULN|3BPWR|4AME|5ASPD|6LIT|7ERES|8AART|9RCR
56	51431 63213	   	203.11	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	136CDMG|23VULN|3BPWR|4AART|5ASPD|7LWND|8RCR|9DUR|aRCVC
57	11413 42343	   	202.90	DCR|3VULN|3ASPD|1DMG	1MLV|247VULN|38aASPD|5DMG|6LIT|9RCR
58	32164 33125	 * 	202.89	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	19LWND|23CDMG|49DMG|5SELL|6RCVC|7AART|89VULN|9BPWR|aRCR
59	51431 63212	   	202.78	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	136CDMG|23VULN|3BPWR|4AART|5ASPD|7LWND|8RCR|9DUR|aRPLT
60	51431 63231	   	202.78	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	136CDMG|23VULN|3BPWR|4AART|5ASPD|79LWND|8RCR|aDUR
61	42131 62234	   	202.36	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	1DUR|236CDMG|4AART|5ASPD|7VULN|8RCR|9BEXP|aDMG
62	32131 62214	   	202.36	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	1LWND|236CDMG|4AART|5ASPD|7VULN|8RCR|9DUR|aDMG
63	51131 63214	   	202.36	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	136CDMG|2VULN|4AART|5ASPD|7LWND|8RCR|9DUR|aDMG
64	53331 62214	   	202.36	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	126CDMG|3LWND|4AART|5ASPD|7VULN|8RCR|9DUR|aDMG
65	51221 12435	 * 	202.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1CDMG|24VULN|3ZMB|5LIT|6aASPD|7ERES|8AART|9RCR
66	51222 22435	   	202.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1CDMG|24VULN|3ZMB|5aASPD|6LIT|7ERES|8AART|9RCR
67	62131 62214	   	202.26	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	1DUST|236CDMG|4AART|5ASPD|7VULN|8RCR|9DUR|aDMG
68	42131 62224	   	202.26	DCR|3CDMG|1AART|1VULN|1ASPD|1DMG|1DUR	1DUR|236CDMG|4AART|5ASPD|7VULN|8RCR|9LEGI|aDMG
69	51131 62333	   	201.64	DCR|2VULN|1MDPS|3CDMG|1AART|1ASPD	136CDMG|27VULN|4AART|5ASPD|8ERES|9RCR|aMDPS
70	51136 62333	 * 	201.64	DCR|2VULN|1MDPS|3CDMG|1AART|1DMG	136CDMG|27VULN|4AART|5DMG|8ERES|9RCR|aMDPS
71	53631 62333	   	201.64	DCR|2VULN|1MDPS|3CDMG|1AART|1ASPD	126CDMG|37VULN|4AART|5ASPD|8ERES|9RCR|aMDPS
72	42631 11212	 * 	201.12	DCR|2AART|1VULN|1ASPD|3DUR|1CDMG	137DUR|2CDMG|46AART|5ASPD|8RCR|9SPLREG|aVULN
73	42636 11212	 * 	201.12	DCR|2AART|1VULN|1DMG|3DUR|1CDMG	137DUR|2CDMG|46AART|5DMG|8RCR|9SPLREG|aVULN
74	53122 56111	 * 	200.49	DCR|3DMG|2ASPD|3CDMG|1ZMB	128CDMG|3RPLT|4LWND|58ASPD|678DMG|8BPWR|9ZMB|aRCR
75	52331 36512	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2CGEN|3ERES|4AART|5ASPD|6VULN|7RCR|8DUR|9DMG|aZMB
76	51321 14511	 * 	200.00	DCR|3VULN|2ASPD|2CDMG|1DUR	17CDMG|247VULN|3ERES|5LIT|67ASPD|7BPWR|8DUR|9RPLT|aRCR
77	32136 62214	   	199.88	DCR|2DMG|3CDMG|1VULN|1AART|1DUR	1LWND|236CDMG|4AART|5aDMG|7VULN|8RCR|9DUR
78	51131 36532	   	199.65	DCR|2AART|1VULN|2CDMG|1ASPD|1ZMB|1DUR	13CDMG|2VULN|4aAART|5ASPD|6ZMB|7DUR|8RPLT|9RCR
79	42131 34532	   	199.65	DCR|2AART|1VULN|2CDMG|1ASPD|1ZMB|1DUR	1DUR|23CDMG|4aAART|5ASPD|6ZMB|7VULN|8RPLT|9RCR
80	43221 63124	 * 	199.62	ACR|2VULN|2DMG|2ASPD|1AART|1DUR	1DUR|29ASPD|3DUST|4RCR|5LIT|69VULN|7BEXP|89DMG|9BPWR|aAART
81	11413 22514	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	18MLV|248VULN|3ASPD|5DMG|678ERES|8BPWR|9RCR|aAART
