0	Index      	 *	Score 	Summary	Detail	
1	22261 18117	 * 	207.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3aAART|4DMG|5ASPD|6MBVNT|79VULN|8RCR
20	14521 12114	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2LWND|39VULN|4AART|5ASPD|6MBVNT|7DUR|8RCR|aDMG
21	22261 18137	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7aVULN|8RCR|9BASARM
22	22261 18171	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7aVULN|8RCR|9DLOT
23	11521 33112	 * 	191.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3VULN|46AART|5ASPD|7BELT|8CDMG|9DMG|aRCR
24	14521 33112	   	191.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LWND|3VULN|46AART|5ASPD|7BELT|8CDMG|9DMG|aRCR
25	31352 62522	   	191.34	DCR|3VULN|2DMG|1ASPD	1FEWX|2BEXP|3CGEN|458VULN|69DMG|7ASPD|aRCR
26	21352 42234	 * 	190.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2BEXP|3CGEN|45VULN|6ZMB|7ASPD|8DMG|9CDMG|aRCR
27	22352 42234	   	190.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3CGEN|45VULN|6ZMB|7ASPD|8DMG|9CDMG|aRCR
28	33552 32234	   	190.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2RMIN|34VULN|5DUR|6ZMB|7ASPD|8DMG|9CDMG|aRCR
29	25534 11323	 * 	190.09	DCR|2VULN|1NUKE|1ASPD|1DMG|1DUR	1DUR|2TSLARM|3ASPD|49VULN|5RMIN|6DMG|7RCR|8TLV|aNUKE
30	21265 23318	 * 	189.21	DCR|3VULN|1AART|1CDMG|2DUR	16DUR|2BEXP|3AART|4CDMG|56aVULN|6BPWR|7CGEN|8MBVNT|9RCR
31	21352 22532	 * 	189.14	DCR|3VULN|3ASPD|1DUR	1DUR|2BEXP|3CGEN|459VULN|678ASPD|aRCR
32	22352 22532	   	189.14	DCR|3VULN|3ASPD|1DUR	1DUR|2FEWX|3CGEN|459VULN|678ASPD|aRCR
33	21231 18117	   	187.92	DCR|2VULN|2AART|1ASPD|1DUR	1DUR|2BEXP|3aAART|4RMIN|5ASPD|6MBVNT|79VULN|8RCR
34	22231 18117	   	187.92	DCR|2VULN|2AART|1ASPD|1DUR	1DUR|2FEWX|3aAART|4RMIN|5ASPD|6MBVNT|79VULN|8RCR
35	11261 47444	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2LHND|3AART|4MBVNT|5ASPD|67VULN|8DMG|9DUR|aRCR
36	11521 17444	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2LHND|37VULN|4AART|5ASPD|6MBVNT|8DMG|9DUR|aRCR
37	21266 83113	   	187.79	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1DUR|2BEXP|3aAART|4CDMG|5MBVNT|6RCR|7ASPD|8VULN|9LWND
38	21266 83123	   	187.79	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1DUR|2BEXP|3aAART|4CDMG|5MBVNT|6RCR|7ASPD|8VULN|9FEWX
39	22261 18126	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7VULN|8RCR|9SPLJET|aCDMG
40	22261 18136	   	187.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7VULN|8RCR|9BASARM|aCDMG
41	21352 63522	   	187.06	DCR|2VULN|2DMG|1ASPD|2DUR	17DUR|2BEXP|3CGEN|45VULN|69DMG|8ASPD|aRCR
42	22352 63522	   	187.06	DCR|2VULN|2DMG|1ASPD|2DUR	17DUR|2FEWX|3CGEN|45VULN|69DMG|8ASPD|aRCR
43	61612 33236	 * 	186.76	ACR|3ASPD|2VULN|2AART	19MLV|2RCR|379ASPD|4AME|5CGEN|6aAART|89VULN|9BPWR
44	31265 53113	   	186.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1FEWX|2BEXP|3AART|4CDMG|58VULN|6DUR|7ASPD|9RCR|aLHND
45	31265 53111	   	186.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1FEWX|2BEXP|3AART|4CDMG|58VULN|6DUR|7ASPD|9RCR|aERES
46	31265 53112	   	186.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1FEWX|2BEXP|3AART|4CDMG|58VULN|6DUR|7ASPD|9RCR|aTLV
47	22261 12367	 * 	186.05	DCR|2DMG|2ASPD|1AART|3DUR	179DUR|2FEWX|3AART|49DMG|59ASPD|6MBVNT|8RMIN|9BPWR|aRCR
48	21266 83142	 * 	185.93	DCR|2ASPD|1VULN|1AART|1CDMG|1DUR	1DUR|2BEXP|3AART|4CDMG|5MBVNT|6RCR|7aASPD|8VULN|9RMIN
49	21213 53123	 * 	185.78	DCR|3VULN|1AART|1ASPD|1DUR	1DUR|2BEXP|3AART|4RPLT|568VULN|7ASPD|9BELT|aRCR
50	22213 53123	   	185.78	DCR|3VULN|1AART|1ASPD|1DUR	1DUR|2FEWX|3AART|4RPLT|568VULN|7ASPD|9BELT|aRCR
51	11631 13223	   	185.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8DUR|9RCR|aAART
52	14661 13223	   	185.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2LWND|3ASPD|4LHND|5DMG|6VULN|7CDMG|8DUR|9RCR|aAART
53	11231 13824	 * 	185.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2LHND|3AART|4DUR|5ASPD|6MBVNT|78DMG|9VULN|aRCR
54	11233 11824	   	185.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2LHND|3AART|4DUR|58DMG|6MBVNT|7ASPD|9VULN|aRCR
55	11263 41844	   	185.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2LHND|3AART|4MBVNT|58DMG|6VULN|7ASPD|9DUR|aRCR
56	14231 13824	   	185.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2LWND|3AART|4DUR|5ASPD|6MBVNT|78DMG|9VULN|aRCR
57	14233 11824	   	185.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2LWND|3AART|4DUR|58DMG|6MBVNT|7ASPD|9VULN|aRCR
58	22261 16824	   	185.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1DUR|2FEWX|3AART|48DMG|5ASPD|6MBVNT|7AAC|9VULN|aRCR
59	22263 11824	 * 	185.01	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1DUR	1DUR|2FEWX|3AART|48DMG|5NUKE|6MBVNT|7ASPD|9VULN|aRCR
60	22321 32434	 * 	184.65	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3CGEN|47ASPD|5DMG|6ZMB|8VULN|9CDMG|aRCR
61	22421 32434	   	184.55	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3ERES|47ASPD|5DMG|6ZMB|8VULN|9CDMG|aRCR
62	22213 55232	   	184.28	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2FEWX|3AART|4RPLT|56VULN|7RCR|8ZMB|9MLV|aASPD
63	22213 55242	   	184.28	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2FEWX|3AART|4RPLT|56VULN|7RCR|8ZMB|9RMIN|aASPD
64	25534 11322	 * 	184.25	DCR|2VULN|2ASPD|1DMG|1DUR	1DUR|2TSLARM|3aASPD|49VULN|5RMIN|6DMG|7RCR|8TLV
65	33632 24135	 * 	183.96	DCR|4VULN|2ASPD	18FEWX|2RMIN|38ASPD|4LWND|5BEXP|6789VULN|8BPWR|aRCR
66	21231 18548	   	183.92	DCR|2VULN|2AART|1ASPD|1DUR	1DUR|2BEXP|38AART|4RMIN|5ASPD|6MBVNT|79VULN|aRCR
67	22231 18548	   	183.92	DCR|2VULN|2AART|1ASPD|1DUR	1DUR|2FEWX|38AART|4RMIN|5ASPD|6MBVNT|79VULN|aRCR
68	61632 24121	 * 	183.90	ACR|3VULN|2ASPD|1AART|1DUR	18MLV|2RCR|38ASPD|4LWND|5BEXP|678VULN|8BPWR|9DUR|aAART
69	21265 15113	   	183.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2BEXP|3AART|4CDMG|5VULN|6LIT|7DMG|8LHND|9ASPD|aRCR
70	12634 22262	   	183.76	DCR|2ASPD|1AART|1VULN|1CDMG|1AAC|1ZMB	1AAC|2ERES|3ZMB|4DUST|5VULN|67ASPD|8RCR|9CDMG|aAART
71	53321 17114	   	183.60	DCR|2VULN|1AART|1ASPD|1DMG	1LHND|2LWND|3CGEN|4AART|5ASPD|6MBVNT|79VULN|8RCR|aDMG
72	22261 14624	   	183.53	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1SELL	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7SELL|8CDMG|9VULN|aRCR
73	14251 17114	   	183.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2LWND|3AART|4LHND|5ASPD|6MBVNT|79VULN|8RCR|aDMG
74	14521 18114	   	183.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2LWND|39VULN|4AART|5ASPD|6MBVNT|7LHND|8RCR|aDMG
75	53421 17114	   	183.50	DCR|2VULN|1AART|1ASPD|1DMG	1LHND|2LWND|3ERES|4AART|5ASPD|6MBVNT|79VULN|8RCR|aDMG
76	11261 45444	   	183.50	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|2LHND|37AART|4MBVNT|5ASPD|6VULN|8DMG|9DUR|aRCR
77	11521 15444	   	183.50	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|2LHND|3VULN|47AART|5ASPD|6MBVNT|8DMG|9DUR|aRCR
78	33521 32451	   	182.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|2RMIN|38VULN|47ASPD|5DMG|6ZMB|9RCR|aBEXP
79	33521 32452	   	182.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|2RMIN|38VULN|47ASPD|5DMG|6ZMB|9RCR|aRPLT
80	33521 32453	   	182.38	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|2RMIN|38VULN|47ASPD|5DMG|6ZMB|9RCR|aERES
81	21213 53423	 * 	182.16	DCR|2VULN|2ASPD|1AART|1DUR	1DUR|2BEXP|3AART|4RPLT|56VULN|78ASPD|9BELT|aRCR
82	22213 53423	   	182.16	DCR|2VULN|2ASPD|1AART|1DUR	1DUR|2FEWX|3AART|4RPLT|56VULN|78ASPD|9BELT|aRCR
83	11631 13326	 * 	181.96	DCR|1MDPS|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9MDPS|aNUKE
84	11651 13326	   	181.96	DCR|1MDPS|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1AAC	1AAC|2LHND|3ASPD|4FEWX|5DMG|6VULN|7CDMG|8RCR|9MDPS|aNUKE
85	21324 62522	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2BEXP|3CGEN|4DMSP|58VULN|69DMG|7ASPD|aRCR
86	21351 62522	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2BEXP|35CGEN|48VULN|69DMG|7ASPD|aRCR
87	21352 61522	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2BEXP|3CGEN|45VULN|69DMG|7DMSP|8ASPD|aRCR
88	21352 62262	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|29BEXP|3CGEN|45VULN|68DMG|7ASPD|aRCR
89	21352 62322	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2BEXP|38CGEN|45VULN|69DMG|7ASPD|aRCR
90	22314 62522	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|24FEWX|3CGEN|58VULN|69DMG|7ASPD|aRCR
91	22351 62522	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2FEWX|35CGEN|48VULN|69DMG|7ASPD|aRCR
92	22352 61522	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2FEWX|3CGEN|45VULN|69DMG|7DMSP|8ASPD|aRCR
93	22352 62322	   	181.82	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2FEWX|38CGEN|45VULN|69DMG|7ASPD|aRCR
94	11522 36613	   	181.79	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC	1AAC|2LHND|38VULN|4AART|5SNIFST|6CDMG|7RCR|9MLV|aASPD
95	35534 11323	   	181.79	DCR|2VULN|1ASPD|1DMG|1NUKE	1FEWX|2TSLARM|3ASPD|49VULN|5RMIN|6DMG|7RCR|8TLV|aNUKE
96	21352 62215	   	181.72	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2BEXP|3CGEN|45VULN|68DMG|7ASPD|9TLV|aRCR
97	22352 62215	   	181.72	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2FEWX|3CGEN|45VULN|68DMG|7ASPD|9TLV|aRCR
98	21265 26313	   	181.71	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	16DUR|2BEXP|3AART|4CDMG|56VULN|6BPWR|7DUST|8ZMB|9RCR|aLHND
99	11522 36153	   	181.69	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC	1AAC|2LHND|3aVULN|4AART|5SNIFST|6CDMG|7RCR|8ERES|9ASPD
100	11231 11424	 * 	181.65	DCR|2ASPD|1AART|1VULN|1DMG|1AAC|1DUR	1AAC|2LHND|3AART|4DUR|57ASPD|6MBVNT|8DMG|9VULN|aRCR
101	11261 41444	   	181.65	DCR|2ASPD|1AART|1VULN|1DMG|1AAC|1DUR	1AAC|2LHND|3AART|4MBVNT|57ASPD|6VULN|8DMG|9DUR|aRCR
102	11261 41784	   	181.65	DCR|2ASPD|1AART|1VULN|1DMG|1AAC|1DUR	1AAC|2LHND|3AART|4MBVNT|57ASPD|6VULN|8DUR|9DMG|aRCR
103	11521 11444	   	181.65	DCR|2ASPD|1AART|1VULN|1DMG|1AAC|1DUR	1AAC|2LHND|3VULN|4AART|57ASPD|6MBVNT|8DMG|9DUR|aRCR
104	11521 11784	   	181.65	DCR|2ASPD|1AART|1VULN|1DMG|1AAC|1DUR	1AAC|2LHND|3VULN|4AART|57ASPD|6MBVNT|8DUR|9DMG|aRCR
105	21265 26311	   	181.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	16DUR|2BEXP|3AART|4CDMG|56VULN|6BPWR|7DUST|8ZMB|9RCR|aERES
106	21265 26312	   	181.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	16DUR|2BEXP|3AART|4CDMG|56VULN|6BPWR|7DUST|8ZMB|9RCR|aTLV
107	25622 31151	   	181.61	DCR|2VULN|1ASPD|1DMG|2DUR|1ZMB	16DUR|2TSLARM|3TSLFST|4ASPD|5DMG|7ZMB|8aVULN|9RCR
108	35532 36113	   	181.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|2TSLARM|3ASPD|4VULN|5AART|6CDMG|7RCR|89ERES|aDMG
109	53323 17114	 * 	181.13	DCR|2VULN|2DMG|1AART	1LHND|2LWND|3CGEN|4AART|5aDMG|6MBVNT|79VULN|8RCR
110	14253 17114	   	181.03	DCR|2VULN|2DMG|1AART|1AAC	1AAC|2LWND|3AART|4LHND|5aDMG|6MBVNT|79VULN|8RCR
111	53423 17114	   	181.03	DCR|2VULN|2DMG|1AART	1LHND|2LWND|3ERES|4AART|5aDMG|6MBVNT|79VULN|8RCR
112	22261 23242	 * 	180.99	DCR|3DMG|1MDPS|1AART|1ASPD|1DUR	1DUR|2FEWX|3AART|49aDMG|5ASPD|6MLV|7MDPS|8RCR
113	22261 53242	   	180.99	DCR|3DMG|1MDPS|1AART|1ASPD|1DUR	1DUR|2FEWX|3AART|49aDMG|5ASPD|6CGEN|7MDPS|8RCR
114	11521 33661	 * 	180.88	DCR|3AART|2VULN|1ASPD|1AAC	1AAC|2LHND|38VULN|469AART|5ASPD|7BELT|aRCR
115	33521 32432	   	180.38	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|2RMIN|38VULN|47ASPD|5DMG|6ZMB|9ERES|aRCR
116	34521 32432	   	180.38	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|2AME|38VULN|47ASPD|5DMG|6ZMB|9ERES|aRCR
117	22213 55213	   	180.29	DCR|2VULN|2AART|1ZMB|1DUR	1DUR|2FEWX|3aAART|4RPLT|56VULN|7RCR|8ZMB|9LWND
118	25221 36623	   	180.05	DCR|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2TSLARM|3LHND|4AART|5ASPD|6CDMG|7RCR|8RMIN|9ZMB|aVULN
119	26321 36623	   	180.05	DCR|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2LHND|3TSLARM|4AART|5ASPD|6CDMG|7RCR|8RMIN|9ZMB|aVULN
120	23331 36156	   	179.95	DCR|1AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2LWND|3TSLARM|4AART|5ASPD|6CDMG|7RCR|8ERES|9ZMB|aVULN
121	31231 18117	   	179.61	DCR|2VULN|2AART|1ASPD	1FEWX|2BEXP|3aAART|4RMIN|5ASPD|6MBVNT|79VULN|8RCR
122	11261 47464	   	179.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2LHND|3AART|4MBVNT|5ASPD|67VULN|8DMG|9LWND|aRCR
123	11261 47474	   	179.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2LHND|3AART|4MBVNT|5ASPD|67VULN|8DMG|9BEXP|aRCR
124	11521 17464	   	179.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2LHND|37VULN|4AART|5ASPD|6MBVNT|8DMG|9LWND|aRCR
125	11521 17474	   	179.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2LHND|37VULN|4AART|5ASPD|6MBVNT|8DMG|9BEXP|aRCR
126	11631 13354	   	179.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9AART|aRCVC
127	54631 13332	   	179.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|2AME|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9ERES|aAART
128	65631 13332	   	179.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9ERES|aAART
129	11631 13332	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9ERES|aAART
130	11631 13351	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9AART|aERES
131	11631 13352	   	179.37	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9AART|aTLV
132	11631 13353	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9AART|aLEGI
133	11631 13355	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9AART|aDUST
134	11631 13356	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1MSE	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9AART|aMSE
135	11631 13363	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4LWND|5DMG|6VULN|7CDMG|8RCR|9MBVNT|aAART
136	11651 13332	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LHND|3ASPD|4FEWX|5DMG|6VULN|7CDMG|8RCR|9ERES|aAART
137	14661 13332	   	179.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2LWND|3ASPD|4LHND|5DMG|6VULN|7CDMG|8RCR|9ERES|aAART
138	15661 13332	   	179.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DUST|3ASPD|4LHND|5DMG|6VULN|7CDMG|8RCR|9ERES|aAART
139	31213 55521	 * 	179.26	DCR|4VULN|1AART	1FEWX|2BEXP|3AART|4RPLT|5689VULN|7RCR|aAME
140	31213 55522	   	179.26	DCR|4VULN|1AART	1FEWX|2BEXP|3AART|4RPLT|5689VULN|7RCR|aCGEN
141	21213 55252	   	179.19	DCR|2VULN|1AART|1ASPD|2DUR	18DUR|2BEXP|3AART|4RPLT|56VULN|7RCR|9FEWX|aASPD
142	31213 55523	   	179.16	DCR|4VULN|1AART	1FEWX|2BEXP|3AART|4RPLT|5689VULN|7RCR|aDUST
143	21266 83233	 * 	179.14	DCR|1AART|1VULN|2CDMG|1ASPD|1DUR	1DUR|2BEXP|3AART|48CDMG|5MBVNT|6RCR|7ASPD|9VULN|aLHND
144	21266 83234	   	179.14	DCR|1VULN|1AART|2CDMG|1ASPD|1DUR	1DUR|2BEXP|3AART|48CDMG|5MBVNT|6RCR|7ASPD|9VULN|aFEWX
145	22321 36434	   	179.09	DCR|1VULN|1ASPD|1DMG|1CDMG|2DUR|2ZMB	17DUR|2FEWX|37CGEN|4ASPD|5DMG|67ZMB|7BPWR|8VULN|9CDMG|aRCR
146	33521 62263	 * 	179.09	DCR|3DMG|1VULN|1ASPD|1DUR	1FEWX|2RMIN|3VULN|4ASPD|568DMG|7BEXP|9RCR|aDUR
147	21213 55242	   	179.09	DCR|2VULN|1AART|1ASPD|2DUR	18DUR|2BEXP|3AART|4RPLT|56VULN|7RCR|9DUST|aASPD
148	32642 46144	   	179.09	DCR|2VULN|1AART|1DMG|2ZMB	12FEWX|36ZMB|4MBVNT|5AART|7RCR|8DMG|9aVULN
149	21266 83231	   	179.04	DCR|1VULN|1AART|2CDMG|1ASPD|1DUR	1DUR|2BEXP|3AART|48CDMG|5MBVNT|6RCR|7ASPD|9VULN|aERES
150	21266 83232	   	179.04	DCR|1VULN|1AART|2CDMG|1ASPD|1DUR	1DUR|2BEXP|3AART|48CDMG|5MBVNT|6RCR|7ASPD|9VULN|aTLV
151	25314 13115	 * 	178.99	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR	15DUR|2TSLARM|3LIT|4MDPS|69VULN|7RCR|8ASPD|aAART
152	14521 13824	   	178.71	DCR|2DMG|1VULN|1AART|1ASPD|1AAC	1AAC|2LWND|3VULN|4AART|5ASPD|6MBVNT|7RMIN|8aDMG|9RCR
153	21352 22125	   	178.45	DCR|2VULN|2ASPD|1DMG|1DUR	1DUR|2BEXP|3CGEN|45VULN|67ASPD|8RMIN|9DMG|aRCR
