0	Index      	 *	Score 	Summary	Detail	
1	23312 34364	 * 	234.92	DCR|4VULN|2DMG|1AART|2DUR	1aDUR|24DMG|349aVULN|4aBPWR|5aLWND|6AART|7RCR|8RMIN
19	33322 34311	   	219.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	13aVULN|2DMG|4DUST|5LWND|6AART|7RCR|8CDMG|9ASPD
20	33212 34311	 * 	219.64	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1aVULN|24DMG|34FEWX|4BPWR|5LWND|6AART|7RCR|8CDMG|9ASPD
21	23312 44122	 * 	217.50	DCR|4VULN|2DMG|1MDPS|1ASPD|1DUR	1DUR|24DMG|346aVULN|4BPWR|5LWND|7ASPD|8MDPS|9RCR
22	23315 44122	   	217.40	DCR|4VULN|2DMG|1MDPS|1ASPD|1DUR	1DUR|24DMG|346aVULN|4BPWR|5DUST|7ASPD|8MDPS|9RCR
23	33251 25114	   	217.36	DCR|4VULN|2DMG|1ASPD	156aVULN|29DMG|3FEWX|4ASPD|7RCR|8RMIN
24	23316 51133	 * 	217.19	DCR|4VULN|3DMG|1DUR	1DUR|249DMG|346aVULN|4BPWR|5LIT|7RCR|8LWND
25	23316 51423	   	217.09	DCR|4VULN|3DMG|1DUR	1DUR|24aDMG|3469VULN|4BPWR|5LIT|7RCR|8ERES
26	23351 25211	   	217.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	18DUR|2DMG|356VULN|4ASPD|7RCR|9AART|aLWND
27	23351 25212	   	217.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	18DUR|2DMG|356VULN|4ASPD|7RCR|9AART|aLIT
28	23351 25214	   	217.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	18DUR|2DMG|356VULN|4ASPD|7RCR|9AART|aFEWX
29	23351 25216	   	217.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	18DUR|2DMG|356VULN|4ASPD|7RCR|9AART|aMLV
30	23351 25213	   	216.98	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	18DUR|2DMG|356VULN|4ASPD|7RCR|9AART|aDUST
31	23312 34354	 * 	216.90	DCR|3DMG|2VULN|1AART|2DUR	1aDUR|24aDMG|34VULN|4aBPWR|5LWND|6AART|7RCR|8RMIN|9aAELBLL
32	33251 25313	   	215.98	DCR|3VULN|2DMG|1ASPD|1ZMB|1DUR	156VULN|29DMG|3FEWX|4ASPD|7RCR|8ZMB|aDUR
33	23312 34136	   	215.89	DCR|3VULN|2DMG|1AART|2DUR	19DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8RCVC
34	21345 23211	 * 	215.21	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1DUR|2RMIN|3aVULN|47AART|5FEWX|6RCR|8CDMG|9ASPD
35	23351 25115	   	215.06	DCR|3VULN|2DMG|1ASPD|2DUR	1aDUR|29DMG|356VULN|4ASPD|7RCR|8RMIN
36	23316 31414	   	214.61	DCR|3VULN|2DMG|1AART|2DUR	16DUR|24DMG|34aVULN|4BPWR|5LIT|7RCR|8ERES|9AART
37	21341 16225	 * 	214.18	DCR|4VULN|1AART|2CDMG|1DUR	1DUR|2RMIN|367aVULN|4AART|58CDMG|9RCR
38	23351 25523	 * 	214.14	DCR|4VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1DUR|2DMG|356aVULN|4ASPD|7RCR|8NUKE|9ZMB
39	23312 34365	   	213.96	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RMIN|aRCVC
40	23312 34361	   	213.63	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RMIN|aLIT
41	23312 34362	   	213.63	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RMIN|aCGEN
42	33251 25343	   	213.62	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB|1SELL	156VULN|2DMG|3FEWX|4ASPD|7RCR|8ZMB|9SELL|aAART
43	23312 34344	   	213.53	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8RMIN|9LEGI
44	23312 34363	   	213.53	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RMIN|aERES
45	23312 34366	   	213.53	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RMIN|aDUST
46	23351 25234	   	213.32	DCR|4VULN|1ASPD|1DMG|2DUR	18DUR|2DMG|356aVULN|4ASPD|7RCR|9RMIN
47	33641 11115	   	213.31	DCR|3VULN|2DMG|1AART|1CDMG	16aVULN|27DMG|3LHND|4AART|5CDMG|8DMSP|9RCR
48	33641 11511	   	213.31	DCR|3VULN|2DMG|1AART|1CDMG	168VULN|27DMG|3LHND|4AART|5CDMG|9RCR|aAELBLL
49	33641 11513	   	213.31	DCR|3VULN|2DMG|1AART|1CDMG	168VULN|27DMG|3LHND|4AART|5CDMG|9RCR|aLWND
50	23316 31141	   	213.22	DCR|2VULN|2DMG|1ASPD|1NUKE|2DUR	16DUR|24DMG|34VULN|4BPWR|5LIT|7RCR|8LWND|9ASPD|aNUKE
51	23316 31541	   	213.22	DCR|2VULN|2DMG|1ASPD|1NUKE|2DUR	16DUR|24DMG|34VULN|4BPWR|5LIT|7RCR|8LHND|9ASPD|aNUKE
52	33315 13163	   	212.91	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5FEWX|6ERES|78CDMG|8BPWR|9RCR|aLHND
53	33315 13164	   	212.91	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5aFEWX|6ERES|78CDMG|8BPWR|9RCR
54	33316 13163	   	212.91	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5LWND|6ERES|78CDMG|8BPWR|9RCR|aLHND
55	33316 13164	   	212.91	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5LWND|6ERES|78CDMG|8BPWR|9RCR|aFEWX
56	23312 34151	   	212.88	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8RCVC|9LIT|aASPD
57	33315 13161	   	212.81	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5FEWX|6ERES|78CDMG|8BPWR|9RCR|aTSLFST
58	33315 13162	   	212.81	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5FEWX|6ERES|78CDMG|8BPWR|9RCR|aDUST
59	33316 13161	   	212.81	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5LWND|6ERES|78CDMG|8BPWR|9RCR|aTSLFST
60	33316 13162	   	212.81	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5LWND|6ERES|78CDMG|8BPWR|9RCR|aDUST
61	33316 13166	   	212.81	DCR|4VULN|2DMG|2CDMG	1348VULN|28DMG|5LWND|6aERES|78CDMG|8BPWR|9RCR
62	33342 34316	   	212.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	13VULN|2DMG|4BEXP|5LWND|6AART|7RCR|8CDMG|9ASPD|aZMB
63	23343 22514	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2DMG|39VULN|4AART|5LWND|6RCR|7LIT|8ASPD|aCDMG
64	23312 34265	   	212.05	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8AME|9CDMG|aRMIN
65	23311 12521	   	212.04	DCR|2VULN|2AART|2DMG|1ZMB|1DUR	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8BELT|9ZMB|aRCR
66	23312 44126	   	211.98	DCR|3VULN|2DMG|1MDPS|1ASPD|1ZMB|1DUR	1DUR|24DMG|346VULN|4BPWR|5LWND|7ASPD|8MDPS|9RCR|aZMB
67	23316 51326	   	211.87	DCR|4VULN|2DMG|1ZMB|1DUR	1DUR|24DMG|3469VULN|4BPWR|5LIT|7RCR|8RPLT|aZMB
68	23351 25422	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8FEWX|9LHND|aAART
69	23351 25631	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8LHND|9AART|aLIT
70	23351 25632	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8LHND|9AART|aCGEN
71	33251 25222	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	156VULN|2DMG|3FEWX|4ASPD|7RCR|8DUR|9LHND|aAART
72	33641 16112	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	167VULN|2DMG|3LHND|4aAART|5CDMG|8DMSP|9RCR
73	23316 51422	   	211.77	DCR|4VULN|2DMG|1ZMB|1DUR	1DUR|24DMG|3469VULN|4BPWR|5LIT|7RCR|8ERES|aZMB
74	23351 25633	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8LHND|9AART|aERES
75	23312 34245	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8AME|9DMSP|aASPD
76	23312 34435	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|89CGEN|aASPD
77	33641 11112	   	211.55	DCR|2VULN|2AART|2DMG|1CDMG	16VULN|27DMG|3LHND|4aAART|5CDMG|8DMSP|9RCR
78	23312 34126	 * 	211.54	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8RCVC|9MDPS
79	23315 36324	 * 	211.40	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	1DUR|24DMG|34VULN|4BPWR|5DUST|6TLV|7RCR|89CDMG|aASPD
80	23312 34146	   	211.37	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|89RCVC
81	23351 25522	   	211.36	DCR|3VULN|1ASPD|1DMG|1NUKE|1AAC|1ZMB|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8NUKE|9ZMB|aAAC
82	23351 25113	   	211.08	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|29DMG|356VULN|4ASPD|7RCR|8aRMIN
83	23316 31324	   	210.99	DCR|3VULN|2DMG|1ASPD|2DUR	16DUR|24DMG|349VULN|4BPWR|5LIT|7RCR|8RPLT|aASPD
84	23311 15531	   	210.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	17DUR|24DMG|34VULN|4BPWR|5CGEN|6AART|8BELT|9ASPD|aRCR
85	23313 16531	   	210.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	17DUR|24DMG|34VULN|4BPWR|5AME|6AART|8BELT|9ASPD|aRCR
86	23312 34112	   	210.64	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RCVC|aFEWX
87	23312 34113	   	210.64	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RCVC|aDMSP
88	23312 34114	   	210.64	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RCVC|aLHND
89	23312 34153	   	210.64	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8RCVC|9LIT
90	23312 34111	   	210.54	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|349VULN|4BPWR|5LWND|6AART|7RCR|8RCVC|aDUST
91	23351 25116	   	210.14	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|29DMG|356VULN|4ASPD|7RCR|8RMIN|aRCVC
92	23311 24222	   	210.08	DCR|3VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|24DMG|346VULN|4BPWR|5CGEN|7ASPD|8ZMB|9LIT|aRCR
93	23313 24222	   	210.08	DCR|3VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|24DMG|346VULN|4BPWR|5AME|7ASPD|8ZMB|9LIT|aRCR
94	23343 26361	   	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|38aVULN|4AART|5LWND|6RCR|7CGEN|9CDMG
95	23316 51143	   	209.91	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8LWND|9ASPD|aRMIN
96	23351 25111	   	209.81	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|29DMG|356VULN|4ASPD|7RCR|8RMIN|aLHND
97	23351 25112	   	209.81	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|29DMG|356VULN|4ASPD|7RCR|8RMIN|aFEWX
98	33251 25113	   	209.81	DCR|3VULN|2DMG|1ASPD|1DUR	156VULN|29DMG|3FEWX|4ASPD|7RCR|8RMIN|aDUR
99	23351 25513	   	209.71	DCR|3VULN|2DMG|1ASPD|1NUKE|1DUR	1DUR|29DMG|356VULN|4ASPD|7RCR|8NUKE|aRMIN
100	33212 34316	   	209.59	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1VULN|24DMG|34FEWX|4BPWR|5LWND|6AART|7RCR|8CDMG|9ASPD|aZMB
101	33215 36215	 * 	209.48	DCR|3DMG|2VULN|2ASPD	1aVULN|24aDMG|349FEWX|4aBPWR|5DUST|6TLV|7RCR|8aASPD
102	23312 34514	   	209.46	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8LHND|9CGEN
103	23316 51362	   	209.46	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8RPLT|9MLV|aAART
104	23312 34254	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8AME|9DUST
105	23312 34524	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7RCR|8LHND|9ERES
106	23316 51342	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8RPLT|9TLV|aAART
107	23316 51411	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8ERES|9AART|aMLV
108	23316 51413	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8ERES|9AART|aCGEN
109	33251 55122	   	209.29	DCR|4VULN|2DMG|1MDPS|1ASPD	157aVULN|27DMG|3FEWX|4ASPD|67LWND|7BPWR|8MDPS|9RCR
110	23316 51412	   	209.26	DCR|3VULN|2DMG|1AART|1DUR|1MSE	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8ERES|9AART|aMSE
111	23316 31132	   	208.82	DCR|3DMG|2VULN|1NUKE|2DUR	16DUR|249DMG|34VULN|4BPWR|5LIT|7RCR|8LWND|aNUKE
112	22345 23511	   	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1DUR|2CGEN|3aVULN|47AART|5FEWX|6RCR|8CDMG|9ASPD
113	41225 23141	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2ASPD|3FEWX|4AART|5DMG|6CDMG|7aVULN|8RCR|9DUR
114	23351 25121	   	208.07	DCR|4VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|356aVULN|4ASPD|7RCR|8RMIN|9RPLT
115	33251 25316	   	208.00	DCR|3VULN|2DMG|1ASPD|1ZMB	156VULN|29DMG|3FEWX|4ASPD|7RCR|8ZMB|aRCVC
116	23351 25511	   	207.93	DCR|3VULN|2DMG|1ASPD|1NUKE|1DUR	1DUR|29DMG|356VULN|4ASPD|7RCR|8NUKE|aLHND
117	23351 25512	   	207.93	DCR|3VULN|2DMG|1ASPD|1NUKE|1DUR	1DUR|29DMG|356VULN|4ASPD|7RCR|8NUKE|aFEWX
118	23351 25521	   	207.93	DCR|3VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8NUKE|9ZMB|aMBVNT
119	23351 25531	   	207.93	DCR|3VULN|1ASPD|1DMG|1NUKE|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8NUKE|9BEXP|aRMIN
120	23351 25532	   	207.93	DCR|3VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8NUKE|9BEXP|aZMB
121	23351 25533	   	207.93	DCR|3VULN|1ASPD|1DMG|1NUKE|1DUR	1DUR|2DMG|356VULN|4ASPD|7RCR|8NUKE|9BEXP|aERES
122	23312 34263	   	207.88	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8AME|9CDMG|aAELBLL
123	23312 34264	   	207.88	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8AME|9CDMG|aCGEN
124	23312 34266	   	207.88	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8AME|9CDMG|aFEWX
125	23312 34551	   	207.88	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8LHND|9FEWX|aCDMG
126	23311 12222	   	207.87	DCR|2VULN|2AART|2DMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8RMIN|9RCR|aFEWX
127	23311 12224	   	207.87	DCR|2VULN|2AART|2DMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8RMIN|9RCR|aLHND
128	23311 12225	   	207.87	DCR|2VULN|2AART|2DMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8RMIN|9RCR|aBELT
129	23351 25141	   	207.83	DCR|4VULN|1ASPD|1DMG|1DUR|1SELL	1DUR|2DMG|356aVULN|4ASPD|7RCR|8RMIN|9SELL
130	23312 34262	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8AME|9CDMG|aDUST
131	23312 34462	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8CGEN|9CDMG|aDUST
132	23312 34463	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8CGEN|9CDMG|aTLV
133	23311 12221	   	207.77	DCR|2VULN|2AART|2DMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8RMIN|9RCR|aDUST
134	23311 12223	   	207.77	DCR|2VULN|2AART|2DMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8RMIN|9RCR|aLEGI
135	23311 12226	   	207.77	DCR|2VULN|2AART|2DMG|1DUR|1MSE	1DUR|24DMG|34VULN|4BPWR|5CGEN|67AART|8RMIN|9RCR|aMSE
136	33121 16154	   	207.76	DCR|3VULN|3DMG|2DUR	15aVULN|29aDMG|3TLV|4LHND|6aDUR|7RCR|8RCVC|aBPWR
137	33251 15514	   	207.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	15aVULN|2DMG|3FEWX|4ASPD|6AART|7DUR|8MBVNT|9RCR
138	11162 55113	   	207.71	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1RPLT|2aAART|38VULN|48BEXP|5CDMG|6DMG|78DUR|8BPWR|9RCR
139	23315 36313	   	207.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5DUST|6TLV|7RCR|8CDMG|9LWND|aAART
140	23312 34662	   	207.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8ERES|9CDMG|aDUST
141	23312 34663	   	207.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|24DMG|34VULN|4BPWR|5LWND|6AART|7RCR|8ERES|9CDMG|aTLV
142	33251 25311	   	207.68	DCR|3VULN|2DMG|1ASPD|1ZMB	156VULN|29DMG|3FEWX|4ASPD|7RCR|8ZMB|aLHND
143	33251 25312	   	207.68	DCR|3VULN|2DMG|1ASPD|1ZMB	156VULN|29DMG|3aFEWX|4ASPD|7RCR|8ZMB
144	33253 25122	 * 	207.66	DCR|3VULN|2DMG|1MDPS|2ASPD	17aVULN|27DMG|3FEWX|46ASPD|57BEXP|7BPWR|8MDPS|9RCR
145	11216 16513	 * 	207.48	DCR|4VULN|2AART|1CDMG	1RPLT|25AART|3ERES|4678VULN|9RCR|aCDMG
146	33251 25143	   	207.45	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	156VULN|2DMG|3FEWX|4ASPD|7RCR|8RMIN|9SELL|aAART
147	22341 12525	   	207.24	DCR|4VULN|1AART|2CDMG|1DUR	1DUR|2CGEN|368aVULN|4AART|57CDMG|9RCR
148	22341 16225	   	207.24	DCR|4VULN|1AART|2CDMG|1DUR	1DUR|2CGEN|367aVULN|4AART|58CDMG|9RCR
149	22341 16523	   	207.24	DCR|4VULN|1AART|2CDMG|1DUR	1DUR|2CGEN|3678VULN|4AART|5aCDMG|9RCR
150	23316 31332	   	207.21	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	16DUR|24DMG|34VULN|4BPWR|5LIT|7RCR|8RPLT|9ZMB|aAART
151	23316 31416	   	207.11	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	16DUR|24DMG|34VULN|4BPWR|5LIT|7RCR|8ERES|9AART|aZMB
152	33651 15121	   	206.99	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	157VULN|27DMG|3aLHND|4ASPD|67DUR|7BPWR|8MDPS|9RCR
153	33651 15122	   	206.99	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	157VULN|27DMG|3LHND|4ASPD|67DUR|7BPWR|8MDPS|9RCR|aFEWX
154	33651 15123	   	206.99	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	157VULN|27DMG|3LHND|4ASPD|67DUR|7BPWR|8MDPS|9RCR|aDMSP
155	23351 55122	   	206.99	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	17DUR|27DMG|35aVULN|4ASPD|67LWND|7BPWR|8MDPS|9RCR
156	23312 44123	   	206.89	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	1aDUR|24DMG|346VULN|4BPWR|5LWND|7ASPD|8MDPS|9RCR
157	23315 44123	   	206.79	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	1aDUR|24DMG|346VULN|4BPWR|5DUST|7ASPD|8MDPS|9RCR
158	53216 12531	 * 	206.59	DCR|2DMG|1VULN|1AART|2CDMG|1NUKE	1DUST|26DMG|3BELT|4RPLT|56CDMG|6BPWR|7RCR|8VULN|9AART|aNUKE
159	33121 16254	   	206.58	DCR|3VULN|3DMG|2DUR	15aVULN|29aDMG|3TLV|48LHND|6aDUR|7RCR|aBPWR
160	23316 31133	   	206.58	DCR|3VULN|3DMG|2DUR	16DUR|249DMG|34aVULN|4BPWR|5LIT|7RCR|8LWND
161	23316 51134	   	206.58	DCR|3VULN|3DMG|2DUR	1aDUR|249DMG|346VULN|4BPWR|5LIT|7RCR|8LWND
162	23316 31423	   	206.48	DCR|3VULN|3DMG|2DUR	16DUR|24aDMG|349VULN|4BPWR|5LIT|7RCR|8ERES
163	23315 36152	   	206.38	DCR|3VULN|3DMG|2DUR	18DUR|249DMG|34aVULN|4BPWR|5DUST|6TLV|7RCR
164	33251 25361	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	156VULN|2DMG|3FEWX|4ASPD|7RCR|8ZMB|9CGEN|aCDMG
165	31641 12522	 * 	206.10	DCR|3VULN|2AART|2CDMG	168VULN|2RMIN|3LHND|4aAART|57CDMG|9RCR
