0	Index      	 *	Score 	Summary	Detail	
1	52622 22226	 * 	306.65	DCR|2LIT|3VULN|2FLTARM|2CDMG	12aVULN|36CDMG|4aLIT|5RPLT|7aFLTARM|8RMIN|9RCR|aBPWR
13	52362 21335	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7LWND|8DMG|9RCR|aBELT
14	52362 23132	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LHND|9RCR|aLWND
15	52362 23133	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LHND|9RCR|aRPLT
16	52362 23135	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LHND|9RCR|aBELT
17	52362 23232	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8BEXP|9RCR|aLWND
18	52362 23233	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8BEXP|9RCR|aRPLT
19	52362 23235	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8BEXP|9RCR|aFEWX
20	52362 23236	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8BEXP|9RCR|aRCVC
21	52362 23332	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8aLWND|9RCR
22	52362 23335	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LWND|9RCR|aBELT
23	52362 21331	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7LWND|8DMG|9RCR|aDUR
24	52362 21336	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7LWND|8DMG|9RCR|aERES
25	52362 23131	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LHND|9RCR|aDUR
26	52362 23136	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LHND|9RCR|aERES
27	52362 23231	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8BEXP|9RCR|aDUR
28	52362 23331	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LWND|9RCR|aDUR
29	52362 23336	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8LWND|9RCR|aERES
30	52362 25332	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7LEGI|8DMG|9RCR|aLWND
31	52362 25333	   	284.00	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7LEGI|8DMG|9RCR|aRPLT
32	52362 25331	   	283.85	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7LEGI|8DMG|9RCR|aDUR
33	52362 21333	   	283.79	DCR|2LIT|3MLV|2VULN|1DMG|1SELL	12VULN|346MLV|56LIT|6BPWR|7LWND|8DMG|9RCR|aSELL
34	52362 23333	   	283.79	DCR|2LIT|3MLV|2VULN|1DMG|1SELL	12VULN|346MLV|56LIT|6BPWR|7DMG|8LWND|9RCR|aSELL
35	61313 33363	   	283.32	DCR|2LIT|2FLTARM|1VULN|1DMG|1CDMG	12FLTARM|2BPWR|3DUR|4DMG|56LIT|7RPLT|8RCR|9CDMG|aVULN
36	52333 31252	 * 	282.98	DCR|2MLV|3VULN|1LIT|1DMG	12aVULN|39MLV|4DMG|5AART|6LIT|7RCR|8RMIN
37	26222 41533	   	282.53	DCR|3LIT|2MLV|2DMG|1CDMG|1SELL	1DMSP|29DMG|39aLIT|4ZMB|5SELL|6RCR|7CDMG|89MLV|9BPWR
38	52351 33136	   	282.07	DCR|2LIT|3VULN|1MLV|1DMG	12aVULN|3MLV|4LEGI|5aLIT|6FEWX|7DMG|8aLWND|9RCR|aBPWR
39	52351 33236	   	282.07	DCR|2LIT|3VULN|1MLV|1DMG	12aVULN|3MLV|4LEGI|5aLIT|6FEWX|7DMG|8aBEXP|9RCR|aBPWR
40	52351 33336	   	282.07	DCR|2LIT|3VULN|1MLV|1DMG	12aVULN|3MLV|4LEGI|5aLIT|6FEWX|7DMG|8aLHND|9RCR|aBPWR
41	21141 64231	 * 	282.06	ACR|3LIT|3VULN|1MLV|1DMG	1DMSP|2RCR|37LWND|4DMG|578LIT|67aVULN|7BPWR|9MLV
42	52333 34622	   	281.97	DCR|2LIT|3VULN|1MLV|1DMG	12aVULN|3MLV|4DMG|5AART|67LIT|8CGEN|9RCR
43	21342 54231	   	281.86	ACR|3LIT|3VULN|1MLV|1DMG	1DMSP|2RCR|37DUST|4DMG|57aVULN|678LIT|7BPWR|9MLV
44	52362 23412	   	281.30	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7DMG|8NUKE|9CGEN|aRCR
45	26222 41531	 * 	280.07	DCR|2LIT|2MLV|3DMG|1CDMG|1SELL	1DMSP|29aDMG|39LIT|4ZMB|5SELL|6RCR|7CDMG|89MLV|9BPWR
46	52334 32313	   	279.68	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	127VULN|3MLV|4DMG|5TLV|6ZMB|8LIT|9RCR|aCDMG
47	52313 32313	   	279.58	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	127VULN|3MLV|4ERES|5DMG|6ZMB|8LIT|9RCR|aCDMG
48	52332 32313	   	279.58	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	127VULN|3MLV|4DMG|5ERES|6ZMB|8LIT|9RCR|aCDMG
49	43626 12222	 * 	279.27	DCR|2LIT|4VULN|1MLV	1MLV|25LIT|3CGEN|4789VULN|6FEWX|aRCR
50	43626 22222	   	279.17	DCR|2LIT|4VULN|1MLV	1MLV|25LIT|3CGEN|4789VULN|6DUR|aRCR
51	52362 62323	 * 	279.15	DCR|2LIT|2MLV|3VULN	126VULN|34MLV|59LIT|78CGEN|aRCR
52	52331 14136	   	278.88	DCR|2LIT|2MLV|2VULN|1DMG	12VULN|3aMLV|4DMG|5DUR|6aLIT|7FEWX|8aLWND|9RCR|aBPWR
53	52331 14336	   	278.88	DCR|2LIT|2MLV|2VULN|1DMG	12VULN|3aMLV|4DMG|5DUR|6aLIT|7FEWX|8aLHND|9RCR|aBPWR
54	52333 36622	   	278.26	DCR|4VULN|1LIT|1MLV|1DMG	127aVULN|3MLV|4DMG|5AART|6LIT|8CGEN|9RCR
55	52333 31363	   	278.21	DCR|1LIT|2VULN|2DMG|1MLV|1NUKE	12VULN|3MLV|49DMG|5AART|6LIT|7RCR|8FEWX|aNUKE
56	12334 12211	   	278.16	DCR|4VULN|1LIT|1MLV|1DMG	1RMIN|2DMG|3MLV|4NUKE|578aVULN|6LIT|9RCR
57	12334 52311	   	278.16	DCR|4VULN|1LIT|1MLV|1DMG	1RMIN|2DMG|3MLV|4NUKE|567aVULN|8LIT|9RCR
58	52333 31663	   	278.11	DCR|1LIT|2VULN|2DMG|1MLV|1NUKE	12VULN|3MLV|49DMG|5AART|6LIT|7RCR|8DUST|aNUKE
59	52335 13213	   	277.88	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	128VULN|3MLV|4DMG|5FLTHEA|6ASPD|7ZMB|9LIT|aRCR
60	52333 32622	   	277.58	DCR|2MLV|3VULN|1LIT|1DMG	12aVULN|37MLV|4DMG|5AART|6LIT|8CGEN|9RCR
61	12334 12511	   	277.48	DCR|2MLV|3VULN|1LIT|1DMG	1RMIN|2DMG|38MLV|4NUKE|57aVULN|6LIT|9RCR
62	22131 33445	 * 	277.30	DCR|3LIT|3VULN|1MLV	1DMSP|236LIT|48CANARM|578VULN|8BPWR|9MLV|aRCR
63	22131 33545	   	277.30	DCR|3LIT|3VULN|1MLV	1DMSP|236LIT|4CANARM|578VULN|9MLV|aRCR
64	43352 13236	   	277.22	DCR|3LIT|2VULN|1MLV|1DMG	1MLV|25aLIT|3DUR|4FEWX|6aLWND|7DMG|8aVULN|9RCR|aBPWR
