0	Index      	 *	Score 	Summary	Detail	
1	21155 23333	 * 	292.39	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD|1SELL	1SELL|2AART|37VULN|47MLV|57DMG|6RCR|7BPWR|8BELT|9ASPD|aLIT
13	21156 23522	 * 	267.61	DCR|2MLV|1LIT|2VULN|1DMG|2ZMB|1SELL	1SELL|2AART|37VULN|47MLV|57ZMB|6RCR|7BPWR|8DMG|9MBVNT|aLIT
14	21155 23125	 * 	267.20	DCR|4VULN|2MLV|2DMG|1SELL	1SELL|2AART|379aVULN|47MLV|57DMG|6RCR|7BPWR|8LHND
15	21155 23225	 * 	267.20	DCR|4VULN|2MLV|2DMG|1SELL	1SELL|2AART|379aVULN|47MLV|57DMG|6RCR|7BPWR|8LWND
16	32232 21365	   	266.47	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	16LWND|2DMG|3MLV|456LIT|6BPWR|7RPLT|8RCR|9CDMG|aVULN
17	32232 31365	   	266.37	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	1LWND|2DMG|3MLV|456LIT|7RPLT|8RCR|9CDMG|aVULN
18	32324 33626	   	266.32	DCR|3LIT|2VULN|2DMG	168LWND|2aDMG|34DUST|56aLIT|6aBPWR|7RCR|9aVULN
19	21155 23163	 * 	263.89	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|579DMG|6RCR|79BPWR|89LHND|aRMIN
20	21155 23263	 * 	263.89	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|579DMG|6RCR|79BPWR|89LWND|aRMIN
21	15341 13632	 * 	263.87	DCR|2LIT|2VULN|1MLV|2ASPD	1DUST|26BASHEA|37VULN|48ASPD|56LIT|6BPWR|9MLV|aRCR
22	21155 23161	 * 	263.79	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|579DMG|6RCR|79BPWR|89LHND|aDUST
23	21155 23261	 * 	263.79	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|579DMG|6RCR|79BPWR|89LWND|aDUST
24	32162 31452	 * 	263.77	DCR|2LIT|2MLV|2DMG|1FLTARM	1aLWND|2aDMG|3RPLT|4FLTARM|59LIT|6RCR|7aMLV|8DMSP|aBPWR
25	32162 31652	   	263.77	DCR|2LIT|2MLV|2DMG|1FLTARM	1aLWND|2aDMG|3RPLT|4FLTARM|59LIT|6RCR|7aMLV|8RCVC|aBPWR
26	21155 23531	 * 	263.69	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|578DMG|6RCR|7BPWR|aFEWX
27	21155 23532	 * 	263.69	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|578DMG|6RCR|7BPWR|aCGEN
28	21155 23533	 * 	263.69	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|578DMG|6RCR|7BPWR|aRPLT
29	21155 23611	 * 	263.69	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|579DMG|6RCR|79BPWR|89CANSTR|aLWND
30	21155 23613	 * 	263.69	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|579DMG|6RCR|79BPWR|89CANSTR|aBEXP
31	32162 31141	   	263.51	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1LWND|2DMG|3RPLT|4FLTARM|5LIT|6RCR|7MLV|8LSRREG|9VULN|aCDMG
32	32162 31531	   	263.51	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1LWND|2DMG|3RPLT|4FLTARM|5LIT|6RCR|7MLV|8DLOT|9CDMG|aVULN
