0	Index      	 *	Score 	Summary	Detail	
1	21633 64123	 * 	310.79	DCR|2LIT|4VULN|2ASPD|1DMG|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9LHND|aDMG
38	53412 12134	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|27VULN|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aCGEN
39	53412 12136	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|27VULN|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aFEWX
40	21114 52213	   	284.59	DCR|3VULN|1LIT|1FLTARM|1MLV|1CDMG	126VULN|3RPLT|4FLTARM|5LSRREG|7MLV|8CDMG|9LIT|aRCR
41	13513 56332	 * 	284.40	DCR|3LIT|3VULN|1MLV|3DUR	138DUR|234LIT|3BPWR|57aVULN|6RCR|9MLV
42	24623 34436	 * 	284.32	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	19VULN|2aDMG|3RCR|49ASPD|5DUR|6MBVNT|7MLV|89LIT|9BPWR
43	53623 34431	   	284.32	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	19DMG|2aVULN|3RCR|49ASPD|5DUR|6MBVNT|7MLV|89LIT|9BPWR
44	21544 12133	   	283.20	DCR|3VULN|1LIT|1FLTARM|1DMG|1CDMG	127VULN|3LIT|4TLV|5DMG|6CDMG|8RCR|9FLTARM|aZMB
45	21564 12133	   	283.10	DCR|3VULN|1LIT|1FLTARM|1DMG|1CDMG	127VULN|3LIT|4ERES|5DMG|6CDMG|8RCR|9FLTARM|aZMB
46	21111 21615	 * 	281.51	DCR|2MLV|3VULN|1LIT|1FLTARM	12aVULN|3RPLT|4FLTARM|5CGEN|69MLV|7RCR|8LIT
47	21633 43163	   	281.32	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	12VULN|3CDMG|46ASPD|57LIT|8RCR|9RCVC|aMLV
48	21111 21624	 * 	281.12	DCR|2LIT|2VULN|1FLTARM|1MLV	12VULN|3RPLT|4FLTARM|5CGEN|6MLV|7RCR|8aLIT|9FEWX
49	21111 21644	   	281.12	DCR|2LIT|2VULN|1FLTARM|1MLV	12VULN|3RPLT|4FLTARM|5CGEN|6MLV|7RCR|8aLIT|9LWND
50	21116 21624	   	281.12	DCR|2LIT|2VULN|1FLTARM|1MLV	12VULN|3RPLT|4FLTARM|5RMIN|6MLV|7RCR|8aLIT|9LWND
51	21111 21634	   	281.02	DCR|2LIT|2VULN|1FLTARM|1MLV	12VULN|3RPLT|4FLTARM|5CGEN|6MLV|7RCR|8aLIT|9DUR
