0	Index      	 *	Score 	Summary	Detail	
1	12635 23312	 * 	225.34	ACR|3ASPD|1VULN|1DMG|1BASICY|1AART|1BEXP	1VENICY|2VULN|369ASPD|4RCR|5BASICY|7AART|8BEXP|aDMG
25	12635 23313	   	203.90	ACR|3ASPD|1VULN|1BASICY|1AART|1BEXP	1VENICY|2VULN|369ASPD|4RCR|5BASICY|7AART|8BEXP|aAEMAG
26	12635 23315	   	203.90	ACR|3ASPD|1VULN|1BASICY|1AART|1BEXP	1VENICY|2VULN|369ASPD|4RCR|5BASICY|7AART|8BEXP|aERES
27	12635 23335	   	202.75	ACR|2ASPD|1VULN|1BASICY|1AART|1BEXP|1CDMG	1VENICY|2VULN|36ASPD|4RCR|5BASICY|7AART|8BEXP|9RCVC|aCDMG
28	11633 12511	 * 	202.50	ACR|3ASPD|1BASARM|1VULN	1VENICY|257DUR|369ASPD|4RCR|8VULN|aBASARM
29	11633 61511	   	202.50	ACR|3ASPD|1BASARM|1VULN	1VENICY|256DUR|379ASPD|4RCR|8VULN|aBASARM
30	33612 35332	   	202.50	ACR|1BASARM|2ASPD|1BEXP|1AART|1AAC	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8RPLT|9BEXP|aAAC
31	62212 35334	   	201.91	ACR|1BASARM|2ASPD|1DMG|1VULN	1FEWX|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8ZMB|9DMG|aVULN
32	12635 23341	 * 	201.90	ACR|2ASPD|1VULN|2BEXP|1BASICY|1AART	1VENICY|2VULN|36ASPD|4RCR|5BASICY|7AART|8aBEXP|9CGEN
33	12635 23325	   	201.90	ACR|2ASPD|1VULN|1BASICY|1AART|1BEXP|1CDMG	1VENICY|2VULN|36ASPD|4RCR|5BASICY|7AART|8BEXP|9AEFBLL|aCDMG
34	32212 35334	   	201.81	ACR|1BASARM|2ASPD|1DMG|1VULN	1DUST|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8ZMB|9DMG|aVULN
35	12635 23241	   	201.80	ACR|2ASPD|1VULN|2BEXP|1BASICY|1AART	1VENICY|2VULN|36ASPD|4RCR|5BASICY|7AART|8ERES|9aBEXP
36	12635 23352	   	201.65	ACR|2VULN|2ASPD|1BASICY|1BEXP|1AART	1VENICY|2aVULN|36ASPD|4RCR|5BASICY|7AART|8BEXP|9LHND
37	63612 35113	   	200.71	ACR|1BASARM|2ASPD|1DMG|1AART	1FEWX|2LIT|3AART|46ASPD|5RCR|7BASARM|8LHND|9ZMB|aDMG
38	63612 35123	   	200.71	ACR|1BASARM|2ASPD|1DMG|1AART	1FEWX|2LIT|3AART|46ASPD|5RCR|7BASARM|8LHND|9RMIN|aDMG
39	62212 35213	   	200.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1FEWX|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8BEXP|9ZMB|aDMG
40	62212 35363	   	200.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1FEWX|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8ZMB|9BEXP|aDMG
41	62212 35243	   	200.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1FEWX|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8BEXP|9AME|aDMG
42	21323 21224	   	200.38	ACR|1BASARM|2DMG|2BEXP	13LWND|2DMSP|4RCR|5TLV|68BEXP|7BASARM|9aDMG
43	21423 21224	   	200.28	ACR|1BASARM|2DMG|2BEXP	1LWND|2DMSP|3AEMAG|4RCR|5TLV|68BEXP|7BASARM|9aDMG
44	12635 24232	 * 	200.01	ACR|3VULN|3ASPD|1BASICY	1VENICY|27aVULN|368ASPD|4RCR|5BASICY|9LWND
45	12635 24212	   	199.91	ACR|3VULN|3ASPD|1BASICY	1VENICY|27aVULN|368ASPD|4RCR|5BASICY|9DUST
46	21421 24513	 * 	198.98	ACR|3ASPD|2BEXP|1VULN|1AART	18LWND|2DMSP|3AEMAG|4RCR|578ASPD|68BEXP|8BPWR|9VULN|aAART
47	12635 23431	 * 	198.88	ACR|3ASPD|1VULN|2BASICY|1AART	18VENICY|2VULN|368ASPD|4RCR|58BASICY|7AART|8BPWR|9ZMB|aCGEN
48	26323 21222	   	198.87	ACR|1BASARM|2BEXP|1DMG|1VULN	13LWND|2RCVC|4RCR|5TLV|68BEXP|7BASARM|9DMG|aVULN
49	12635 23432	   	198.78	ACR|3ASPD|1VULN|2BASICY|1AART	18VENICY|2VULN|368ASPD|4RCR|58BASICY|7AART|8BPWR|9ZMB|aDUST
50	12635 23433	   	198.78	ACR|3ASPD|1VULN|2BASICY|1AART	18VENICY|2VULN|368ASPD|4RCR|58BASICY|7AART|8BPWR|9ZMB|aMDPS
51	26423 21222	   	198.77	ACR|1BASARM|2BEXP|1DMG|1VULN	1LWND|2RCVC|3AEMAG|4RCR|5TLV|68BEXP|7BASARM|9DMG|aVULN
52	12635 23411	   	198.53	ACR|3ASPD|1VULN|2BASICY|1BEXP|1AART|1SELL	18VENICY|2VULN|368ASPD|4RCR|58BASICY|7AART|8BPWR|9SELL|aBEXP
53	12635 22113	 * 	198.01	ACR|2VULN|2ASPD|2BEXP|1BASICY	1VENICY|29VULN|36ASPD|4RCR|5BASICY|7ERES|8aBEXP
54	12635 35113	   	198.01	ACR|2VULN|2ASPD|2BEXP|1BASICY	1VENICY|29VULN|37ASPD|4RCR|5BASICY|6TLV|8aBEXP
55	12635 31143	   	198.01	ACR|2VULN|2ASPD|2BEXP|1BASICY	17VENICY|27VULN|39ASPD|4RCR|5BASICY|67TLV|7BPWR|8aBEXP
56	33612 35533	   	197.45	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8MULARM|9RCVC|aVULN
57	33612 35633	   	197.45	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8MSLFST|9RCVC|aVULN
58	32625 34333	 * 	197.23	ACR|3ASPD|3BEXP|1BASICY	189DUST|2DLOT|3RCVC|4TLV|5RCR|689BEXP|789ASPD|89BPWR|aBASICY
59	63612 35321	   	196.89	ACR|1BASARM|2ASPD|1VULN|1AART	19FEWX|2LIT|3AART|46ASPD|5RCR|7BASARM|8RPLT|aVULN
60	33612 35116	   	196.79	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8LHND|9ZMB|aVULN
61	33612 35126	   	196.79	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8LHND|9RMIN|aVULN
62	33612 35136	   	196.79	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8LHND|9MLV|aVULN
63	32212 35133	   	196.69	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8LHND|9AART|aVULN
64	32212 35433	   	196.69	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8FEWX|9AART|aVULN
65	33612 35513	   	196.69	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|29LIT|3AART|46ASPD|5RCR|7BASARM|8MULARM|aVULN
66	33612 35613	   	196.69	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|29LIT|3AART|46ASPD|5RCR|7BASARM|8MSLFST|aVULN
67	32212 35522	   	196.59	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8MULARM|9VULN|aAART
68	32212 35622	   	196.59	ACR|1BASARM|2ASPD|1VULN|1AART	1DUST|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8MSLFST|9VULN|aAART
69	26321 24512	   	196.55	ACR|3ASPD|3BEXP|1AART	138LWND|2RCVC|4RCR|578ASPD|68aBEXP|8BPWR|9AART
70	21321 24551	 * 	196.38	ACR|3ASPD|2VULN|2BEXP	138LWND|2DMSP|4RCR|578ASPD|68BEXP|8BPWR|9aVULN
71	12636 34222	   	196.24	ACR|1BASARM|2VULN|1ASPD|1AART	1VENICY|2aVULN|3ASPD|4RCR|5NUKE|6AART|7ERES|8DUR|9BASARM
72	62212 35231	   	196.10	ACR|3ASPD|1BASARM|1BEXP	1FEWX|2DLOT|3LIT|46aASPD|5RCR|7BASARM|8BEXP|9MDPS
73	26321 53324	 * 	195.97	ACR|2ASPD|2DMG|2VULN	13aLWND|2RCVC|4RCR|57ASPD|6RPLT|8aDMG|9aVULN|aBPWR
74	62212 35433	   	195.50	ACR|1BASARM|2ASPD|1VULN|1CDMG	18FEWX|2DLOT|3LIT|46ASPD|5RCR|7BASARM|9CDMG|aVULN
75	12635 25323	   	195.38	ACR|3ASPD|1VULN|1DMG|1BASICY	1VENICY|2VULN|36aASPD|4RCR|5BASICY|7LHND|8LEGI|9DMG
76	12635 26323	   	195.38	ACR|3ASPD|1VULN|1DMG|1BASICY	1VENICY|2VULN|36aASPD|4RCR|5BASICY|7MBVNT|8LHND|9DMG
