0	Index      	 *	Score 	Summary	Detail	
1	21656 31344	 * 	217.45	ACR|1BASARM|2VULN|2BEXP|1DMG|1CDMG	1aVULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9CDMG
15	26212 15282	   	204.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2LHND|3AART|4RCR|5ERES|6ZMB|7DMG|8MBVNT|9BASARM|aASPD
16	26216 21315	 * 	203.93	ACR|1BASARM|1VULN|2CDMG|1BASICY|1BEXP|1AART|1SELL	1VULN|2LHND|3AART|4RCR|59CDMG|6BASICY|7SELL|8BEXP|aBASARM
17	42231 35111	   	203.19	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9aBEXP
18	26211 12282	 * 	201.79	ACR|1BASARM|2ASPD|1VULN|1AART	1VULN|2LHND|3AART|4RCR|5aASPD|6ZMB|7CGEN|8MBVNT|9BASARM
19	44231 33216	 * 	201.65	ACR|3ASPD|2VULN|2AART	1LIT|2TLV|358ASPD|4RCR|67VULN|9aAART
20	44233 53433	   	201.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1LIT|2TLV|3ASPD|4RCR|5AART|6MBVNT|7BEXP|8DMG|9BASARM|aLHND
21	21646 13633	 * 	201.53	ACR|3VULN|2DMG|2BEXP|1CDMG	14aVULN|2aBEXP|3MBVNT|5RCR|6DUST|7BELT|8CDMG|9aDMG|aBPWR
22	44233 53431	   	201.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1LIT|2TLV|3ASPD|4RCR|5AART|6MBVNT|7BEXP|8DMG|9BASARM|aERES
23	44235 33131	   	200.59	ACR|2VULN|2DMG|2BEXP|1ASPD	1LIT|2aTLV|3ASPD|4RCR|57VULN|6aBEXP|8DUR|9aDMG|aBPWR
24	26213 45211	   	200.42	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9MLV|aRMIN
25	26213 45213	   	200.42	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9MLV|aFEWX
26	26213 45231	   	200.42	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9ZMB|aRMIN
27	26213 45233	   	200.42	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9ZMB|aBELT
28	26213 45212	   	200.32	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9MLV|aAIRARM
29	26213 45221	   	200.32	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9ERES|aRMIN
30	26213 45223	   	200.32	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9ERES|aFEWX
31	26213 45232	   	200.32	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9ZMB|aSPLREG
32	26213 45222	   	200.22	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8DMG|9ERES|aAIRARM
33	26211 43142	   	199.75	ACR|2VULN|2ASPD|2AART|1CDMG	18VULN|2LHND|39AART|4RCR|56ASPD|7LIT|aCDMG
34	44231 25112	   	199.30	ACR|2ASPD|2BEXP|1DMG|1CDMG|1AART	1LIT|2TLV|35ASPD|4RCR|69BEXP|7DMG|8AART|aCDMG
35	22134 42211	 * 	198.70	4VULN|2ASPD|2DMG|2BEXP|3CDMG	137aVULN|237CDMG|37aBPWR|4ZMB|5aDMG|67BEXP|8LIT|9aASPD
36	44232 33231	 * 	198.32	ACR|3BEXP|2DMG|1VULN|1ASPD	1LIT|2aTLV|3ASPD|4RCR|5DUR|68aBEXP|7VULN|9aDMG|aBPWR
37	26211 12283	   	197.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5ASPD|6ZMB|7CGEN|8MBVNT|9BASARM|aCDMG
38	44231 25113	 * 	196.90	ACR|2ASPD|2BEXP|2AART|1DMG	1LIT|2TLV|35ASPD|4RCR|69BEXP|7DMG|8aAART
39	42231 35316	 * 	196.82	ACR|2VULN|2ASPD|1DMG|2CDMG	1aLIT|2AAC|35ASPD|4RCR|6aVULN|7DMG|8FEWX|9aCDMG|aBPWR
40	42233 25216	   	196.75	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1aLIT|2AAC|3ASPD|4RCR|5DMSP|6aBEXP|7DMG|8CDMG|9aVULN|aBPWR
41	26211 45123	   	196.52	ACR|2VULN|2ASPD|2BEXP|1AART	19VULN|2LHND|3AART|4RCR|56ASPD|7aBEXP|8DUR
42	26216 21225	 * 	196.49	ACR|1BASARM|1VULN|2AART|1BASICY|1CDMG|1SELL	1VULN|2LHND|38AART|4RCR|5CDMG|6BASICY|7SELL|9FEWX|aBASARM
43	26211 45223	   	196.42	ACR|2VULN|2ASPD|2BEXP|1AART	19VULN|2LHND|3AART|4RCR|56ASPD|7aBEXP|8MBVNT
44	26212 15283	   	196.34	ACR|1BASARM|2VULN|1DMG|1AART	1aVULN|2LHND|3AART|4RCR|5ERES|6ZMB|7DMG|8MBVNT|9BASARM
45	26216 21335	 * 	196.32	ACR|1BASARM|1VULN|1BASICY|1BEXP|1CDMG|1AART|1SELL	1VULN|29LHND|3AART|4RCR|5CDMG|6BASICY|7SELL|8BEXP|aBASARM
46	44231 13241	 * 	196.28	ACR|3ASPD|2VULN|2BEXP	19LIT|26TLV|356ASPD|4RCR|69BPWR|79VULN|89BEXP|aLWND
47	44231 13242	   	196.28	ACR|3ASPD|2VULN|2BEXP	19aLIT|26TLV|356ASPD|4RCR|69BPWR|79VULN|89BEXP
48	44233 51432	   	196.23	ACR|1BASARM|1ASPD|1DMG|1AART|1AAC	1LIT|2TLV|3ASPD|4RCR|5AART|6MBVNT|7FEWX|8DMG|9BASARM|aAAC
49	44231 13243	   	196.18	ACR|3ASPD|2VULN|2BEXP	19LIT|26TLV|356ASPD|4RCR|69BPWR|79VULN|89BEXP|aMDPS
50	26211 41413	 * 	194.91	ACR|3VULN|2ASPD|1AART|1BEXP	189VULN|27LHND|3AART|4RCR|56ASPD|aBEXP
51	42231 35134	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	1LIT|2AAC|35ASPD|4RCR|6VULN|7aDMG|8AART|9ZMB
52	21646 26211	 * 	193.21	ACR|3VULN|2ASPD|1DMG|1BEXP	14aVULN|2BEXP|3MBVNT|5RCR|6aLHND|7DMG|8LIT|9aASPD|aBPWR
53	21646 16211	   	193.01	ACR|3VULN|2ASPD|1DMG|1BEXP	14aVULN|2BEXP|3MBVNT|5RCR|6aDUST|7DMG|8LIT|9aASPD|aBPWR
54	42231 32624	   	192.87	ACR|1BASARM|2ASPD|1VULN|3AAC	1LIT|27aAAC|35ASPD|4RCR|6VULN|8CGEN|9BASARM
55	42231 32424	   	192.77	ACR|1BASARM|2ASPD|1VULN|3AAC	1LIT|27aAAC|35ASPD|4RCR|6VULN|8AME|9BASARM
56	26213 45312	   	192.61	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1VULN|2LHND|3AART|4RCR|5RCVC|6CDMG|7BASARM|8FEWX|9DUST|aBEXP
57	42231 34136	   	192.58	ACR|2VULN|2ASPD|2CDMG|1AART	19LIT|2AAC|35ASPD|4RCR|69VULN|79CDMG|8DLOT|9BPWR|aAART
58	44231 34211	   	192.48	ACR|2VULN|2ASPD|2CDMG|1AART	1LIT|2TLV|35ASPD|4RCR|69VULN|7aCDMG|8AART
59	42233 16336	   	192.24	ACR|2VULN|2ASPD|2DMG	16aLIT|2AAC|36ASPD|4RCR|5DMSP|6aBPWR|7aVULN|8RPLT|9aDMG
60	42232 51531	   	192.14	ACR|2VULN|2ASPD|2DMG	1LIT|2AAC|3aASPD|4RCR|5DUR|6ZMB|7aVULN|8MLV|9aDMG|aBPWR
61	42231 32336	   	192.04	ACR|2VULN|2ASPD|2DMG	1aLIT|27AAC|35ASPD|4RCR|6aVULN|8RPLT|9aDMG|aBPWR
62	42232 11231	   	192.04	ACR|2VULN|2ASPD|2DMG	1LIT|2AAC|3aASPD|4RCR|5DUR|6TLV|7aVULN|8ZMB|9aDMG|aBPWR
63	42232 51131	   	192.04	ACR|2VULN|2ASPD|2DMG	1LIT|2AAC|3aASPD|4RCR|5DUR|6ZMB|7aVULN|8AME|9aDMG|aBPWR
64	26211 43134	   	190.41	ACR|2VULN|2ASPD|1DMG|1AART	18VULN|2LHND|3AART|4RCR|56ASPD|7LIT|9ZMB|aDMG
65	21656 31321	   	190.25	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9MULARM|aRCVC
66	26211 13223	   	190.25	ACR|2ASPD|1VULN|2BEXP|1AART|1AAC	1VULN|2LHND|3AART|4RCR|58ASPD|6ZMB|7aBEXP|9AAC
67	26211 46323	   	190.25	ACR|2ASPD|1VULN|2BEXP|1AART|1AAC	1VULN|2LHND|3AART|4RCR|56ASPD|7ZMB|8aBEXP|9AAC
68	26216 21134	 * 	190.06	ACR|2VULN|2ASPD|1BASICY|1CDMG|1AART|1SELL	1aVULN|2LHND|3AART|4RCR|5CDMG|6BASICY|7SELL|89ASPD
69	21656 11321	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9RMIN|aLWND
70	21656 11322	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9RMIN|aRPLT
71	21656 11323	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9RMIN|aLIT
72	21656 11331	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LWND|aLIT
73	21656 11332	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LWND|aBELT
74	21656 11333	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LWND|aCGEN
75	21656 11341	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LHND|aLIT
76	21656 11342	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LHND|aBELT
77	21656 11343	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LHND|aCGEN
78	21656 44344	   	190.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|26BEXP|3MBVNT|4DMG|5RCR|7ZMB|8MLV|9AEFBLL|aBASARM
79	26212 43422	 * 	190.02	ACR|2VULN|1ASPD|1BASICY|1AART|1BEXP|1AAC	18VULN|2LHND|3AART|4RCR|5ERES|6ASPD|7BEXP|9AAC|aBASICY
80	44231 33336	 * 	190.00	ACR|3ASPD|2VULN|1DMG	1LIT|2TLV|35aASPD|4RCR|67VULN|8RPLT|9DMG
81	21656 11311	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9AME|aLWND
82	21656 11312	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9AME|aRPLT
83	21656 11313	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9AME|aLIT
84	21656 11324	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6aERES|8BASARM|9RMIN
85	21656 31311	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|69AME|8BASARM|aRPLT
86	21656 31322	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9MULARM|aCGEN
87	21656 31323	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9MULARM|aDUR
88	21656 31331	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9ERES|aLWND
89	21656 31332	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9ERES|aRPLT
90	21656 31333	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9ERES|aLIT
91	21656 44244	   	189.93	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|26BEXP|3MBVNT|4DMG|5RCR|7ZMB|8TLV|9AEFBLL|aBASARM
92	21656 11314	   	189.83	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6aERES|8BASARM|9AME
93	21656 31312	   	189.83	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|69aAME|8BASARM
94	21656 31313	   	189.83	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|69AME|8BASARM|aTLV
95	21656 31314	   	189.83	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|69AME|8BASARM|aAEFBLL
96	21656 31324	   	189.83	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9MULARM|aNUKE
97	21656 31334	   	189.83	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9aERES
98	44233 53232	   	189.81	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1LIT|2TLV|3ASPD|4RCR|5AART|6MBVNT|7BEXP|8RMIN|9BASARM|aAAC
99	42231 35142	   	189.62	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9DMSP|aCDMG
100	26211 41411	   	189.57	ACR|3VULN|2ASPD|1AART|1AAC	189VULN|27LHND|3AART|4RCR|56ASPD|aAAC
101	42231 35351	   	189.27	ACR|3ASPD|1VULN|1DMG|1BEXP	19LIT|2AAC|359ASPD|4RCR|6VULN|7DMG|89FEWX|9BPWR|aBEXP
102	42231 13162	   	189.07	ACR|3ASPD|1VULN|1DMG|1BEXP	16LIT|2AAC|356ASPD|4RCR|6BPWR|7VULN|8MDPS|9DMG|aBEXP
103	42231 35143	 * 	188.47	ACR|2ASPD|1VULN|2AART|1DMG	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8aAART|9DMSP
104	42231 35112	   	188.35	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9BEXP|aRMIN
105	42231 35113	   	188.35	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9BEXP|aMLV
106	42231 35115	   	188.35	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9BEXP|aBELT
107	42231 35121	   	188.35	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9DUR|aBEXP
108	44231 35112	   	188.35	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1LIT|2TLV|35ASPD|4RCR|6VULN|7DMG|8AART|9BEXP|aDUR
109	42231 35114	   	188.25	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9BEXP|aMDPS
110	42231 35161	   	188.25	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1LIT|2AAC|35ASPD|4RCR|6VULN|7DMG|8AART|9LEGI|aBEXP
111	44231 35113	   	188.25	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1LIT|2TLV|35ASPD|4RCR|6VULN|7DMG|8AART|9BEXP|aERES
112	26216 21133	 * 	188.23	ACR|2ASPD|1VULN|2AART|1BASICY|1CDMG|1SELL	1VULN|2LHND|3aAART|4RCR|5CDMG|6BASICY|7SELL|89ASPD
113	26216 21131	 * 	188.10	ACR|2ASPD|1VULN|1BASICY|1BEXP|1CDMG|1AART|1SELL	1VULN|2LHND|3AART|4RCR|5CDMG|6BASICY|7SELL|89ASPD|aBEXP
114	42231 36316	   	188.10	ACR|2VULN|2ASPD|2CDMG|1BEXP	1aLIT|2AAC|35ASPD|4RCR|6aVULN|7BEXP|8MLV|9aCDMG|aBPWR
115	42231 34511	   	188.00	ACR|2VULN|2ASPD|1DMG|1CDMG	1LIT|2AAC|35ASPD|4RCR|69VULN|7CDMG|8DMG|aRPLT
116	42231 34512	   	188.00	ACR|2VULN|2ASPD|1DMG|1CDMG	1LIT|2AAC|35ASPD|4RCR|69VULN|7CDMG|8DMG|aRMIN
117	42231 34513	   	188.00	ACR|2VULN|2ASPD|1DMG|1CDMG	1LIT|2AAC|35ASPD|4RCR|69VULN|7CDMG|8DMG|aDUR
118	42231 34523	   	188.00	ACR|2VULN|2ASPD|1DMG|1CDMG	1LIT|2AAC|35ASPD|4RCR|6aVULN|7CDMG|8DMG|9DUR
119	44233 51433	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1LIT|2TLV|3ASPD|4RCR|5AART|6MBVNT|7FEWX|8DMG|9BASARM|aLHND
120	44233 51431	   	187.82	ACR|1BASARM|1ASPD|1DMG|1AART	1LIT|2TLV|3ASPD|4RCR|5AART|6MBVNT|7FEWX|8DMG|9BASARM|aERES
121	42231 25326	 * 	187.56	ACR|3ASPD|2BEXP|1DMG	1LIT|2AAC|35aASPD|4RCR|68BEXP|7DMG|9MBVNT
