0	Index      	 *	Score 	Summary	Detail	
1	64332 11132	 * 	236.48	ACR|2VULN|2ASPD|2DMG|2BEXP|1CDMG	17ASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9aVULN
13	66153 11111	 * 	226.26	ACR|3ASPD|1BASARM|1DMG|1BEXP	18aASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7BEXP|9RPLT
14	66153 12133	   	226.26	ACR|3ASPD|1BASARM|1DMG|1AART	18aASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7LHND|9AART
15	64332 33523	   	225.30	ACR|1BASARM|3BEXP|2ASPD|1CDMG	16ASPD|23aBEXP|4RCR|5MULARM|7BASARM|8DUR|9CDMG
16	64336 22322	 * 	222.77	ACR|1BASARM|3BEXP|1VULN|1ASPD|1AART	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8VULN|9ZMB|aAART
17	21114 21522	   	221.96	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	17LWND|26ASPD|3ZMB|4RCR|5CDMG|8DMG|9VULN|aBASARM
18	31114 22522	   	221.96	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	17LHND|26ASPD|3ZMB|4RCR|5CDMG|8DMG|9VULN|aBASARM
19	64336 22211	   	221.36	ACR|1BASARM|3BEXP|1ASPD|1VULN|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8AEFBLL|9VULN|aCDMG
20	64336 22311	   	221.36	ACR|1BASARM|3BEXP|1VULN|1ASPD|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8VULN|9MBVNT|aCDMG
21	64332 11136	   	220.87	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	17ASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9VULN|aLWND
22	64332 11131	   	220.77	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	17ASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9VULN|aMSLTOX
23	64332 11133	   	220.77	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	17ASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9VULN|aERES
24	64332 11134	   	220.77	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	17ASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9VULN|aTLV
25	64332 11142	   	220.77	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	17ASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9DUST|aVULN
26	64332 33111	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9LHND|aCGEN
27	64332 33113	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9aLHND
28	64332 33116	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9LHND|aDUR
29	64332 33141	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9FEWX|aCGEN
30	64332 33142	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9FEWX|aLHND
31	64332 33151	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9DUR|aCGEN
32	64332 33152	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9DUR|aLHND
33	64332 33112	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9LHND|aLEGI
34	64332 33121	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9ERES|aLHND
35	64332 33122	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9ERES|aZMB
36	64332 33125	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9ERES|aDUR
37	64332 33143	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9FEWX|aTLV
38	64332 33153	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9DUR|aTLV
39	64332 33162	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9MDPS|aDUR
40	64332 33163	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9MDPS|aFEWX
41	64332 33221	 * 	220.35	ACR|1BASARM|2ASPD|2BEXP|1BASICY	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9BASICY|aDUR
42	64332 33222	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1BASICY	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9BASICY|aCGEN
43	64332 33223	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1BASICY	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9BASICY|aBELT
44	64332 33224	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1BASICY	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9BASICY|aLWND
45	64332 33225	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1BASICY	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9BASICY|aDMSP
46	64332 33226	   	220.35	ACR|1BASARM|2ASPD|2BEXP|1BASICY	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9BASICY|aMLV
47	64332 33123	   	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9ERES|aMSLTOX
48	64332 33124	   	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9ERES|aDUST
49	64332 33126	   	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9aERES
50	64332 33161	   	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9MDPS|aDUST
51	64332 11125	 * 	218.90	ACR|3ASPD|2DMG|2BEXP|1CDMG	17aASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9MDPS
52	64332 11111	   	218.75	ACR|3ASPD|2DMG|2BEXP|1CDMG|1SELL	17aASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9SELL
53	64332 11116	 * 	218.75	ACR|3DMG|2ASPD|2BEXP|1CDMG|1SELL	17ASPD|23BEXP|4RCR|57MULARM|67aDMG|7BPWR|8CDMG|9SELL
54	46261 12222	   	217.50	ACR|1BASARM|2DMG|1BEXP|1AART|1AAC	1ERES|2RCR|3LIT|4BEXP|5RMIN|67DMG|8AART|9AAC|aBASARM
55	64332 11622	 * 	217.14	ACR|3ASPD|3BEXP|2DMG	179ASPD|239BEXP|4RCR|57MULARM|67DMG|79BPWR|89CGEN|aRCVC
56	66153 12122	   	216.92	ACR|1BASARM|2ASPD|1DMG|1BASICY	18ASPD|29MDPS|3RCR|4BASARM|5DMG|6FEWX|7LHND|aBASICY
57	64332 11623	   	216.81	ACR|3ASPD|3BEXP|2DMG	179ASPD|239BEXP|4RCR|57MULARM|67DMG|79BPWR|89CGEN|aLWND
58	64332 11621	   	216.71	ACR|3ASPD|3BEXP|2DMG	179ASPD|239BEXP|4RCR|57MULARM|67DMG|79BPWR|89CGEN|aMBVNT
59	64331 63232	   	216.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1ASPD|23BEXP|4RCR|5NUKE|6MLV|7LIT|8AART|9DMG|aBASARM
60	64332 14132	   	216.49	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	17ASPD|23BEXP|4RCR|5MULARM|6DMG|8CDMG|9aVULN
61	64331 33232	   	216.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1ASPD|23BEXP|4RCR|5NUKE|6ERES|7LIT|8AART|9DMG|aBASARM
62	64332 12261	   	216.31	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG	1ASPD|23BEXP|4RCR|5MULARM|6DMG|7VULN|8MDPS|9AME|aBASARM
63	64332 33233	   	215.84	ACR|3ASPD|1BASARM|2BEXP	16aASPD|23BEXP|4RCR|5aMULARM|7BASARM|8AEFBLL|9aERES|aBPWR
64	66153 12113	   	214.55	ACR|1BASARM|2ASPD|2DMG	18ASPD|2MDPS|3RCR|4BASARM|5aDMG|6FEWX|7LHND|9RPLT
65	64332 33522	   	214.36	ACR|1BASARM|2ASPD|2BEXP|1CDMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DUR|9CDMG|aRCVC
66	64332 33422	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1VULN	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|89LIT|aVULN
67	64332 33242	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9LHND|aVULN
68	64332 33262	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9LIT|aVULN
69	64332 33412	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8LIT|9AEMAG|aVULN
70	64332 33521	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1CDMG	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DUR|9CDMG|aERES
71	64332 33234	   	213.83	ACR|1BASARM|2ASPD|2BEXP|1VULN	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9ERES|aVULN
72	66153 12111	   	212.61	ACR|3ASPD|1BASARM|1DMG	18aASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7LHND|9RPLT
73	64332 12633	 * 	212.13	ACR|3VULN|2BEXP|1ASPD|1DMG|1AART	1ASPD|23BEXP|4RCR|5MULARM|6DMG|789VULN|aAART
74	64332 33311	   	211.65	ACR|1BASARM|3BEXP|2ASPD	16ASPD|23aBEXP|4RCR|5MULARM|7BASARM|8RPLT|9DUR
75	64332 33352	   	211.65	ACR|1BASARM|3BEXP|2ASPD	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8RPLT|aDUR
76	64332 33353	   	211.65	ACR|1BASARM|3BEXP|2ASPD	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8RPLT|aRMIN
77	64332 33351	   	211.55	ACR|1BASARM|3BEXP|2ASPD	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8RPLT|aMBVNT
78	64336 22233	   	211.55	ACR|1BASARM|3BEXP|2ASPD	1aASPD|235BEXP|4RCR|6BASARM|7DUR|8AEFBLL|9AEMAG
79	64332 33533	   	211.40	ACR|1BASARM|3BEXP|2ASPD|1SELL	16ASPD|23aBEXP|4RCR|5MULARM|7BASARM|8DUR|9SELL
80	31114 52522	 * 	210.68	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	17LHND|2ASPD|3ZMB|4RCR|56CDMG|8DMG|9VULN|aBASARM
81	66153 11131	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	18ASPD|2MDPS|3RCR|4BASARM|5DMG|6aFEWX|7BEXP|9DMSP
82	66153 11133	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	18ASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7BEXP|9aDMSP
83	66153 12132	   	210.61	ACR|1BASARM|2ASPD|1DMG|1AART	18ASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7aLHND|9AART
84	66153 13233	   	210.61	ACR|1BASARM|2ASPD|1DMG|1AART	1aASPD|2MDPS|3RCR|4BASARM|5DMG|67FEWX|8LHND|9AART
85	66153 11121	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	18ASPD|29MDPS|3RCR|4BASARM|5DMG|6aFEWX|7BEXP
86	66153 11123	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	18ASPD|29MDPS|3RCR|4BASARM|5DMG|6FEWX|7BEXP|aDMSP
87	66153 11323	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1aASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7BEXP|8DUR|9ERES
88	66153 12131	   	210.51	ACR|1BASARM|2ASPD|1DMG|1AART	18ASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7LHND|9AART|aMBVNT
89	66153 22233	   	210.41	ACR|1BASARM|2ASPD|1DMG|1AART	1aASPD|2MDPS|3RCR|4BASARM|5DMG|6AAC|7ERES|8LHND|9AART
90	64332 33321	   	208.69	ACR|1BASARM|2ASPD|2BEXP|1AAC	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8RPLT|9ZMB|aAAC
91	64332 33341	   	208.69	ACR|1BASARM|2ASPD|2BEXP|1AAC	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8RPLT|9RMIN|aAAC
92	64332 33236	   	208.49	ACR|1BASARM|2ASPD|2BEXP|1AAC	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8AEFBLL|9ERES|aAAC
93	11111 26632	   	208.20	ACR|2VULN|2ASPD|2DMG|1CDMG	168DUR|29ASPD|3ZMB|4RCR|59VULN|79DMG|9BPWR|aCDMG
94	64336 23212	   	207.81	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7LIT|8LHND|9CDMG|aZMB
95	64336 23233	   	207.81	ACR|1BASARM|3BEXP|1ASPD|1AART	1ASPD|235BEXP|4RCR|6BASARM|7LIT|8LHND|9CGEN|aAART
96	64336 23333	   	207.81	ACR|1BASARM|3BEXP|1ASPD|1AART	1ASPD|235BEXP|4RCR|6BASARM|7LIT|8CGEN|9FEWX|aAART
97	64336 21311	   	207.71	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7ERES|8LWND|9CGEN|aCDMG
98	64336 22123	   	207.71	ACR|1BASARM|3BEXP|1ASPD|1AART	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8DUST|9ZMB|aAART
99	64336 23211	   	207.71	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7LIT|8LHND|9CDMG|aDUST
100	64336 23213	   	207.71	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7LIT|8LHND|9CDMG|aVENFST
101	64333 12221	 * 	207.65	ACR|3ASPD|2VULN|3BEXP	18aASPD|23aBEXP|4RCR|5RPLT|68VULN|78AME|8aBPWR|9aLIT
102	64336 21211	   	207.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7ERES|8DUST|9CGEN|aCDMG
103	64336 22111	   	207.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8DUST|9MBVNT|aCDMG
104	64336 22231	   	207.61	ACR|1BASARM|3BEXP|1ASPD|1AART	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8AEFBLL|9AEMAG|aAART
105	64331 61311	   	207.55	ACR|3ASPD|3BEXP|2VULN	17aASPD|237BEXP|4RCR|5NUKE|67MLV|7aBPWR|8aERES|9aVULN
106	64336 22133	   	207.47	ACR|1BASARM|3BEXP|1ASPD|1AART|1SELL	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8DUST|9SELL|aAART
107	11111 26542	 * 	206.77	ACR|1BASARM|2DMG|1VULN|1ASPD|1SELL	16DUR|2ASPD|3ZMB|4RCR|5VULN|78DMG|9SELL|aBASARM
108	66151 11322	   	206.69	ACR|1BASARM|2ASPD|1VULN|1AART	19ASPD|2MDPS|3RCR|4BASARM|5DUR|6VULN|7LWND|8SNIFST|aAART
109	64336 22332	   	206.57	ACR|1BASARM|3BEXP|1VULN|1ASPD|1SELL	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8VULN|9SELL|aRCVC
110	66153 11321	   	206.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1ASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7BEXP|8DUR|9ERES|aAART
111	64336 22321	   	206.49	ACR|1BASARM|3BEXP|1VULN|1ASPD	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8VULN|9ZMB|aFEWX
112	64336 22323	   	206.49	ACR|1BASARM|3BEXP|1VULN|1ASPD	1ASPD|235BEXP|4RCR|6BASARM|7DUR|8VULN|9ZMB|aLWND
113	64336 23231	   	206.49	ACR|1BASARM|3BEXP|1ASPD|1VULN	1ASPD|235BEXP|4RCR|6BASARM|7LIT|8LHND|9CGEN|aVULN
114	64336 23331	   	206.49	ACR|1BASARM|3BEXP|1ASPD|1VULN	1ASPD|235BEXP|4RCR|6BASARM|7LIT|8CGEN|9FEWX|aVULN
