0	Index      	 *	Score 	Summary	Detail	
1	41112 25224	 * 	200.34	DCR|3ASPD|3BEXP|1VULN|1DMG|1BASICY	138BEXP|235ASPD|3BPWR|4BASICY|6AAC|7VULN|9DMG|aRCR
56	65363 12131	   	176.61	ACR|1BASARM|1DMG|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7CGEN|8DMG|9LIT|aBEXP
57	65363 12223	 * 	176.61	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7CGEN|8BASICY|9BEXP|aLHND
58	65363 22131	   	176.61	ACR|1BASARM|1DMG|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7CGEN|8DMG|9LIT|aBEXP
59	65363 22223	   	176.61	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6aLHND|7CGEN|8BASICY|9BEXP
60	65363 32213	   	176.61	ACR|1BASARM|1DMG|1BEXP|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|79CGEN|8BEXP|aDMG
61	65363 32223	   	176.61	ACR|1BASARM|1DMG|1BEXP|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CGEN|8BEXP|9DMSP|aDMG
62	65363 33131	   	176.61	ACR|1BASARM|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CDMG|8DUR|9DMG|aZMB
63	65363 33132	   	176.61	ACR|1BASARM|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CDMG|8DUR|9DMG|aLWND
64	65363 33221	 * 	176.61	ACR|1BASARM|1ASPD|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CDMG|89FEWX|aASPD
65	65363 33222	   	176.61	ACR|1BASARM|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CDMG|89FEWX|aDMG
66	32415 21222	 * 	176.59	ACR|2VULN|2BEXP|1DMG|1AART	1RPLT|2LIT|3CGEN|4RCR|56BEXP|7DMG|8AART|9aVULN
67	32313 23138	 * 	176.58	ACR|1BASARM|2BEXP|1CDMG	1RPLT|278LIT|38ZMB|4RCR|5MBVNT|68BEXP|8BPWR|9CDMG|aBASARM
68	65363 12222	   	176.51	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7CGEN|8BASICY|9BEXP|aERES
69	65363 13131	   	176.51	ACR|1BASARM|1DMG|1BEXP|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7ERES|8DMG|9LIT|aBEXP
70	65363 13223	   	176.51	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6aLWND|7ERES|8BASICY|9BEXP
71	65363 22222	   	176.51	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7CGEN|8BASICY|9BEXP|aERES
72	65363 23131	   	176.51	ACR|1BASARM|1DMG|1BEXP|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7ERES|8DMG|9LIT|aBEXP
73	65363 23223	   	176.51	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7ERES|8BASICY|9BEXP|aLWND
74	65363 32321	   	176.51	ACR|1BASARM|1ASPD|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CGEN|8CDMG|9TLV|aASPD
75	65363 32322	   	176.51	ACR|1BASARM|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CGEN|8CDMG|9TLV|aDMG
76	65363 33133	   	176.51	ACR|1BASARM|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CDMG|8DUR|9DMG|aMBVNT
77	31215 21222	   	176.49	ACR|2VULN|2BEXP|1DMG|1AART	1RPLT|2ERES|3LIT|4RCR|56BEXP|7DMG|8AART|9aVULN
78	31215 21616	   	176.49	ACR|2VULN|2BEXP|1DMG|1AART	1RPLT|2ERES|3LIT|4RCR|56BEXP|7DMG|89VULN|aAART
79	32415 21241	   	176.47	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1RPLT|2LIT|3CGEN|4RCR|56BEXP|7DMG|8AART|9ASPD|aAAC
80	65363 13222	   	176.41	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7aERES|8BASICY|9BEXP
81	65363 23222	   	176.41	ACR|1BASARM|1BASICY|1AART|1BEXP	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7aERES|8BASICY|9BEXP
82	65363 33321	   	176.41	ACR|1BASARM|1ASPD|1CDMG|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CDMG|8ERES|9TLV|aASPD
83	65363 33322	   	176.41	ACR|1BASARM|1DMG|1CDMG|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7CDMG|8ERES|9TLV|aDMG
84	31215 21241	   	176.37	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1RPLT|2ERES|3LIT|4RCR|56BEXP|7DMG|8AART|9ASPD|aAAC
85	41112 32621	 * 	176.32	3ASPD|1BASARM|3BEXP|1BASICY|1AART	139BEXP|235ASPD|3BPWR|4BASICY|6DUR|7RMIN|8AART|aBASARM
86	41111 33621	   	176.22	3ASPD|1BASARM|3BEXP|1BASICY|1AART	139BEXP|237ASPD|3BPWR|4BASICY|5RMIN|6DUST|8AART|aBASARM
87	41114 33621	   	176.22	3ASPD|1BASARM|3BEXP|1BASICY|1AART	139BEXP|237ASPD|3BPWR|4BASICY|5ZMB|6DUST|8AART|aBASARM
88	41112 22621	   	176.12	3ASPD|1BASARM|3BEXP|1BASICY|1AART	139BEXP|235ASPD|3BPWR|4BASICY|6AAC|7DUST|8AART|aBASARM
89	11113 25153	   	175.62	1BASARM|3BEXP|2ASPD|1VULN|1BASICY|1CDMG	13DUR|23ASPD|3BPWR|4BASICY|5VULN|69aBEXP|7CDMG|8BASARM
90	41113 25153	   	175.62	1BASARM|3BEXP|2ASPD|1VULN|1BASICY|1CDMG	139BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|aLIT
91	41113 35153	   	175.62	1BASARM|3BEXP|2ASPD|1VULN|1BASICY|1CDMG	139BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7CDMG|8BASARM|aLIT
92	11513 25153	   	175.52	1BASARM|3BEXP|2ASPD|1VULN|1BASICY|1CDMG	1DUR|23ASPD|4BASICY|5VULN|69aBEXP|7CDMG|8BASARM
93	32313 64644	   	175.29	ACR|1BASARM|2AART|1VULN	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6MDPS|7aAART|8BASARM|9VULN
94	32313 27373	 * 	174.75	ACR|2ASPD|2DMG|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6BEXP|7aDMG|89ASPD
95	32313 77521	 * 	174.31	ACR|2VULN|2BEXP|1DMG|1CDMG	1RPLT|2aLIT|3ZMB|4RCR|5MBVNT|6aVULN|7DMG|8CDMG|9aBEXP|aBPWR
96	32316 26251	 * 	173.61	ACR|2DMG|1VULN|2CDMG|1BEXP	1RPLT|2LIT|3aZMB|4RCR|5VULN|6BEXP|7aDMG|8DUR|9aCDMG|aBPWR
97	31215 43333	 * 	173.29	ACR|1ASPD|1DMG|1BASICY|1VULN|1BEXP	1RPLT|2ERES|3LIT|4RCR|5BEXP|6LWND|7DMG|8ASPD|9BASICY|aVULN
98	31215 43334	 * 	173.29	ACR|1ASPD|1DMG|1BASICY|1CDMG|1BEXP	1RPLT|2ERES|3LIT|4RCR|5BEXP|6LWND|7DMG|8ASPD|9BASICY|aCDMG
99	11611 14612	 * 	173.14	DCR|3ASPD|2DMG|1VULN|1BEXP	148DUR|268ASPD|3DUST|5VULN|78DMG|8BPWR|9BEXP|aRCR
100	41432 31122	   	173.04	DCR|3ASPD|2DMG|1VULN|1BEXP	1BEXP|245ASPD|35DMG|5BPWR|6ZMB|7LHND|8MDPS|9VULN|aRCR
101	41432 31532	   	173.04	DCR|3ASPD|2DMG|1VULN|1BEXP	1BEXP|245ASPD|35DMG|5BPWR|6ZMB|7LHND|8VULN|9MDPS|aRCR
102	41432 32122	   	173.04	DCR|3ASPD|2DMG|1VULN|1BEXP	1BEXP|245ASPD|35DMG|5BPWR|6ZMB|7DUR|8MDPS|9VULN|aRCR
103	41432 32532	   	173.04	DCR|3ASPD|2DMG|1VULN|1BEXP	1BEXP|245ASPD|35DMG|5BPWR|6ZMB|7DUR|8VULN|9MDPS|aRCR
104	41432 33122	   	173.04	DCR|3ASPD|2DMG|1VULN|1BEXP	1BEXP|245ASPD|35DMG|5BPWR|6ZMB|7FEWX|8MDPS|9VULN|aRCR
105	32316 26423	 * 	173.02	ACR|3BEXP|1VULN|1DMG|1CDMG	1RPLT|2LIT|3ZMB|4RCR|5VULN|69aBEXP|7DMG|8CDMG
106	32313 27378	 * 	172.82	ACR|3ASPD|1DMG|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6BEXP|7DMG|89aASPD
107	41113 25132	   	172.66	1BASARM|2ASPD|1VULN|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|9AAC|aLIT
108	41113 35142	   	172.66	1BASARM|2ASPD|1VULN|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7CDMG|8BASARM|9AAC|aLIT
109	41113 25131	   	172.56	1BASARM|2ASPD|1VULN|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|9AAC|aERES
110	41113 25134	   	172.56	1BASARM|2ASPD|1VULN|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|9AAC|aMDPS
111	41113 25135	   	172.56	1BASARM|2ASPD|1VULN|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|9AAC|aDUST
112	41113 35141	   	172.56	1BASARM|2ASPD|1VULN|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7CDMG|8BASARM|9AAC|aERES
113	32316 26311	   	172.22	ACR|2DMG|1VULN|1ASPD|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5VULN|6BEXP|7aDMG|8ASPD|9FEWX
114	32316 26341	   	172.22	ACR|2DMG|1VULN|1ASPD|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5VULN|6BEXP|7aDMG|8ASPD|9DUR
115	41513 33131	 * 	172.16	2BASARM|2ASPD|1VULN|2BEXP|2BASICY|1SELL	1aBEXP|23ASPD|4aBASICY|5VULN|6DUR|7SELL|8aBASARM|9MDPS|aBPWR
116	32313 77361	   	172.12	ACR|2DMG|1VULN|1ASPD|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6VULN|7aDMG|8ASPD|9BEXP
117	32313 27374	 * 	172.12	ACR|2ASPD|1DMG|1VULN|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6BEXP|7DMG|89ASPD|aVULN
118	32316 26321	   	172.12	ACR|2DMG|1VULN|1ASPD|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5VULN|6BEXP|7aDMG|8ASPD|9DUST
119	32313 77374	 * 	172.00	ACR|2VULN|2ASPD|1DMG	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6aVULN|7DMG|89ASPD
120	32314 52125	 * 	171.89	ACR|1BASARM|2DMG	1RPLT|2LIT|3ZMB|4RCR|5DUR|6MDPS|78DMG|9MLV|aBASARM
121	32313 62126	   	171.79	ACR|1BASARM|2DMG	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6MDPS|78DMG|9MLV|aBASARM
122	32313 62156	   	171.79	ACR|1BASARM|2DMG	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6MDPS|78DMG|9CGEN|aBASARM
123	32314 52115	   	171.79	ACR|1BASARM|2DMG	1RPLT|2LIT|3ZMB|4RCR|5DUR|6MDPS|78DMG|9ERES|aBASARM
124	32512 52125	   	171.79	ACR|1BASARM|2DMG	1RPLT|2LIT|3AAC|4RCR|5LHND|6MDPS|78DMG|9MLV|aBASARM
125	63212 14741	 * 	171.71	DCR|1BASARM|2DMG|1VULN|1ASPD	1MDPS|2LHND|3DLOT|45DMG|6MBVNT|7VULN|8ASPD|9BASARM|aRCR
126	32313 62116	   	171.69	ACR|1BASARM|2DMG	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6MDPS|78DMG|9ERES|aBASARM
127	32512 52115	   	171.69	ACR|1BASARM|2DMG	1RPLT|2LIT|3AAC|4RCR|5LHND|6MDPS|78DMG|9ERES|aBASARM
128	41432 21263	 * 	171.58	3ASPD|1BASARM|2DMG|1VULN|1BEXP	1BEXP|245ASPD|35DMG|5BPWR|6AEMAG|7ZMB|8CGEN|9BASARM|aVULN
129	31215 31245	   	171.51	ACR|1ASPD|1DMG|1VULN|1BEXP|1AART	1RPLT|2ERES|3LIT|4RCR|5BEXP|6RCVC|7DMG|8AART|9ASPD|aVULN
130	65363 11123	   	171.50	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7FEWX|8ZMB|9VULN|aCDMG
131	65363 21123	   	171.50	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7FEWX|8ZMB|9VULN|aCDMG
132	65363 31232	   	171.50	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8DUR|9CDMG|aLWND
133	65363 31322	   	171.50	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9FEWX|aLWND
134	26222 13443	 * 	171.47	DCR|2VULN|1BASARM|2BEXP|1ASPD	1DUST|28VULN|34BEXP|5CGEN|6ASPD|7BASARM|9BELT|aRCR
135	65363 11323	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7FEWX|8ERES|9VULN|aCDMG
136	65363 21323	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7FEWX|8ERES|9VULN|aCDMG
137	65363 31231	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8DUR|9CDMG|aDUST
138	65363 31233	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8DUR|9CDMG|aSNITOX
139	65363 31312	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9DUST|aMLV
140	65363 31313	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9DUST|aLIT
141	65363 31321	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9FEWX|aDUST
142	65363 31323	   	171.40	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9FEWX|aSNITOX
143	21434 12742	 * 	171.37	4VULN|3ASPD|3DMG	178DUST|249ASPD|389DMG|5MBVNT|689aVULN|89BPWR
144	32415 21223	   	171.36	ACR|2BEXP|1VULN|1DMG|1AART|1AAC	1RPLT|2LIT|3CGEN|4RCR|56BEXP|7DMG|8AART|9VULN|aAAC
145	11113 25143	   	171.35	1BASARM|2VULN|2ASPD|1BASICY|1BEXP|1CDMG|1AAC	13DUR|23ASPD|3BPWR|4BASICY|5aVULN|6BEXP|7CDMG|8BASARM|9AAC
146	65363 31311	   	171.30	ACR|1BASARM|1VULN|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9aDUST
147	41121 13341	 * 	171.29	2VULN|3ASPD|1BASARM|3BEXP	138BEXP|236ASPD|38BPWR|4LWND|58VULN|78FEWX|9DUR|aBASARM
148	31215 21223	   	171.26	ACR|2BEXP|1VULN|1DMG|1AART|1AAC	1RPLT|2ERES|3LIT|4RCR|56BEXP|7DMG|8AART|9VULN|aAAC
149	11513 25143	   	171.25	1BASARM|2VULN|2ASPD|1BASICY|1BEXP|1CDMG|1AAC	1DUR|23ASPD|4BASICY|5aVULN|6BEXP|7CDMG|8BASARM|9AAC
