0	Index      	 *	Score 	Summary	Detail	
1	42112 63531	 * 	212.45	ACR|2VULN|2DMG|2BEXP|2AART	1aBEXP|29AART|3MDPS|4RCR|5aVULN|6LWND|7LHND|8aDMG|aBPWR
17	42116 63232	   	199.25	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	16BEXP|2AART|3MDPS|4RCR|5ASPD|7LIT|8CDMG|9VULN|aDMG
18	42112 41631	 * 	198.98	ACR|3DMG|1VULN|2BEXP|1AART	1aBEXP|2AART|3MDPS|4RCR|5VULN|6BELT|78aDMG|9aLIT|aBPWR
19	42116 21131	   	198.15	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9CDMG|aVULN
20	42116 51131	   	198.15	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	17BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8RCVC|9CDMG|aVULN
21	32152 51348	 * 	198.00	ACR|1BASARM|2VULN|2DMG	1aVULN|236DUR|4RCR|58DMG|7MBVNT|9BASARM
22	42116 21111	   	197.80	ACR|2VULN|2ASPD|2BEXP|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9aVULN
23	42116 51111	   	197.80	ACR|2VULN|2ASPD|2BEXP|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8RCVC|9aVULN
24	42112 32451	   	197.54	ACR|2VULN|2ASPD|1BEXP|1AART|1CDMG	1BEXP|2AART|3MDPS|4RCR|5aVULN|6DMSP|7CDMG|89ASPD
25	33243 32212	 * 	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|2TLV|5RCR|6FEWX|7BEXP|8DMG|9LWND|aBASARM
26	33243 32222	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|2TLV|5RCR|6FEWX|7BEXP|8DMG|9LHND|aBASARM
27	33243 42212	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|2TLV|5RCR|6DUR|7BEXP|8DMG|9LWND|aBASARM
28	33243 42222	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|2TLV|5RCR|6DUR|7BEXP|8DMG|9LHND|aBASARM
29	33243 64212	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|2TLV|5RCR|6LHND|7BEXP|8DMG|9LWND|aBASARM
30	33343 32212	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|23TLV|3BPWR|5RCR|6FEWX|7BEXP|8DMG|9LWND|aBASARM
31	33343 32222	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|23TLV|3BPWR|5RCR|6FEWX|7BEXP|8DMG|9LHND|aBASARM
32	33343 42212	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|23TLV|3BPWR|5RCR|6DUR|7BEXP|8DMG|9LWND|aBASARM
33	33343 42222	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|23TLV|3BPWR|5RCR|6DUR|7BEXP|8DMG|9LHND|aBASARM
34	33343 64212	   	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|23TLV|3BPWR|5RCR|6LHND|7BEXP|8DMG|9LWND|aBASARM
35	33243 54212	   	197.04	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|2TLV|5RCR|6LEGI|7BEXP|8DMG|9LWND|aBASARM
36	33243 54222	   	197.04	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|2TLV|5RCR|6LEGI|7BEXP|8DMG|9LHND|aBASARM
37	33343 54212	   	197.04	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|23TLV|3BPWR|5RCR|6LEGI|7BEXP|8DMG|9LWND|aBASARM
38	33343 54222	   	197.04	ACR|3VULN|1BASARM|1DMG|1BEXP	134VULN|23TLV|3BPWR|5RCR|6LEGI|7BEXP|8DMG|9LHND|aBASARM
39	42116 12326	 * 	197.02	ACR|3BEXP|2ASPD|2CDMG|1AART	18aBEXP|2AART|3MDPS|4RCR|5aASPD|68ERES|78CDMG|8aBPWR|9aCGEN
40	42116 12336	   	196.82	ACR|3BEXP|2ASPD|2CDMG|1AART	18aBEXP|2AART|3MDPS|4RCR|5aASPD|68ERES|78CDMG|8aBPWR|9aTLV
41	42112 41131	   	196.62	ACR|2VULN|2DMG|2BEXP|1AART	1aBEXP|2AART|3MDPS|4RCR|58VULN|6BELT|7aDMG|9aLIT|aBPWR
42	22112 41561	   	196.62	ACR|2VULN|2DMG|2BEXP|1AART	1aDUR|2AART|3MDPS|4RCR|5aVULN|6FEWX|79BEXP|8aDMG|aBPWR
43	42116 25231	   	196.62	ACR|2VULN|2ASPD|2BEXP|1AART	1aBEXP|2AART|3MDPS|4RCR|5aASPD|6LHND|7FEWX|8aVULN|9DMSP|aBPWR
44	42116 41331	   	196.56	ACR|1BASARM|1ASPD|1VULN|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|7FEWX|8BASARM|9LWND|aVULN
45	42116 41321	 * 	196.44	ACR|1BASARM|2BEXP|1ASPD|1AART	1aBEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|7FEWX|8BASARM|9LIT
46	42116 42321	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1AART	1aBEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|7LWND|8BASARM|9LIT
47	23583 22327	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1DUR|27BEXP|3MBVNT|4RCR|5RMIN|6LIT|8ASPD|9CDMG|aBASARM
48	23584 12327	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1DUR|27BEXP|3MBVNT|4RCR|5LIT|6RMIN|8ASPD|9CDMG|aBASARM
49	23584 22327	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1DUR|26BEXP|3MBVNT|4RCR|5LIT|7ZMB|8ASPD|9CDMG|aBASARM
50	23581 22327	   	196.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1DUR|27BEXP|3MBVNT|4RCR|5AAC|6LIT|8ASPD|9CDMG|aBASARM
51	42116 21132	 * 	196.27	ACR|3ASPD|2BEXP|1CDMG|1AART	17BEXP|2AART|3MDPS|4RCR|57aASPD|67LHND|7BPWR|8RCVC|9CDMG
52	42116 51132	   	196.27	ACR|3ASPD|2BEXP|1CDMG|1AART	17BEXP|2AART|3MDPS|4RCR|57aASPD|67DUR|7BPWR|8RCVC|9CDMG
53	42112 41531	   	195.84	ACR|2DMG|1VULN|2BEXP|2AART	1aBEXP|28AART|3MDPS|4RCR|5VULN|6BELT|7aDMG|9aLIT|aBPWR
54	42116 61323	 * 	195.48	ACR|3BEXP|1ASPD|1DMG|1VULN|1AART	168BEXP|2AART|3MDPS|4RCR|5ASPD|7ERES|9DMG|aVULN
55	33156 11113	   	194.25	ACR|1VULN|2BEXP|1ASPD|1DMG|1CDMG|1AART	1VULN|2TLV|3BELT|4ASPD|5RCR|68BEXP|7AART|9CDMG|aDMG
56	43463 12332	 * 	193.90	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	12BEXP|3VENICY|4LWND|5RCR|67VULN|8DMG|9AART|aASPD
57	23585 12143	 * 	193.70	ACR|1BASARM|2BEXP|1VULN|1BASICY	15DUR|25BEXP|3MBVNT|4RCR|5BPWR|6VULN|7AME|8BASICY|9DUST|aBASARM
58	42112 32421	   	193.47	ACR|2VULN|2AART|1ASPD|1BEXP|1CDMG	1BEXP|29AART|3MDPS|4RCR|5aVULN|6DMSP|7CDMG|8ASPD
59	42116 21512	 * 	193.31	ACR|3BEXP|2ASPD|1VULN|1AART	17aBEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8VULN|9MLV
60	42116 21212	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	17aBEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8AME|9VULN
61	42116 21231	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	179BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8AME|aVULN
62	42116 21312	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	17aBEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8ERES|9VULN
63	42116 21331	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	179BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8ERES|aVULN
64	42116 21532	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	17aBEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8VULN|9ERES
65	42116 51212	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	17aBEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8AME|9VULN
66	42116 51231	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	179BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8AME|aVULN
67	42116 51312	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	17aBEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8ERES|9VULN
68	42116 51331	   	193.21	ACR|3BEXP|2ASPD|1VULN|1AART	179BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8ERES|aVULN
69	42116 62233	   	193.01	ACR|3BEXP|2ASPD|1VULN|1AART	169BEXP|2AART|3MDPS|4RCR|5aASPD|7VULN|8AME
70	42116 62333	   	193.01	ACR|3BEXP|2ASPD|1VULN|1AART	169BEXP|2AART|3MDPS|4RCR|5aASPD|7VULN|8ERES
71	42112 32231	   	192.49	ACR|2VULN|2BEXP|1ASPD|1AART|1CDMG	18BEXP|2AART|3MDPS|4RCR|5aVULN|6DMSP|7CDMG|9ASPD
72	42112 32461	   	192.49	ACR|2VULN|2BEXP|1ASPD|1AART|1CDMG	19BEXP|2AART|3MDPS|4RCR|5aVULN|6DMSP|7CDMG|8ASPD
73	42116 62211	   	192.39	ACR|2VULN|2BEXP|1ASPD|1AART|1CDMG	16BEXP|2AART|3MDPS|4RCR|5ASPD|79VULN|8AME|aCDMG
74	42116 62311	   	192.39	ACR|2VULN|2BEXP|1ASPD|1AART|1CDMG	16BEXP|2AART|3MDPS|4RCR|5ASPD|79VULN|8ERES|aCDMG
75	42112 32426	   	191.70	ACR|1VULN|2BEXP|2AART|1ASPD|1CDMG	1aBEXP|29AART|3MDPS|4RCR|5VULN|6DMSP|7CDMG|8ASPD
76	42111 12426	   	190.39	ACR|2ASPD|2BEXP|2AART|1CDMG	1aBEXP|29AART|3MDPS|4RCR|5aTLV|6ERES|7CDMG|8aASPD|aBPWR
77	42116 12126	   	190.39	ACR|2ASPD|2BEXP|2AART|1CDMG	1aBEXP|29AART|3MDPS|4RCR|5aASPD|6ERES|7CDMG|8aTLV|aBPWR
78	42114 21513	   	190.23	ACR|1BASARM|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57DUR|679MLV|7BPWR|8VULN|aBASARM
79	23142 32232	 * 	190.23	ACR|1BASARM|2BEXP|1ASPD|1VULN	13DUR|24BEXP|5RCR|6ASPD|7LWND|8MLV|9VULN|aBASARM
80	42116 32421	   	190.14	ACR|2ASPD|1VULN|1CDMG|1BEXP|1AART|1AAC	1BEXP|2AART|3MDPS|4RCR|58ASPD|6TLV|7CDMG|9AAC|aVULN
81	23142 32532	   	190.13	ACR|1BASARM|2BEXP|1ASPD|1VULN	13DUR|24BEXP|5RCR|6ASPD|7LWND|8ERES|9VULN|aBASARM
82	23142 62232	 * 	190.13	ACR|1BASARM|2BEXP|1DMG|1VULN	13DUR|24BEXP|5RCR|6AME|7LWND|8DMG|9VULN|aBASARM
83	43413 13124	   	190.03	ACR|1BASARM|2BEXP|1VULN|1ASPD	12BEXP|3VENICY|4FEWX|5RCR|6VULN|7MDPS|8LIT|9BASARM|aASPD
84	42112 32236	   	189.17	ACR|3BEXP|1VULN|1ASPD|1AART|1CDMG	18aBEXP|2AART|3MDPS|4RCR|5VULN|6DMSP|7CDMG|9ASPD
85	42112 25512	 * 	188.84	ACR|3VULN|2BEXP|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|589VULN|6MLV|aDMG
86	42111 62512	   	188.74	ACR|3VULN|2BEXP|1DMG|1AART	16BEXP|2AART|3MDPS|4RCR|5TLV|789VULN|aDMG
87	42116 62213	 * 	188.74	ACR|3VULN|2BEXP|1ASPD|1AART	16BEXP|2AART|3MDPS|4RCR|5ASPD|79aVULN|8AME
88	42116 62313	   	188.74	ACR|3VULN|2BEXP|1ASPD|1AART	16BEXP|2AART|3MDPS|4RCR|5ASPD|79aVULN|8ERES
89	42112 41234	   	188.35	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|5VULN|6BELT|79DMG|8RPLT|aASPD
90	42112 41622	   	188.35	ACR|2DMG|1VULN|1ASPD|1BEXP|1AART	1BEXP|2AART|3MDPS|4RCR|5VULN|6BELT|78DMG|9CGEN|aASPD
91	42112 41632	   	188.35	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|5VULN|6BELT|78DMG|9LIT|aASPD
92	42116 32422	   	188.26	ACR|3ASPD|1CDMG|1BEXP|1AART|1AAC	1BEXP|2AART|3MDPS|4RCR|58aASPD|6TLV|7CDMG|9AAC
93	42112 51233	 * 	187.76	ACR|2VULN|3BEXP|1ASPD|1AART	179BEXP|2AART|3MDPS|4RCR|58VULN|6LHND|aASPD
94	42112 61633	   	187.76	ACR|2VULN|3BEXP|1ASPD|1AART	179BEXP|2AART|3MDPS|4RCR|58VULN|6LWND|aASPD
95	42116 62231	   	187.66	ACR|2VULN|3BEXP|1ASPD|1AART	169BEXP|2AART|3MDPS|4RCR|5ASPD|7aVULN|8AME
96	42116 62331	   	187.66	ACR|2VULN|3BEXP|1ASPD|1AART	169BEXP|2AART|3MDPS|4RCR|5ASPD|7aVULN|8ERES
97	43141 32322	 * 	186.46	DCR|1BASARM|3BEXP|1ASPD|1AART|1CDMG	124BEXP|3LWND|5ASPD|6AART|7CDMG|8BASARM|9LIT|aRCR
98	43141 32343	   	186.46	DCR|1BASARM|3BEXP|1ASPD|1AART|1CDMG	124BEXP|3LWND|5ASPD|6AART|7CDMG|8BASARM|9BELT|aRCR
99	42116 21261	   	185.75	ACR|2ASPD|2BEXP|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8AME|9DUR|aDMG
100	42116 21361	   	185.75	ACR|2ASPD|2BEXP|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8ERES|9DUR|aDMG
101	42116 21411	   	185.75	ACR|2ASPD|2BEXP|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8LWND|9AME|aDMG
102	42116 21431	   	185.75	ACR|2ASPD|2BEXP|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8LWND|9ERES|aDMG
103	23583 74211	 * 	185.57	ACR|2VULN|3BEXP|1DMG|1CDMG	18DUR|268BEXP|3MBVNT|4RCR|5RMIN|78VULN|8BPWR|9CDMG|aDMG
104	42116 12322	   	185.55	ACR|2ASPD|2BEXP|2CDMG|1AART	18BEXP|2AART|3MDPS|4RCR|5aASPD|68ERES|78CDMG|8BPWR|9CGEN
105	32152 51343	   	185.54	ACR|1BASARM|2DMG|1VULN	1VULN|236DUR|4RCR|58DMG|7MBVNT|9BASARM|aRPLT
106	32152 51344	   	185.54	ACR|1BASARM|2DMG|1VULN	1VULN|236DUR|4RCR|58DMG|7MBVNT|9BASARM|aCGEN
107	42116 12321	 * 	185.50	ACR|2BEXP|1ASPD|2CDMG|1VULN|1AART	18BEXP|2AART|3MDPS|4RCR|5ASPD|68ERES|78CDMG|8BPWR|9CGEN|aVULN
108	42116 12341	   	185.50	ACR|2BEXP|1ASPD|2CDMG|1VULN|1AART	18BEXP|2AART|3MDPS|4RCR|5ASPD|68ERES|78CDMG|8BPWR|9RPLT|aVULN
109	42116 12314	   	185.45	ACR|2ASPD|2BEXP|2CDMG|1AART	18BEXP|2AART|3MDPS|4RCR|5aASPD|689ERES|78CDMG|8BPWR
110	42116 12332	   	185.45	ACR|2ASPD|2BEXP|2CDMG|1AART	18BEXP|2AART|3MDPS|4RCR|5aASPD|68ERES|78CDMG|8BPWR|9TLV
111	32152 51341	   	185.44	ACR|1BASARM|2DMG|1VULN	1VULN|236DUR|4RCR|58DMG|7MBVNT|9BASARM|aDUST
112	32152 51345	   	185.44	ACR|1BASARM|2DMG|1VULN	1VULN|236DUR|4RCR|58DMG|7MBVNT|9BASARM|aAME
113	32152 51346	   	185.44	ACR|1BASARM|2DMG|1VULN	1VULN|236DUR|4RCR|58DMG|7MBVNT|9BASARM|aMDPS
114	42116 12331	   	185.40	ACR|2BEXP|1ASPD|2CDMG|1VULN|1AART	18BEXP|2AART|3MDPS|4RCR|5ASPD|68ERES|78CDMG|8BPWR|9TLV|aVULN
115	43463 13211	   	184.93	ACR|1BASARM|2BEXP|1VULN|1AART	12BEXP|3VENICY|4LWND|5RCR|6VULN|7MDPS|8FEWX|9AART|aBASARM
116	42112 62422	   	184.41	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1BEXP|2AART|3MDPS|4RCR|5VULN|6LWND|7CDMG|8ASPD|9DUR|aDMG
117	42112 62432	   	184.31	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1BEXP|2AART|3MDPS|4RCR|5VULN|6LWND|7CDMG|8ASPD|9DUST|aDMG
118	32153 35212	 * 	184.24	ACR|2VULN|1BASARM|2BEXP	18VULN|23DUR|4RCR|58LWND|6RMIN|78BEXP|8BPWR|9MLV|aBASARM
119	33156 11142	   	184.17	ACR|3BEXP|1VULN|1ASPD|1AART|1CDMG	1VULN|2TLV|3BELT|4ASPD|5RCR|689BEXP|7AART|aCDMG
120	23583 84212	   	184.14	ACR|1BASARM|2VULN|2BEXP	18DUR|28BEXP|3MBVNT|4RCR|5RMIN|6DMSP|78VULN|8BPWR|9MLV|aBASARM
121	42112 41122	   	184.06	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	1BEXP|2AART|3MDPS|4RCR|58VULN|6BELT|7DMG|9CGEN|aASPD
122	42112 41132	   	184.06	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|58VULN|6BELT|7DMG|9LIT|aASPD
123	42112 41152	   	183.96	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|58VULN|6BELT|7DMG|9ERES|aASPD
124	42112 41162	   	183.96	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	1BEXP|2AART|3MDPS|4RCR|58VULN|6BELT|7DMG|9AME|aASPD
125	22112 32451	   	183.89	ACR|2VULN|2ASPD|1AART|1CDMG	1DUR|2AART|3MDPS|4RCR|5aVULN|6DMSP|7CDMG|89ASPD
126	22114 22451	   	183.89	ACR|2VULN|2ASPD|1AART|1CDMG	15DUR|2AART|3MDPS|4RCR|6aVULN|7CDMG|89ASPD
127	33243 63112	 * 	183.49	ACR|3VULN|1BASARM|1ASPD	134VULN|2TLV|5RCR|6LHND|7ASPD|8FEWX|9LWND|aBASARM
128	33243 63622	   	183.49	ACR|3VULN|1BASARM|1ASPD	134VULN|2TLV|5RCR|6LHND|7ASPD|8LWND|9DUR|aBASARM
129	33243 66222	   	183.49	ACR|3VULN|1BASARM|1DMG	134VULN|2TLV|5RCR|6LHND|7LWND|8DMG|9DUR|aBASARM
130	33343 63112	   	183.49	ACR|3VULN|1BASARM|1ASPD	134VULN|23TLV|3BPWR|5RCR|6LHND|7ASPD|8FEWX|9LWND|aBASARM
131	33343 63622	   	183.49	ACR|3VULN|1BASARM|1ASPD	134VULN|23TLV|3BPWR|5RCR|6LHND|7ASPD|8LWND|9DUR|aBASARM
132	33343 66222	   	183.49	ACR|3VULN|1BASARM|1DMG	134VULN|23TLV|3BPWR|5RCR|6LHND|7LWND|8DMG|9DUR|aBASARM
133	33243 31212	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|2TLV|5RCR|6FEWX|7LEGI|8DMG|9LWND|aBASARM
134	33243 31222	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|2TLV|5RCR|6FEWX|7LEGI|8DMG|9LHND|aBASARM
135	33243 41212	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|2TLV|5RCR|6DUR|7LEGI|8DMG|9LWND|aBASARM
136	33243 41222	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|2TLV|5RCR|6DUR|7LEGI|8DMG|9LHND|aBASARM
137	33243 53112	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|2TLV|5RCR|6LEGI|7ASPD|8FEWX|9LWND|aBASARM
138	33243 53122	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|2TLV|5RCR|6LEGI|7ASPD|8FEWX|9LHND|aBASARM
139	33243 53612	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|2TLV|5RCR|6LEGI|7ASPD|8LWND|9LHND|aBASARM
140	33243 56212	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|2TLV|5RCR|6LEGI|7LWND|8DMG|9LHND|aBASARM
141	33243 63235	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|2TLV|5RCR|6LHND|7ASPD|8ERES|9RPLT|aBASARM
142	33343 31212	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|23TLV|3BPWR|5RCR|6FEWX|7LEGI|8DMG|9LWND|aBASARM
143	33343 31222	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|23TLV|3BPWR|5RCR|6FEWX|7LEGI|8DMG|9LHND|aBASARM
144	33343 41212	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|23TLV|3BPWR|5RCR|6DUR|7LEGI|8DMG|9LWND|aBASARM
145	33343 41222	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|23TLV|3BPWR|5RCR|6DUR|7LEGI|8DMG|9LHND|aBASARM
146	33343 53112	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|23TLV|3BPWR|5RCR|6LEGI|7ASPD|8FEWX|9LWND|aBASARM
147	33343 53122	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|23TLV|3BPWR|5RCR|6LEGI|7ASPD|8FEWX|9LHND|aBASARM
148	33343 53612	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|23TLV|3BPWR|5RCR|6LEGI|7ASPD|8LWND|9LHND|aBASARM
149	33343 56212	   	183.39	ACR|3VULN|1BASARM|1DMG	134VULN|23TLV|3BPWR|5RCR|6LEGI|7LWND|8DMG|9LHND|aBASARM
150	33343 63235	   	183.39	ACR|3VULN|1BASARM|1ASPD	134VULN|23TLV|3BPWR|5RCR|6LHND|7ASPD|8ERES|9RPLT|aBASARM
151	33243 53235	   	183.29	ACR|3VULN|1BASARM|1ASPD	134VULN|2TLV|5RCR|6LEGI|7ASPD|8ERES|9RPLT|aBASARM
152	33343 53235	   	183.29	ACR|3VULN|1BASARM|1ASPD	134VULN|23TLV|3BPWR|5RCR|6LEGI|7ASPD|8ERES|9RPLT|aBASARM
153	42112 41522	 * 	183.28	ACR|1VULN|2AART|1ASPD|1DMG|1BEXP	1BEXP|28AART|3MDPS|4RCR|5VULN|6BELT|7DMG|9CGEN|aASPD
154	42112 41532	   	183.28	ACR|1VULN|2AART|1ASPD|1DMG|1BEXP	1BEXP|28AART|3MDPS|4RCR|5VULN|6BELT|7DMG|9LIT|aASPD
155	33156 21163	   	183.25	ACR|2DMG|1VULN|1ASPD|1BEXP|1AART	1VULN|2TLV|3BELT|4ASPD|5RCR|6DUST|7AART|8BEXP|9aDMG
156	42116 21113	   	183.22	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9VULN|aLIT
157	42116 21114	   	183.22	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9VULN|aDMSP
158	42116 21115	   	183.22	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9VULN|aFEWX
